model,region,sale_month,monthly_revenue,monthly_units
2 SERIES,Middle East,2025-10-01,2004239.67,48
2 SERIES,Middle East,2025-11-01,4181684.55,98
2 SERIES,Middle East,2025-12-01,4052287.05,97
2 SERIES,Middle East,2026-01-01,5012465.76,119
2 SERIES,Middle East,2026-02-01,5909801.449999999,140
2 SERIES,Middle East,2026-03-01,3890253.92,91
2 SERIES,Middle East,2026-04-01,3764839.1100000003,90
2 SERIES,Middle East,2026-05-01,4112014.41,98
2 SERIES,Middle East,2026-06-01,4678801.82,112
2 SERIES,Middle East,2026-07-01,4008769.63,97
2 SERIES,Middle East,2026-08-01,3939657.58,93
2 SERIES,Middle East,2026-09-01,4112092.69,96
2 SERIES,Middle East,2026-10-01,3240259.86,78
2 SERIES,Middle East,2026-11-01,3858106.57,92
2 SERIES,Middle East,2026-12-01,5077653.25,122
2 SERIES,North America,2024-01-01,7304120.33,174
2 SERIES,North America,2024-02-01,7248458.4399999995,174
2 SERIES,North America,2024-03-01,7157245.42,171
2 SERIES,North America,2024-04-01,5089417.43,123
2 SERIES,North America,2024-05-01,6312327.5,150
2 SERIES,North America,2024-06-01,4928197.38,117
2 SERIES,North America,2024-07-01,8510553.26,202
2 SERIES,North America,2024-08-01,4452722.96,109
2 SERIES,North America,2024-09-01,6498836.21,155
2 SERIES,North America,2024-10-01,8125278.39,193
2 SERIES,North America,2024-11-01,6783719.699999999,163
2 SERIES,North America,2024-12-01,6056119.2,145
2 SERIES,North America,2025-01-01,9468518.22,226
2 SERIES,North America,2025-02-01,6200762.34,149
2 SERIES,North America,2025-03-01,12268780.82,294
2 SERIES,North America,2025-04-01,8949008.14,209
2 SERIES,North America,2025-05-01,5801706.96,139
2 SERIES,North America,2025-06-01,8800909.02,210
2 SERIES,North America,2025-07-01,7932984.88,189
2 SERIES,North America,2025-08-01,6667740.28,161
2 SERIES,North America,2025-09-01,8186264.1899999995,192
2 SERIES,North America,2025-10-01,7660382.37,185
2 SERIES,North America,2025-11-01,6472029.96,156
2 SERIES,North America,2025-12-01,5825737.54,136
2 SERIES,North America,2026-01-01,6240202.5600000005,151
2 SERIES,North America,2026-02-01,8332058.72,199
2 SERIES,North America,2026-03-01,8661240.76,208
2 SERIES,North America,2026-04-01,10222313.55,243
2 SERIES,North America,2026-05-01,10839018.82,259
2 SERIES,North America,2026-06-01,8128227.13,194
2 SERIES,North America,2026-07-01,8704164.68,208
2 SERIES,North America,2026-08-01,3054345.52,73
2 SERIES,North America,2026-09-01,3706629.5100000002,89
2 SERIES,North America,2026-10-01,6122403.62,144
2 SERIES,North America,2026-11-01,7237755.8,172
2 SERIES,North America,2026-12-01,8932643.43,214
2 SERIES,Oceania,2024-01-01,461951.38,11
2 SERIES,Oceania,2024-02-01,910908.47,21
2 SERIES,Oceania,2024-03-01,1864935.9900000002,44
2 SERIES,Oceania,2024-04-01,853040.5800000001,21
2 SERIES,Oceania,2024-05-01,2350550.38,57
2 SERIES,Oceania,2024-06-01,1864930.83,44
2 SERIES,Oceania,2024-07-01,1068566.6099999999,26
2 SERIES,Oceania,2024-08-01,1470873.34,35
2 SERIES,Oceania,2024-09-01,1749085.44,42
2 SERIES,Oceania,2024-10-01,599534.81,14
2 SERIES,Oceania,2024-11-01,1556270.28,37
2 SERIES,Oceania,2024-12-01,283987.2,7
2 SERIES,Oceania,2025-01-01,2171992.96,50
2 SERIES,Oceania,2025-02-01,3548842.68,85
2 SERIES,Oceania,2025-03-01,2560690.45,60
2 SERIES,Oceania,2025-04-01,584737.02,14
2 SERIES,Oceania,2025-05-01,2767977.7,64
2 SERIES,Oceania,2025-06-01,4287031.92,100
2 SERIES,Oceania,2025-07-01,2167285.98,52
2 SERIES,Oceania,2025-08-01,1419792.44,34
2 SERIES,Oceania,2025-09-01,1427450.03,33
2 SERIES,Oceania,2025-10-01,288578.63999999996,7
2 SERIES,Oceania,2025-11-01,645656.07,15
2 SERIES,Oceania,2025-12-01,1341367.32,32
2 SERIES,Oceania,2026-01-01,1444338.8199999998,34
2 SERIES,Oceania,2026-02-01,5119637.49,121
2 SERIES,Oceania,2026-03-01,5515739.94,130
2 SERIES,Oceania,2026-04-01,1014056.78,24
2 SERIES,Oceania,2026-05-01,2403615.7199999997,57
2 SERIES,Oceania,2026-06-01,2190724.24,53
2 SERIES,Oceania,2026-07-01,490661.27,11
2 SERIES,Oceania,2026-08-01,1381971.96,32
2 SERIES,Oceania,2026-09-01,2464080.42,58
2 SERIES,Oceania,2026-10-01,974654.22,23
2 SERIES,Oceania,2026-11-01,1071201.92,26
2 SERIES,Oceania,2026-12-01,1246844.55,29
3 SERIES,Africa,2024-01-01,2854654.55,59
3 SERIES,Africa,2024-02-01,341096.84,7
3 SERIES,Africa,2024-03-01,631532.6799999999,13
3 SERIES,Africa,2024-04-01,1256090.05,27
3 SERIES,Africa,2024-05-01,2518399.59,53
3 SERIES,Africa,2024-06-01,1193678.72,26
3 SERIES,Africa,2024-07-01,505322.57000000007,11
3 SERIES,Africa,2024-08-01,1245725.24,26
3 SERIES,Africa,2024-09-01,768959.04,16
3 SERIES,Africa,2024-10-01,1573217.97,34
3 SERIES,Africa,2024-11-01,984337.55,21
3 SERIES,Africa,2024-12-01,306041.1,6
3 SERIES,Africa,2025-01-01,2008143.49,42
3 SERIES,Africa,2025-02-01,2839902.23,59
3 SERIES,Africa,2025-03-01,1610750.46,35
3 SERIES,Africa,2025-04-01,1389706.9,29
3 SERIES,Africa,2025-05-01,900808.66,19
3 SERIES,Africa,2025-06-01,541717.88,11
3 SERIES,Africa,2025-07-01,2051759.5699999998,42
3 SERIES,Africa,2025-08-01,1566365.07,32
3 SERIES,Africa,2025-09-01,2398516.86,50
3 SERIES,Africa,2025-10-01,856143.95,18
3 SERIES,Africa,2025-11-01,626838.94,13
3 SERIES,Africa,2025-12-01,441428.39999999997,10
3 SERIES,Africa,2026-01-01,1914606.69,40
3 SERIES,Africa,2026-02-01,1428598.5699999998,30
3 SERIES,Africa,2026-03-01,1962497.52,40
3 SERIES,Africa,2026-04-01,2098589.99,45
3 SERIES,Africa,2026-05-01,1630641.54,34
3 SERIES,Africa,2026-06-01,1582056.82,33
3 SERIES,Africa,2026-07-01,789013.6799999999,16
3 SERIES,Africa,2026-08-01,471161.4,10
3 SERIES,Africa,2026-09-01,2643201.44,56
3 SERIES,Africa,2026-10-01,703565.0,15
3 SERIES,Africa,2026-11-01,454194.45,9
3 SERIES,Africa,2026-12-01,787988.0900000001,16
3 SERIES,Asia,2024-01-01,7113777.41,146
3 SERIES,Asia,2024-02-01,10505531.56,221
3 SERIES,Asia,2024-03-01,9908862.59,203
3 SERIES,Asia,2024-04-01,18573102.71,384
3 SERIES,Asia,2024-05-01,19881629.75,414
3 SERIES,Asia,2024-06-01,18797155.88,389
3 SERIES,Asia,2024-07-01,13448318.55,280
3 SERIES,Asia,2024-08-01,12336194.450000001,258
3 SERIES,Asia,2024-09-01,12481973.690000001,260
3 SERIES,Asia,2024-10-01,11901455.34,248
3 SERIES,Asia,2024-11-01,13063826.98,265
3 SERIES,Asia,2024-12-01,13427433.91,280
3 SERIES,Asia,2025-01-01,14372062.7,299
3 SERIES,Asia,2025-02-01,16520654.45,341
3 SERIES,Asia,2025-03-01,10838880.16,224
3 SERIES,Asia,2025-04-01,12373331.18,261
3 SERIES,Asia,2025-05-01,19362401.81,407
3 SERIES,Asia,2025-06-01,18890116.59,393
3 SERIES,Asia,2025-07-01,11754890.55,245
3 SERIES,Asia,2025-08-01,12790897.92,265
3 SERIES,Asia,2025-09-01,10275607.05,214
3 SERIES,Asia,2025-10-01,9644370.4,201
3 SERIES,Asia,2025-11-01,8525287.31,180
3 SERIES,Asia,2025-12-01,9720315.35,200
3 SERIES,Asia,2026-01-01,7687639.82,160
3 SERIES,Asia,2026-02-01,19261138.47,402
3 SERIES,Asia,2026-03-01,18766361.46,385
3 SERIES,Asia,2026-04-01,14399463.46,300
3 SERIES,Asia,2026-05-01,20044204.45,414
3 SERIES,Asia,2026-06-01,17484647.53,361
3 SERIES,Asia,2026-07-01,10813678.24,223
3 SERIES,Asia,2026-08-01,12207263.31,255
3 SERIES,Asia,2026-09-01,12196895.36,256
3 SERIES,Asia,2026-10-01,14076320.78,294
3 SERIES,Asia,2026-11-01,17398037.11,367
3 SERIES,Asia,2026-12-01,21035452.43,437
3 SERIES,Europe,2024-01-01,13521118.15,285
3 SERIES,Europe,2024-02-01,8996671.11,188
3 SERIES,Europe,2024-03-01,13891102.76,291
3 SERIES,Europe,2024-04-01,14160501.5,294
3 SERIES,Europe,2024-05-01,6087492.9,126
3 SERIES,Europe,2024-06-01,9867208.5,204
3 SERIES,Europe,2024-07-01,8617156.5,181
3 SERIES,Europe,2024-08-01,12063375.120000001,251
3 SERIES,Europe,2024-09-01,9935372.84,209
3 SERIES,Europe,2024-10-01,4634209.57,96
3 SERIES,Europe,2024-11-01,7840911.0,160
3 SERIES,Europe,2024-12-01,6080052.75,126
3 SERIES,Europe,2025-01-01,9649081.57,203
3 SERIES,Europe,2025-02-01,3181875.18,69
3 SERIES,Europe,2025-03-01,15644419.5,328
3 SERIES,Europe,2025-04-01,9919385.86,206
3 SERIES,Europe,2025-05-01,14374213.15,300
3 SERIES,Europe,2025-06-01,7969478.04,164
3 SERIES,Europe,2025-07-01,10073851.16,211
3 SERIES,Europe,2025-08-01,13192621.9,279
3 SERIES,Europe,2025-09-01,14438046.74,300
3 SERIES,Europe,2025-10-01,6541262.23,135
3 SERIES,Europe,2025-11-01,8408543.72,176
3 SERIES,Europe,2025-12-01,14732909.44,309
3 SERIES,Europe,2026-01-01,10926601.6,229
3 SERIES,Europe,2026-02-01,13008742.7,269
3 SERIES,Europe,2026-03-01,16724847.42,349
3 SERIES,Europe,2026-04-01,17030093.42,355
3 SERIES,Europe,2026-05-01,11011109.8,227
3 SERIES,Europe,2026-06-01,12113771.62,252
3 SERIES,Europe,2026-07-01,14261682.25,294
3 SERIES,Europe,2026-08-01,12211331.200000001,257
3 SERIES,Europe,2026-09-01,9799505.82,204
3 SERIES,Europe,2026-10-01,11758570.67,248
3 SERIES,Europe,2026-11-01,9043216.15,188
3 SERIES,Europe,2026-12-01,11442114.11,236
3 SERIES,Middle East,2024-01-01,2332761.52,49
3 SERIES,Middle East,2024-02-01,2703570.79,57
3 SERIES,Middle East,2024-03-01,5821284.18,122
3 SERIES,Middle East,2024-04-01,4697978.930000001,98
3 SERIES,Middle East,2024-05-01,753793.5,15
3 SERIES,Middle East,2024-06-01,4460038.18,92
3 SERIES,Middle East,2024-07-01,5014223.79,104
3 SERIES,Middle East,2024-08-01,2975286.5,62
3 SERIES,Middle East,2024-09-01,6429460.87,133
3 SERIES,Middle East,2024-10-01,5973985.8,122
3 SERIES,Middle East,2024-11-01,6040807.96,126
3 SERIES,Middle East,2024-12-01,4494627.13,93
3 SERIES,Middle East,2025-01-01,5089411.06,109
3 SERIES,Middle East,2025-02-01,4102895.06,87
3 SERIES,Middle East,2025-03-01,8876916.92,185
3 SERIES,Middle East,2025-04-01,6172507.01,124
3 SERIES,Middle East,2025-05-01,4259718.68,87
3 SERIES,Middle East,2025-06-01,5792433.54,119
3 SERIES,Middle East,2025-07-01,4586707.09,97
3 SERIES,Middle East,2025-08-01,4315450.52,90
3 SERIES,Middle East,2025-09-01,2687025.38,56
3 SERIES,Middle East,2025-10-01,5915568.1899999995,124
3 SERIES,Middle East,2025-11-01,3652327.25,75
3 SERIES,Middle East,2025-12-01,4619959.56,96
3 SERIES,Middle East,2026-01-01,3925359.35,81
3 SERIES,Middle East,2026-02-01,5243525.65,109
3 SERIES,Middle East,2026-03-01,2472885.28,52
3 SERIES,Middle East,2026-04-01,7931757.93,163
3 SERIES,Middle East,2026-05-01,3047035.48,62
3 SERIES,Middle East,2026-06-01,4584669.8,97
3 SERIES,Middle East,2026-07-01,3623113.8,77
3 SERIES,Middle East,2026-08-01,3052922.4699999997,64
3 SERIES,Middle East,2026-09-01,6617855.18,137
3 SERIES,Middle East,2026-10-01,5005831.23,105
3 SERIES,Middle East,2026-11-01,3180508.64,66
3 SERIES,Middle East,2026-12-01,3049638.6,63
3 SERIES,North America,2024-01-01,14309786.42,302
3 SERIES,North America,2024-02-01,6986542.86,145
3 SERIES,North America,2024-03-01,9245061.950000001,188
3 SERIES,North America,2024-04-01,10321574.54,214
3 SERIES,North America,2024-05-01,10689077.01,225
3 SERIES,North America,2024-06-01,10661486.19,221
3 SERIES,North America,2024-07-01,14070425.44,297
3 SERIES,North America,2024-08-01,8706873.05,183
3 SERIES,North America,2024-09-01,9864822.07,205
3 SERIES,North America,2024-10-01,8577544.0,179
3 SERIES,North America,2024-11-01,10414558.21,220
3 SERIES,North America,2024-12-01,4765585.71,101
3 SERIES,North America,2025-01-01,9558772.32,199
3 SERIES,North America,2025-02-01,15462524.86,322
3 SERIES,North America,2025-03-01,6145892.59,127
3 SERIES,North America,2025-04-01,9687813.36,199
3 SERIES,North America,2025-05-01,14698631.8,307
3 SERIES,North America,2025-06-01,11146851.16,232
3 SERIES,North America,2025-07-01,13772519.94,284
3 SERIES,North America,2025-08-01,7425728.97,156
3 SERIES,North America,2025-09-01,8788561.74,183
3 SERIES,North America,2025-10-01,11841134.69,247
3 SERIES,North America,2025-11-01,6338843.28,134
3 SERIES,North America,2025-12-01,11034782.62,232
3 SERIES,North America,2026-01-01,12209577.44,254
3 SERIES,North America,2026-02-01,3992491.61,85
3 SERIES,North America,2026-03-01,12221897.81,254
3 SERIES,North America,2026-04-01,17556598.31,364
3 SERIES,North America,2026-05-01,11025077.19,230
3 SERIES,North America,2026-06-01,12272036.46,258
3 SERIES,North America,2026-07-01,13860263.51,288
3 SERIES,North America,2026-08-01,6750000.88,140
3 SERIES,North America,2026-09-01,10295055.49,214
3 SERIES,North America,2026-10-01,10602949.37,219
3 SERIES,North America,2026-11-01,14467748.17,297
3 SERIES,North America,2026-12-01,10765647.03,227
3 SERIES,Oceania,2024-01-01,3621849.5100000002,74
3 SERIES,Oceania,2024-02-01,1438794.1199999999,30
3 SERIES,Oceania,2024-03-01,1920899.81,41
3 SERIES,Oceania,2024-04-01,3579751.81,74
3 SERIES,Oceania,2024-05-01,3811372.04,78
3 SERIES,Oceania,2024-06-01,1271085.76,26
3 SERIES,Oceania,2024-07-01,3433102.74,72
3 SERIES,Oceania,2024-09-01,2035644.08,43
3 SERIES,Oceania,2024-10-01,4078634.5599999996,85
3 SERIES,Oceania,2024-11-01,1633476.3800000001,34
3 SERIES,Oceania,2024-12-01,713327.13,15
3 SERIES,Oceania,2025-01-01,4520278.58,94
3 SERIES,Oceania,2025-02-01,3380026.99,70
3 SERIES,Oceania,2025-03-01,3254100.1399999997,67
3 SERIES,Oceania,2025-04-01,463608.0,10
3 SERIES,Oceania,2025-05-01,4062185.08,85
3 SERIES,Oceania,2025-06-01,4915986.59,103
3 SERIES,Oceania,2025-07-01,5419962.33,114
3 SERIES,Oceania,2025-08-01,2897166.14,59
3 SERIES,Oceania,2025-09-01,2158340.9,45
3 SERIES,Oceania,2025-10-01,2500114.21,53
3 SERIES,Oceania,2025-11-01,1691448.08,36
3 SERIES,Oceania,2025-12-01,3263496.68,68
3 SERIES,Oceania,2026-01-01,4486501.67,95
3 SERIES,Oceania,2026-02-01,4325152.13,89
3 SERIES,Oceania,2026-03-01,2546059.92,53
3 SERIES,Oceania,2026-04-01,3468963.27,73
3 SERIES,Oceania,2026-05-01,1255747.8699999999,26
3 SERIES,Oceania,2026-06-01,1523409.54,32
3 SERIES,Oceania,2026-07-01,1914530.5,40
3 SERIES,Oceania,2026-08-01,3248673.26,69
3 SERIES,Oceania,2026-09-01,1898668.7799999998,40
3 SERIES,Oceania,2026-10-01,1616489.87,34
3 SERIES,Oceania,2026-11-01,3757178.84,76
3 SERIES,Oceania,2026-12-01,3965160.69,82
5 SERIES,Africa,2024-01-01,1862263.73,30
5 SERIES,Africa,2024-02-01,639780.95,10
5 SERIES,Africa,2024-03-01,1670755.6700000002,27
5 SERIES,Africa,2024-04-01,311094.19999999995,5
5 SERIES,Africa,2024-05-01,1738928.47,28
5 SERIES,Africa,2024-06-01,309195.64999999997,5
5 SERIES,Africa,2024-07-01,511279.2,8
5 SERIES,Africa,2024-08-01,630915.5700000001,10
5 SERIES,Africa,2024-09-01,1144274.26,18
5 SERIES,Africa,2024-10-01,1566766.58,26
5 SERIES,Africa,2024-12-01,2923792.9,47
5 SERIES,Africa,2025-01-01,379008.54,6
5 SERIES,Africa,2025-02-01,435633.38,7
5 SERIES,Africa,2025-03-01,827990.82,13
5 SERIES,Africa,2025-04-01,1824132.72,29
5 SERIES,Africa,2025-05-01,2235449.18,36
5 SERIES,Africa,2025-06-01,466671.84,8
5 SERIES,Africa,2025-07-01,1298058.75,22
5 SERIES,Africa,2025-08-01,1729482.08,29
5 SERIES,Africa,2025-09-01,513218.88,8
5 SERIES,Africa,2025-10-01,320229.0,5
5 SERIES,Africa,2025-11-01,481585.41000000003,8
5 SERIES,Africa,2025-12-01,304285.1,5
5 SERIES,Africa,2026-01-01,1968649.98,32
5 SERIES,Africa,2026-02-01,1064239.77,17
5 SERIES,Africa,2026-03-01,1468440.96,24
5 SERIES,Africa,2026-04-01,1592750.03,26
5 SERIES,Africa,2026-05-01,686253.7,11
5 SERIES,Africa,2026-06-01,2284693.69,38
5 SERIES,Africa,2026-07-01,701980.02,12
5 SERIES,Africa,2026-08-01,1272023.23,20
5 SERIES,Africa,2026-09-01,871876.9,14
5 SERIES,Africa,2026-10-01,192303.72,3
5 SERIES,Africa,2026-11-01,1234145.02,19
5 SERIES,Africa,2026-12-01,1446288.12,23
5 SERIES,Asia,2024-01-01,9473725.6,150
5 SERIES,Asia,2024-02-01,3104787.47,50
5 SERIES,Asia,2024-03-01,11640982.7,191
5 SERIES,Asia,2024-04-01,11685715.95,188
5 SERIES,Asia,2024-05-01,9908964.620000001,160
5 SERIES,Asia,2024-06-01,12337777.34,198
5 SERIES,Asia,2024-07-01,9724415.6,158
5 SERIES,Asia,2024-08-01,14958062.92,242
5 SERIES,Asia,2024-09-01,15385781.91,249
5 SERIES,Asia,2024-10-01,7277611.720000001,118
5 SERIES,Asia,2024-11-01,8486727.23,138
5 SERIES,Asia,2024-12-01,16213533.48,261
5 SERIES,Asia,2025-01-01,15589643.85,256
5 SERIES,Asia,2025-02-01,9571313.45,157
5 SERIES,Asia,2025-03-01,11676401.16,188
5 SERIES,Asia,2025-04-01,8977646.92,144
5 SERIES,Asia,2025-05-01,13182994.09,214
5 SERIES,Asia,2025-06-01,13109800.26,212
5 SERIES,Asia,2025-07-01,11794722.41,192
5 SERIES,Asia,2025-08-01,16986460.44,273
5 SERIES,Asia,2025-09-01,10873623.28,176
5 SERIES,Asia,2025-10-01,7650941.03,126
5 SERIES,Asia,2025-11-01,10617813.96,170
5 SERIES,Asia,2025-12-01,12491922.52,202
5 SERIES,Asia,2026-01-01,8664829.66,138
5 SERIES,Asia,2026-02-01,15144959.450000001,246
5 SERIES,Asia,2026-03-01,13603210.83,221
5 SERIES,Asia,2026-04-01,12880131.35,207
5 SERIES,Asia,2026-05-01,18183942.81,296
5 SERIES,Asia,2026-06-01,13468779.78,217
5 SERIES,Asia,2026-07-01,16740042.63,273
5 SERIES,Asia,2026-08-01,15616148.95,254
5 SERIES,Asia,2026-09-01,12194114.33,198
5 SERIES,Asia,2026-10-01,14528809.959999999,231
5 SERIES,Asia,2026-11-01,10400618.450000001,170
5 SERIES,Asia,2026-12-01,7979504.75,131
5 SERIES,Europe,2024-01-01,10294301.36,166
5 SERIES,Europe,2024-02-01,11027637.02,177
5 SERIES,Europe,2024-03-01,9050550.11,147
5 SERIES,Europe,2024-04-01,8992376.22,144
5 SERIES,Europe,2024-05-01,13172592.09,212
5 SERIES,Europe,2024-06-01,3446424.4299999997,55
5 SERIES,Europe,2024-07-01,5845034.220000001,96
5 SERIES,Europe,2024-08-01,6422865.55,103
5 SERIES,Europe,2024-09-01,8781922.879999999,143
5 SERIES,Europe,2024-10-01,11232432.92,183
5 SERIES,Europe,2024-11-01,6344989.15,103
5 SERIES,Europe,2024-12-01,5465023.45,88
5 SERIES,Europe,2025-01-01,9309350.1,150
5 SERIES,Europe,2025-02-01,6673358.96,108
5 SERIES,Europe,2025-03-01,9425443.3,154
5 SERIES,Europe,2025-04-01,6891761.800000001,109
5 SERIES,Europe,2025-05-01,5675554.59,93
5 SERIES,Europe,2025-06-01,8469541.48,138
5 SERIES,Europe,2025-07-01,5560012.4399999995,89
5 SERIES,Europe,2025-08-01,7733373.7,124
5 SERIES,Europe,2025-09-01,6438400.26,102
5 SERIES,Europe,2025-10-01,6917156.0,112
5 SERIES,Europe,2025-11-01,10034390.879999999,162
5 SERIES,Europe,2025-12-01,7972040.8,130
5 SERIES,Europe,2026-01-01,14698096.44,236
5 SERIES,Europe,2026-02-01,8231280.33,134
5 SERIES,Europe,2026-03-01,7361016.17,120
5 SERIES,Europe,2026-04-01,11859609.34,191
5 SERIES,Europe,2026-05-01,13634317.06,217
5 SERIES,Europe,2026-06-01,3831947.38,62
5 SERIES,Europe,2026-07-01,8604275.67,140
