vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date,fault_count,avg_temperature,latest_odometer,maintenance_count,risk_score,risk_category,primary_risk_factor
BMW018,WBA000000000018,iX,2021,Petrol,Bangalore,2025-04-14,27,76.07,242731,3,71.42,MEDIUM,Frequent Faults
BMW019,WBA000000000019,X3,2022,EV,Mumbai,2020-04-07,17,78.75,241702,4,58.92,MEDIUM,High Mileage
BMW020,WBA000000000020,iX,2025,Petrol,Delhi,2023-12-11,25,73.82,242894,8,77.98,HIGH,High Mileage
BMW021,WBA000000000021,i4,2020,EV,Delhi,2023-02-26,18,79.96,209308,2,55.36,MEDIUM,Temperature Trend
BMW022,WBA000000000022,i4,2021,EV,Chennai,2020-11-05,20,80.88,240926,3,61.81,MEDIUM,High Mileage
BMW023,WBA000000000023,X1,2023,EV,Hyderabad,2023-08-08,20,82.52,211903,8,70.98,MEDIUM,Temperature Trend
BMW024,WBA000000000024,X3,2020,EV,Mumbai,2023-03-18,23,73.74,241368,5,68.9,MEDIUM,High Mileage
BMW025,WBA000000000025,X3,2021,Diesel,Delhi,2023-11-21,22,86.72,249786,1,62.34,MEDIUM,High Mileage
BMW026,WBA000000000026,X1,2022,Petrol,Delhi,2021-05-06,29,74.97,248909,2,72.45,MEDIUM,Frequent Faults
BMW027,WBA000000000027,X5,2025,Petrol,Hyderabad,2024-03-26,20,83.69,243933,5,66.5,MEDIUM,High Mileage
BMW028,WBA000000000028,i7,2025,EV,Hyderabad,2021-07-13,25,79.11,237381,7,76.82,HIGH,High Mileage
BMW029,WBA000000000029,X5,2022,Diesel,Mumbai,2020-10-15,20,78.27,242228,4,63.34,MEDIUM,High Mileage
BMW030,WBA000000000030,iX,2021,Petrol,Bangalore,2020-01-28,22,81.59,240722,2,62.95,MEDIUM,High Mileage
BMW031,WBA000000000031,i7,2022,Diesel,Hyderabad,2021-09-19,15,78.45,249981,5,58.19,MEDIUM,High Mileage
BMW032,WBA000000000032,i4,2021,Diesel,Mumbai,2023-09-15,23,82.83,238708,4,68.61,MEDIUM,High Mileage
BMW033,WBA000000000033,X1,2020,Diesel,Chennai,2021-11-19,29,84.09,244533,4,78.1,HIGH,Frequent Faults
BMW034,WBA000000000034,i7,2021,Diesel,Bangalore,2023-12-02,26,80.09,227124,3,70.1,MEDIUM,Frequent Faults
BMW035,WBA000000000035,i7,2023,Diesel,Hyderabad,2024-12-09,20,74.17,229962,7,68.03,MEDIUM,High Mileage
BMW036,WBA000000000036,i7,2020,Petrol,Chennai,2022-01-17,19,79.26,248681,7,68.3,MEDIUM,High Mileage
BMW037,WBA000000000037,X1,2022,Petrol,Chennai,2021-07-31,23,82.68,248536,4,68.98,MEDIUM,High Mileage
BMW038,WBA000000000038,X3,2021,Diesel,Bangalore,2025-01-07,19,80.13,242439,2,58.22,MEDIUM,High Mileage
BMW039,WBA000000000039,X3,2023,EV,Mumbai,2020-11-14,25,81.74,246791,6,75.72,HIGH,High Mileage
BMW040,WBA000000000040,X3,2024,Petrol,Bangalore,2020-01-28,29,77.09,244268,9,86.69,HIGH,Frequent Faults
BMW041,WBA000000000041,X1,2019,Diesel,Delhi,2024-09-19,11,84.45,221612,1,44.25,LOW,High Mileage
BMW042,WBA000000000042,X5,2019,Petrol,Delhi,2020-02-22,21,77.92,236818,6,68.56,MEDIUM,High Mileage
BMW043,WBA000000000043,X5,2024,EV,Bangalore,2020-08-02,22,79.58,241589,9,76.58,HIGH,Frequent Maintenance
BMW044,WBA000000000044,X3,2025,EV,Chennai,2024-02-25,16,84.65,242152,5,60.62,MEDIUM,High Mileage
BMW045,WBA000000000045,i4,2020,Diesel,Bangalore,2023-02-22,18,81.55,240808,5,62.94,MEDIUM,High Mileage
BMW046,WBA000000000046,X1,2021,Diesel,Hyderabad,2022-03-05,16,86.86,248748,2,55.32,MEDIUM,High Mileage
BMW047,WBA000000000047,i4,2022,Diesel,Hyderabad,2021-12-25,20,76.7,225019,7,68.34,MEDIUM,High Mileage
BMW048,WBA000000000048,i7,2025,Diesel,Chennai,2023-02-17,28,74.71,233651,4,74.29,MEDIUM,Frequent Faults
BMW049,WBA000000000049,X5,2024,Diesel,Bangalore,2021-12-22,10,80.5,248985,3,47.06,LOW,High Mileage
BMW050,WBA000000000050,i4,2023,Diesel,Bangalore,2020-03-08,12,81.47,234788,4,51.69,MEDIUM,High Mileage
BMW051,WBA000000000051,X5,2025,Petrol,Bangalore,2020-06-30,20,80.95,249303,6,68.16,MEDIUM,High Mileage
BMW052,WBA000000000052,X3,2019,Petrol,Hyderabad,2025-01-21,16,84.91,245577,2,54.81,MEDIUM,High Mileage
BMW053,WBA000000000053,X1,2025,EV,Chennai,2022-10-30,26,77.23,242320,6,76.14,HIGH,Frequent Faults
BMW054,WBA000000000054,X5,2020,EV,Chennai,2024-10-30,30,77.0,249675,4,78.39,HIGH,Frequent Faults
BMW055,WBA000000000055,X5,2025,EV,Chennai,2024-10-26,15,76.21,226646,5,56.81,MEDIUM,High Mileage
BMW056,WBA000000000056,X3,2024,EV,Delhi,2020-09-03,24,78.16,240301,6,73.24,MEDIUM,High Mileage
BMW057,WBA000000000057,i4,2023,Petrol,Chennai,2020-12-08,16,83.9,241008,5,60.42,MEDIUM,High Mileage
BMW058,WBA000000000058,i7,2020,EV,Chennai,2025-02-19,13,79.78,243100,5,55.18,MEDIUM,High Mileage
BMW059,WBA000000000059,X1,2019,EV,Chennai,2023-03-05,27,81.5,237297,9,84.29,HIGH,Frequent Faults
BMW060,WBA000000000060,X3,2024,EV,Mumbai,2021-01-03,15,81.6,245229,8,64.63,MEDIUM,High Mileage
BMW061,WBA000000000061,i7,2021,EV,Bangalore,2023-12-02,13,81.81,213222,6,56.39,MEDIUM,Temperature Trend
BMW062,WBA000000000062,i4,2022,EV,Hyderabad,2024-02-29,24,77.87,247467,5,71.47,MEDIUM,High Mileage
BMW063,WBA000000000063,i7,2021,Petrol,Bangalore,2022-08-23,20,77.43,228434,5,64.62,MEDIUM,High Mileage
BMW064,WBA000000000064,X1,2021,Diesel,Bangalore,2020-07-14,17,80.26,248919,4,59.51,MEDIUM,High Mileage
BMW065,WBA000000000065,X3,2020,EV,Bangalore,2021-04-18,27,85.65,233921,2,70.99,MEDIUM,Frequent Faults
BMW066,WBA000000000066,iX,2021,Diesel,Hyderabad,2024-01-25,21,78.04,240074,9,74.71,MEDIUM,Frequent Maintenance
BMW067,WBA000000000067,i4,2025,EV,Mumbai,2022-03-24,17,78.32,242964,5,60.88,MEDIUM,High Mileage
BMW068,WBA000000000068,i4,2019,Petrol,Mumbai,2022-04-07,20,73.32,247209,6,66.55,MEDIUM,High Mileage
BMW069,WBA000000000069,X1,2025,EV,Hyderabad,2020-01-12,22,82.18,240163,6,71.04,MEDIUM,High Mileage
BMW070,WBA000000000070,i7,2025,Petrol,Mumbai,2021-04-15,28,81.15,239137,3,73.8,MEDIUM,Frequent Faults
BMW071,WBA000000000071,iX,2020,Diesel,Mumbai,2022-01-19,21,78.05,245611,4,64.93,MEDIUM,High Mileage
BMW072,WBA000000000072,X1,2025,Petrol,Mumbai,2022-01-31,19,86.46,242830,6,67.51,MEDIUM,High Mileage
BMW073,WBA000000000073,i7,2025,EV,Mumbai,2023-08-06,16,77.6,247358,2,53.41,MEDIUM,High Mileage
BMW074,WBA000000000074,X1,2021,EV,Delhi,2024-05-03,26,78.88,246627,5,74.64,MEDIUM,Frequent Faults
BMW075,WBA000000000075,iX,2020,Petrol,Mumbai,2023-06-08,22,77.81,237061,4,66.04,MEDIUM,High Mileage
BMW076,WBA000000000076,X5,2022,EV,Bangalore,2020-02-05,22,79.69,241531,8,74.6,MEDIUM,High Mileage
BMW077,WBA000000000077,i7,2020,Diesel,Bangalore,2024-06-25,14,83.75,244548,6,59.53,MEDIUM,High Mileage
BMW078,WBA000000000078,i4,2024,Petrol,Delhi,2019-12-01,17,79.67,241863,0,51.11,MEDIUM,High Mileage
BMW079,WBA000000000079,X5,2024,Petrol,Mumbai,2024-04-19,22,79.88,240942,10,78.61,HIGH,Frequent Maintenance
BMW080,WBA000000000080,X5,2025,Petrol,Mumbai,2022-06-25,22,78.52,246277,6,70.56,MEDIUM,High Mileage
BMW081,WBA000000000081,X5,2022,Diesel,Hyderabad,2023-05-25,18,79.39,223157,8,67.8,MEDIUM,High Mileage
BMW082,WBA000000000082,X5,2019,Petrol,Bangalore,2022-11-04,23,80.73,245138,2,64.45,MEDIUM,High Mileage
BMW083,WBA000000000083,X3,2019,EV,Hyderabad,2023-01-03,18,83.87,246384,3,59.63,MEDIUM,High Mileage
BMW084,WBA000000000084,iX,2024,Diesel,Mumbai,2019-11-28,15,88.94,245712,3,56.12,MEDIUM,High Mileage
BMW085,WBA000000000085,X5,2024,EV,Hyderabad,2021-09-22,10,79.6,234843,3,46.31,LOW,High Mileage
BMW086,WBA000000000086,X1,2020,Petrol,Mumbai,2023-04-11,14,84.63,242188,5,57.61,MEDIUM,High Mileage
BMW087,WBA000000000087,i7,2024,Diesel,Delhi,2021-04-12,29,80.28,233536,3,74.9,MEDIUM,Frequent Faults
BMW088,WBA000000000088,X1,2021,EV,Mumbai,2022-05-01,26,75.14,247564,4,71.93,MEDIUM,Frequent Faults
BMW089,WBA000000000089,i4,2023,Petrol,Hyderabad,2021-11-28,22,75.91,247949,11,80.1,HIGH,Frequent Maintenance
BMW090,WBA000000000090,iX,2024,Diesel,Bangalore,2020-10-23,25,80.66,208641,5,71.98,MEDIUM,Temperature Trend
BMW091,WBA000000000091,i4,2020,Petrol,Hyderabad,2021-10-20,22,76.17,236133,9,75.68,HIGH,Frequent Maintenance
BMW092,WBA000000000092,X1,2023,EV,Hyderabad,2022-06-04,20,80.36,241927,4,63.75,MEDIUM,High Mileage
BMW093,WBA000000000093,i7,2019,Diesel,Bangalore,2023-03-07,21,85.24,246848,6,70.42,MEDIUM,High Mileage
BMW094,WBA000000000094,X1,2025,Diesel,Chennai,2024-05-17,24,85.3,234254,8,78.43,HIGH,High Mileage
BMW095,WBA000000000095,i7,2025,EV,Hyderabad,2023-08-09,36,77.98,245435,4,87.41,HIGH,Frequent Faults
BMW096,WBA000000000096,i7,2023,EV,Mumbai,2022-06-10,28,83.41,240737,6,80.31,HIGH,Frequent Faults
BMW097,WBA000000000097,X3,2021,Diesel,Hyderabad,2022-07-11,19,80.79,227392,4,61.75,MEDIUM,High Mileage
BMW098,WBA000000000098,i7,2019,Diesel,Chennai,2024-12-25,20,76.68,244056,8,71.1,MEDIUM,High Mileage
BMW099,WBA000000000099,X5,2024,EV,Bangalore,2024-10-26,22,78.5,240668,5,68.33,MEDIUM,High Mileage
BMW100,WBA000000000100,X3,2020,Petrol,Mumbai,2024-06-22,17,84.72,245241,3,58.25,MEDIUM,High Mileage
BMW101,WBA000000000101,X5,2024,EV,Mumbai,2020-11-20,28,79.21,249145,8,83.81,HIGH,Frequent Faults
BMW102,WBA000000000102,X3,2019,EV,Hyderabad,2021-01-20,23,79.61,248694,7,74.37,MEDIUM,High Mileage
BMW103,WBA000000000103,iX,2021,Petrol,Delhi,2022-03-29,17,85.58,236274,3,58.07,MEDIUM,High Mileage
BMW104,WBA000000000104,iX,2022,Diesel,Hyderabad,2022-11-16,21,78.15,247860,6,69.04,MEDIUM,High Mileage
BMW105,WBA000000000105,X1,2022,Petrol,Bangalore,2023-05-22,18,81.7,244034,4,61.1,MEDIUM,High Mileage
BMW106,WBA000000000106,iX,2022,Petrol,Hyderabad,2021-05-29,22,81.96,244239,7,73.16,MEDIUM,High Mileage
BMW107,WBA000000000107,i7,2022,EV,Bangalore,2024-11-14,15,77.05,243129,0,47.64,LOW,High Mileage
BMW108,WBA000000000108,X3,2021,Diesel,Mumbai,2020-08-19,25,80.76,246579,5,73.52,MEDIUM,High Mileage
BMW109,WBA000000000109,i4,2021,Diesel,Mumbai,2023-04-16,33,81.44,246955,10,95.67,HIGH,Frequent Faults
BMW110,WBA000000000110,i4,2021,Diesel,Mumbai,2021-01-15,22,83.35,247051,3,65.55,MEDIUM,High Mileage
BMW111,WBA000000000111,i7,2023,Diesel,Chennai,2023-10-18,27,75.38,240613,6,77.2,HIGH,Frequent Faults
BMW112,WBA000000000112,X1,2025,Petrol,Bangalore,2020-11-18,17,83.72,226049,6,63.29,MEDIUM,High Mileage
BMW113,WBA000000000113,i7,2022,Petrol,Mumbai,2024-07-08,31,81.28,245967,5,82.59,HIGH,Frequent Faults
BMW114,WBA000000000114,X3,2021,EV,Bangalore,2024-09-17,21,77.74,245399,6,68.86,MEDIUM,High Mileage
BMW115,WBA000000000115,X1,2022,EV,Bangalore,2024-12-15,21,83.27,236759,3,63.62,MEDIUM,High Mileage
BMW116,WBA000000000116,X5,2020,Petrol,Bangalore,2023-04-08,21,85.48,248023,4,66.52,MEDIUM,High Mileage
BMW117,WBA000000000117,iX,2021,EV,Hyderabad,2021-08-23,24,73.22,232149,3,65.93,MEDIUM,High Mileage
BMW118,WBA000000000118,iX,2020,Diesel,Mumbai,2025-04-04,22,74.67,244462,4,65.71,MEDIUM,High Mileage
BMW119,WBA000000000119,X1,2025,Petrol,Delhi,2022-09-27,21,77.85,249307,7,71.04,MEDIUM,High Mileage
BMW120,WBA000000000120,X1,2021,EV,Chennai,2020-03-03,31,81.83,244156,10,92.63,HIGH,Frequent Faults
BMW121,WBA000000000121,i4,2019,EV,Delhi,2020-01-05,19,79.5,238496,4,61.94,MEDIUM,High Mileage
BMW122,WBA000000000122,iX,2022,Diesel,Bangalore,2021-03-10,20,75.61,236238,6,66.57,MEDIUM,High Mileage
BMW123,WBA000000000123,i7,2020,Petrol,Chennai,2025-01-17,22,75.1,242981,2,61.74,MEDIUM,High Mileage
BMW124,WBA000000000124,X5,2021,Petrol,Bangalore,2020-06-23,13,83.0,203066,5,54.22,MEDIUM,Temperature Trend
BMW125,WBA000000000125,X1,2020,EV,Delhi,2024-02-01,11,79.57,211454,7,54.87,MEDIUM,Temperature Trend
BMW126,WBA000000000126,X3,2021,EV,Mumbai,2022-10-09,16,80.86,222875,3,55.09,MEDIUM,High Mileage
BMW127,WBA000000000127,X3,2022,Diesel,Mumbai,2021-11-04,16,72.1,248888,9,66.38,MEDIUM,Frequent Maintenance
BMW128,WBA000000000128,i7,2022,EV,Mumbai,2021-10-12,25,82.2,247264,3,69.83,MEDIUM,High Mileage
BMW129,WBA000000000129,iX,2025,Diesel,Mumbai,2020-12-16,12,84.25,242695,5,54.56,MEDIUM,High Mileage
BMW130,WBA000000000130,X3,2019,Diesel,Chennai,2021-10-22,25,82.24,242029,3,69.63,MEDIUM,High Mileage
BMW131,WBA000000000131,i7,2025,Diesel,Mumbai,2021-10-15,14,75.33,227784,4,53.18,MEDIUM,High Mileage
BMW132,WBA000000000132,X5,2020,Diesel,Chennai,2024-10-07,23,80.7,241867,7,74.31,MEDIUM,High Mileage
BMW133,WBA000000000133,X1,2021,EV,Bangalore,2022-05-07,33,79.55,245927,2,79.25,HIGH,Frequent Faults
BMW134,WBA000000000134,X1,2020,EV,Chennai,2024-01-22,22,78.82,222454,6,69.66,MEDIUM,High Mileage
BMW135,WBA000000000135,X1,2025,Diesel,Mumbai,2021-01-27,23,76.65,232118,4,67.11,MEDIUM,High Mileage
BMW136,WBA000000000136,iX,2023,Diesel,Bangalore,2020-06-26,25,85.0,243139,4,72.23,MEDIUM,High Mileage
BMW137,WBA000000000137,X3,2025,Petrol,Chennai,2021-02-11,17,80.35,234312,6,62.94,MEDIUM,High Mileage
BMW138,WBA000000000138,iX,2022,Diesel,Hyderabad,2021-09-11,16,82.3,233085,7,63.78,MEDIUM,High Mileage
BMW139,WBA000000000139,X3,2019,Petrol,Mumbai,2024-09-11,23,88.13,241814,3,67.8,MEDIUM,High Mileage
BMW140,WBA000000000140,i4,2025,EV,Hyderabad,2023-07-18,21,82.85,247220,0,57.96,MEDIUM,High Mileage
BMW141,WBA000000000141,iX,2024,Petrol,Delhi,2022-01-20,18,80.22,235398,4,60.46,MEDIUM,High Mileage
BMW142,WBA000000000142,i7,2020,Petrol,Bangalore,2021-06-17,24,79.41,243533,6,73.62,MEDIUM,High Mileage
BMW143,WBA000000000143,X3,2021,Petrol,Chennai,2023-05-06,16,77.3,239084,5,59.02,MEDIUM,High Mileage
BMW144,WBA000000000144,i7,2023,Diesel,Delhi,2022-03-13,23,76.04,246868,5,69.58,MEDIUM,High Mileage
BMW145,WBA000000000145,X5,2021,Petrol,Mumbai,2020-07-10,28,80.73,247491,6,80.05,HIGH,Frequent Faults
BMW146,WBA000000000146,i7,2020,Petrol,Mumbai,2025-01-08,22,82.21,246178,6,71.29,MEDIUM,High Mileage
BMW147,WBA000000000147,i4,2019,Diesel,Chennai,2022-04-03,24,79.96,247811,4,69.9,MEDIUM,High Mileage
BMW148,WBA000000000148,X1,2020,EV,Hyderabad,2022-05-18,21,83.23,246171,3,63.99,MEDIUM,High Mileage
BMW149,WBA000000000149,i7,2023,Diesel,Bangalore,2021-09-26,20,86.36,233691,4,64.62,MEDIUM,High Mileage
BMW150,WBA000000000150,iX,2020,Diesel,Chennai,2023-10-03,17,77.95,247963,6,63.01,MEDIUM,High Mileage
BMW151,WBA000000000151,i7,2023,EV,Bangalore,2023-03-22,17,89.05,240747,8,68.94,MEDIUM,High Mileage
BMW152,WBA000000000152,X5,2024,EV,Hyderabad,2025-04-06,15,84.39,249055,4,57.34,MEDIUM,High Mileage
BMW153,WBA000000000153,iX,2020,Diesel,Hyderabad,2023-09-27,22,78.5,245715,5,68.53,MEDIUM,High Mileage
BMW154,WBA000000000154,X5,2024,EV,Mumbai,2024-10-24,25,74.33,248002,7,76.29,HIGH,High Mileage
BMW155,WBA000000000155,i4,2025,Diesel,Delhi,2022-11-07,14,89.0,221662,6,59.67,MEDIUM,High Mileage
BMW156,WBA000000000156,X1,2019,Diesel,Chennai,2022-04-12,23,75.35,248926,10,79.53,HIGH,Frequent Maintenance
BMW157,WBA000000000157,i7,2023,Diesel,Delhi,2022-11-18,20,83.43,248790,12,80.64,HIGH,Frequent Maintenance
BMW158,WBA000000000158,i7,2025,EV,Delhi,2022-02-13,23,76.96,233433,3,65.23,MEDIUM,High Mileage
BMW159,WBA000000000159,i7,2024,Petrol,Chennai,2023-06-25,19,76.92,247171,5,63.77,MEDIUM,High Mileage
BMW160,WBA000000000160,iX,2024,Petrol,Bangalore,2022-02-01,15,80.83,245878,3,54.5,MEDIUM,High Mileage
BMW161,WBA000000000161,X3,2023,Diesel,Hyderabad,2022-05-20,21,77.96,225296,4,64.1,MEDIUM,High Mileage
BMW162,WBA000000000162,iX,2024,Petrol,Delhi,2024-11-23,26,77.17,246626,7,78.3,HIGH,Frequent Faults
BMW163,WBA000000000163,X1,2024,EV,Bangalore,2022-02-14,20,83.91,233497,6,68.12,MEDIUM,High Mileage
BMW164,WBA000000000164,X5,2025,Diesel,Bangalore,2021-10-21,22,82.68,246134,7,73.38,MEDIUM,High Mileage
BMW165,WBA000000000165,X1,2019,Petrol,Delhi,2020-11-29,21,70.15,242434,5,65.23,MEDIUM,High Mileage
BMW166,WBA000000000166,i4,2025,Petrol,Hyderabad,2023-11-06,28,78.12,249894,0,67.62,MEDIUM,Frequent Faults
BMW167,WBA000000000167,X5,2022,Diesel,Bangalore,2020-08-18,32,79.31,248042,3,79.78,HIGH,Frequent Faults
BMW168,WBA000000000168,i7,2025,Petrol,Chennai,2022-09-08,22,79.44,221016,7,71.73,MEDIUM,High Mileage
BMW169,WBA000000000169,iX,2022,Petrol,Delhi,2023-08-26,19,84.56,248785,5,65.36,MEDIUM,High Mileage
BMW170,WBA000000000170,i4,2023,Diesel,Mumbai,2022-04-06,20,89.86,232518,7,71.27,MEDIUM,High Mileage
BMW171,WBA000000000171,X1,2022,Diesel,Chennai,2022-01-10,22,81.63,247438,4,67.22,MEDIUM,High Mileage
BMW172,WBA000000000172,X3,2019,Petrol,Bangalore,2019-12-07,18,83.71,235306,3,59.15,MEDIUM,High Mileage
BMW173,WBA000000000173,iX,2025,Petrol,Bangalore,2022-06-12,31,79.33,237154,4,79.85,HIGH,Frequent Faults
BMW174,WBA000000000174,iX,2025,Petrol,Chennai,2022-04-21,22,78.28,249430,7,72.63,MEDIUM,High Mileage
BMW175,WBA000000000175,X1,2021,EV,Hyderabad,2022-08-31,13,81.27,245571,8,61.58,MEDIUM,High Mileage
BMW176,WBA000000000176,i7,2024,EV,Bangalore,2025-04-04,12,72.69,241739,4,50.21,MEDIUM,High Mileage
BMW177,WBA000000000177,iX,2024,Diesel,Mumbai,2024-03-02,23,75.93,247995,0,59.61,MEDIUM,High Mileage
BMW178,WBA000000000178,i7,2025,Petrol,Mumbai,2025-01-25,19,78.35,235003,2,57.57,MEDIUM,High Mileage
BMW179,WBA000000000179,X5,2021,Diesel,Mumbai,2022-02-16,21,84.87,243249,3,64.2,MEDIUM,High Mileage
BMW180,WBA000000000180,X3,2025,Diesel,Delhi,2019-12-13,24,79.04,203004,3,65.93,MEDIUM,Temperature Trend
BMW181,WBA000000000181,X5,2021,EV,Bangalore,2021-12-07,30,79.76,244348,7,84.73,HIGH,Frequent Faults
BMW182,WBA000000000182,i7,2021,Petrol,Bangalore,2022-11-13,17,76.0,234707,6,62.09,MEDIUM,High Mileage
BMW183,WBA000000000183,X3,2022,Petrol,Hyderabad,2020-04-13,13,78.88,221441,3,50.13,MEDIUM,High Mileage
BMW184,WBA000000000184,X5,2024,EV,Chennai,2021-11-22,23,71.88,226732,4,65.95,MEDIUM,High Mileage
BMW185,WBA000000000185,X5,2025,Diesel,Bangalore,2021-07-02,19,77.05,219941,10,72.71,MEDIUM,Frequent Maintenance
BMW186,WBA000000000186,X1,2024,Petrol,Bangalore,2020-07-10,16,75.63,244596,5,58.91,MEDIUM,High Mileage
BMW187,WBA000000000187,X1,2024,EV,Hyderabad,2022-03-19,21,78.48,242944,5,66.91,MEDIUM,High Mileage
BMW188,WBA000000000188,X3,2024,EV,Mumbai,2022-08-15,20,82.59,241260,4,64.17,MEDIUM,High Mileage
BMW189,WBA000000000189,i7,2020,Petrol,Bangalore,2023-11-05,21,89.16,233164,4,66.66,MEDIUM,High Mileage
BMW190,WBA000000000190,X1,2025,EV,Bangalore,2023-11-19,18,72.33,248890,2,55.42,MEDIUM,High Mileage
BMW191,WBA000000000191,i4,2022,EV,Delhi,2022-11-08,16,78.62,226135,6,60.77,MEDIUM,High Mileage
BMW192,WBA000000000192,i4,2025,Petrol,Mumbai,2023-12-10,25,81.66,240695,3,69.46,MEDIUM,High Mileage
BMW193,WBA000000000193,X3,2025,Diesel,Delhi,2024-12-05,20,78.87,242234,3,61.46,MEDIUM,High Mileage
BMW194,WBA000000000194,i4,2023,Diesel,Delhi,2021-08-04,23,78.45,246229,4,68.04,MEDIUM,High Mileage
BMW195,WBA000000000195,X3,2022,Diesel,Hyderabad,2023-08-29,14,86.68,249194,3,54.3,MEDIUM,High Mileage
BMW196,WBA000000000196,X1,2019,Diesel,Bangalore,2020-09-29,17,76.6,236744,5,60.29,MEDIUM,High Mileage
BMW197,WBA000000000197,X3,2019,Petrol,Mumbai,2023-03-18,16,82.0,231418,7,63.66,MEDIUM,High Mileage
BMW198,WBA000000000198,i7,2023,Diesel,Bangalore,2023-06-11,19,77.65,234227,8,69.4,MEDIUM,High Mileage
BMW199,WBA000000000199,X3,2020,Petrol,Delhi,2021-11-01,22,81.54,249175,5,69.28,MEDIUM,High Mileage
BMW200,WBA000000000200,X1,2024,Diesel,Delhi,2024-06-12,22,80.4,225675,5,68.11,MEDIUM,High Mileage
