vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date
BMW032,WBA000000000032,i4,2021,Diesel,Mumbai,2023-09-15
BMW033,WBA000000000033,X1,2020,Diesel,Chennai,2021-11-19
BMW034,WBA000000000034,i7,2021,Diesel,Bangalore,2023-12-02
BMW035,WBA000000000035,i7,2023,Diesel,Hyderabad,2024-12-09
BMW036,WBA000000000036,i7,2020,Petrol,Chennai,2022-01-17
BMW037,WBA000000000037,X1,2022,Petrol,Chennai,2021-07-31
BMW038,WBA000000000038,X3,2021,Diesel,Bangalore,2025-01-07
BMW039,WBA000000000039,X3,2023,EV,Mumbai,2020-11-14
BMW040,WBA000000000040,X3,2024,Petrol,Bangalore,2020-01-28
BMW041,WBA000000000041,X1,2019,Diesel,Delhi,2024-09-19
BMW042,WBA000000000042,X5,2019,Petrol,Delhi,2020-02-22
BMW043,WBA000000000043,X5,2024,EV,Bangalore,2020-08-02
BMW044,WBA000000000044,X3,2025,EV,Chennai,2024-02-25
BMW045,WBA000000000045,i4,2020,Diesel,Bangalore,2023-02-22
BMW046,WBA000000000046,X1,2021,Diesel,Hyderabad,2022-03-05
BMW047,WBA000000000047,i4,2022,Diesel,Hyderabad,2021-12-25
BMW048,WBA000000000048,i7,2025,Diesel,Chennai,2023-02-17
BMW049,WBA000000000049,X5,2024,Diesel,Bangalore,2021-12-22
BMW050,WBA000000000050,i4,2023,Diesel,Bangalore,2020-03-08
BMW051,WBA000000000051,X5,2025,Petrol,Bangalore,2020-06-30
BMW052,WBA000000000052,X3,2019,Petrol,Hyderabad,2025-01-21
BMW053,WBA000000000053,X1,2025,EV,Chennai,2022-10-30
BMW054,WBA000000000054,X5,2020,EV,Chennai,2024-10-30
BMW055,WBA000000000055,X5,2025,EV,Chennai,2024-10-26
BMW056,WBA000000000056,X3,2024,EV,Delhi,2020-09-03
BMW057,WBA000000000057,i4,2023,Petrol,Chennai,2020-12-08
BMW058,WBA000000000058,i7,2020,EV,Chennai,2025-02-19
BMW059,WBA000000000059,X1,2019,EV,Chennai,2023-03-05
BMW060,WBA000000000060,X3,2024,EV,Mumbai,2021-01-03
BMW061,WBA000000000061,i7,2021,EV,Bangalore,2023-12-02
BMW062,WBA000000000062,i4,2022,EV,Hyderabad,2024-02-29
BMW063,WBA000000000063,i7,2021,Petrol,Bangalore,2022-08-23
BMW064,WBA000000000064,X1,2021,Diesel,Bangalore,2020-07-14
BMW065,WBA000000000065,X3,2020,EV,Bangalore,2021-04-18
BMW066,WBA000000000066,iX,2021,Diesel,Hyderabad,2024-01-25
BMW067,WBA000000000067,i4,2025,EV,Mumbai,2022-03-24
BMW068,WBA000000000068,i4,2019,Petrol,Mumbai,2022-04-07
BMW069,WBA000000000069,X1,2025,EV,Hyderabad,2020-01-12
BMW070,WBA000000000070,i7,2025,Petrol,Mumbai,2021-04-15
BMW071,WBA000000000071,iX,2020,Diesel,Mumbai,2022-01-19
BMW072,WBA000000000072,X1,2025,Petrol,Mumbai,2022-01-31
BMW073,WBA000000000073,i7,2025,EV,Mumbai,2023-08-06
BMW074,WBA000000000074,X1,2021,EV,Delhi,2024-05-03
BMW075,WBA000000000075,iX,2020,Petrol,Mumbai,2023-06-08
BMW076,WBA000000000076,X5,2022,EV,Bangalore,2020-02-05
BMW077,WBA000000000077,i7,2020,Diesel,Bangalore,2024-06-25
BMW078,WBA000000000078,i4,2024,Petrol,Delhi,2019-12-01
BMW079,WBA000000000079,X5,2024,Petrol,Mumbai,2024-04-19
BMW080,WBA000000000080,X5,2025,Petrol,Mumbai,2022-06-25
BMW081,WBA000000000081,X5,2022,Diesel,Hyderabad,2023-05-25
BMW082,WBA000000000082,X5,2019,Petrol,Bangalore,2022-11-04
BMW083,WBA000000000083,X3,2019,EV,Hyderabad,2023-01-03
BMW084,WBA000000000084,iX,2024,Diesel,Mumbai,2019-11-28
BMW085,WBA000000000085,X5,2024,EV,Hyderabad,2021-09-22
BMW086,WBA000000000086,X1,2020,Petrol,Mumbai,2023-04-11
BMW087,WBA000000000087,i7,2024,Diesel,Delhi,2021-04-12
BMW088,WBA000000000088,X1,2021,EV,Mumbai,2022-05-01
BMW089,WBA000000000089,i4,2023,Petrol,Hyderabad,2021-11-28
BMW090,WBA000000000090,iX,2024,Diesel,Bangalore,2020-10-23
BMW091,WBA000000000091,i4,2020,Petrol,Hyderabad,2021-10-20
BMW092,WBA000000000092,X1,2023,EV,Hyderabad,2022-06-04
BMW093,WBA000000000093,i7,2019,Diesel,Bangalore,2023-03-07
BMW094,WBA000000000094,X1,2025,Diesel,Chennai,2024-05-17
BMW095,WBA000000000095,i7,2025,EV,Hyderabad,2023-08-09
BMW096,WBA000000000096,i7,2023,EV,Mumbai,2022-06-10
BMW097,WBA000000000097,X3,2021,Diesel,Hyderabad,2022-07-11
BMW098,WBA000000000098,i7,2019,Diesel,Chennai,2024-12-25
BMW099,WBA000000000099,X5,2024,EV,Bangalore,2024-10-26
BMW100,WBA000000000100,X3,2020,Petrol,Mumbai,2024-06-22
BMW101,WBA000000000101,X5,2024,EV,Mumbai,2020-11-20
BMW102,WBA000000000102,X3,2019,EV,Hyderabad,2021-01-20
BMW103,WBA000000000103,iX,2021,Petrol,Delhi,2022-03-29
BMW104,WBA000000000104,iX,2022,Diesel,Hyderabad,2022-11-16
BMW105,WBA000000000105,X1,2022,Petrol,Bangalore,2023-05-22
BMW106,WBA000000000106,iX,2022,Petrol,Hyderabad,2021-05-29
BMW107,WBA000000000107,i7,2022,EV,Bangalore,2024-11-14
BMW108,WBA000000000108,X3,2021,Diesel,Mumbai,2020-08-19
BMW109,WBA000000000109,i4,2021,Diesel,Mumbai,2023-04-16
BMW110,WBA000000000110,i4,2021,Diesel,Mumbai,2021-01-15
BMW111,WBA000000000111,i7,2023,Diesel,Chennai,2023-10-18
BMW112,WBA000000000112,X1,2025,Petrol,Bangalore,2020-11-18
BMW113,WBA000000000113,i7,2022,Petrol,Mumbai,2024-07-08
BMW114,WBA000000000114,X3,2021,EV,Bangalore,2024-09-17
BMW115,WBA000000000115,X1,2022,EV,Bangalore,2024-12-15
BMW116,WBA000000000116,X5,2020,Petrol,Bangalore,2023-04-08
BMW117,WBA000000000117,iX,2021,EV,Hyderabad,2021-08-23
BMW118,WBA000000000118,iX,2020,Diesel,Mumbai,2025-04-04
BMW119,WBA000000000119,X1,2025,Petrol,Delhi,2022-09-27
BMW120,WBA000000000120,X1,2021,EV,Chennai,2020-03-03
BMW121,WBA000000000121,i4,2019,EV,Delhi,2020-01-05
BMW122,WBA000000000122,iX,2022,Diesel,Bangalore,2021-03-10
BMW123,WBA000000000123,i7,2020,Petrol,Chennai,2025-01-17
BMW124,WBA000000000124,X5,2021,Petrol,Bangalore,2020-06-23
BMW125,WBA000000000125,X1,2020,EV,Delhi,2024-02-01
BMW126,WBA000000000126,X3,2021,EV,Mumbai,2022-10-09
BMW127,WBA000000000127,X3,2022,Diesel,Mumbai,2021-11-04
BMW128,WBA000000000128,i7,2022,EV,Mumbai,2021-10-12
BMW129,WBA000000000129,iX,2025,Diesel,Mumbai,2020-12-16
BMW130,WBA000000000130,X3,2019,Diesel,Chennai,2021-10-22
BMW131,WBA000000000131,i7,2025,Diesel,Mumbai,2021-10-15
BMW132,WBA000000000132,X5,2020,Diesel,Chennai,2024-10-07
BMW133,WBA000000000133,X1,2021,EV,Bangalore,2022-05-07
BMW134,WBA000000000134,X1,2020,EV,Chennai,2024-01-22
BMW135,WBA000000000135,X1,2025,Diesel,Mumbai,2021-01-27
BMW136,WBA000000000136,iX,2023,Diesel,Bangalore,2020-06-26
BMW137,WBA000000000137,X3,2025,Petrol,Chennai,2021-02-11
BMW138,WBA000000000138,iX,2022,Diesel,Hyderabad,2021-09-11
BMW139,WBA000000000139,X3,2019,Petrol,Mumbai,2024-09-11
BMW140,WBA000000000140,i4,2025,EV,Hyderabad,2023-07-18
BMW141,WBA000000000141,iX,2024,Petrol,Delhi,2022-01-20
BMW142,WBA000000000142,i7,2020,Petrol,Bangalore,2021-06-17
BMW143,WBA000000000143,X3,2021,Petrol,Chennai,2023-05-06
BMW144,WBA000000000144,i7,2023,Diesel,Delhi,2022-03-13
BMW145,WBA000000000145,X5,2021,Petrol,Mumbai,2020-07-10
BMW146,WBA000000000146,i7,2020,Petrol,Mumbai,2025-01-08
BMW147,WBA000000000147,i4,2019,Diesel,Chennai,2022-04-03
BMW148,WBA000000000148,X1,2020,EV,Hyderabad,2022-05-18
BMW149,WBA000000000149,i7,2023,Diesel,Bangalore,2021-09-26
BMW150,WBA000000000150,iX,2020,Diesel,Chennai,2023-10-03
BMW151,WBA000000000151,i7,2023,EV,Bangalore,2023-03-22
BMW152,WBA000000000152,X5,2024,EV,Hyderabad,2025-04-06
BMW153,WBA000000000153,iX,2020,Diesel,Hyderabad,2023-09-27
BMW154,WBA000000000154,X5,2024,EV,Mumbai,2024-10-24
BMW155,WBA000000000155,i4,2025,Diesel,Delhi,2022-11-07
BMW156,WBA000000000156,X1,2019,Diesel,Chennai,2022-04-12
BMW157,WBA000000000157,i7,2023,Diesel,Delhi,2022-11-18
BMW158,WBA000000000158,i7,2025,EV,Delhi,2022-02-13
BMW159,WBA000000000159,i7,2024,Petrol,Chennai,2023-06-25
BMW160,WBA000000000160,iX,2024,Petrol,Bangalore,2022-02-01
BMW161,WBA000000000161,X3,2023,Diesel,Hyderabad,2022-05-20
BMW162,WBA000000000162,iX,2024,Petrol,Delhi,2024-11-23
BMW163,WBA000000000163,X1,2024,EV,Bangalore,2022-02-14
BMW164,WBA000000000164,X5,2025,Diesel,Bangalore,2021-10-21
BMW165,WBA000000000165,X1,2019,Petrol,Delhi,2020-11-29
BMW166,WBA000000000166,i4,2025,Petrol,Hyderabad,2023-11-06
BMW167,WBA000000000167,X5,2022,Diesel,Bangalore,2020-08-18
BMW168,WBA000000000168,i7,2025,Petrol,Chennai,2022-09-08
BMW169,WBA000000000169,iX,2022,Petrol,Delhi,2023-08-26
BMW170,WBA000000000170,i4,2023,Diesel,Mumbai,2022-04-06
BMW171,WBA000000000171,X1,2022,Diesel,Chennai,2022-01-10
BMW172,WBA000000000172,X3,2019,Petrol,Bangalore,2019-12-07
BMW173,WBA000000000173,iX,2025,Petrol,Bangalore,2022-06-12
BMW174,WBA000000000174,iX,2025,Petrol,Chennai,2022-04-21
BMW175,WBA000000000175,X1,2021,EV,Hyderabad,2022-08-31
BMW176,WBA000000000176,i7,2024,EV,Bangalore,2025-04-04
BMW177,WBA000000000177,iX,2024,Diesel,Mumbai,2024-03-02
BMW178,WBA000000000178,i7,2025,Petrol,Mumbai,2025-01-25
BMW179,WBA000000000179,X5,2021,Diesel,Mumbai,2022-02-16
BMW180,WBA000000000180,X3,2025,Diesel,Delhi,2019-12-13
BMW181,WBA000000000181,X5,2021,EV,Bangalore,2021-12-07
BMW182,WBA000000000182,i7,2021,Petrol,Bangalore,2022-11-13
BMW183,WBA000000000183,X3,2022,Petrol,Hyderabad,2020-04-13
BMW184,WBA000000000184,X5,2024,EV,Chennai,2021-11-22
BMW185,WBA000000000185,X5,2025,Diesel,Bangalore,2021-07-02
BMW186,WBA000000000186,X1,2024,Petrol,Bangalore,2020-07-10
BMW187,WBA000000000187,X1,2024,EV,Hyderabad,2022-03-19
BMW188,WBA000000000188,X3,2024,EV,Mumbai,2022-08-15
BMW189,WBA000000000189,i7,2020,Petrol,Bangalore,2023-11-05
BMW190,WBA000000000190,X1,2025,EV,Bangalore,2023-11-19
BMW191,WBA000000000191,i4,2022,EV,Delhi,2022-11-08
BMW192,WBA000000000192,i4,2025,Petrol,Mumbai,2023-12-10
BMW193,WBA000000000193,X3,2025,Diesel,Delhi,2024-12-05
BMW194,WBA000000000194,i4,2023,Diesel,Delhi,2021-08-04
BMW195,WBA000000000195,X3,2022,Diesel,Hyderabad,2023-08-29
BMW196,WBA000000000196,X1,2019,Diesel,Bangalore,2020-09-29
BMW197,WBA000000000197,X3,2019,Petrol,Mumbai,2023-03-18
BMW198,WBA000000000198,i7,2023,Diesel,Bangalore,2023-06-11
BMW199,WBA000000000199,X3,2020,Petrol,Delhi,2021-11-01
BMW200,WBA000000000200,X1,2024,Diesel,Delhi,2024-06-12
