event_id,vehicle_id,timestamp,speed,battery_level,temperature,odometer,fault_code
EVT00057,BMW146,2026-05-22 12:08:27.753124,6,40,63,165885,F004
EVT00058,BMW142,2026-07-10 18:08:27.753133,141,94,96,190632,F002
EVT00059,BMW144,2026-03-09 02:08:27.753143,5,30,95,114378,F001
EVT00060,BMW143,2026-08-01 09:08:27.753151,30,31,69,110462,F005
EVT00061,BMW051,2026-05-08 23:08:27.753160,135,25,100,90219,F005
EVT00062,BMW013,2026-04-12 19:08:27.753169,78,23,58,37173,F004
EVT00063,BMW197,2026-07-28 10:08:27.753178,76,42,101,58678,F004
EVT00064,BMW042,2026-06-13 15:08:27.753187,4,53,68,110939,
EVT00065,BMW049,2026-03-12 14:08:27.753196,20,26,100,173097,
EVT00066,BMW062,2026-04-05 13:08:27.753206,28,11,58,187538,F002
EVT00067,BMW057,2026-08-08 05:08:27.753215,118,13,65,121484,F002
EVT00068,BMW081,2026-08-27 11:08:27.753224,144,34,88,156983,F005
EVT00069,BMW138,2026-04-13 02:08:27.753233,52,55,97,42626,F003
EVT00070,BMW119,2026-08-19 06:08:27.753242,93,78,86,23305,F001
EVT00071,BMW058,2026-09-01 09:08:27.753251,40,19,100,110892,
EVT00072,BMW026,2026-09-02 10:08:27.753260,69,29,89,244282,F002
EVT00073,BMW003,2026-06-10 03:08:27.753269,18,87,105,103528,F001
EVT00074,BMW145,2026-07-02 17:08:27.753277,0,94,78,73684,F005
EVT00075,BMW126,2026-08-18 15:08:27.753286,143,95,54,222875,
EVT00076,BMW151,2026-07-15 22:08:27.753295,106,55,110,102944,F005
EVT00077,BMW125,2026-05-20 18:08:27.753305,17,11,59,203663,F002
EVT00078,BMW063,2026-07-11 16:08:27.753315,123,78,70,71593,F003
EVT00079,BMW042,2026-08-28 08:08:27.753324,28,95,93,154073,F003
EVT00080,BMW198,2026-04-23 00:08:27.753333,107,43,66,44446,F002
EVT00081,BMW033,2026-07-04 08:08:27.753342,152,25,62,201314,F004
EVT00082,BMW120,2026-03-04 04:08:27.753351,149,72,103,189913,F003
EVT00083,BMW200,2026-08-17 05:08:27.753359,13,23,90,16192,F002
EVT00084,BMW154,2026-03-12 23:08:27.753368,159,71,105,87273,F003
EVT00085,BMW154,2026-08-30 20:08:27.753377,78,96,78,71380,F002
EVT00086,BMW155,2026-07-20 18:08:27.753386,47,84,101,77793,F001
EVT00087,BMW181,2026-04-08 04:08:27.753394,11,29,51,145197,F002
EVT00088,BMW072,2026-06-01 17:08:27.753403,0,47,82,42039,F005
EVT00089,BMW109,2026-08-21 23:08:27.753412,47,37,85,45832,F003
EVT00090,BMW153,2026-07-21 00:08:27.753420,51,64,94,245715,F001
EVT00091,BMW099,2026-09-12 21:08:27.753428,134,27,66,135652,F001
EVT00092,BMW187,2026-07-21 00:08:27.753438,166,88,82,162109,F001
EVT00093,BMW112,2026-03-06 04:08:27.753446,42,83,99,226049,F005
EVT00094,BMW164,2026-08-11 07:08:27.753457,148,62,80,218308,F001
EVT00095,BMW005,2026-07-05 09:08:27.753467,115,55,56,184100,F005
EVT00096,BMW111,2026-09-11 16:08:27.753476,37,86,105,32224,F001
EVT00097,BMW154,2026-04-29 16:08:27.753485,4,89,68,211210,F001
EVT00098,BMW052,2026-08-21 20:08:27.753494,117,18,104,28373,
EVT00099,BMW120,2026-03-19 18:08:27.753530,137,21,98,158691,F004
EVT00100,BMW180,2026-06-26 03:08:27.753539,68,37,70,101591,F004
EVT00101,BMW084,2026-04-29 12:08:27.753547,137,60,87,62535,F005
EVT00102,BMW181,2026-03-21 06:08:27.753556,88,26,80,62214,F002
EVT00103,BMW181,2026-06-08 06:08:27.753565,161,74,85,109091,F005
EVT00104,BMW020,2026-03-17 11:08:27.753574,103,50,59,81211,F003
EVT00105,BMW107,2026-04-13 05:08:27.753583,167,88,104,193872,
EVT00106,BMW105,2026-03-21 21:08:27.753591,31,39,54,242765,F004
EVT00107,BMW179,2026-08-26 01:08:27.753600,123,46,74,189671,F004
EVT00108,BMW095,2026-03-21 13:08:27.753609,152,56,71,192598,F003
EVT00109,BMW165,2026-09-09 12:08:27.753618,50,90,73,90031,F004
EVT00110,BMW158,2026-06-12 18:08:27.753627,78,91,86,170605,F003
EVT00111,BMW192,2026-04-11 13:08:27.753636,107,93,102,202049,F002
EVT00112,BMW194,2026-03-30 01:08:27.753644,104,85,97,133699,
EVT00113,BMW007,2026-05-24 11:08:27.753653,24,33,80,249464,F001
EVT00114,BMW160,2026-05-19 12:08:27.753662,13,52,97,72231,F004
EVT00115,BMW028,2026-08-17 10:08:27.753671,19,54,98,183130,F004
EVT00116,BMW096,2026-05-29 09:08:27.753679,161,30,67,75077,F004
EVT00117,BMW171,2026-03-13 10:08:27.753688,42,40,70,43047,
EVT00118,BMW149,2026-07-01 08:08:27.753696,151,24,56,132539,F004
EVT00119,BMW189,2026-09-01 03:08:27.753704,139,91,100,98877,F003
EVT00120,BMW093,2026-04-16 05:08:27.753713,110,78,80,105072,F001
EVT00121,BMW028,2026-04-14 07:08:27.753722,131,68,100,129295,
EVT00122,BMW020,2026-08-16 06:08:27.753730,96,92,77,214192,F005
EVT00123,BMW035,2026-06-18 07:08:27.753738,82,32,51,85516,
EVT00124,BMW130,2026-04-07 19:08:27.753747,106,31,78,61324,F005
EVT00125,BMW184,2026-03-25 10:08:27.753757,57,17,54,99012,F004
EVT00126,BMW107,2026-09-13 03:08:27.753767,117,28,105,203880,
EVT00127,BMW068,2026-05-29 17:08:27.753776,76,18,108,245497,
EVT00128,BMW040,2026-07-18 08:08:27.753785,36,57,70,20618,F004
EVT00129,BMW030,2026-09-07 11:08:27.753794,87,27,64,66839,F003
EVT00130,BMW200,2026-03-14 01:08:27.753804,166,36,73,189443,F001
EVT00131,BMW126,2026-04-11 04:08:27.753813,5,22,83,117720,F002
EVT00132,BMW188,2026-05-09 02:08:27.753822,124,37,108,18615,F005
EVT00133,BMW190,2026-04-04 23:08:27.753831,85,19,87,62841,
EVT00134,BMW171,2026-08-29 10:08:27.753841,42,62,67,92396,F002
EVT00135,BMW154,2026-03-27 12:08:27.753851,90,56,56,129391,F001
EVT00136,BMW190,2026-04-06 05:08:27.753860,177,91,83,111914,F003
EVT00137,BMW073,2026-06-08 19:08:27.753869,117,37,68,127305,F001
EVT00138,BMW098,2026-02-26 15:08:27.753878,63,39,110,93764,F005
EVT00139,BMW109,2026-06-13 23:08:27.753887,30,28,78,84455,F003
EVT00140,BMW187,2026-08-03 01:08:27.753896,166,82,73,61089,F005
EVT00141,BMW036,2026-03-17 08:08:27.753906,117,35,76,40613,F003
EVT00142,BMW078,2026-03-23 04:08:27.753915,146,59,106,174410,F001
EVT00143,BMW183,2026-08-24 15:08:27.753924,72,13,102,39624,F004
EVT00144,BMW172,2026-07-06 03:08:27.753933,122,11,79,43846,F003
EVT00145,BMW091,2026-04-11 07:08:27.753943,20,28,69,120868,F004
EVT00146,BMW132,2026-03-14 12:08:27.753952,35,23,87,198500,F003
EVT00147,BMW129,2026-08-07 09:08:27.753961,83,87,106,188354,
EVT00148,BMW012,2026-09-02 00:08:27.753970,64,77,65,166305,F004
EVT00149,BMW026,2026-04-11 08:08:27.753979,178,34,77,34964,
EVT00150,BMW172,2026-07-05 06:08:27.753989,115,91,98,72175,F005
EVT00151,BMW092,2026-04-11 11:08:27.753998,77,96,110,103943,F004
EVT00152,BMW061,2026-07-24 23:08:27.754007,34,19,87,79119,
EVT00153,BMW181,2026-06-21 02:08:27.754022,154,85,74,223626,F001
EVT00154,BMW111,2026-07-25 21:08:27.754031,153,73,98,240613,F002
EVT00155,BMW099,2026-06-22 09:08:27.754040,170,96,55,164503,F004
EVT00156,BMW016,2026-05-17 21:08:27.754048,90,96,109,33158,F005
EVT00157,BMW094,2026-08-22 01:08:27.754057,138,96,108,180752,F003
EVT00158,BMW191,2026-04-04 19:08:27.754066,131,28,50,103011,F003
EVT00159,BMW123,2026-08-14 02:08:27.754075,169,12,86,167327,
EVT00160,BMW009,2026-05-15 13:08:27.754083,77,38,100,55292,
EVT00161,BMW040,2026-03-26 06:08:27.754092,26,54,91,83148,
EVT00162,BMW125,2026-06-13 06:08:27.754101,156,88,86,112074,F003
EVT00163,BMW132,2026-04-19 17:08:27.754110,43,31,89,83538,F001
EVT00164,BMW015,2026-07-29 01:08:27.754119,36,98,84,161106,F002
EVT00165,BMW044,2026-06-14 16:08:27.754128,64,55,79,111066,F003
EVT00166,BMW006,2026-04-02 16:08:27.754137,68,72,62,150515,F001
EVT00167,BMW177,2026-04-17 15:08:27.754146,47,87,65,186863,F002
EVT00168,BMW071,2026-06-17 15:08:27.754155,108,19,107,191545,F005
EVT00169,BMW039,2026-07-01 11:08:27.754164,27,67,82,31612,F002
EVT00170,BMW195,2026-04-27 15:08:27.754173,142,27,105,117093,F003
EVT00171,BMW109,2026-03-10 21:08:27.754182,159,77,110,202493,F001
EVT00172,BMW019,2026-08-28 16:08:27.754191,85,82,72,54918,F002
EVT00173,BMW119,2026-03-22 00:08:27.754203,51,51,77,209973,F004
EVT00174,BMW135,2026-08-20 11:08:27.754212,180,76,82,146229,F004
EVT00175,BMW123,2026-07-10 10:08:27.754221,109,97,86,43782,F004
EVT00176,BMW104,2026-03-16 02:08:27.754230,171,72,84,104888,F003
EVT00177,BMW052,2026-05-18 00:08:27.754239,168,11,80,245577,F005
EVT00178,BMW022,2026-06-29 05:08:27.754248,90,57,92,137855,F002
EVT00179,BMW177,2026-08-27 06:08:27.754256,49,97,53,79742,
EVT00180,BMW147,2026-03-23 12:08:27.754265,140,100,104,197170,F003
EVT00181,BMW184,2026-06-03 13:08:27.754273,55,68,72,125368,F004
EVT00182,BMW065,2026-03-14 07:08:27.754283,74,30,107,186924,
EVT00183,BMW063,2026-08-03 14:08:27.754291,175,13,69,203218,F004
EVT00184,BMW079,2026-08-03 13:08:27.754300,87,25,52,69670,
EVT00185,BMW001,2026-03-26 10:08:27.754309,143,40,105,215710,F001
EVT00186,BMW076,2026-05-27 23:08:27.754318,154,37,98,80029,F002
EVT00187,BMW089,2026-03-10 14:08:27.754327,3,11,62,93049,F001
EVT00188,BMW033,2026-05-22 00:08:27.754336,40,36,91,15239,F003
EVT00189,BMW166,2026-08-17 07:08:27.754345,149,10,69,10534,F003
EVT00190,BMW124,2026-06-28 18:08:27.754354,154,18,88,151060,F001
EVT00191,BMW197,2026-06-07 05:08:27.754363,139,74,109,128535,F001
EVT00192,BMW029,2026-06-14 23:08:27.754375,145,89,76,107621,
EVT00193,BMW004,2026-06-07 23:08:27.754385,107,15,68,220214,F004
EVT00194,BMW005,2026-08-08 11:08:27.754394,13,79,59,232382,
EVT00195,BMW033,2026-05-13 21:08:27.754403,36,94,108,108706,F003
EVT00196,BMW080,2026-02-28 14:08:27.754412,87,53,106,59976,
EVT00197,BMW143,2026-03-19 09:08:27.754421,1,64,66,60646,F004
EVT00198,BMW183,2026-09-14 09:08:27.754430,135,86,68,42703,F002
EVT00199,BMW038,2026-08-24 11:08:27.754439,23,91,93,162143,F001
EVT00200,BMW027,2026-06-05 14:08:27.754448,135,28,93,177250,F004
EVT00201,BMW087,2026-08-22 13:08:27.754458,39,69,60,118018,F001
EVT00202,BMW080,2026-05-07 00:08:27.754467,65,36,76,149687,F001
EVT00203,BMW158,2026-04-11 09:08:27.754476,73,58,101,49401,F005
EVT00204,BMW166,2026-06-28 16:08:27.754485,174,69,66,82724,F004
EVT00205,BMW129,2026-07-01 19:08:27.754494,44,99,67,150952,F004
EVT00206,BMW194,2026-07-10 19:08:27.754529,141,35,92,239924,F001
EVT00207,BMW015,2026-07-11 03:08:27.754539,162,95,76,52338,
EVT00208,BMW164,2026-09-04 09:08:27.754548,109,52,93,141200,
EVT00209,BMW145,2026-09-13 16:08:27.754557,27,91,60,201306,F002
EVT00210,BMW037,2026-05-05 07:08:27.754566,82,22,93,151406,F001
EVT00211,BMW177,2026-05-05 07:08:27.754575,45,72,106,135181,F001
EVT00212,BMW187,2026-08-17 03:08:27.754585,9,13,61,182707,F001
EVT00213,BMW160,2026-07-20 08:08:27.754594,111,29,106,212374,F001
EVT00214,BMW093,2026-08-28 12:08:27.754603,30,45,65,84332,F001
EVT00215,BMW062,2026-06-16 07:08:27.754612,74,48,51,43586,
EVT00216,BMW028,2026-06-22 01:08:27.754621,84,22,64,83088,F002
EVT00217,BMW161,2026-05-08 00:08:27.754631,43,14,82,138834,F004
EVT00218,BMW181,2026-04-05 08:08:27.754640,86,68,100,73492,F002
EVT00219,BMW159,2026-04-12 04:08:27.754649,111,51,88,68568,F002
EVT00220,BMW112,2026-04-28 20:08:27.754657,117,30,80,113610,
EVT00221,BMW174,2026-05-10 08:08:27.754667,85,87,84,246134,F002
EVT00222,BMW045,2026-04-22 07:08:27.754676,124,28,71,82543,F005
EVT00223,BMW111,2026-09-15 18:08:27.754686,143,32,68,62625,F003
EVT00224,BMW123,2026-08-01 01:08:27.754696,2,25,93,146338,F005
EVT00225,BMW149,2026-06-24 08:08:27.754705,154,51,106,96444,F005
EVT00226,BMW089,2026-06-22 07:08:27.754715,141,50,51,180503,F002
EVT00227,BMW086,2026-03-16 22:08:27.754724,175,42,110,240906,
EVT00228,BMW105,2026-07-20 03:08:27.754733,19,93,74,160332,F001
EVT00229,BMW084,2026-04-19 00:08:27.754743,148,52,55,169620,F001
EVT00230,BMW109,2026-05-04 19:08:27.754752,131,86,96,168576,F004
EVT00231,BMW121,2026-09-03 07:08:27.754761,14,22,71,93947,F002
EVT00232,BMW024,2026-03-09 12:08:27.754770,32,53,81,188952,F003
EVT00233,BMW088,2026-05-12 03:08:27.754780,86,12,76,149314,F002
EVT00234,BMW020,2026-03-06 02:08:27.754790,157,14,90,27744,
EVT00235,BMW091,2026-09-15 11:08:27.754799,108,25,52,75442,F004
EVT00236,BMW177,2026-03-21 08:08:27.754808,25,69,96,57419,F004
EVT00237,BMW053,2026-06-29 04:08:27.754818,110,58,83,48126,
EVT00238,BMW048,2026-03-09 14:08:27.754828,117,30,93,82072,F004
EVT00239,BMW168,2026-04-11 03:08:27.754837,152,95,110,39618,F002
EVT00240,BMW028,2026-07-09 19:08:27.754847,18,73,73,10977,F003
EVT00241,BMW018,2026-03-15 04:08:27.754856,113,91,103,242731,F005
EVT00242,BMW036,2026-04-01 20:08:27.754866,109,91,100,248681,F005
EVT00243,BMW181,2026-04-05 21:08:27.754876,20,100,69,162019,F004
EVT00244,BMW193,2026-08-19 08:08:27.754886,111,41,97,104888,F005
EVT00245,BMW076,2026-07-09 12:08:27.754896,5,19,105,12087,
EVT00246,BMW008,2026-07-16 13:08:27.754906,138,87,91,190995,F002
EVT00247,BMW016,2026-04-12 12:08:27.754915,130,51,84,72075,F001
EVT00248,BMW183,2026-06-09 03:08:27.754924,81,50,64,148822,
EVT00249,BMW018,2026-07-31 10:08:27.754934,163,78,58,101736,F004
EVT00250,BMW145,2026-08-28 12:08:27.754943,9,12,62,199736,
EVT00251,BMW034,2026-05-27 02:08:27.754953,32,33,58,179583,F003
EVT00252,BMW082,2026-08-02 15:08:27.754963,98,86,102,230846,F003
EVT00253,BMW023,2026-09-03 05:08:27.754973,119,54,96,16365,F003
EVT00254,BMW015,2026-06-25 07:08:27.754983,82,90,56,84717,F005
EVT00255,BMW103,2026-06-28 17:08:27.754993,96,30,103,24324,F003
EVT00256,BMW175,2026-04-01 18:08:27.755003,1,99,93,129150,F004
EVT00257,BMW017,2026-05-26 11:08:27.755013,118,72,56,40693,F001
EVT00258,BMW154,2026-07-05 21:08:27.755025,134,22,73,127871,F004
EVT00259,BMW161,2026-03-24 06:08:27.755035,87,60,92,47143,F003
EVT00260,BMW029,2026-06-05 13:08:27.755044,148,21,101,214726,F005
EVT00261,BMW193,2026-06-30 20:08:27.755050,152,99,80,88737,F005
EVT00262,BMW088,2026-08-27 00:08:27.755056,140,73,63,65190,F004
EVT00263,BMW098,2026-07-29 07:08:27.755061,116,36,103,202543,
EVT00264,BMW068,2026-06-28 23:08:27.755068,178,72,67,48676,
EVT00265,BMW173,2026-03-01 15:08:27.755080,64,67,97,74469,F004
EVT00266,BMW082,2026-08-31 15:08:27.755225,11,47,99,215645,F005
EVT00267,BMW190,2026-03-21 10:08:27.755233,117,79,51,68112,
EVT00268,BMW154,2026-07-13 00:08:27.755241,174,37,85,220126,F002
EVT00269,BMW071,2026-08-27 15:08:27.755247,28,41,92,39591,F001
EVT00270,BMW069,2026-06-16 16:08:27.755254,8,81,96,236592,F002
EVT00271,BMW141,2026-03-23 12:08:27.755261,29,22,63,133195,F001
EVT00272,BMW136,2026-07-23 09:08:27.755267,103,67,52,68417,
EVT00273,BMW181,2026-05-05 07:08:27.755272,161,62,70,231392,
EVT00274,BMW193,2026-04-27 23:08:27.755278,3,97,86,242234,F001
EVT00275,BMW113,2026-03-10 00:08:27.755284,1,100,60,79262,
EVT00276,BMW111,2026-07-21 02:08:27.755289,58,56,61,179198,F003
EVT00277,BMW070,2026-07-28 05:08:27.755295,35,68,82,91926,F001
EVT00278,BMW169,2026-07-28 22:08:27.755301,39,91,85,101856,
EVT00279,BMW038,2026-09-15 20:08:27.755306,43,15,50,20613,F004
EVT00280,BMW037,2026-07-03 13:08:27.755312,168,99,52,177692,F004
EVT00281,BMW156,2026-05-04 09:08:27.755318,104,14,85,208747,F001
EVT00282,BMW154,2026-08-29 19:08:27.755324,149,18,86,248002,F002
EVT00283,BMW053,2026-03-01 05:08:27.755330,54,35,90,213379,F005
EVT00284,BMW074,2026-05-28 22:08:27.755335,15,53,56,246074,F002
EVT00285,BMW035,2026-04-18 11:08:27.755341,178,72,89,96258,F002
EVT00286,BMW108,2026-03-28 03:08:27.755346,124,54,74,85227,F002
EVT00287,BMW008,2026-03-18 09:08:27.755352,39,65,90,37884,F005
EVT00288,BMW121,2026-02-22 12:08:27.755357,110,46,88,120319,F001
EVT00289,BMW113,2026-06-12 09:08:27.755363,56,34,110,158988,F005
EVT00290,BMW035,2026-06-21 22:08:27.755369,72,54,59,204101,F004
EVT00291,BMW009,2026-05-14 18:08:27.755375,84,100,96,145107,F004
EVT00292,BMW003,2026-08-02 07:08:27.755380,108,31,76,162247,F005
EVT00293,BMW100,2026-05-13 01:08:27.755386,25,73,84,168104,F002
EVT00294,BMW149,2026-03-25 06:08:27.755392,96,88,104,81568,F004
EVT00295,BMW105,2026-07-24 03:08:27.755398,145,20,61,188659,F003
EVT00296,BMW184,2026-07-30 13:08:27.755403,105,10,80,226247,F001
EVT00297,BMW072,2026-09-15 21:08:27.755409,57,85,58,50313,
EVT00298,BMW062,2026-04-20 01:08:27.755415,77,56,102,217200,F003
EVT00299,BMW022,2026-05-19 04:08:27.755420,81,63,97,145694,F001
EVT00300,BMW027,2026-05-09 00:08:27.755426,112,20,69,107997,
EVT00301,BMW019,2026-07-09 00:08:27.755431,179,78,108,37774,F003
EVT00302,BMW140,2026-05-22 07:08:27.755436,47,68,91,57039,
EVT00303,BMW010,2026-09-01 22:08:27.755442,33,10,52,68730,F005
EVT00304,BMW135,2026-07-13 17:08:27.755447,41,25,98,80073,F005
EVT00305,BMW026,2026-06-25 16:08:27.755453,2,31,92,214790,
EVT00306,BMW150,2026-07-06 11:08:27.755458,97,27,59,21219,
EVT00307,BMW091,2026-06-11 18:08:27.755464,171,11,92,72445,F003
EVT00308,BMW200,2026-03-04 19:08:27.755470,18,19,73,187941,F003
EVT00309,BMW087,2026-09-17 04:08:27.755476,104,51,50,190433,F001
EVT00310,BMW003,2026-04-21 01:08:27.755482,164,44,107,236426,
EVT00311,BMW032,2026-06-03 20:08:27.755488,60,100,110,31118,F002
EVT00312,BMW091,2026-05-23 12:08:27.755493,104,73,78,61137,F001
EVT00313,BMW112,2026-06-23 01:08:27.755532,153,67,60,19298,F001
EVT00314,BMW055,2026-07-10 23:08:27.755544,31,72,52,117525,F005
EVT00315,BMW133,2026-04-10 13:08:27.755554,136,79,82,178752,F004
EVT00316,BMW072,2026-08-13 02:08:27.755563,37,92,88,77873,F005
EVT00317,BMW030,2026-06-28 00:08:27.755572,44,63,66,87277,
EVT00318,BMW166,2026-04-04 22:08:27.755582,3,88,100,13167,
EVT00319,BMW032,2026-07-13 00:08:27.755591,43,28,100,101723,F001
EVT00320,BMW024,2026-06-23 07:08:27.755601,148,100,54,46872,F003
EVT00321,BMW186,2026-09-08 03:08:27.755611,107,14,84,228690,F003
EVT00322,BMW054,2026-09-17 08:08:27.755620,0,32,98,201658,F003
EVT00323,BMW072,2026-04-04 22:08:27.755630,149,13,103,186079,F003
EVT00324,BMW020,2026-03-08 00:08:27.755639,4,85,85,149010,F003
EVT00325,BMW067,2026-02-24 19:08:27.755648,27,37,81,150224,F001
EVT00326,BMW010,2026-05-03 15:08:27.755657,149,65,77,38156,
EVT00327,BMW189,2026-04-01 17:08:27.755667,143,60,64,193465,F005
EVT00328,BMW074,2026-03-17 10:08:27.755677,87,44,68,214903,F005
EVT00329,BMW036,2026-05-29 20:08:27.755687,126,35,80,29451,F001
EVT00330,BMW071,2026-06-11 20:08:27.755697,121,97,54,103230,F002
EVT00331,BMW097,2026-08-01 16:08:27.755707,53,95,64,158013,F003
EVT00332,BMW186,2026-03-19 01:08:27.755717,140,65,107,177043,
EVT00333,BMW101,2026-03-14 10:08:27.755727,149,52,81,189436,F003
EVT00334,BMW132,2026-07-27 01:08:27.755737,143,59,78,105327,F005
EVT00335,BMW056,2026-03-01 12:08:27.755747,19,38,77,102010,F005
EVT00336,BMW177,2026-05-06 19:08:27.755758,141,24,99,195921,F005
EVT00337,BMW115,2026-04-24 05:08:27.755768,117,42,66,77823,F005
EVT00338,BMW146,2026-03-12 06:08:27.755778,139,16,74,244907,
EVT00339,BMW187,2026-04-10 02:08:27.755788,20,83,90,108510,F004
EVT00340,BMW080,2026-06-04 05:08:27.755799,152,18,51,86993,F001
EVT00341,BMW132,2026-08-09 00:08:27.755809,153,58,72,204340,F005
EVT00342,BMW048,2026-03-08 23:08:27.755819,168,47,85,193768,F001
EVT00343,BMW130,2026-07-12 18:08:27.755829,2,79,82,227476,F005
EVT00344,BMW142,2026-08-01 23:08:27.755838,82,13,59,146187,F001
EVT00345,BMW152,2026-05-05 08:08:27.755848,41,93,102,20740,F002
EVT00346,BMW057,2026-03-22 01:08:27.755858,175,37,76,11002,F005
EVT00347,BMW083,2026-03-19 13:08:27.759976,53,66,75,206700,F004
EVT00348,BMW006,2026-06-27 14:08:27.759991,33,16,76,167527,F005
EVT00349,BMW189,2026-06-29 11:08:27.759998,87,40,54,186531,F003
EVT00350,BMW128,2026-08-15 21:08:27.760004,79,94,56,67704,
EVT00351,BMW185,2026-04-13 09:08:27.760010,21,44,101,32372,F005
EVT00352,BMW026,2026-05-09 18:08:27.760016,34,84,108,198470,F004
EVT00353,BMW117,2026-04-16 23:08:27.760022,12,69,100,81796,F002
EVT00354,BMW041,2026-07-22 00:08:27.760028,57,23,65,56778,F001
EVT00355,BMW081,2026-08-21 12:08:27.760034,58,88,110,184712,F004
EVT00356,BMW028,2026-05-28 14:08:27.760040,84,26,71,32325,F004
EVT00357,BMW084,2026-07-11 09:08:27.760046,79,55,92,205206,F002
EVT00358,BMW174,2026-03-21 07:08:27.760051,98,15,82,242902,F001
EVT00359,BMW123,2026-06-10 10:08:27.760056,114,52,99,64926,
EVT00360,BMW040,2026-07-10 08:08:27.760062,94,59,69,201550,F002
