feedback_id,dealer_id,feedback_date,rating,feedback_category
F075,D005,2025-03-18,4,Vehicle Delivery
F076,D006,2025-03-19,5,Sales Experience
F077,D007,2025-03-20,4,Service Quality
F078,D008,2025-03-21,5,Vehicle Delivery
F079,D009,2025-03-22,4,Sales Experience
F080,D010,2025-03-23,5,Service Quality
F081,D001,2025-03-24,5,Vehicle Delivery
F082,D002,2025-03-25,4,Sales Experience
F083,D003,2025-03-26,5,Service Quality
F084,D004,2025-03-27,4,Vehicle Delivery
F085,D005,2025-03-28,5,Sales Experience
F086,D006,2025-03-29,4,Service Quality
F087,D007,2025-03-30,5,Vehicle Delivery
F088,D008,2025-03-31,4,Sales Experience
F089,D009,2025-04-01,5,Service Quality
F090,D010,2025-04-02,4,Vehicle Delivery
F091,D001,2025-04-03,4,Sales Experience
F092,D002,2025-04-04,5,Service Quality
F093,D003,2025-04-05,4,Vehicle Delivery
F094,D004,2025-04-06,5,Sales Experience
F095,D005,2025-04-07,4,Service Quality
F096,D006,2025-04-08,5,Vehicle Delivery
F097,D007,2025-04-09,4,Sales Experience
F098,D008,2025-04-10,5,Service Quality
F099,D009,2025-04-11,4,Vehicle Delivery
F100,D010,2025-04-12,5,Sales Experience
F101,D001,2025-04-13,5,Service Quality
F102,D002,2025-04-14,4,Vehicle Delivery
F103,D003,2025-04-15,5,Sales Experience
F104,D004,2025-04-16,4,Service Quality
F105,D005,2025-04-17,5,Vehicle Delivery
F106,D006,2025-04-18,4,Sales Experience
F107,D007,2025-04-19,5,Service Quality
F108,D008,2025-04-20,4,Vehicle Delivery
F109,D009,2025-04-21,5,Sales Experience
F110,D010,2025-04-22,4,Service Quality
F111,D001,2025-04-23,4,Vehicle Delivery
F112,D002,2025-04-24,5,Sales Experience
F113,D003,2025-04-25,4,Service Quality
F114,D004,2025-04-26,5,Vehicle Delivery
F115,D005,2025-04-27,4,Sales Experience
F116,D006,2025-04-28,5,Service Quality
F117,D007,2025-04-29,4,Vehicle Delivery
F118,D008,2025-04-30,5,Sales Experience
F119,D009,2025-05-01,4,Service Quality
F120,D010,2025-05-02,5,Vehicle Delivery
F121,D001,2025-05-03,5,Sales Experience
F122,D002,2025-05-04,4,Service Quality
F123,D003,2025-05-05,5,Vehicle Delivery
F124,D004,2025-05-06,4,Sales Experience
F125,D005,2025-05-07,5,Service Quality
F126,D006,2025-05-08,4,Vehicle Delivery
F127,D007,2025-05-09,5,Sales Experience
F128,D008,2025-05-10,4,Service Quality
F129,D009,2025-05-11,5,Vehicle Delivery
F130,D010,2025-05-12,4,Sales Experience
F131,D001,2025-05-13,4,Service Quality
F132,D002,2025-05-14,5,Vehicle Delivery
F133,D003,2025-05-15,4,Sales Experience
F134,D004,2025-05-16,5,Service Quality
F135,D005,2025-05-17,4,Vehicle Delivery
F136,D006,2025-05-18,5,Sales Experience
F137,D007,2025-05-19,4,Service Quality
F138,D008,2025-05-20,5,Vehicle Delivery
F139,D009,2025-05-21,4,Sales Experience
F140,D010,2025-05-22,5,Service Quality
F141,D001,2025-05-23,5,Vehicle Delivery
F142,D002,2025-05-24,4,Sales Experience
F143,D003,2025-05-25,5,Service Quality
F144,D004,2025-05-26,4,Vehicle Delivery
F145,D005,2025-05-27,5,Sales Experience
F146,D006,2025-05-28,4,Service Quality
F147,D007,2025-05-29,5,Vehicle Delivery
F148,D008,2025-05-30,4,Sales Experience
F149,D009,2025-05-31,5,Service Quality
F150,D010,2025-06-01,4,Vehicle Delivery
F151,D001,2025-06-02,4,Sales Experience
F152,D002,2025-06-03,5,Service Quality
F153,D003,2025-06-04,4,Vehicle Delivery
F154,D004,2025-06-05,5,Sales Experience
F155,D005,2025-06-06,4,Service Quality
F156,D006,2025-06-07,5,Vehicle Delivery
F157,D007,2025-06-08,4,Sales Experience
F158,D008,2025-06-09,5,Service Quality
F159,D009,2025-06-10,4,Vehicle Delivery
F160,D010,2025-06-11,5,Sales Experience
F161,D001,2025-06-12,5,Service Quality
F162,D002,2025-06-13,4,Vehicle Delivery
F163,D003,2025-06-14,5,Sales Experience
F164,D004,2025-06-15,4,Service Quality
F165,D005,2025-06-16,5,Vehicle Delivery
F166,D006,2025-06-17,4,Sales Experience
F167,D007,2025-06-18,5,Service Quality
F168,D008,2025-06-19,4,Vehicle Delivery
F169,D009,2025-06-20,5,Sales Experience
F170,D010,2025-06-21,4,Service Quality
F171,D001,2025-06-22,4,Vehicle Delivery
F172,D002,2025-06-23,5,Sales Experience
F173,D003,2025-06-24,4,Service Quality
F174,D004,2025-06-25,5,Vehicle Delivery
F175,D005,2025-06-26,4,Sales Experience
F176,D006,2025-06-27,5,Service Quality
F177,D007,2025-06-28,4,Vehicle Delivery
F178,D008,2025-06-29,5,Sales Experience
F179,D009,2025-06-30,4,Service Quality
F180,D010,2025-07-01,5,Vehicle Delivery
F181,D001,2025-07-02,5,Sales Experience
F182,D002,2025-07-03,4,Service Quality
F183,D003,2025-07-04,5,Vehicle Delivery
F184,D004,2025-07-05,4,Sales Experience
F185,D005,2025-07-06,5,Service Quality
F186,D006,2025-07-07,4,Vehicle Delivery
F187,D007,2025-07-08,5,Sales Experience
F188,D008,2025-07-09,4,Service Quality
F189,D009,2025-07-10,5,Vehicle Delivery
F190,D010,2025-07-11,4,Sales Experience
F191,D001,2025-07-12,4,Service Quality
F192,D002,2025-07-13,5,Vehicle Delivery
F193,D003,2025-07-14,4,Sales Experience
F194,D004,2025-07-15,5,Service Quality
F195,D005,2025-07-16,4,Vehicle Delivery
F196,D006,2025-07-17,5,Sales Experience
F197,D007,2025-07-18,4,Service Quality
F198,D008,2025-07-19,5,Vehicle Delivery
F199,D009,2025-07-20,4,Sales Experience
F200,D010,2025-07-21,5,Service Quality
F201,D001,2025-07-22,5,Vehicle Delivery
F202,D002,2025-07-23,4,Sales Experience
F203,D003,2025-07-24,5,Service Quality
F204,D004,2025-07-25,4,Vehicle Delivery
F205,D005,2025-07-26,5,Sales Experience
F206,D006,2025-07-27,4,Service Quality
F207,D007,2025-07-28,5,Vehicle Delivery
F208,D008,2025-07-29,4,Sales Experience
F209,D009,2025-07-30,5,Service Quality
F210,D010,2025-07-31,4,Vehicle Delivery
F211,D001,2025-08-01,4,Sales Experience
F212,D002,2025-08-02,5,Service Quality
F213,D003,2025-08-03,4,Vehicle Delivery
F214,D004,2025-08-04,5,Sales Experience
F215,D005,2025-08-05,4,Service Quality
F216,D006,2025-08-06,5,Vehicle Delivery
F217,D007,2025-08-07,4,Sales Experience
F218,D008,2025-08-08,5,Service Quality
F219,D009,2025-08-09,4,Vehicle Delivery
F220,D010,2025-08-10,5,Sales Experience
F221,D001,2025-08-11,5,Service Quality
F222,D002,2025-08-12,4,Vehicle Delivery
F223,D003,2025-08-13,5,Sales Experience
F224,D004,2025-08-14,4,Service Quality
F225,D005,2025-08-15,5,Vehicle Delivery
F226,D006,2025-08-16,4,Sales Experience
F227,D007,2025-08-17,5,Service Quality
F228,D008,2025-08-18,4,Vehicle Delivery
F229,D009,2025-08-19,5,Sales Experience
F230,D010,2025-08-20,4,Service Quality
F231,D001,2025-08-21,4,Vehicle Delivery
F232,D002,2025-08-22,5,Sales Experience
F233,D003,2025-08-23,4,Service Quality
F234,D004,2025-08-24,5,Vehicle Delivery
F235,D005,2025-08-25,4,Sales Experience
F236,D006,2025-08-26,5,Service Quality
F237,D007,2025-08-27,4,Vehicle Delivery
F238,D008,2025-08-28,5,Sales Experience
F239,D009,2025-08-29,4,Service Quality
F240,D010,2025-08-30,5,Vehicle Delivery
F241,D001,2025-09-01,5,Sales Experience
F242,D002,2025-09-02,4,Service Quality
F243,D003,2025-09-03,5,Vehicle Delivery
F244,D004,2025-09-04,4,Sales Experience
F245,D005,2025-09-05,5,Service Quality
F246,D006,2025-09-06,4,Vehicle Delivery
F247,D007,2025-09-07,5,Sales Experience
F248,D008,2025-09-08,4,Service Quality
F249,D009,2025-09-09,5,Vehicle Delivery
F250,D010,2025-09-10,4,Sales Experience
F251,D001,2025-09-11,4,Service Quality
F252,D002,2025-09-12,5,Vehicle Delivery
F253,D003,2025-09-13,4,Sales Experience
F254,D004,2025-09-14,5,Service Quality
F255,D005,2025-09-15,4,Vehicle Delivery
F256,D006,2025-09-16,5,Sales Experience
F257,D007,2025-09-17,4,Service Quality
F258,D008,2025-09-18,5,Vehicle Delivery
F259,D009,2025-09-19,4,Sales Experience
F260,D010,2025-09-20,5,Service Quality
F261,D001,2025-09-21,5,Vehicle Delivery
F262,D002,2025-09-22,4,Sales Experience
F263,D003,2025-09-23,5,Service Quality
F264,D004,2025-09-24,4,Vehicle Delivery
F265,D005,2025-09-25,5,Sales Experience
F266,D006,2025-09-26,4,Service Quality
F267,D007,2025-09-27,5,Vehicle Delivery
F268,D008,2025-09-28,4,Sales Experience
F269,D009,2025-09-29,5,Service Quality
F270,D010,2025-09-30,4,Vehicle Delivery
F271,D001,2025-10-01,4,Sales Experience
F272,D002,2025-10-02,5,Service Quality
F273,D003,2025-10-03,4,Vehicle Delivery
F274,D004,2025-10-04,5,Sales Experience
F275,D005,2025-10-05,4,Service Quality
F276,D006,2025-10-06,5,Vehicle Delivery
F277,D007,2025-10-07,4,Sales Experience
F278,D008,2025-10-08,5,Service Quality
F279,D009,2025-10-09,4,Vehicle Delivery
F280,D010,2025-10-10,5,Sales Experience
F281,D001,2025-10-11,5,Service Quality
F282,D002,2025-10-12,4,Vehicle Delivery
F283,D003,2025-10-13,5,Sales Experience
F284,D004,2025-10-14,4,Service Quality
F285,D005,2025-10-15,5,Vehicle Delivery
F286,D006,2025-10-16,4,Sales Experience
F287,D007,2025-10-17,5,Service Quality
F288,D008,2025-10-18,4,Vehicle Delivery
F289,D009,2025-10-19,5,Sales Experience
F290,D010,2025-10-20,4,Service Quality
F291,D001,2025-10-21,4,Vehicle Delivery
F292,D002,2025-10-22,5,Sales Experience
F293,D003,2025-10-23,4,Service Quality
F294,D004,2025-10-24,5,Vehicle Delivery
F295,D005,2025-10-25,4,Sales Experience
F296,D006,2025-10-26,5,Service Quality
F297,D007,2025-10-27,4,Vehicle Delivery
F298,D008,2025-10-28,5,Sales Experience
F299,D009,2025-10-29,4,Service Quality
F300,D010,2025-10-30,5,Vehicle Delivery
