sale_id,dealer_id,sale_date,vehicle_model,quantity,unit_price
S097,D007,2025-10-18,7 Series,1,96500
S098,D008,2025-10-20,iX,3,87200
S099,D009,2025-10-22,4 Series,2,59800
S100,D010,2025-10-25,X1,4,41200
S101,D001,2025-11-04,i4,3,68400
S102,D002,2025-11-06,3 Series,2,48500
S103,D003,2025-11-08,5 Series,3,62500
S104,D004,2025-11-11,X3,2,55200
S105,D005,2025-11-13,X5,2,78500
S106,D006,2025-11-15,7 Series,1,96500
S107,D007,2025-11-18,iX,3,87200
S108,D008,2025-11-20,4 Series,2,59800
S109,D009,2025-11-22,X1,4,41200
S110,D010,2025-11-25,X7,1,108500
S111,D001,2025-12-04,3 Series,2,48500
S112,D002,2025-12-06,5 Series,3,62500
S113,D003,2025-12-08,X3,2,55200
S114,D004,2025-12-11,X5,2,78500
S115,D005,2025-12-13,7 Series,1,96500
S116,D006,2025-12-15,iX,3,87200
S117,D007,2025-12-18,4 Series,2,59800
S118,D008,2025-12-20,X1,4,41200
S119,D009,2025-12-22,X7,1,108500
S120,D010,2025-12-25,i4,3,68400
S121,D001,2025-01-27,X3,1,55200
S122,D002,2025-01-28,X5,2,78500
S123,D003,2025-01-29,7 Series,2,96500
S124,D004,2025-01-30,iX,1,87200
S125,D005,2025-01-31,4 Series,3,59800
S126,D006,2025-02-27,X1,2,41200
S127,D007,2025-02-28,X7,2,108500
S128,D008,2025-02-26,i4,1,68400
S129,D009,2025-02-24,3 Series,3,48500
S130,D010,2025-02-23,5 Series,2,62500
S131,D001,2025-03-27,X3,1,55200
S132,D002,2025-03-28,X5,2,78500
S133,D003,2025-03-29,7 Series,2,96500
S134,D004,2025-03-30,iX,1,87200
S135,D005,2025-03-31,4 Series,3,59800
S136,D006,2025-04-27,X1,2,41200
S137,D007,2025-04-28,X7,2,108500
S138,D008,2025-04-26,i4,1,68400
S139,D009,2025-04-24,3 Series,3,48500
S140,D010,2025-04-23,5 Series,2,62500
S141,D001,2025-05-27,X3,1,55200
S142,D002,2025-05-28,X5,2,78500
S143,D003,2025-05-29,7 Series,2,96500
S144,D004,2025-05-30,iX,1,87200
S145,D005,2025-05-31,4 Series,3,59800
S146,D006,2025-06-27,X1,2,41200
S147,D007,2025-06-28,X7,2,108500
S148,D008,2025-06-26,i4,1,68400
S149,D009,2025-06-24,3 Series,3,48500
S150,D010,2025-06-23,5 Series,2,62500
S151,D001,2025-07-27,X3,1,55200
S152,D002,2025-07-28,X5,2,78500
S153,D003,2025-07-29,7 Series,2,96500
S154,D004,2025-07-30,iX,1,87200
S155,D005,2025-07-31,4 Series,3,59800
S156,D006,2025-08-27,X1,2,41200
S157,D007,2025-08-28,X7,2,108500
S158,D008,2025-08-26,i4,1,68400
S159,D009,2025-08-24,3 Series,3,48500
S160,D010,2025-08-23,5 Series,2,62500
S161,D001,2025-09-27,X3,1,55200
S162,D002,2025-09-28,X5,2,78500
S163,D003,2025-09-29,7 Series,2,96500
S164,D004,2025-09-30,iX,1,87200
S165,D005,2025-09-29,4 Series,3,59800
S166,D006,2025-10-27,X1,2,41200
S167,D007,2025-10-28,X7,2,108500
S168,D008,2025-10-26,i4,1,68400
S169,D009,2025-10-24,3 Series,3,48500
S170,D010,2025-10-23,5 Series,2,62500
S171,D001,2025-11-27,X3,1,55200
S172,D002,2025-11-28,X5,2,78500
S173,D003,2025-11-29,7 Series,2,96500
S174,D004,2025-11-30,iX,1,87200
S175,D005,2025-11-29,4 Series,3,59800
S176,D006,2025-12-27,X1,2,41200
S177,D007,2025-12-28,X7,2,108500
S178,D008,2025-12-26,i4,1,68400
S179,D009,2025-12-24,3 Series,3,48500
S180,D010,2025-12-23,5 Series,2,62500
S181,D001,2025-02-14,5 Series,1,62500
S182,D002,2025-03-14,X3,1,55200
S183,D003,2025-04-14,X5,1,78500
S184,D004,2025-05-14,7 Series,1,96500
S185,D005,2025-06-14,iX,1,87200
S186,D006,2025-07-14,4 Series,1,59800
S187,D007,2025-08-14,X1,1,41200
S188,D008,2025-09-14,X7,1,108500
S189,D009,2025-10-14,i4,1,68400
S190,D010,2025-11-14,3 Series,1,48500
S191,D001,2025-12-14,5 Series,1,62500
S192,D002,2025-01-14,X3,1,55200
S193,D003,2025-02-14,X5,1,78500
S194,D004,2025-03-14,7 Series,1,96500
S195,D005,2025-04-14,iX,1,87200
S196,D006,2025-05-14,4 Series,1,59800
S197,D007,2025-06-14,X1,1,41200
S198,D008,2025-07-14,X7,1,108500
S199,D009,2025-08-14,i4,1,68400
S200,D010,2025-09-14,3 Series,1,48500
