sale_date,model,region,country,units_sold,unit_price,revenue
2025-02-02,3 Series,Europe,France,9,49760.84,447847.56
2025-02-05,iX,Middle East,Saudi Arabia,3,85855.25,257565.75
2025-02-05,2 Series,Middle East,UAE,10,39705.98,397059.8
2025-02-05,5 Series,Oceania,Australia,10,62974.69,629746.9
2025-02-06,X1,Oceania,Australia,6,44450.48,266702.88
2025-02-06,i4,Asia,India,13,56719.09,737348.17
2025-02-07,X1,North America,Mexico,20,43655.04,873100.8
2025-02-08,X5,Europe,UK,12,79036.61,948439.32
2025-02-09,5 Series,Europe,UK,16,64880.93,1038094.88
2025-02-09,i4,Asia,China,9,54894.56,494051.04
2025-02-10,X5,Asia,Japan,11,78410.58,862516.38
2025-02-11,3 Series,Asia,China,20,51379.87,1027597.4
2025-02-11,iX,North America,Mexico,5,90731.56,453657.8
2025-02-12,X5,Middle East,Saudi Arabia,10,84660.52,846605.2
2025-02-12,2 Series,Asia,South Korea,15,41106.34,616595.1
2025-02-13,2 Series,North America,Mexico,15,40918.29,613774.35
2025-02-13,7 Series,Asia,South Korea,6,106934.16,641604.96
2025-02-13,2 Series,Asia,China,13,41679.49,541833.37
2025-02-13,i4,Europe,Germany,8,58224.06,465792.48
2025-02-13,i4,North America,USA,16,55920.89,894734.24
2025-02-14,5 Series,Asia,Japan,10,61041.72,610417.2
2025-02-14,X5,Africa,Morocco,7,79700.0,557900.0
2025-02-15,X5,North America,Canada,10,81177.88,811778.8
2025-02-15,3 Series,Asia,China,16,46789.17,748626.72
2025-02-16,iX,Oceania,Australia,6,91459.44,548756.64
2025-02-16,X1,Oceania,Australia,9,48550.11,436950.99
2025-02-16,X1,North America,USA,21,46963.02,986223.42
2025-02-16,3 Series,Middle East,Qatar,14,51386.42,719409.88
2025-02-17,X3,Middle East,UAE,18,56879.69,1023834.42
2025-02-17,iX,North America,USA,6,83659.2,501955.2
2025-02-18,iX,Oceania,Australia,5,86112.32,430561.6
2025-02-18,i4,Asia,China,7,56821.02,397747.14
2025-02-19,X5,North America,Mexico,10,79766.05,797660.5
2025-02-19,2 Series,Europe,France,14,43464.89,608508.46
2025-02-20,X5,Asia,China,10,75110.46,751104.6
2025-02-20,5 Series,North America,USA,7,60345.55,422418.85
2025-02-20,iX,Europe,UK,4,93091.06,372364.24
2025-02-21,iX,Europe,Germany,3,85833.63,257500.89
2025-02-21,X5,Asia,India,9,75908.49,683176.41
2025-02-21,X3,Oceania,Australia,15,53627.25,804408.75
2025-02-22,i4,North America,Canada,4,60746.47,242985.88
2025-02-22,X1,North America,USA,17,44930.01,763810.17
2025-02-22,3 Series,Europe,UK,14,47772.32,668812.48
2025-02-23,iX,Middle East,Qatar,9,87322.05,785898.45
2025-02-23,X5,Europe,Italy,8,80204.56,641636.48
2025-02-24,X1,North America,Canada,18,43916.5,790497.0
2025-02-24,3 Series,Europe,France,11,50614.26,556756.86
2025-02-25,i4,Europe,UK,8,59383.73,475069.84
2025-02-27,7 Series,Europe,Germany,5,101352.2,506761.0
2025-02-27,i4,North America,Canada,12,60108.37,721300.44
2025-02-27,X7,North America,USA,4,113838.15,455352.6
2025-02-28,7 Series,North America,Canada,4,97685.27,390741.08
2025-02-28,7 Series,North America,Mexico,11,100770.78,1108478.58
2025-02-28,2 Series,Asia,China,18,42735.4,769237.2
2025-02-28,5 Series,Europe,Italy,9,60634.04,545706.36
2025-02-28,5 Series,North America,Canada,5,62299.86,311499.3
2025-03-01,X1,Middle East,Qatar,11,45345.1,498796.1
2025-03-01,2 Series,North America,USA,15,40254.23,603813.45
2025-03-02,X1,Asia,South Korea,18,46075.13,829352.34
2025-03-03,X1,Europe,Italy,21,45329.92,951928.32
2025-03-04,X5,Middle East,UAE,14,75450.83,1056311.62
2025-03-04,X3,North America,USA,15,58037.38,870560.7
2025-03-04,X3,Asia,India,19,54929.4,1043658.6
2025-03-05,5 Series,North America,Mexico,17,60895.27,1035219.59
2025-03-05,3 Series,Middle East,UAE,16,49600.37,793605.92
2025-03-06,7 Series,Europe,UK,4,97653.44,390613.76
2025-03-06,2 Series,Asia,South Korea,14,43205.39,604875.46
2025-03-07,2 Series,Asia,India,14,43112.04,603568.56
2025-03-07,X1,North America,USA,25,44156.88,1103922.0
2025-03-08,7 Series,Asia,China,5,104495.68,522478.4
2025-03-09,X5,Africa,Morocco,8,73973.15,591785.2
2025-03-09,X3,Oceania,New Zealand,8,58994.34,471954.72
2025-03-09,2 Series,Europe,France,19,39925.75,758589.25
2025-03-09,2 Series,Asia,South Korea,19,40811.96,775427.24
2025-03-10,X7,Europe,Italy,2,110129.47,220258.94
2025-03-11,3 Series,Oceania,New Zealand,12,47599.59,571195.08
2025-03-11,3 Series,Oceania,Australia,10,46861.84,468618.4
2025-03-11,3 Series,Middle East,UAE,11,46794.78,514742.58
2025-03-12,5 Series,North America,Mexico,16,65267.03,1044272.48
2025-03-12,3 Series,North America,Mexico,14,45911.87,642766.18
2025-03-12,X1,Oceania,New Zealand,13,44407.13,577292.69
2025-03-13,3 Series,Asia,South Korea,10,47848.17,478481.7
2025-03-14,X1,Asia,Japan,15,44024.2,660363.0
2025-03-14,3 Series,Middle East,Saudi Arabia,11,49859.51,548454.61
2025-03-14,5 Series,Asia,South Korea,13,63910.24,830833.12
2025-03-16,X5,Asia,China,8,72958.31,583666.48
2025-03-17,3 Series,Middle East,Saudi Arabia,5,52012.46,260062.3
2025-03-17,3 Series,North America,USA,21,49734.99,1044434.79
2025-03-17,X1,Oceania,Australia,12,47739.96,572879.52
2025-03-17,5 Series,North America,USA,15,62041.68,930625.2
2025-03-18,X5,Middle East,Saudi Arabia,11,78470.06,863170.66
2025-03-18,2 Series,Europe,Italy,14,39571.93,554007.02
2025-03-20,2 Series,Middle East,Saudi Arabia,15,41985.06,629775.9
2025-03-20,i4,Europe,Italy,8,57753.55,462028.4
2025-03-20,3 Series,North America,USA,21,49968.49,1049338.29
2025-03-22,2 Series,Europe,UK,15,41722.95,625844.25
2025-03-22,X1,Europe,Germany,13,45062.55,585813.15
2025-03-23,2 Series,North America,USA,18,42270.26,760864.68
2025-03-23,X1,Europe,Germany,17,46331.12,787629.04
2025-03-23,X5,Middle East,Saudi Arabia,5,75769.77,378848.85
2025-03-24,i4,Europe,Italy,10,55867.61,558676.1
2025-03-24,X3,North America,Canada,10,57256.26,572562.6
2025-03-24,7 Series,North America,Mexico,4,100546.87,402187.48
2025-03-26,i4,Asia,India,12,59562.94,714755.28
2025-03-26,X1,Asia,China,21,43563.96,914843.16
2025-03-27,i4,Asia,South Korea,12,56990.41,683884.92
2025-03-27,3 Series,North America,Mexico,15,47140.17,707102.55
2025-03-27,3 Series,Europe,Italy,14,48107.62,673506.68
2025-03-28,X5,Europe,UK,8,76562.52,612500.16
2025-03-29,3 Series,Oceania,New Zealand,13,48441.86,629744.18
2025-03-29,5 Series,Oceania,Australia,5,63857.65,319288.25
2025-03-29,X1,Asia,China,21,44500.32,934506.72
2025-03-29,X3,North America,Mexico,14,55514.15,777198.1
2025-03-29,X3,Europe,UK,19,56644.71,1076249.49
2025-03-30,i4,North America,Canada,6,56571.65,339429.9
2025-03-30,X3,Asia,China,11,58288.52,641173.72
2025-03-30,X3,Europe,Italy,18,55774.7,1003944.6
2025-04-01,X1,Europe,France,23,44983.28,1034615.44
2025-04-02,X1,Asia,South Korea,23,44202.1,1016648.3
2025-04-02,X5,Europe,UK,4,74803.06,299212.24
2025-04-02,X3,North America,USA,10,57277.69,572776.9
2025-04-03,i4,Oceania,New Zealand,10,56607.42,566074.2
2025-04-03,X5,Europe,Germany,14,82649.66,1157095.24
2025-04-03,X1,North America,Canada,23,47072.52,1082667.96
2025-04-04,7 Series,North America,Mexico,10,102596.49,1025964.9
2025-04-05,X7,Asia,India,3,119577.96,358733.88
2025-04-05,5 Series,North America,Canada,10,64112.62,641126.2
2025-04-06,3 Series,Asia,South Korea,16,46629.96,746079.36
2025-04-06,2 Series,North America,USA,18,42022.61,756406.98
2025-04-07,5 Series,North America,USA,10,61374.19,613741.9
2025-04-09,5 Series,Asia,Japan,8,59903.4,479227.2
2025-04-09,X3,Oceania,Australia,13,56978.23,740716.99
2025-04-10,2 Series,North America,USA,13,41521.72,539782.36
2025-04-12,3 Series,Africa,Morocco,7,48455.24,339186.68
2025-04-12,X5,Asia,China,13,78273.53,1017555.89
2025-04-13,i4,Europe,France,10,61326.75,613267.5
2025-04-13,X3,Europe,Germany,21,57837.29,1214583.09
2025-04-13,X5,Middle East,Qatar,7,76414.2,534899.4
2025-04-14,2 Series,Asia,Japan,18,42978.16,773606.88
2025-04-14,2 Series,North America,Mexico,8,43180.64,345445.12
2025-04-15,X3,Middle East,Qatar,19,57606.69,1094527.11
2025-04-15,X7,Europe,France,3,111945.14,335835.42
2025-04-16,X5,Asia,India,9,77766.29,699896.61
2025-04-17,2 Series,Europe,UK,14,41047.9,574670.6
2025-04-17,X5,Asia,China,12,77269.01,927228.12
2025-04-18,X3,Africa,Morocco,9,51837.58,466538.22
2025-04-18,3 Series,North America,USA,15,49047.56,735713.4
2025-04-18,X5,Asia,China,14,76745.08,1074431.12
2025-04-18,3 Series,Asia,India,17,46941.52,798005.84
2025-04-18,i4,Africa,South Africa,2,57156.15,114312.3
2025-04-19,iX,Europe,Italy,7,89374.58,625622.06
2025-04-19,X5,Asia,China,5,76896.65,384483.25
2025-04-20,X7,Asia,Japan,8,107334.58,858676.64
2025-04-21,X3,Europe,Italy,26,50827.94,1321526.44
2025-04-21,5 Series,Asia,India,11,59593.87,655532.57
2025-04-21,X3,Middle East,Qatar,15,55802.39,837035.85
2025-04-22,X7,Europe,UK,4,117376.45,469505.8
2025-04-22,X1,Europe,UK,14,47306.61,662292.54
2025-04-23,X3,North America,USA,13,55020.31,715264.03
2025-04-24,5 Series,North America,Mexico,15,61498.58,922478.7
2025-04-24,X5,North America,Mexico,7,78881.72,552172.04
2025-04-24,X1,Europe,France,18,46778.0,842004.0
2025-04-24,X3,Oceania,Australia,12,56454.73,677456.76
2025-04-25,3 Series,Asia,India,11,48387.57,532263.27
2025-04-27,X5,Asia,Japan,10,76703.4,767034.0
2025-04-28,iX,Europe,Germany,3,89651.42,268954.26
2025-04-28,3 Series,North America,Mexico,25,47964.89,1199122.25
2025-04-29,2 Series,Asia,China,15,40157.08,602356.2
2025-04-30,X5,Europe,Germany,10,72633.01,726330.1
2025-05-02,2 Series,Europe,UK,16,43055.83,688893.28
2025-05-03,X5,Asia,Japan,8,80812.56,646500.48
2025-05-03,X1,Oceania,Australia,11,44322.08,487542.88
2025-05-03,3 Series,Asia,China,19,48055.3,913050.7
2025-05-04,X1,Europe,UK,10,46686.66,466866.6
2025-05-04,3 Series,Middle East,Saudi Arabia,19,47148.06,895813.14
2025-05-05,X5,Europe,Italy,11,78840.38,867244.18
2025-05-05,X3,Middle East,UAE,11,56376.33,620139.63
2025-05-07,X1,North America,Canada,21,47360.24,994565.04
2025-05-07,X1,Asia,China,18,42534.1,765613.8
2025-05-08,X7,Africa,Morocco,4,108398.05,433592.2
2025-05-08,X1,Asia,South Korea,10,45849.83,458498.3
2025-05-08,iX,Middle East,UAE,5,88501.7,442508.5
2025-05-09,iX,North America,Mexico,7,90643.74,634506.18
2025-05-09,3 Series,Europe,UK,18,49919.21,898545.78
2025-05-10,X3,Africa,Egypt,9,55443.06,498987.54
2025-05-10,i4,Asia,India,10,56001.4,560014.0
2025-05-11,iX,North America,Canada,8,88974.37,711794.96
2025-05-11,2 Series,Oceania,New Zealand,13,41352.79,537586.27
2025-05-12,5 Series,Europe,Italy,13,66294.82,861832.66
2025-05-12,X5,Africa,South Africa,5,80312.63,401563.15
2025-05-13,X7,Europe,Germany,5,106884.05,534420.25
2025-05-13,5 Series,North America,Canada,15,59243.31,888649.65
2025-05-13,3 Series,North America,Canada,12,47279.31,567351.72
2025-05-14,3 Series,Europe,Italy,13,45235.4,588060.2
2025-05-14,X1,Asia,China,21,46504.56,976595.76
2025-05-14,5 Series,North America,USA,12,60425.54,725106.48
2025-05-15,3 Series,Asia,Japan,19,47185.28,896520.32
2025-05-15,iX,Oceania,New Zealand,5,87762.95,438814.75
2025-05-16,iX,North America,USA,8,89776.33,718210.64
2025-05-16,X5,North America,Mexico,9,76315.01,686835.09
2025-05-16,5 Series,Europe,UK,9,64209.4,577884.6
2025-05-17,X1,Asia,India,18,45745.97,823427.46
2025-05-18,X3,Europe,Italy,16,54789.42,876630.72
2025-05-19,5 Series,North America,USA,11,63865.31,702518.41
2025-05-19,X3,Asia,China,13,58382.03,758966.39
2025-05-19,2 Series,North America,Mexico,12,43271.33,519255.96
2025-05-20,X5,Asia,China,18,82829.69,1490934.42
2025-05-20,3 Series,Oceania,Australia,8,47107.31,376858.48
2025-05-20,X1,Asia,South Korea,15,44223.92,663358.8
2025-05-20,iX,North America,Mexico,9,87044.18,783397.62
2025-05-20,X3,Middle East,UAE,18,54704.65,984683.7
2025-05-21,X3,Middle East,Qatar,10,55699.17,556991.7
2025-05-21,X7,Europe,Italy,6,108230.67,649384.02
2025-05-21,X1,Oceania,New Zealand,5,45231.42,226157.1
2025-05-21,X3,North America,Canada,15,58524.63,877869.45
2025-05-21,2 Series,Oceania,New Zealand,15,42031.94,630479.1
2025-05-21,3 Series,Europe,UK,21,48099.49,1010089.29
2025-05-22,iX,North America,Canada,7,84493.61,591455.27
2025-05-22,X3,North America,Mexico,20,54857.54,1097150.8
2025-05-23,iX,North America,Canada,9,79584.62,716261.58
2025-05-23,7 Series,Africa,South Africa,4,96180.36,384721.44
2025-05-24,5 Series,Africa,South Africa,7,61750.08,432250.56
2025-05-24,7 Series,Middle East,UAE,6,97921.02,587526.12
2025-05-24,X1,North America,USA,17,47754.01,811818.17
2025-05-25,5 Series,Europe,France,10,62483.88,624838.8
2025-05-26,X3,Asia,South Korea,15,53464.11,801961.65
2025-05-27,X1,Europe,Italy,22,42719.31,939824.82
2025-05-28,X1,North America,USA,22,46500.13,1023002.86
2025-05-29,2 Series,North America,Mexico,13,41405.97,538277.61
2025-05-29,X3,Asia,South Korea,17,58406.23,992905.91
2025-05-30,i4,Europe,Germany,11,57108.69,628195.59
2025-05-30,X1,North America,USA,11,43219.28,475412.08
2025-05-30,X1,Europe,France,18,44503.41,801061.38
2025-05-31,X3,Europe,France,19,58178.69,1105395.11
2025-05-31,3 Series,Asia,India,12,44492.35,533908.2
2025-06-01,X5,North America,Mexico,9,75178.02,676602.18
2025-06-01,X1,North America,Mexico,12,45632.18,547586.16
2025-06-01,X7,Asia,India,2,111022.41,222044.82
2025-06-02,3 Series,Europe,France,13,46104.85,599363.05
2025-06-02,7 Series,North America,Mexico,4,96573.58,386294.32
2025-06-03,X1,Asia,South Korea,21,45195.12,949097.52
2025-06-03,3 Series,North America,Mexico,22,48821.95,1074082.9
2025-06-03,2 Series,Europe,Germany,9,42987.47,386887.23
2025-06-04,X1,Middle East,UAE,10,47183.5,471835.0
2025-06-04,2 Series,North America,Canada,10,43539.02,435390.2
2025-06-05,X3,Asia,India,14,56216.65,787033.1
2025-06-05,3 Series,Asia,India,14,47041.87,658586.18
2025-06-06,X7,Europe,France,3,115633.71,346901.13
2025-06-07,5 Series,North America,USA,12,63932.21,767186.52
2025-06-09,2 Series,Europe,UK,14,42842.45,599794.3
2025-06-10,3 Series,North America,Canada,7,47480.68,332364.76
2025-06-10,7 Series,Europe,Italy,4,94063.32,376253.28
2025-06-10,5 Series,North America,Canada,14,60453.7,846351.8
2025-06-11,5 Series,Africa,South Africa,6,61602.0,369612.0
2025-06-12,X1,Europe,France,15,42316.12,634741.8
2025-06-13,5 Series,North America,Canada,8,63896.96,511175.68
2025-06-13,i4,Oceania,New Zealand,2,58412.81,116825.62
2025-06-14,X1,North America,USA,17,45418.77,772119.09
2025-06-14,X1,North America,USA,15,47069.91,706048.65
2025-06-15,X3,North America,Canada,11,56782.96,624612.56
2025-06-16,7 Series,North America,USA,3,91517.27,274551.81
2025-06-17,5 Series,North America,Mexico,11,62220.66,684427.26
2025-06-17,X1,Asia,India,11,44432.83,488761.13
2025-06-20,X1,Asia,Japan,20,47257.31,945146.2
2025-06-20,5 Series,Africa,Morocco,9,63342.43,570081.87
2025-06-21,X7,Middle East,UAE,2,113244.04,226488.08
2025-06-21,i4,Asia,Japan,9,62110.93,558998.37
2025-06-22,X5,Middle East,UAE,12,82015.8,984189.6
2025-06-22,iX,Asia,South Korea,2,89414.86,178829.72
2025-06-24,i4,Oceania,New Zealand,7,58456.96,409198.72
2025-06-24,i4,Asia,India,9,53076.82,477691.38
2025-06-24,5 Series,Europe,France,6,64378.2,386269.2
2025-06-25,X3,Asia,China,14,57950.53,811307.42
2025-06-25,i4,North America,Canada,6,58989.05,353934.3
2025-06-27,X1,Asia,China,15,46546.7,698200.5
2025-06-27,7 Series,Europe,Italy,8,93942.19,751537.52
2025-06-27,X3,Asia,China,12,54519.91,654238.92
2025-06-27,iX,Asia,India,10,89991.94,899919.4
2025-06-27,3 Series,Oceania,Australia,8,51341.13,410729.04
2025-06-29,X5,Europe,Germany,11,74582.7,820409.7
2025-06-29,X3,Asia,South Korea,20,54832.75,1096655.0
2025-06-30,3 Series,North America,USA,10,46796.03,467960.3
2025-07-02,X1,Asia,South Korea,16,44651.53,714424.48
2025-07-02,5 Series,Europe,UK,9,60961.12,548650.08
2025-07-03,5 Series,Asia,China,10,61179.14,611791.4
2025-07-03,X3,Europe,France,15,57327.21,859908.15
2025-07-04,iX,Europe,UK,5,84187.87,420939.35
2025-07-04,3 Series,Asia,South Korea,20,48478.39,969567.8
2025-07-04,X3,North America,USA,11,57032.14,627353.54
2025-07-05,X1,Oceania,Australia,13,44779.53,582133.89
2025-07-06,2 Series,Asia,South Korea,12,42225.06,506700.72
2025-07-06,X1,Oceania,Australia,12,44127.91,529534.92
2025-07-06,2 Series,Europe,Germany,19,43767.64,831585.16
2025-07-07,X3,Middle East,UAE,8,57084.41,456675.28
2025-07-07,X3,Middle East,UAE,13,56247.84,731221.92
2025-07-07,X3,Middle East,Qatar,17,56880.97,966976.49
2025-07-08,i4,North America,Mexico,7,58250.8,407755.6
2025-07-08,3 Series,Africa,South Africa,4,48238.53,192954.12
2025-07-08,2 Series,Middle East,Saudi Arabia,22,41465.26,912235.72
2025-07-08,5 Series,Oceania,New Zealand,9,56579.21,509212.89
2025-07-08,2 Series,Africa,Morocco,5,41468.4,207342.0
2025-07-10,2 Series,Europe,UK,12,42726.24,512714.88
2025-07-10,X1,Europe,France,13,46224.61,600919.93
2025-07-12,i4,Europe,Italy,7,61912.97,433390.79
2025-07-13,X5,Europe,UK,9,77102.39,693921.51
2025-07-13,7 Series,Middle East,Qatar,5,98222.12,491110.6
2025-07-13,i4,Asia,China,7,54516.3,381614.1
2025-07-13,7 Series,North America,USA,5,103158.7,515793.5
2025-07-14,5 Series,Asia,Japan,7,66557.79,465904.53
2025-07-15,5 Series,Middle East,Saudi Arabia,14,62819.27,879469.78
2025-07-16,i4,North America,Mexico,12,57237.11,686845.32
2025-07-17,2 Series,Oceania,Australia,10,39186.33,391863.3
2025-07-18,7 Series,Europe,Germany,2,99687.25,199374.5
2025-07-18,X3,North America,Mexico,14,54779.56,766913.84
2025-07-19,3 Series,Oceania,Australia,4,46352.92,185411.68
2025-07-19,X1,Africa,Morocco,8,45960.84,367686.72
2025-07-19,X1,Africa,Morocco,6,46035.35,276212.1
2025-07-20,iX,Asia,China,7,83149.83,582048.81
2025-07-21,X5,Asia,China,9,71695.93,645263.37
2025-07-23,3 Series,North America,USA,14,48085.75,673200.5
2025-07-23,X3,Asia,Japan,14,60341.98,844787.72
2025-07-24,X5,North America,USA,9,80613.25,725519.25
2025-07-25,7 Series,North America,Mexico,4,105249.35,420997.4
2025-07-26,7 Series,Asia,India,5,92287.99,461439.95
2025-07-26,X1,Europe,UK,16,44930.46,718887.36
2025-07-26,5 Series,Asia,South Korea,10,61249.9,612499.0
2025-07-27,X3,North America,Canada,15,58395.57,875933.55
2025-07-27,7 Series,Asia,China,3,101476.85,304430.55
2025-07-29,5 Series,Asia,China,7,61328.36,429298.52
2025-07-29,X3,Asia,India,20,54288.46,1085769.2
2025-07-29,iX,Africa,South Africa,3,83664.5,250993.5
2025-07-29,i4,North America,Mexico,5,58649.17,293245.85
2025-07-29,2 Series,Asia,Japan,11,44448.44,488932.84
2025-07-29,X7,Asia,India,2,112978.98,225957.96
2025-07-30,3 Series,North America,USA,12,49594.01,595128.12
2025-07-31,5 Series,North America,Mexico,8,64842.07,518736.56
2025-08-01,3 Series,North America,Canada,17,47897.45,814256.65
2025-08-02,i4,North America,Canada,8,57807.51,462460.08
2025-08-02,2 Series,Middle East,UAE,14,42953.1,601343.4
2025-08-04,2 Series,Asia,South Korea,14,38630.86,540832.04
2025-08-04,X7,Europe,Germany,2,118915.16,237830.32
2025-08-04,X3,Europe,Germany,9,55272.52,497452.68
2025-08-05,X1,Oceania,Australia,13,44585.07,579605.91
2025-08-05,7 Series,Europe,Germany,2,101069.54,202139.08
2025-08-05,X3,North America,USA,11,56838.63,625224.93
2025-08-05,2 Series,North America,Canada,13,41658.56,541561.28
2025-08-06,X1,Middle East,UAE,9,47948.41,431535.69
2025-08-06,X3,North America,Mexico,8,56242.86,449942.88
2025-08-07,7 Series,Europe,Germany,3,99149.29,297447.87
2025-08-08,i4,Asia,Japan,7,58206.34,407444.38
2025-08-08,2 Series,Asia,South Korea,13,41641.09,541334.17
2025-08-08,2 Series,Asia,India,15,42875.61,643134.15
2025-08-08,X3,North America,USA,10,56962.19,569621.9
2025-08-09,X1,Asia,Japan,25,45751.06,1143776.5
2025-08-09,X3,Middle East,Qatar,10,56362.23,563622.3
2025-08-09,X5,Oceania,New Zealand,4,78137.74,312550.96
2025-08-09,iX,Middle East,UAE,1,85200.93,85200.93
2025-08-11,7 Series,Europe,Germany,7,104354.75,730483.25
2025-08-11,7 Series,Asia,Japan,9,101040.97,909368.73
2025-08-13,X1,Asia,Japan,15,46060.17,690902.55
2025-08-13,3 Series,North America,Canada,10,46697.44,466974.4
2025-08-14,iX,Middle East,Qatar,6,87788.89,526733.34
2025-08-15,X1,Asia,Japan,11,44295.03,487245.33
2025-08-15,X3,Middle East,UAE,14,56534.49,791482.86
2025-08-15,3 Series,Middle East,Qatar,9,49265.69,443391.21
2025-08-16,5 Series,Asia,South Korea,10,61875.45,618754.5
2025-08-17,X3,Europe,Germany,13,56676.09,736789.17
2025-08-17,X5,Europe,France,8,75389.17,603113.36
2025-08-17,X7,North America,Canada,6,116449.68,698698.08
2025-08-17,X5,Oceania,Australia,9,80559.01,725031.09
2025-08-18,X5,Middle East,Qatar,7,80677.73,564744.11
2025-08-18,X3,Asia,India,15,54004.71,810070.65
2025-08-19,2 Series,Middle East,Saudi Arabia,13,41681.83,541863.79
2025-08-19,X3,Europe,France,10,57399.9,573999.0
2025-08-20,5 Series,Middle East,Saudi Arabia,14,60418.77,845862.78
2025-08-20,7 Series,Europe,Italy,3,96387.2,289161.6
2025-08-21,X3,Europe,UK,16,55233.57,883737.12
2025-08-22,3 Series,Europe,UK,9,46886.6,421979.4
2025-08-23,3 Series,North America,Mexico,16,47272.05,756352.8
2025-08-24,X1,Asia,India,13,44936.38,584172.94
2025-08-25,X1,Asia,China,14,44594.58,624324.12
2025-08-25,7 Series,Asia,India,1,99248.89,99248.89
2025-08-25,X3,Europe,Germany,19,54877.93,1042680.67
2025-08-26,iX,Asia,Japan,6,86086.07,516516.42
2025-08-26,X1,Europe,Italy,21,47219.48,991609.08
2025-08-27,3 Series,Europe,UK,13,44753.4,581794.2
2025-08-29,3 Series,Europe,France,15,43982.87,659743.05
2025-08-29,X1,Europe,Italy,20,46474.53,929490.6
2025-08-31,i4,Asia,India,9,56780.61,511025.49
2025-09-01,iX,Asia,China,5,89338.51,446692.55
2025-09-01,X7,Europe,Italy,1,120979.05,120979.05
2025-09-02,7 Series,Oceania,New Zealand,1,96739.97,96739.97
2025-09-02,X1,Asia,India,17,45474.74,773070.58
2025-09-02,iX,Middle East,Saudi Arabia,1,89576.43,89576.43
2025-09-03,iX,Europe,Italy,3,89731.38,269194.14
2025-09-03,iX,Asia,Japan,4,89171.9,356687.6
2025-09-04,X1,Europe,France,16,44808.32,716933.12
2025-09-04,X3,Middle East,UAE,10,56362.53,563625.3
2025-09-04,7 Series,Asia,China,1,97185.75,97185.75
2025-09-05,X5,Europe,Italy,11,77171.48,848886.28
2025-09-05,X1,Asia,Japan,13,42570.21,553412.73
