event_id,vehicle_id,vin,timestamp,battery_level,speed,temperature,latitude,longitude,quarantine_dataset,quarantine_error_type,quarantine_error_message,quarantine_validation_rule,quarantine_timestamp
EVT0038470,BMW00868,WBA00000000000868,,96.65,78.06,32.83,9.508429,2.171114,telemetry,NULL_VALUE|INVALID_DATE,Null values in: timestamp | Invalid date in: timestamp,NULL_VALUE|INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0071532,BMW00028,INVALID_VIN,2026-09-06 08:55:00,12.02,140.8,20.02,12.920391,132.151213,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0017584,,WBA00000000000362,2026-03-03 01:15:00,79.96,144.28,-5.32,47.590778,-27.601042,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0093033,,WBA00000000000159,2026-11-20 00:40:00,83.28,2.51,32.72,17.435181,63.915577,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0073640,BMW00342,,2026-09-13 16:35:00,69.57,89.64,18.2,31.661854,-68.007282,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0009784,BMW00015,WBA00000000000015,2026-15-40 99:99:99,95.15,83.24,16.49,23.879772,22.251848,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0099933,BMW00932,WBA00000000000932,2026-12-13 23:40:00,-31.52,75.73,19.08,52.761288,-106.630318,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0071034,BMW00259,,2026-09-04 15:25:00,27.49,64.5,53.66,14.978807,-66.610233,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0088011,,WBA00000000000183,2026-11-02 14:10:00,85.9,117.61,43.66,38.608417,-10.396398,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0059240,,WBA00000000000755,2026-07-25 16:35:00,43.06,159.07,2.79,30.366668,3.091947,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0088906,BMW00749,WBA00000000000749,2026-11-05 16:45:00,150.0,93.8,11.51,8.226521,-89.084454,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0061130,BMW00836,!!BADVIN!!,2026-08-01 06:05:00,96.07,147.87,54.36,45.840654,120.580497,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0091189,,WBA00000000000024,2026-11-13 15:00:00,81.83,3.41,5.28,26.178065,142.983385,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0073082,BMW00444,INVALID_VIN,2026-09-11 18:05:00,11.28,95.04,7.31,52.089102,113.368243,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0000370,BMW00286,,2026-01-02 06:45:00,67.76,129.79,-9.65,27.292941,15.799278,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0031545,BMW00150,!!BADVIN!!,2026-04-20 12:40:00,24.62,77.99,31.52,13.521933,45.901374,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0080438,BMW00735,,2026-10-07 07:05:00,74.02,43.73,-4.0,33.539671,-3.466019,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0029410,BMW00211,,2026-04-13 02:45:00,62.23,29.14,-2.69,41.196143,-117.148674,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0086500,BMW00003,,2026-10-28 08:15:00,70.0,114.93,23.72,43.729834,-84.870875,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0063455,BMW00273,WBA00000000000273,2026-08-09 07:50:00,-46.77,76.82,15.48,16.646293,-1.25028,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0047883,BMW00673,WBA00000000000673,2026-06-16 06:10:00,148.21,1.48,19.18,33.374488,101.534545,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0016892,,WBA00000000000960,2026-02-28 15:35:00,14.81,86.43,43.53,26.570601,-18.892854,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0054806,BMW00156,,2026-07-10 07:05:00,59.53,114.95,47.07,47.628825,80.363496,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0075506,FAKE00002,WBA00000000000843,2026-09-20 04:05:00,66.5,7.51,-7.39,32.38252,147.885334,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0075430,,WBA00000000000688,2026-09-19 21:45:00,76.94,116.87,53.79,29.805757,65.484872,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0018187,BMW00770,,2026-03-05 03:30:00,68.88,133.89,41.59,8.289408,-31.936907,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0002845,BMW00175,,2026-01-10 21:00:00,90.69,54.01,-6.71,20.172066,83.926219,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0062884,BMW00423,WBA00000000000423,2026/99/99,16.84,114.93,12.19,12.820547,113.817999,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0020028,BMW00703,WBA00000000000703,,50.49,158.13,17.05,13.216285,-63.604511,telemetry,NULL_VALUE|INVALID_DATE,Null values in: timestamp | Invalid date in: timestamp,NULL_VALUE|INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0070529,BMW00611,INVALIDVIN,2026-09-02 21:20:00,22.41,60.47,7.17,16.726352,5.772696,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0018104,,WBA00000000000861,2026-03-04 20:35:00,80.04,109.22,51.36,17.545531,-44.561671,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0033355,BMW00920,,2026-04-26 19:30:00,98.19,15.54,49.65,8.985975,106.83316,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0005669,BMW00405,WBA000,2026-01-20 16:20:00,46.47,22.14,-1.48,19.35833,-113.297983,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0098504,BMW00414,WBA00000000000414,2026-12-09 00:35:00,,137.18,6.73,27.527024,114.311112,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: battery_level | Out-of-range value in: battery_level,NULL_VALUE|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0045808,BMW00731,,2026-06-09 01:15:00,63.21,42.6,51.14,43.709235,48.786968,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0018412,BMW00427,,2026-03-05 22:15:00,51.33,27.43,25.41,16.416552,-79.506632,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0054703,BMW00537,,2026-07-09 22:30:00,76.0,134.61,29.11,49.124493,69.085122,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0011327,BMW00307,WBA00000000000307,0000-00-00,56.07,82.6,-2.29,39.212938,128.073614,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0030142,BMW00471,,2026-04-15 15:45:00,20.4,90.45,0.09,32.999596,48.060522,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0092912,BMW00071,WBA00000000000071,,44.13,100.79,43.12,46.001912,-89.752453,telemetry,NULL_VALUE|INVALID_DATE,Null values in: timestamp | Invalid date in: timestamp,NULL_VALUE|INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0046297,,WBA00000000000119,2026-06-10 18:00:00,85.65,27.63,19.8,50.614173,81.607261,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0037176,BMW00260,WBA00000000000260,2026-05-10 01:55:00,-25.0,44.09,7.59,23.818317,57.274336,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
BAD00069,UNKNOWN,BADVIN,not-a-date,999.0,-50.0,999.0,999.0,999.0,telemetry,INVALID_VIN|INVALID_DATE|OUT_OF_RANGE|REFERENTIAL_INTEGRITY,"Invalid or missing VIN | Invalid date in: timestamp | Out-of-range value in: battery_level, temperature, speed | Referential integrity violation",INVALID_VIN|INVALID_DATE|OUT_OF_RANGE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0071188,FAKE00019,WBA00000000000231,2026-09-05 04:15:00,17.61,77.78,14.04,29.331993,-79.319687,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0086085,,WBA00000000000125,2026-10-26 21:40:00,20.34,149.31,-5.61,37.717859,52.538259,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0054430,FAKE00005,WBA00000000000635,2026-07-08 23:45:00,20.18,130.98,27.74,22.585504,-86.020017,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0050586,BMWX00123,WBA00000000000152,2026-06-25 15:25:00,52.63,91.25,18.75,25.545727,31.069255,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0056867,BMW00414,123456789,2026-07-17 10:50:00,27.57,136.09,34.77,53.718629,-99.794129,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0001649,BMW00551,WBA00000000000551,2026-01-06 17:20:00,,25.2,50.37,34.502654,91.046444,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: battery_level | Out-of-range value in: battery_level,NULL_VALUE|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0026234,BMW00957,123456789,2026-04-02 02:05:00,17.27,56.63,7.53,47.630268,54.441697,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0090763,,WBA00000000000580,2026-11-12 03:30:00,52.94,118.46,16.72,31.951497,114.078383,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0040098,BMW00874,WBA00000000000874,2026-05-20 05:25:00,-38.94,52.36,48.43,23.498219,-18.294213,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0005438,BMW00293,WBA00000000000293,2026-15-40 99:99:99,38.09,54.66,13.72,18.075171,-117.627316,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0085311,BMW00899,WBA00000000000899,not-a-date,13.68,49.02,-8.36,12.41068,45.133487,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0092638,BMW00608,WBA00000000000608,2026-11-18 15:45:00,23.28,91.04,,19.687447,121.331131,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: temperature | Out-of-range value in: temperature,NULL_VALUE|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0024358,FAKE00001,WBA00000000000128,2026-03-26 13:45:00,71.29,68.8,2.83,49.748934,-90.886141,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0084505,,WBA00000000000324,2026-10-21 10:00:00,88.84,18.92,10.69,21.511231,42.459602,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0032352,,WBA00000000000024,2026-04-23 07:55:00,94.12,104.97,34.08,42.75534,-112.039329,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0088205,BMW00508,WBA00000000000508,2026-15-40 99:99:99,87.56,91.31,48.99,54.222898,-82.75141,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0094756,,WBA00000000000020,2026-11-26 00:15:00,15.85,6.27,5.64,37.826805,-32.645417,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0001649,BMW00551,WBA00000000000551,2026-01-06 17:20:00,,25.2,50.37,34.502654,91.046444,telemetry,NULL_VALUE|DUPLICATE_RECORD|OUT_OF_RANGE,Null values in: battery_level | Duplicate record detected | Out-of-range value in: battery_level,NULL_VALUE|DUPLICATE_RECORD|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0033899,BMW00151,,2026-04-28 16:50:00,60.28,48.92,52.14,23.414862,85.669975,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0029254,,WBA00000000000331,2026-04-12 13:45:00,84.88,21.37,-4.55,31.133129,-99.038399,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0014836,BMW00413,,2026-02-21 12:15:00,99.79,36.72,14.01,29.999917,-57.419744,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0012365,BMW00619,,2026-02-12 22:20:00,62.79,113.45,9.1,17.908718,-21.788659,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0040515,BMW00711,WBA00000000000711,2026-05-21 16:10:00,180.0,77.98,54.01,32.192585,128.704299,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0043996,,WBA00000000000194,2026-06-02 18:15:00,68.93,121.78,3.21,9.137837,24.143328,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0085450,BMW00612,WBA000,2026-10-24 16:45:00,79.1,4.98,16.18,22.465213,125.967221,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0048509,BMW00873,INVALID_VIN,2026-06-18 10:20:00,81.63,10.46,14.2,49.034765,-62.53158,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0045658,,WBA00000000000137,2026-06-08 12:45:00,78.02,60.9,27.6,53.785816,95.686989,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0034100,BMW00083,WBA00000000000083,abc,37.29,101.57,2.64,49.660127,0.622081,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0047256,,WBA00000000000311,2026-06-14 01:55:00,,156.76,24.47,45.094172,-1.887874,telemetry,NULL_VALUE|OUT_OF_RANGE|REFERENTIAL_INTEGRITY,"Null values in: vehicle_id, battery_level | Out-of-range value in: battery_level | Referential integrity violation",NULL_VALUE|OUT_OF_RANGE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0034876,,WBA00000000000099,2026-05-02 02:15:00,16.73,39.99,44.78,36.036613,86.81019,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0041705,BMW00054,,2026-05-25 19:20:00,180.0,45.67,18.17,42.260495,99.611217,telemetry,NULL_VALUE|INVALID_VIN|OUT_OF_RANGE,Null values in: vin | Invalid or missing VIN | Out-of-range value in: battery_level,NULL_VALUE|INVALID_VIN|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0067369,,WBA00000000000253,2026-08-22 22:00:00,94.41,111.15,17.39,50.322104,44.129875,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0014149,BMW00745,WBA00000000000745,2026-02-19 03:00:00,85.75,82.47,,46.635704,-116.111185,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: temperature | Out-of-range value in: temperature,NULL_VALUE|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0081296,BMW00518,,2026-10-10 06:35:00,86.27,14.74,23.11,33.215497,10.736124,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0073218,BMW00623,WBA00000000000623,2026-09-12 05:25:00,42.17,45.36,,33.843477,119.620349,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: temperature | Out-of-range value in: temperature,NULL_VALUE|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0092730,BMW00382,WBA00000000000382,2026-15-40 99:99:99,16.58,50.66,49.12,13.724746,-95.07086,telemetry,INVALID_DATE,Invalid date in: timestamp,INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0086545,BMW00588,WBA00000000000588,2026-10-28 12:00:00,63.12,36.69,,25.458456,115.089693,telemetry,NULL_VALUE|OUT_OF_RANGE,Null values in: temperature | Out-of-range value in: temperature,NULL_VALUE|OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0019567,BMW00568,WBA00000000000568,2026-03-09 22:30:00,135.17,135.77,29.85,30.883546,37.855731,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0096093,BMW00216,,2026-11-30 15:40:00,82.06,93.46,33.29,46.043464,-16.489979,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0048813,BMW00737,WBA00000000000737,2026-06-19 11:40:00,113.34,96.57,24.07,24.623068,138.300728,telemetry,OUT_OF_RANGE,Out-of-range value in: battery_level,OUT_OF_RANGE,2026-09-16T17:39:46.226977+00:00
EVT0046828,FAKE00000,WBA00000000000650,2026-06-12 14:15:00,60.59,42.3,43.44,41.307675,-2.002602,telemetry,REFERENTIAL_INTEGRITY,Referential integrity violation,REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0013017,BMW00864,Y7FHWJWXZU,2026-02-15 04:40:00,13.06,20.73,42.05,41.60267,-59.41311,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0031677,BMW00971,WBA00000000000971,,33.62,94.88,43.51,54.111411,-88.45367,telemetry,NULL_VALUE|INVALID_DATE,Null values in: timestamp | Invalid date in: timestamp,NULL_VALUE|INVALID_DATE,2026-09-16T17:39:46.226977+00:00
EVT0090883,BMW00088,,2026-11-12 13:30:00,13.47,100.77,-8.27,38.442517,-36.665609,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0046529,BMW00506,,2026-06-11 13:20:00,98.54,131.49,36.88,51.340566,-74.768521,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0089259,BMW00897,,2026-11-06 22:10:00,26.84,99.92,51.98,22.105101,-119.961436,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0028974,BMW00110,123456789,2026-04-11 14:25:00,11.98,23.32,-0.51,50.543093,85.086154,telemetry,INVALID_VIN,Invalid or missing VIN,INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0030007,BMW00921,,2026-04-15 04:30:00,27.97,9.98,47.95,18.671792,-72.959096,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0049118,,WBA00000000000798,2026-06-20 13:05:00,78.51,49.88,-3.97,50.673131,113.395341,telemetry,NULL_VALUE|REFERENTIAL_INTEGRITY,Null values in: vehicle_id | Referential integrity violation,NULL_VALUE|REFERENTIAL_INTEGRITY,2026-09-16T17:39:46.226977+00:00
EVT0022969,BMW00268,,2026-03-21 18:00:00,39.12,156.89,43.69,27.125856,139.091855,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
EVT0006933,BMW00075,,2026-01-25 01:40:00,90.85,103.1,28.94,12.294896,60.566318,telemetry,NULL_VALUE|INVALID_VIN,Null values in: vin | Invalid or missing VIN,NULL_VALUE|INVALID_VIN,2026-09-16T17:39:46.226977+00:00
