vehicle_id,vin,model,model_year,region,status
BMW00041,WBA00000000000041,5 Series,2024,Asia,Active
BMW00042,WBA00000000000042,i4,2025,Oceania,Active
BMW00043,WBA00000000000043,i4,2022,Middle East,Active
BMW00044,WBA00000000000044,X1,2022,Middle East,Active
BMW00045,WBA00000000000045,3 Series,2024,Asia,Active
BMW00046,WBA00000000000046,iX,2021,Oceania,Active
BMW00047,WBA00000000000047,X3,2021,North America,Active
BMW00048,WBA00000000000048,i5,2024,North America,Active
BMW00049,WBA00000000000049,X7,2024,Middle East,Active
BMW00050,WBA00000000000050,i4,2020,Middle East,Active
BMW00051,WBA00000000000051,i4,2023,Europe,Active
BMW00052,WBA00000000000052,5 Series,2022,Asia,Active
BMW00053,WBA00000000000053,X1,2023,Asia,Active
BMW00054,WBA00000000000054,X3,2026,Oceania,Active
BMW00055,WBA00000000000055,X3,2020,Middle East,Active
BMW00056,WBA00000000000056,3 Series,2026,Asia,Active
BMW00057,WBA00000000000057,X5,2023,Middle East,Inactive
BMW00058,WBA00000000000058,5 Series,2025,Middle East,Active
BMW00059,WBA00000000000059,i4,2022,Asia,Active
BMW00060,WBA00000000000060,X7,2022,North America,Active
BMW00061,WBA00000000000061,iX,2025,Oceania,Inactive
BMW00062,WBA00000000000062,i4,2024,North America,Active
BMW00063,WBA00000000000063,X1,2021,Europe,Active
BMW00064,WBA00000000000064,iX,2024,Middle East,Inactive
BMW00065,WBA00000000000065,X3,2025,North America,Active
BMW00066,WBA00000000000066,X1,2022,North America,Active
BMW00067,WBA00000000000067,iX,2026,Middle East,Active
BMW00068,WBA00000000000068,X1,2024,Oceania,Active
BMW00069,WBA00000000000069,3 Series,2022,Asia,Active
BMW00070,WBA00000000000070,X3,2020,North America,Active
BMW00071,WBA00000000000071,i4,2024,Europe,Active
BMW00072,WBA00000000000072,5 Series,2021,Middle East,Active
BMW00073,WBA00000000000073,X3,2025,North America,Active
BMW00074,WBA00000000000074,5 Series,2023,Asia,Active
BMW00075,WBA00000000000075,X7,2023,Middle East,Active
BMW00076,WBA00000000000076,X3,2021,North America,Active
BMW00077,WBA00000000000077,X1,2024,North America,Active
BMW00078,WBA00000000000078,7 Series,2021,North America,Active
BMW00079,WBA00000000000079,X5,2022,Asia,Inactive
BMW00080,WBA00000000000080,X7,2025,Europe,Active
BMW00081,WBA00000000000081,iX,2026,Oceania,Active
BMW00082,WBA00000000000082,X3,2026,Europe,Active
BMW00083,WBA00000000000083,5 Series,2026,Asia,Active
BMW00084,WBA00000000000084,i5,2023,Middle East,Active
BMW00085,WBA00000000000085,X7,2021,Europe,Active
BMW00086,WBA00000000000086,i4,2025,Middle East,Inactive
BMW00087,WBA00000000000087,3 Series,2025,Middle East,Active
BMW00088,WBA00000000000088,X1,2026,Middle East,Active
BMW00089,WBA00000000000089,i4,2024,Asia,Active
BMW00090,WBA00000000000090,i5,2020,Europe,Active
BMW00091,WBA00000000000091,X3,2023,Oceania,Active
BMW00092,WBA00000000000092,i5,2023,Asia,Active
BMW00093,WBA00000000000093,i5,2025,Oceania,Inactive
BMW00094,WBA00000000000094,X1,2022,Europe,Active
BMW00095,WBA00000000000095,i5,2022,Europe,Active
BMW00096,WBA00000000000096,7 Series,2020,Middle East,Active
BMW00097,WBA00000000000097,7 Series,2025,Oceania,Active
BMW00098,WBA00000000000098,X7,2025,Oceania,Active
BMW00099,WBA00000000000099,X7,2020,Middle East,Active
BMW00100,WBA00000000000100,5 Series,2023,Asia,Active
BMW00101,WBA00000000000101,i5,2023,Oceania,Inactive
BMW00102,WBA00000000000102,5 Series,2023,Middle East,Active
BMW00103,WBA00000000000103,i5,2026,Europe,Active
BMW00104,WBA00000000000104,3 Series,2021,Europe,Active
BMW00105,WBA00000000000105,i4,2022,Oceania,Active
BMW00106,WBA00000000000106,i4,2021,Asia,Active
BMW00107,WBA00000000000107,i4,2021,Middle East,Inactive
BMW00108,WBA00000000000108,X7,2026,Europe,Active
BMW00109,WBA00000000000109,X3,2026,Asia,Active
BMW00110,WBA00000000000110,i4,2020,Asia,Active
BMW00111,WBA00000000000111,7 Series,2024,Asia,Active
BMW00112,WBA00000000000112,i4,2021,Middle East,Active
BMW00113,WBA00000000000113,X5,2021,Oceania,Active
BMW00114,WBA00000000000114,X3,2022,Oceania,Active
BMW00115,WBA00000000000115,X5,2021,Middle East,Active
BMW00116,WBA00000000000116,X5,2023,Asia,Active
BMW00117,WBA00000000000117,3 Series,2026,Oceania,Active
BMW00118,WBA00000000000118,5 Series,2024,North America,Active
BMW00119,WBA00000000000119,7 Series,2025,North America,Inactive
BMW00120,WBA00000000000120,5 Series,2023,Middle East,Active
BMW00121,WBA00000000000121,X3,2020,Middle East,Active
BMW00122,WBA00000000000122,X7,2020,Oceania,Active
BMW00123,WBA00000000000123,X7,2021,North America,Active
BMW00124,WBA00000000000124,X3,2021,Middle East,Active
BMW00125,WBA00000000000125,i5,2025,Middle East,Active
BMW00126,WBA00000000000126,X5,2025,Asia,Active
BMW00127,WBA00000000000127,3 Series,2025,Asia,Active
BMW00128,WBA00000000000128,i4,2024,Middle East,Active
BMW00129,WBA00000000000129,X5,2023,Europe,Active
BMW00130,WBA00000000000130,X7,2024,Asia,Active
BMW00131,WBA00000000000131,X5,2022,Middle East,Active
BMW00132,WBA00000000000132,X5,2024,Oceania,Active
BMW00133,WBA00000000000133,3 Series,2025,North America,Active
BMW00134,WBA00000000000134,X5,2025,Asia,Active
BMW00135,WBA00000000000135,i4,2024,North America,Inactive
BMW00136,WBA00000000000136,X1,2020,Middle East,Active
BMW00137,WBA00000000000137,X7,2025,North America,Active
BMW00138,WBA00000000000138,3 Series,2022,Europe,Inactive
BMW00139,WBA00000000000139,X1,2025,North America,Active
BMW00140,WBA00000000000140,X3,2023,North America,Active
BMW00141,WBA00000000000141,iX,2026,Middle East,Active
BMW00142,WBA00000000000142,7 Series,2022,Oceania,Active
BMW00143,WBA00000000000143,7 Series,2026,Oceania,Active
BMW00144,WBA00000000000144,X3,2025,Middle East,Active
BMW00145,WBA00000000000145,iX,2022,Asia,Active
BMW00146,WBA00000000000146,i5,2023,North America,Active
BMW00147,WBA00000000000147,3 Series,2023,Europe,Active
BMW00148,WBA00000000000148,7 Series,2025,Oceania,Active
BMW00149,WBA00000000000149,i5,2024,Oceania,Inactive
BMW00150,WBA00000000000150,3 Series,2025,Oceania,Active
BMW00151,WBA00000000000151,i5,2022,Asia,Active
BMW00152,WBA00000000000152,7 Series,2023,Asia,Active
BMW00153,WBA00000000000153,iX,2023,Oceania,Active
BMW00154,WBA00000000000154,7 Series,2026,North America,Active
BMW00155,WBA00000000000155,X3,2022,Middle East,Inactive
BMW00156,WBA00000000000156,X7,2024,North America,Active
BMW00157,WBA00000000000157,5 Series,2020,North America,Active
BMW00158,WBA00000000000158,X5,2025,Middle East,Active
BMW00159,WBA00000000000159,X5,2022,Oceania,Active
BMW00160,WBA00000000000160,i4,2022,Asia,Active
BMW00161,WBA00000000000161,iX,2024,Oceania,Active
BMW00162,WBA00000000000162,X7,2023,Asia,Active
BMW00163,WBA00000000000163,X3,2025,North America,Active
BMW00164,WBA00000000000164,X3,2023,Oceania,Active
BMW00165,WBA00000000000165,X3,2023,Oceania,Inactive
BMW00166,WBA00000000000166,i5,2020,Oceania,Active
BMW00167,WBA00000000000167,X1,2020,Asia,Active
BMW00168,WBA00000000000168,5 Series,2022,Oceania,Active
BMW00169,WBA00000000000169,X1,2026,Oceania,Active
BMW00170,WBA00000000000170,3 Series,2026,Oceania,Active
BMW00171,WBA00000000000171,5 Series,2024,Europe,Active
BMW00172,WBA00000000000172,3 Series,2024,Middle East,Active
BMW00173,WBA00000000000173,i4,2022,Oceania,Active
BMW00174,WBA00000000000174,i4,2021,Middle East,Active
BMW00175,WBA00000000000175,X7,2020,Asia,Active
BMW00176,WBA00000000000176,X3,2022,Middle East,Inactive
BMW00177,WBA00000000000177,i4,2022,Europe,Active
BMW00178,WBA00000000000178,5 Series,2021,North America,Active
BMW00179,WBA00000000000179,iX,2021,Middle East,Active
BMW00180,WBA00000000000180,X5,2020,North America,Active
BMW00181,WBA00000000000181,iX,2024,Middle East,Active
BMW00182,WBA00000000000182,5 Series,2026,Asia,Active
BMW00183,WBA00000000000183,X3,2024,Middle East,Active
BMW00184,WBA00000000000184,X7,2023,Middle East,Active
BMW00185,WBA00000000000185,X3,2022,Middle East,Active
BMW00186,WBA00000000000186,X3,2022,Asia,Active
BMW00187,WBA00000000000187,5 Series,2020,Asia,Active
BMW00188,WBA00000000000188,X1,2024,Asia,Active
BMW00189,WBA00000000000189,7 Series,2023,North America,Active
BMW00190,WBA00000000000190,X1,2020,North America,Active
BMW00191,WBA00000000000191,X7,2022,Asia,Active
BMW00192,WBA00000000000192,X7,2021,North America,Inactive
BMW00193,WBA00000000000193,X7,2021,Asia,Active
BMW00194,WBA00000000000194,X1,2024,Asia,Active
BMW00195,WBA00000000000195,iX,2023,Middle East,Active
BMW00196,WBA00000000000196,3 Series,2024,Oceania,Active
BMW00197,WBA00000000000197,X1,2024,Asia,Active
BMW00198,WBA00000000000198,5 Series,2026,Oceania,Active
BMW00199,WBA00000000000199,X1,2025,North America,Inactive
BMW00200,WBA00000000000200,iX,2024,Europe,Active
BMW00201,WBA00000000000201,X1,2026,Asia,Inactive
BMW00202,WBA00000000000202,iX,2023,Europe,Inactive
BMW00203,WBA00000000000203,X3,2026,Europe,Active
BMW00204,WBA00000000000204,X7,2025,Asia,Active
BMW00205,WBA00000000000205,X3,2024,North America,Active
BMW00206,WBA00000000000206,7 Series,2026,Middle East,Inactive
BMW00207,WBA00000000000207,i4,2023,Europe,Active
BMW00208,WBA00000000000208,iX,2025,Oceania,Active
BMW00209,WBA00000000000209,7 Series,2021,Asia,Active
BMW00210,WBA00000000000210,i4,2026,Europe,Active
BMW00211,WBA00000000000211,7 Series,2024,Middle East,Active
BMW00212,WBA00000000000212,i4,2025,Middle East,Active
BMW00213,WBA00000000000213,i4,2023,Middle East,Inactive
BMW00214,WBA00000000000214,X3,2026,Europe,Active
BMW00215,WBA00000000000215,i4,2020,Europe,Active
BMW00216,WBA00000000000216,7 Series,2020,Asia,Active
BMW00217,WBA00000000000217,3 Series,2023,North America,Active
BMW00218,WBA00000000000218,3 Series,2025,Oceania,Active
BMW00219,WBA00000000000219,X3,2025,Asia,Active
BMW00220,WBA00000000000220,iX,2023,Europe,Active
BMW00221,WBA00000000000221,5 Series,2024,Oceania,Active
BMW00222,WBA00000000000222,X3,2023,Europe,Active
BMW00223,WBA00000000000223,i4,2026,Europe,Active
BMW00224,WBA00000000000224,7 Series,2024,North America,Active
BMW00225,WBA00000000000225,i4,2022,North America,Active
BMW00226,WBA00000000000226,X1,2026,Middle East,Active
BMW00227,WBA00000000000227,i5,2020,Oceania,Active
BMW00228,WBA00000000000228,X5,2026,Oceania,Active
BMW00229,WBA00000000000229,X5,2021,Asia,Active
BMW00230,WBA00000000000230,5 Series,2022,Oceania,Active
BMW00231,WBA00000000000231,X3,2025,Middle East,Inactive
BMW00232,WBA00000000000232,i5,2025,Europe,Active
BMW00233,WBA00000000000233,3 Series,2026,Oceania,Active
BMW00234,WBA00000000000234,i4,2025,Europe,Active
BMW00235,WBA00000000000235,X3,2024,North America,Active
BMW00236,WBA00000000000236,i4,2022,Middle East,Active
BMW00237,WBA00000000000237,X7,2020,Asia,Active
BMW00238,WBA00000000000238,X3,2020,Asia,Active
BMW00239,WBA00000000000239,X1,2022,North America,Active
BMW00240,WBA00000000000240,X7,2020,Oceania,Active
BMW00241,WBA00000000000241,5 Series,2023,Asia,Active
BMW00242,WBA00000000000242,X5,2025,Middle East,Active
BMW00243,WBA00000000000243,3 Series,2026,North America,Active
BMW00244,WBA00000000000244,X7,2023,Europe,Inactive
BMW00245,WBA00000000000245,X7,2026,Middle East,Active
BMW00246,WBA00000000000246,3 Series,2026,Oceania,Active
BMW00247,WBA00000000000247,i4,2026,North America,Active
BMW00248,WBA00000000000248,X3,2023,Europe,Active
BMW00249,WBA00000000000249,i4,2022,Europe,Active
BMW00250,WBA00000000000250,3 Series,2026,North America,Active
BMW00251,WBA00000000000251,5 Series,2021,North America,Active
BMW00252,WBA00000000000252,X3,2022,North America,Active
BMW00253,WBA00000000000253,5 Series,2020,Asia,Active
BMW00254,WBA00000000000254,X1,2025,North America,Active
BMW00255,WBA00000000000255,X7,2024,Asia,Active
BMW00256,WBA00000000000256,5 Series,2020,Middle East,Active
BMW00257,WBA00000000000257,X7,2021,Middle East,Active
BMW00258,WBA00000000000258,5 Series,2023,Middle East,Inactive
BMW00259,WBA00000000000259,5 Series,2023,Europe,Inactive
BMW00260,WBA00000000000260,X5,2025,Oceania,Inactive
BMW00261,WBA00000000000261,i4,2021,Europe,Active
BMW00262,WBA00000000000262,5 Series,2026,Oceania,Active
BMW00263,WBA00000000000263,7 Series,2023,Europe,Active
BMW00264,WBA00000000000264,iX,2025,North America,Active
BMW00265,WBA00000000000265,iX,2021,Europe,Active
BMW00266,WBA00000000000266,X5,2020,Europe,Active
BMW00267,WBA00000000000267,X3,2020,Middle East,Inactive
BMW00268,WBA00000000000268,X1,2022,Middle East,Active
BMW00269,WBA00000000000269,X7,2026,Europe,Active
BMW00270,WBA00000000000270,X5,2020,Oceania,Active
BMW00271,WBA00000000000271,7 Series,2022,Asia,Active
BMW00272,WBA00000000000272,3 Series,2020,Asia,Active
BMW00273,WBA00000000000273,5 Series,2026,Asia,Active
BMW00274,WBA00000000000274,iX,2024,North America,Active
BMW00275,WBA00000000000275,X3,2025,Europe,Active
BMW00276,WBA00000000000276,X3,2024,North America,Active
BMW00277,WBA00000000000277,X3,2024,Asia,Active
BMW00278,WBA00000000000278,i4,2025,Europe,Active
BMW00279,WBA00000000000279,3 Series,2020,Asia,Active
BMW00280,WBA00000000000280,3 Series,2026,Middle East,Active
BMW00281,WBA00000000000281,7 Series,2025,Middle East,Active
BMW00282,WBA00000000000282,X3,2025,Asia,Active
BMW00283,WBA00000000000283,X7,2022,Asia,Active
BMW00284,WBA00000000000284,X3,2025,Middle East,Active
BMW00285,WBA00000000000285,X3,2022,Middle East,Active
BMW00286,WBA00000000000286,iX,2020,Oceania,Active
BMW00287,WBA00000000000287,5 Series,2026,Oceania,Active
BMW00288,WBA00000000000288,X5,2021,Oceania,Active
BMW00289,WBA00000000000289,X5,2020,Oceania,Active
BMW00290,WBA00000000000290,X3,2024,North America,Active
BMW00291,WBA00000000000291,i5,2021,Asia,Active
BMW00292,WBA00000000000292,7 Series,2026,Asia,Active
BMW00293,WBA00000000000293,iX,2023,Asia,Active
BMW00294,WBA00000000000294,X1,2020,Middle East,Active
BMW00295,WBA00000000000295,X5,2026,Middle East,Inactive
BMW00296,WBA00000000000296,X5,2023,Oceania,Active
BMW00297,WBA00000000000297,i5,2021,Europe,Active
BMW00298,WBA00000000000298,X3,2024,North America,Active
BMW00299,WBA00000000000299,7 Series,2023,Asia,Active
BMW00300,WBA00000000000300,3 Series,2020,Oceania,Active
BMW00301,WBA00000000000301,X1,2025,Asia,Active
BMW00302,WBA00000000000302,i5,2022,Europe,Active
BMW00303,WBA00000000000303,3 Series,2024,North America,Active
BMW00304,WBA00000000000304,i5,2026,Oceania,Active
BMW00305,WBA00000000000305,X5,2024,Oceania,Active
BMW00306,WBA00000000000306,5 Series,2024,Europe,Active
BMW00307,WBA00000000000307,X1,2021,Asia,Active
BMW00308,WBA00000000000308,X5,2021,Europe,Active
BMW00309,WBA00000000000309,X1,2022,Asia,Active
BMW00310,WBA00000000000310,5 Series,2025,North America,Active
BMW00311,WBA00000000000311,X7,2023,Asia,Active
BMW00312,WBA00000000000312,X7,2022,Europe,Active
BMW00313,WBA00000000000313,5 Series,2025,North America,Active
BMW00314,WBA00000000000314,7 Series,2025,Europe,Active
BMW00315,WBA00000000000315,7 Series,2026,Asia,Active
BMW00316,WBA00000000000316,X7,2022,Europe,Active
BMW00317,WBA00000000000317,i4,2024,Europe,Active
BMW00318,WBA00000000000318,i4,2024,North America,Active
BMW00319,WBA00000000000319,iX,2023,Oceania,Active
BMW00320,WBA00000000000320,i4,2022,Middle East,Active
BMW00321,WBA00000000000321,X1,2020,Europe,Inactive
BMW00322,WBA00000000000322,5 Series,2021,Europe,Active
BMW00323,WBA00000000000323,X7,2023,Asia,Active
BMW00324,WBA00000000000324,iX,2026,Middle East,Active
BMW00325,WBA00000000000325,iX,2026,Middle East,Active
BMW00326,WBA00000000000326,7 Series,2021,Oceania,Active
BMW00327,WBA00000000000327,7 Series,2024,Asia,Active
BMW00328,WBA00000000000328,3 Series,2020,Europe,Active
BMW00329,WBA00000000000329,5 Series,2024,Europe,Inactive
BMW00330,WBA00000000000330,X5,2022,Europe,Active
BMW00331,WBA00000000000331,X5,2023,Europe,Active
BMW00332,WBA00000000000332,X1,2025,Oceania,Inactive
BMW00333,WBA00000000000333,X1,2022,Asia,Active
BMW00334,WBA00000000000334,i5,2025,Oceania,Active
BMW00335,WBA00000000000335,X3,2023,North America,Active
BMW00336,WBA00000000000336,i5,2026,North America,Active
BMW00337,WBA00000000000337,iX,2024,North America,Active
BMW00338,WBA00000000000338,X1,2022,Oceania,Active
BMW00339,WBA00000000000339,7 Series,2025,Europe,Active
BMW00340,WBA00000000000340,iX,2022,Europe,Active
BMW00341,WBA00000000000341,X7,2023,North America,Active
BMW00342,WBA00000000000342,7 Series,2020,Asia,Active
BMW00343,WBA00000000000343,X7,2020,North America,Active
BMW00344,WBA00000000000344,X5,2024,Middle East,Inactive
BMW00345,WBA00000000000345,iX,2021,North America,Active
BMW00346,WBA00000000000346,7 Series,2026,Asia,Active
BMW00347,WBA00000000000347,iX,2025,Asia,Active
BMW00348,WBA00000000000348,iX,2024,Middle East,Active
BMW00349,WBA00000000000349,5 Series,2025,Asia,Active
BMW00350,WBA00000000000350,5 Series,2024,North America,Active
BMW00351,WBA00000000000351,X5,2020,North America,Active
BMW00352,WBA00000000000352,3 Series,2022,Middle East,Inactive
BMW00353,WBA00000000000353,7 Series,2023,Middle East,Active
BMW00354,WBA00000000000354,X3,2026,North America,Active
BMW00355,WBA00000000000355,iX,2021,Asia,Active
BMW00356,WBA00000000000356,iX,2023,Asia,Inactive
BMW00357,WBA00000000000357,5 Series,2022,North America,Active
BMW00358,WBA00000000000358,i5,2020,Asia,Active
BMW00359,WBA00000000000359,3 Series,2020,Middle East,Active
BMW00360,WBA00000000000360,i4,2022,Asia,Active
BMW00361,WBA00000000000361,i5,2020,Middle East,Active
BMW00362,WBA00000000000362,i5,2020,Middle East,Inactive
BMW00363,WBA00000000000363,7 Series,2022,Oceania,Inactive
BMW00364,WBA00000000000364,i5,2021,Europe,Active
BMW00365,WBA00000000000365,5 Series,2023,Middle East,Active
BMW00366,WBA00000000000366,X5,2020,Europe,Active
BMW00367,WBA00000000000367,X3,2022,Asia,Inactive
BMW00368,WBA00000000000368,X1,2023,Europe,Active
BMW00369,WBA00000000000369,3 Series,2026,Europe,Active
BMW00370,WBA00000000000370,i4,2024,Europe,Active
BMW00371,WBA00000000000371,X1,2026,Europe,Active
BMW00372,WBA00000000000372,X7,2022,Oceania,Active
BMW00373,WBA00000000000373,X3,2023,Europe,Inactive
BMW00374,WBA00000000000374,X1,2022,Asia,Inactive
BMW00375,WBA00000000000375,i5,2026,Middle East,Inactive
BMW00376,WBA00000000000376,3 Series,2026,Oceania,Active
BMW00377,WBA00000000000377,i4,2026,Oceania,Active
BMW00378,WBA00000000000378,i4,2025,Europe,Active
BMW00379,WBA00000000000379,X1,2023,Oceania,Active
BMW00380,WBA00000000000380,7 Series,2023,Middle East,Active
BMW00381,WBA00000000000381,3 Series,2026,Europe,Active
BMW00382,WBA00000000000382,iX,2021,North America,Active
BMW00383,WBA00000000000383,iX,2022,Oceania,Active
BMW00384,WBA00000000000384,7 Series,2026,Asia,Active
BMW00385,WBA00000000000385,3 Series,2022,Europe,Active
BMW00386,WBA00000000000386,5 Series,2021,Oceania,Active
BMW00387,WBA00000000000387,3 Series,2023,Oceania,Active
BMW00388,WBA00000000000388,i5,2022,Oceania,Active
BMW00389,WBA00000000000389,i5,2026,Oceania,Active
BMW00390,WBA00000000000390,5 Series,2026,Oceania,Active
BMW00391,WBA00000000000391,i4,2022,North America,Active
BMW00392,WBA00000000000392,5 Series,2023,Europe,Active
BMW00393,WBA00000000000393,X1,2026,Middle East,Active
BMW00394,WBA00000000000394,X5,2025,Asia,Active
BMW00395,WBA00000000000395,i4,2021,North America,Active
BMW00396,WBA00000000000396,i5,2024,Middle East,Active
BMW00397,WBA00000000000397,3 Series,2024,Oceania,Active
BMW00398,WBA00000000000398,5 Series,2024,Asia,Active
BMW00399,WBA00000000000399,7 Series,2020,Asia,Active
BMW00400,WBA00000000000400,X1,2022,Middle East,Active
BMW00401,WBA00000000000401,iX,2025,Europe,Active
BMW00402,WBA00000000000402,i4,2021,North America,Active
BMW00403,WBA00000000000403,X1,2022,Middle East,Active
BMW00404,WBA00000000000404,iX,2022,North America,Active
BMW00405,WBA00000000000405,X3,2021,Asia,Active
BMW00406,WBA00000000000406,X5,2021,Oceania,Active
BMW00407,WBA00000000000407,X3,2022,Asia,Active
BMW00408,WBA00000000000408,5 Series,2026,Middle East,Active
BMW00409,WBA00000000000409,iX,2020,North America,Active
BMW00410,WBA00000000000410,3 Series,2021,Europe,Active
BMW00411,WBA00000000000411,5 Series,2020,North America,Active
BMW00412,WBA00000000000412,7 Series,2023,Europe,Active
BMW00413,WBA00000000000413,7 Series,2021,Oceania,Inactive
BMW00414,WBA00000000000414,5 Series,2025,Middle East,Active
BMW00415,WBA00000000000415,3 Series,2024,Asia,Active
BMW00416,WBA00000000000416,X7,2025,North America,Active
BMW00417,WBA00000000000417,iX,2024,Middle East,Active
BMW00418,WBA00000000000418,5 Series,2023,Asia,Active
BMW00419,WBA00000000000419,7 Series,2026,Asia,Active
BMW00420,WBA00000000000420,X5,2023,North America,Inactive
BMW00421,WBA00000000000421,iX,2026,Asia,Active
BMW00422,WBA00000000000422,X7,2026,Middle East,Active
BMW00423,WBA00000000000423,i4,2024,Europe,Active
BMW00424,WBA00000000000424,X5,2024,Oceania,Active
BMW00425,WBA00000000000425,X3,2021,Asia,Active
BMW00426,WBA00000000000426,5 Series,2025,North America,Active
BMW00427,WBA00000000000427,i5,2024,Europe,Active
BMW00428,WBA00000000000428,i5,2026,Asia,Active
BMW00429,WBA00000000000429,3 Series,2021,Middle East,Active
BMW00430,WBA00000000000430,i4,2025,Asia,Active
BMW00431,WBA00000000000431,3 Series,2023,Europe,Active
BMW00432,WBA00000000000432,i4,2021,North America,Active
BMW00433,WBA00000000000433,i5,2021,Europe,Active
BMW00434,WBA00000000000434,5 Series,2023,Asia,Active
BMW00435,WBA00000000000435,X3,2022,North America,Active
BMW00436,WBA00000000000436,5 Series,2020,North America,Active
BMW00437,WBA00000000000437,X5,2022,Middle East,Active
BMW00438,WBA00000000000438,iX,2024,Middle East,Active
BMW00439,WBA00000000000439,3 Series,2022,Oceania,Active
BMW00440,WBA00000000000440,X1,2026,Europe,Active
BMW00441,WBA00000000000441,iX,2025,Asia,Active
BMW00442,WBA00000000000442,X1,2023,Europe,Active
BMW00443,WBA00000000000443,5 Series,2026,Europe,Active
BMW00444,WBA00000000000444,X3,2023,Asia,Active
BMW00445,WBA00000000000445,X5,2020,North America,Active
BMW00446,WBA00000000000446,X7,2020,Oceania,Inactive
BMW00447,WBA00000000000447,X1,2026,Middle East,Active
BMW00448,WBA00000000000448,iX,2026,Middle East,Inactive
BMW00449,WBA00000000000449,X5,2025,Middle East,Active
BMW00450,WBA00000000000450,7 Series,2020,Europe,Inactive
BMW00451,WBA00000000000451,iX,2022,Oceania,Inactive
BMW00452,WBA00000000000452,iX,2020,Oceania,Active
BMW00453,WBA00000000000453,X3,2020,Europe,Active
BMW00454,WBA00000000000454,3 Series,2021,North America,Inactive
BMW00455,WBA00000000000455,X5,2024,Oceania,Inactive
BMW00456,WBA00000000000456,X5,2020,North America,Inactive
BMW00457,WBA00000000000457,5 Series,2026,Oceania,Active
BMW00458,WBA00000000000458,X7,2023,Oceania,Active
BMW00459,WBA00000000000459,i5,2021,North America,Active
BMW00460,WBA00000000000460,5 Series,2023,Europe,Active
BMW00461,WBA00000000000461,i4,2025,Asia,Active
BMW00462,WBA00000000000462,5 Series,2022,Asia,Active
BMW00463,WBA00000000000463,i4,2020,North America,Active
BMW00464,WBA00000000000464,X3,2020,North America,Active
BMW00465,WBA00000000000465,3 Series,2025,North America,Active
BMW00466,WBA00000000000466,iX,2020,Europe,Active
BMW00467,WBA00000000000467,5 Series,2024,Asia,Active
BMW00468,WBA00000000000468,X5,2022,Middle East,Active
BMW00469,WBA00000000000469,5 Series,2025,Europe,Active
BMW00470,WBA00000000000470,iX,2020,Asia,Active
BMW00471,WBA00000000000471,i4,2026,Oceania,Active
BMW00472,WBA00000000000472,i5,2024,Europe,Inactive
BMW00473,WBA00000000000473,X3,2023,North America,Active
BMW00474,WBA00000000000474,X3,2021,Asia,Active
BMW00475,WBA00000000000475,X7,2026,Europe,Active
BMW00476,WBA00000000000476,i4,2022,North America,Active
BMW00477,WBA00000000000477,i5,2023,North America,Active
BMW00478,WBA00000000000478,3 Series,2022,Europe,Inactive
BMW00479,WBA00000000000479,X7,2021,Europe,Active
BMW00480,WBA00000000000480,5 Series,2022,Europe,Active
BMW00481,WBA00000000000481,7 Series,2021,Middle East,Active
