dealer_id,dealer_name,city,region,capacity,total_services,avg_repair_cost,avg_service_interval_days,capacity_utilization_pct,dealer_status,regional_rank
D0059,BMW_Kolkata_59,Kolkata,East,643,212,34627.96,423.82,32.97,UNDER_UTILIZED,55
D0473,BMW_Bhubaneswar_473,Bhubaneswar,East,601,194,33334.41,549.86,32.28,UNDER_UTILIZED,56
D0219,BMW_Kolkata_219,Kolkata,East,633,200,32834.35,281.6,31.6,UNDER_UTILIZED,57
D0070,BMW_Patna_70,Patna,East,652,205,34019.41,276.8,31.44,UNDER_UTILIZED,58
D0168,BMW_Bhubaneswar_168,Bhubaneswar,East,649,201,35175.78,440.67,30.97,UNDER_UTILIZED,59
D0035,BMW_Patna_35,Patna,East,680,209,30664.86,610.13,30.74,UNDER_UTILIZED,60
D0275,BMW_Kolkata_275,Kolkata,East,651,200,30744.79,389.25,30.72,UNDER_UTILIZED,61
D0230,BMW_Kolkata_230,Kolkata,East,689,211,34021.16,340.82,30.62,UNDER_UTILIZED,62
D0446,BMW_Kolkata_446,Kolkata,East,652,199,31919.55,366.42,30.52,UNDER_UTILIZED,63
D0377,BMW_Patna_377,Patna,East,713,211,34053.92,339.27,29.59,UNDER_UTILIZED,64
D0030,BMW_Patna_30,Patna,East,755,223,33024.78,530.75,29.54,UNDER_UTILIZED,65
D0004,BMW_Patna_4,Patna,East,658,190,32178.72,625.45,28.88,UNDER_UTILIZED,66
D0363,BMW_Kolkata_363,Kolkata,East,610,175,32409.7,331.11,28.69,UNDER_UTILIZED,67
D0190,BMW_Kolkata_190,Kolkata,East,693,198,33831.69,564.92,28.57,UNDER_UTILIZED,68
D0455,BMW_Kolkata_455,Kolkata,East,670,191,32876.9,288.17,28.51,UNDER_UTILIZED,69
D0484,BMW_Kolkata_484,Kolkata,East,678,189,33130.29,396.21,27.88,UNDER_UTILIZED,70
D0488,BMW_Kolkata_488,Kolkata,East,710,195,34249.77,283.8,27.46,UNDER_UTILIZED,71
D0218,BMW_Bhubaneswar_218,Bhubaneswar,East,752,204,33243.26,363.89,27.13,UNDER_UTILIZED,72
D0130,BMW_Patna_130,Patna,East,779,211,32619.75,306.0,27.09,UNDER_UTILIZED,73
D0128,BMW_Kolkata_128,Kolkata,East,769,203,33649.47,316.55,26.4,UNDER_UTILIZED,74
D0251,BMW_Kolkata_251,Kolkata,East,767,201,32961.76,575.36,26.21,UNDER_UTILIZED,75
D0050,BMW_Patna_50,Patna,East,649,170,32720.66,524.27,26.19,UNDER_UTILIZED,76
D0265,BMW_Bhubaneswar_265,Bhubaneswar,East,800,208,32700.89,512.11,26.0,UNDER_UTILIZED,77
D0051,BMW_Kolkata_51,Kolkata,East,756,194,34113.66,218.0,25.66,UNDER_UTILIZED,78
D0439,BMW_Kolkata_439,Kolkata,East,775,190,34639.65,315.36,24.52,UNDER_UTILIZED,79
D0246,BMW_Kolkata_246,Kolkata,East,1000,233,31792.85,375.31,23.3,UNDER_UTILIZED,80
D0480,BMW_Bhubaneswar_480,Bhubaneswar,East,943,216,33544.91,486.58,22.91,UNDER_UTILIZED,81
D0154,BMW_Kolkata_154,Kolkata,East,930,213,33097.91,419.18,22.9,UNDER_UTILIZED,82
D0485,BMW_Bhubaneswar_485,Bhubaneswar,East,883,201,33151.14,631.0,22.76,UNDER_UTILIZED,83
D0247,BMW_Kolkata_247,Kolkata,East,951,215,33123.68,474.25,22.61,UNDER_UTILIZED,84
D0347,BMW_Kolkata_347,Kolkata,East,788,178,32194.13,592.44,22.59,UNDER_UTILIZED,85
D0010,BMW_Kolkata_10,Kolkata,East,990,220,31592.43,382.33,22.22,UNDER_UTILIZED,86
D0094,BMW_Bhubaneswar_94,Bhubaneswar,East,976,212,33795.8,295.08,21.72,UNDER_UTILIZED,87
D0019,BMW_Patna_19,Patna,East,982,208,34998.5,450.25,21.18,UNDER_UTILIZED,88
D0062,BMW_Bhubaneswar_62,Bhubaneswar,East,926,195,32445.21,456.47,21.06,UNDER_UTILIZED,89
D0032,BMW_Kolkata_32,Kolkata,East,894,186,32821.39,533.63,20.81,UNDER_UTILIZED,90
D0500,BMW_Kolkata_500,Kolkata,East,987,204,31157.09,498.1,20.67,UNDER_UTILIZED,91
D0109,BMW_Patna_109,Patna,East,973,200,33256.87,369.5,20.55,UNDER_UTILIZED,92
D0205,BMW_Patna_205,Patna,East,868,175,31331.97,367.33,20.16,UNDER_UTILIZED,93
D0163,BMW_Bhubaneswar_163,Bhubaneswar,East,914,184,30993.45,445.25,20.13,UNDER_UTILIZED,94
D0332,BMW_Kolkata_332,Kolkata,East,910,182,32723.77,495.87,20.0,UNDER_UTILIZED,95
D0137,BMW_Patna_137,Patna,East,966,192,33386.43,433.73,19.88,UNDER_UTILIZED,96
D0097,BMW_Patna_97,Patna,East,871,172,32482.41,436.79,19.75,UNDER_UTILIZED,97
D0193,BMW_Kolkata_193,Kolkata,East,915,180,33368.7,434.0,19.67,UNDER_UTILIZED,98
D0177,BMW_Patna_177,Patna,East,925,179,33507.28,426.31,19.35,UNDER_UTILIZED,99
D0449,BMW_Patna_449,Patna,East,944,181,34419.93,424.89,19.17,UNDER_UTILIZED,100
D0148,BMW_Kolkata_148,Kolkata,East,981,181,33722.59,249.1,18.45,UNDER_UTILIZED,101
D0369,BMW_Delhi_369,Delhi,North,114,219,33872.5,142.57,192.11,OVERLOADED,1
D0357,BMW_Delhi_357,Delhi,North,137,225,33788.89,392.24,164.23,OVERLOADED,2
D0482,BMW_Gurugram_482,Gurugram,North,121,195,32496.35,559.89,161.16,OVERLOADED,3
D0229,BMW_Chandigarh_229,Chandigarh,North,120,185,33076.04,551.6,154.17,OVERLOADED,4
D0433,BMW_Chandigarh_433,Chandigarh,North,150,224,34539.82,554.85,149.33,OVERLOADED,5
D0348,BMW_Gurugram_348,Gurugram,North,141,187,33915.33,563.43,132.62,OVERLOADED,6
D0114,BMW_Gurugram_114,Gurugram,North,140,184,32722.76,481.63,131.43,OVERLOADED,7
D0322,BMW_Gurugram_322,Gurugram,North,161,193,34676.9,356.67,119.88,OVERLOADED,8
D0027,BMW_Jaipur_27,Jaipur,North,173,200,32329.22,397.25,115.61,OVERLOADED,9
D0406,BMW_Gurugram_406,Gurugram,North,170,191,33107.57,406.0,112.35,OVERLOADED,10
D0325,BMW_Jaipur_325,Jaipur,North,183,195,32783.04,469.0,106.56,OVERLOADED,11
D0408,BMW_Chandigarh_408,Chandigarh,North,192,204,33753.74,385.13,106.25,OVERLOADED,12
D0194,BMW_Jaipur_194,Jaipur,North,186,187,31431.23,405.35,100.54,OVERLOADED,13
D0055,BMW_Delhi_55,Delhi,North,208,204,35394.86,522.4,98.08,OVERLOADED,14
D0323,BMW_Chandigarh_323,Chandigarh,North,201,196,30218.4,374.0,97.51,OVERLOADED,15
D0258,BMW_Chandigarh_258,Chandigarh,North,217,208,31048.55,591.18,95.85,OVERLOADED,16
D0001,BMW_Jaipur_1,Jaipur,North,214,201,31236.26,382.88,93.93,OVERLOADED,17
D0150,BMW_Jaipur_150,Jaipur,North,205,190,32940.21,418.58,92.68,OVERLOADED,18
D0376,BMW_Delhi_376,Delhi,North,248,228,32723.29,561.47,91.94,OVERLOADED,19
D0003,BMW_Chandigarh_3,Chandigarh,North,204,186,34946.22,229.88,91.18,OVERLOADED,20
D0122,BMW_Gurugram_122,Gurugram,North,202,183,32424.77,414.69,90.59,OVERLOADED,21
D0365,BMW_Delhi_365,Delhi,North,234,205,34185.36,403.85,87.61,OPTIMAL,22
D0174,BMW_Delhi_174,Delhi,North,218,190,32243.09,475.0,87.16,OPTIMAL,23
D0457,BMW_Delhi_457,Delhi,North,226,194,32680.7,293.25,85.84,OPTIMAL,24
D0498,BMW_Gurugram_498,Gurugram,North,211,180,33574.07,417.07,85.31,OPTIMAL,25
D0335,BMW_Jaipur_335,Jaipur,North,252,201,32660.4,542.36,79.76,OPTIMAL,26
D0144,BMW_Chandigarh_144,Chandigarh,North,252,190,33449.08,486.63,75.4,OPTIMAL,27
D0286,BMW_Delhi_286,Delhi,North,295,207,33794.46,418.38,70.17,OPTIMAL,28
D0021,BMW_Jaipur_21,Jaipur,North,333,228,33444.24,381.94,68.47,OPTIMAL,29
D0202,BMW_Gurugram_202,Gurugram,North,299,204,32039.55,554.88,68.23,OPTIMAL,30
D0175,BMW_Gurugram_175,Gurugram,North,294,197,32773.72,483.5,67.01,OPTIMAL,31
D0057,BMW_Gurugram_57,Gurugram,North,303,202,32351.5,459.89,66.67,OPTIMAL,32
D0297,BMW_Chandigarh_297,Chandigarh,North,297,196,32655.61,313.8,65.99,OPTIMAL,33
D0076,BMW_Gurugram_76,Gurugram,North,325,211,31008.49,444.58,64.92,OPTIMAL,34
D0262,BMW_Chandigarh_262,Chandigarh,North,303,195,31713.35,441.5,64.36,OPTIMAL,35
D0255,BMW_Gurugram_255,Gurugram,North,323,207,34350.0,458.67,64.09,OPTIMAL,36
D0486,BMW_Gurugram_486,Gurugram,North,321,202,32485.54,541.67,62.93,OPTIMAL,37
D0071,BMW_Chandigarh_71,Chandigarh,North,305,190,32252.94,484.67,62.3,OPTIMAL,38
D0388,BMW_Chandigarh_388,Chandigarh,North,344,214,34145.43,423.33,62.21,OPTIMAL,39
D0481,BMW_Jaipur_481,Jaipur,North,317,185,32585.97,461.57,58.36,UNDER_UTILIZED,40
D0209,BMW_Delhi_209,Delhi,North,355,205,34724.8,585.0,57.75,UNDER_UTILIZED,41
D0490,BMW_Delhi_490,Delhi,North,356,203,34047.94,498.67,57.02,UNDER_UTILIZED,42
D0299,BMW_Chandigarh_299,Chandigarh,North,289,164,31198.2,301.0,56.75,UNDER_UTILIZED,43
D0221,BMW_Chandigarh_221,Chandigarh,North,392,219,32920.57,478.53,55.87,UNDER_UTILIZED,44
D0374,BMW_Chandigarh_374,Chandigarh,North,379,211,32936.27,323.55,55.67,UNDER_UTILIZED,45
D0192,BMW_Jaipur_192,Jaipur,North,318,177,34120.59,505.33,55.66,UNDER_UTILIZED,46
D0285,BMW_Chandigarh_285,Chandigarh,North,382,210,33215.45,437.14,54.97,UNDER_UTILIZED,47
D0331,BMW_Jaipur_331,Jaipur,North,339,184,32828.76,440.27,54.28,UNDER_UTILIZED,48
D0381,BMW_Delhi_381,Delhi,North,373,202,33655.89,297.36,54.16,UNDER_UTILIZED,49
D0309,BMW_Gurugram_309,Gurugram,North,391,209,33517.68,465.0,53.45,UNDER_UTILIZED,50
D0344,BMW_Gurugram_344,Gurugram,North,356,187,34889.78,402.1,52.53,UNDER_UTILIZED,51
D0424,BMW_Gurugram_424,Gurugram,North,406,213,33778.06,624.58,52.46,UNDER_UTILIZED,52
D0407,BMW_Jaipur_407,Jaipur,North,394,206,31243.92,346.29,52.28,UNDER_UTILIZED,53
D0340,BMW_Chandigarh_340,Chandigarh,North,411,213,34179.24,344.92,51.82,UNDER_UTILIZED,54
D0277,BMW_Gurugram_277,Gurugram,North,374,189,33350.88,354.2,50.53,UNDER_UTILIZED,55
D0462,BMW_Delhi_462,Delhi,North,435,219,34784.2,468.33,50.34,UNDER_UTILIZED,56
D0429,BMW_Gurugram_429,Gurugram,North,402,200,30936.66,378.25,49.75,UNDER_UTILIZED,57
D0411,BMW_Chandigarh_411,Chandigarh,North,406,202,33035.98,484.14,49.75,UNDER_UTILIZED,57
D0116,BMW_Delhi_116,Delhi,North,423,205,32850.34,309.4,48.46,UNDER_UTILIZED,59
D0180,BMW_Jaipur_180,Jaipur,North,438,209,32954.61,436.8,47.72,UNDER_UTILIZED,60
D0184,BMW_Chandigarh_184,Chandigarh,North,402,185,32912.86,574.38,46.02,UNDER_UTILIZED,61
D0478,BMW_Jaipur_478,Jaipur,North,467,206,32870.7,400.38,44.11,UNDER_UTILIZED,62
D0127,BMW_Chandigarh_127,Chandigarh,North,409,178,34068.55,550.0,43.52,UNDER_UTILIZED,63
D0403,BMW_Delhi_403,Delhi,North,489,211,32896.92,384.78,43.15,UNDER_UTILIZED,64
D0060,BMW_Gurugram_60,Gurugram,North,431,185,32343.48,437.8,42.92,UNDER_UTILIZED,65
D0459,BMW_Gurugram_459,Gurugram,North,490,210,32074.15,455.75,42.86,UNDER_UTILIZED,66
D0356,BMW_Jaipur_356,Jaipur,North,510,213,33152.68,392.0,41.76,UNDER_UTILIZED,67
D0069,BMW_Gurugram_69,Gurugram,North,533,218,33496.26,379.08,40.9,UNDER_UTILIZED,68
D0477,BMW_Jaipur_477,Jaipur,North,476,192,33742.45,506.4,40.34,UNDER_UTILIZED,69
D0183,BMW_Jaipur_183,Jaipur,North,518,206,32490.11,560.76,39.77,UNDER_UTILIZED,70
D0321,BMW_Gurugram_321,Gurugram,North,539,204,33597.65,323.0,37.85,UNDER_UTILIZED,71
D0214,BMW_Chandigarh_214,Chandigarh,North,616,231,32816.47,507.0,37.5,UNDER_UTILIZED,72
D0045,BMW_Jaipur_45,Jaipur,North,532,198,32456.93,333.56,37.22,UNDER_UTILIZED,73
D0431,BMW_Jaipur_431,Jaipur,North,505,185,32095.82,315.14,36.63,UNDER_UTILIZED,74
D0287,BMW_Chandigarh_287,Chandigarh,North,516,187,32285.93,495.33,36.24,UNDER_UTILIZED,75
D0434,BMW_Chandigarh_434,Chandigarh,North,608,219,32198.22,352.0,36.02,UNDER_UTILIZED,76
D0351,BMW_Gurugram_351,Gurugram,North,546,195,33339.33,280.77,35.71,UNDER_UTILIZED,77
D0142,BMW_Chandigarh_142,Chandigarh,North,537,190,33201.89,505.25,35.38,UNDER_UTILIZED,78
D0067,BMW_Jaipur_67,Jaipur,North,586,207,31790.89,354.13,35.32,UNDER_UTILIZED,79
D0138,BMW_Jaipur_138,Jaipur,North,533,187,32763.13,461.36,35.08,UNDER_UTILIZED,80
D0176,BMW_Chandigarh_176,Chandigarh,North,546,189,32508.25,436.75,34.62,UNDER_UTILIZED,81
D0454,BMW_Jaipur_454,Jaipur,North,506,173,32591.82,510.56,34.19,UNDER_UTILIZED,82
D0385,BMW_Delhi_385,Delhi,North,595,203,32611.43,253.47,34.12,UNDER_UTILIZED,83
D0361,BMW_Delhi_361,Delhi,North,573,195,31004.39,563.7,34.03,UNDER_UTILIZED,84
D0328,BMW_Gurugram_328,Gurugram,North,581,196,32837.75,403.0,33.73,UNDER_UTILIZED,85
D0167,BMW_Jaipur_167,Jaipur,North,621,208,33578.1,583.33,33.49,UNDER_UTILIZED,86
D0300,BMW_Chandigarh_300,Chandigarh,North,595,199,30857.34,427.83,33.45,UNDER_UTILIZED,87
D0136,BMW_Delhi_136,Delhi,North,600,199,32328.35,436.67,33.17,UNDER_UTILIZED,88
D0080,BMW_Jaipur_80,Jaipur,North,597,195,33183.54,420.83,32.66,UNDER_UTILIZED,89
D0208,BMW_Chandigarh_208,Chandigarh,North,630,201,33660.15,413.17,31.9,UNDER_UTILIZED,90
D0040,BMW_Gurugram_40,Gurugram,North,538,171,32051.01,411.92,31.78,UNDER_UTILIZED,91
D0082,BMW_Gurugram_82,Gurugram,North,690,219,32734.4,373.0,31.74,UNDER_UTILIZED,92
D0234,BMW_Chandigarh_234,Chandigarh,North,659,201,33860.18,485.82,30.5,UNDER_UTILIZED,93
D0039,BMW_Delhi_39,Delhi,North,651,196,33273.06,255.0,30.11,UNDER_UTILIZED,94
D0249,BMW_Chandigarh_249,Chandigarh,North,652,195,32351.16,375.33,29.91,UNDER_UTILIZED,95
D0240,BMW_Gurugram_240,Gurugram,North,646,193,31798.15,304.44,29.88,UNDER_UTILIZED,96
D0298,BMW_Chandigarh_298,Chandigarh,North,648,189,32156.13,522.45,29.17,UNDER_UTILIZED,97
D0212,BMW_Delhi_212,Delhi,North,709,206,31227.26,401.08,29.06,UNDER_UTILIZED,98
D0318,BMW_Gurugram_318,Gurugram,North,710,206,33413.17,384.4,29.01,UNDER_UTILIZED,99
D0087,BMW_Jaipur_87,Jaipur,North,769,216,32688.62,555.57,28.09,UNDER_UTILIZED,100
D0077,BMW_Chandigarh_77,Chandigarh,North,746,206,32313.16,395.67,27.61,UNDER_UTILIZED,101
D0441,BMW_Jaipur_441,Jaipur,North,761,207,32869.55,492.67,27.2,UNDER_UTILIZED,102
D0257,BMW_Gurugram_257,Gurugram,North,721,196,32400.91,337.08,27.18,UNDER_UTILIZED,103
D0383,BMW_Gurugram_383,Gurugram,North,693,188,33411.99,461.33,27.13,UNDER_UTILIZED,104
D0119,BMW_Jaipur_119,Jaipur,North,760,206,32528.57,449.5,27.11,UNDER_UTILIZED,105
D0346,BMW_Gurugram_346,Gurugram,North,701,188,33776.55,301.89,26.82,UNDER_UTILIZED,106
D0195,BMW_Jaipur_195,Jaipur,North,748,200,31871.61,495.89,26.74,UNDER_UTILIZED,107
D0104,BMW_Delhi_104,Delhi,North,777,199,32206.99,363.3,25.61,UNDER_UTILIZED,108
D0269,BMW_Delhi_269,Delhi,North,763,195,33752.64,531.54,25.56,UNDER_UTILIZED,109
D0301,BMW_Gurugram_301,Gurugram,North,878,224,33609.45,369.92,25.51,UNDER_UTILIZED,110
D0103,BMW_Chandigarh_103,Chandigarh,North,848,211,33715.11,366.2,24.88,UNDER_UTILIZED,111
D0386,BMW_Delhi_386,Delhi,North,881,216,32227.16,426.87,24.52,UNDER_UTILIZED,112
D0008,BMW_Jaipur_8,Jaipur,North,818,198,33481.46,344.92,24.21,UNDER_UTILIZED,113
D0314,BMW_Jaipur_314,Jaipur,North,802,194,32314.11,540.25,24.19,UNDER_UTILIZED,114
D0415,BMW_Gurugram_415,Gurugram,North,798,192,33097.68,464.73,24.06,UNDER_UTILIZED,115
D0049,BMW_Jaipur_49,Jaipur,North,838,201,32908.2,358.89,23.99,UNDER_UTILIZED,116
D0135,BMW_Jaipur_135,Jaipur,North,749,177,34153.71,421.46,23.63,UNDER_UTILIZED,117
D0404,BMW_Jaipur_404,Jaipur,North,835,194,32181.19,391.0,23.23,UNDER_UTILIZED,118
D0470,BMW_Chandigarh_470,Chandigarh,North,813,187,33813.02,293.1,23.0,UNDER_UTILIZED,119
D0152,BMW_Gurugram_152,Gurugram,North,867,199,31216.7,421.94,22.95,UNDER_UTILIZED,120
D0289,BMW_Jaipur_289,Jaipur,North,828,190,32964.24,402.2,22.95,UNDER_UTILIZED,120
D0274,BMW_Delhi_274,Delhi,North,766,175,31563.77,319.0,22.85,UNDER_UTILIZED,122
D0333,BMW_Jaipur_333,Jaipur,North,923,210,34192.58,425.73,22.75,UNDER_UTILIZED,123
D0066,BMW_Delhi_66,Delhi,North,884,201,32841.87,484.0,22.74,UNDER_UTILIZED,124
D0178,BMW_Chandigarh_178,Chandigarh,North,859,193,32204.82,447.89,22.47,UNDER_UTILIZED,125
D0458,BMW_Jaipur_458,Jaipur,North,866,193,31689.41,549.37,22.29,UNDER_UTILIZED,126
D0158,BMW_Chandigarh_158,Chandigarh,North,930,206,33308.45,400.93,22.15,UNDER_UTILIZED,127
D0392,BMW_Jaipur_392,Jaipur,North,911,198,32664.14,395.0,21.73,UNDER_UTILIZED,128
D0112,BMW_Jaipur_112,Jaipur,North,982,213,32316.65,446.8,21.69,UNDER_UTILIZED,129
D0338,BMW_Chandigarh_338,Chandigarh,North,944,203,32393.71,402.75,21.5,UNDER_UTILIZED,130
D0272,BMW_Jaipur_272,Jaipur,North,948,203,33395.93,400.31,21.41,UNDER_UTILIZED,131
D0330,BMW_Chandigarh_330,Chandigarh,North,980,208,31623.1,298.75,21.22,UNDER_UTILIZED,132
D0432,BMW_Gurugram_432,Gurugram,North,985,201,32024.12,499.21,20.41,UNDER_UTILIZED,133
D0181,BMW_Jaipur_181,Jaipur,North,968,197,33522.3,406.73,20.35,UNDER_UTILIZED,134
D0391,BMW_Chandigarh_391,Chandigarh,North,930,186,33364.65,468.25,20.0,UNDER_UTILIZED,135
D0129,BMW_Jaipur_129,Jaipur,North,936,187,35676.34,460.33,19.98,UNDER_UTILIZED,136
D0024,BMW_Jaipur_24,Jaipur,North,954,188,32551.35,345.0,19.71,UNDER_UTILIZED,137
D0048,BMW_Delhi_48,Delhi,North,981,191,33218.02,359.25,19.47,UNDER_UTILIZED,138
D0263,BMW_Chandigarh_263,Chandigarh,North,950,184,34662.67,502.71,19.37,UNDER_UTILIZED,139
D0151,BMW_Delhi_151,Delhi,North,995,187,32660.65,332.56,18.79,UNDER_UTILIZED,140
D0200,BMW_Gurugram_200,Gurugram,North,970,162,31834.62,203.5,16.7,UNDER_UTILIZED,141
D0139,BMW_Bengaluru_139,Bengaluru,South,103,196,32414.81,285.78,190.29,OVERLOADED,1
D0492,BMW_Hyderabad_492,Hyderabad,South,115,203,32228.42,401.58,176.52,OVERLOADED,2
D0164,BMW_Kochi_164,Kochi,South,124,208,30478.57,369.9,167.74,OVERLOADED,3
D0078,BMW_Chennai_78,Chennai,South,132,201,32398.7,485.4,152.27,OVERLOADED,4
D0225,BMW_Kochi_225,Kochi,South,165,222,31734.0,414.57,134.55,OVERLOADED,5
D0466,BMW_Hyderabad_466,Hyderabad,South,146,193,33388.74,898.75,132.19,OVERLOADED,6
D0111,BMW_Hyderabad_111,Hyderabad,South,170,217,32870.71,399.07,127.65,OVERLOADED,7
D0399,BMW_Hyderabad_399,Hyderabad,South,176,216,32031.43,399.13,122.73,OVERLOADED,8
D0088,BMW_Chennai_88,Chennai,South,162,191,31874.96,374.94,117.9,OVERLOADED,9
D0143,BMW_Chennai_143,Chennai,South,177,208,32986.32,379.9,117.51,OVERLOADED,10
D0242,BMW_Bengaluru_242,Bengaluru,South,185,209,32850.72,485.45,112.97,OVERLOADED,11
D0084,BMW_Kochi_84,Kochi,South,196,200,29822.02,448.27,102.04,OVERLOADED,12
D0064,BMW_Chennai_64,Chennai,South,187,188,32956.76,245.9,100.53,OVERLOADED,13
D0169,BMW_Bengaluru_169,Bengaluru,South,218,197,31916.14,545.75,90.37,OVERLOADED,14
