dealer_id,service_id,vehicle_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code,repair_cost,dealer_name,city,region,capacity,rating
D0380,SVC0000124,VEH751924,2026-03-06,Battery Check,222627,37869,3436,FC103,41305,BMW_Ahmedabad_380,Ahmedabad,West,448,4.9
D0345,SVC0000131,VEH789786,2023-08-14,Brake Service,170082,10709,1890,FC108,12599,BMW_Kochi_345,Kochi,South,790,4.7
D0289,SVC0000146,VEH693830,2025-10-23,Wheel Alignment,240606,14103,10976,FC103,25079,BMW_Jaipur_289,Jaipur,North,828,4.0
D0328,SVC0000155,VEH882354,2023-04-10,Wheel Alignment,160983,39181,5849,FC104,45030,BMW_Gurugram_328,Gurugram,North,581,3.6
D0418,SVC0000157,VEH325583,2024-11-10,Engine Repair,142007,41621,13130,FC108,54751,BMW_Kochi_418,Kochi,South,609,4.8
D0214,SVC0000167,VEH914571,2025-06-30,Tire Replacement,155481,10513,9130,FC101,19643,BMW_Chandigarh_214,Chandigarh,North,616,3.9
D0431,SVC0000173,VEH265056,2025-11-19,Wheel Alignment,263312,22816,3387,FC106,26203,BMW_Jaipur_431,Jaipur,North,505,3.5
D0015,SVC0000185,VEH563516,2025-11-27,Tire Replacement,219786,36094,9242,FC107,45336,BMW_Pune_15,Pune,West,718,3.5
D0388,SVC0000197,VEH811444,2025-11-09,Wheel Alignment,48801,30171,13244,NONE,43415,BMW_Chandigarh_388,Chandigarh,North,344,4.1
D0327,SVC0000209,VEH314353,2023-09-16,AC Repair,276155,9699,10999,FC103,20698,BMW_Bengaluru_327,Bengaluru,South,518,3.9
D0170,SVC0000215,VEH367931,2023-08-14,Battery Check,159146,17761,5160,FC106,22921,BMW_Mumbai_170,Mumbai,West,282,4.2
D0045,SVC0000216,VEH403507,2026-04-23,Battery Check,94757,11581,1242,FC101,12823,BMW_Jaipur_45,Jaipur,North,532,4.2
D0441,SVC0000218,VEH225812,2025-12-12,AC Repair,95569,41383,4372,FC103,45755,BMW_Jaipur_441,Jaipur,North,761,3.1
D0231,SVC0000231,VEH973835,2024-04-22,Battery Check,180344,43591,3634,FC107,47225,BMW_Bengaluru_231,Bengaluru,South,460,3.6
D0225,SVC0000233,VEH945362,2025-07-03,AC Repair,168213,40532,5375,FC108,45907,BMW_Kochi_225,Kochi,South,165,3.8
D0385,SVC0000234,VEH471371,2023-08-02,AC Repair,268676,11138,8408,FC101,19546,BMW_Delhi_385,Delhi,North,595,3.7
D0116,SVC0000239,VEH557409,2024-02-08,Tire Replacement,209737,49182,6049,FC102,55231,BMW_Delhi_116,Delhi,North,423,4.9
D0461,SVC0000240,VEH119651,2024-10-11,Wheel Alignment,180215,35629,7942,FC106,43571,BMW_Surat_461,Surat,West,125,4.2
D0165,SVC0000249,VEH771237,2024-09-29,Wheel Alignment,114741,17636,4197,FC103,21833,BMW_Ahmedabad_165,Ahmedabad,West,436,3.6
D0225,SVC0000250,VEH537983,2025-07-04,Brake Service,67854,9835,10680,FC104,20515,BMW_Kochi_225,Kochi,South,165,3.8
D0307,SVC0000251,VEH403578,2024-01-14,Oil Change,285138,10292,7552,FC107,17844,BMW_Hyderabad_307,Hyderabad,South,753,4.7
D0172,SVC0000253,VEH524707,2024-06-24,Engine Repair,38494,26018,1785,FC105,27803,BMW_Ahmedabad_172,Ahmedabad,West,453,4.5
D0315,SVC0000256,VEH280222,2024-02-18,Brake Service,99514,31171,6873,FC105,38044,BMW_Hyderabad_315,Hyderabad,South,930,4.1
D0374,SVC0000257,VEH940247,2023-09-11,Battery Check,173504,17937,11574,FC101,29511,BMW_Chandigarh_374,Chandigarh,North,379,3.8
D0096,SVC0000259,VEH582446,2026-01-10,Oil Change,5145,3764,8392,FC101,12156,BMW_Bhubaneswar_96,Bhubaneswar,East,115,4.9
D0318,SVC0000264,VEH557925,2024-05-22,Wheel Alignment,174826,30726,8513,NONE,39239,BMW_Gurugram_318,Gurugram,North,710,4.6
D0268,SVC0000268,VEH556839,2025-11-16,Oil Change,66475,21630,13811,FC102,35441,BMW_Ahmedabad_268,Ahmedabad,West,777,3.7
D0113,SVC0000274,VEH425346,2024-07-07,Brake Service,10921,47660,9034,FC101,56694,BMW_Chennai_113,Chennai,South,683,3.5
D0002,SVC0000279,VEH916964,2026-04-21,Battery Check,274142,14648,9457,FC104,24105,BMW_Mumbai_2,Mumbai,West,350,3.4
D0224,SVC0000285,VEH656379,2023-07-30,Wheel Alignment,98859,23849,976,NONE,24825,BMW_Ahmedabad_224,Ahmedabad,West,810,3.3
D0123,SVC0000302,VEH731661,2024-05-11,AC Repair,48076,22863,8250,FC104,31113,BMW_Kochi_123,Kochi,South,618,3.5
D0325,SVC0000307,VEH179013,2024-10-18,AC Repair,28087,6090,3686,FC106,9776,BMW_Jaipur_325,Jaipur,North,183,3.3
D0144,SVC0000314,VEH691119,2024-08-02,Oil Change,105239,2153,12771,FC105,14924,BMW_Chandigarh_144,Chandigarh,North,252,4.1
D0201,SVC0000316,VEH707616,2023-05-19,Wheel Alignment,261500,19346,11310,FC108,30656,BMW_Surat_201,Surat,West,524,4.8
D0187,SVC0000318,VEH814220,2026-05-07,AC Repair,164220,14637,3770,NONE,18407,BMW_Hyderabad_187,Hyderabad,South,730,4.1
D0443,SVC0000325,VEH431495,2025-07-29,Engine Repair,150786,26251,5767,FC101,32018,BMW_Pune_443,Pune,West,849,3.3
D0346,SVC0000328,VEH171603,2023-05-22,Wheel Alignment,250570,17687,11963,FC104,29650,BMW_Gurugram_346,Gurugram,North,701,4.9
D0199,SVC0000333,VEH935012,2025-06-24,Tire Replacement,112629,29372,3318,FC104,32690,BMW_Bengaluru_199,Bengaluru,South,350,5.0
D0039,SVC0000339,VEH177794,2025-10-07,Brake Service,265848,25444,2902,FC101,28346,BMW_Delhi_39,Delhi,North,651,3.5
D0298,SVC0000351,VEH194682,2025-12-28,Tire Replacement,112249,45379,8246,NONE,53625,BMW_Chandigarh_298,Chandigarh,North,648,4.9
D0060,SVC0000359,VEH930281,2024-04-25,Oil Change,36405,21910,2898,FC101,24808,BMW_Gurugram_60,Gurugram,North,431,4.0
D0254,SVC0000364,VEH699425,2023-08-10,Software Update,7636,46498,1120,FC103,47618,BMW_Hyderabad_254,Hyderabad,South,584,4.3
D0099,SVC0000371,VEH258189,2024-01-27,AC Repair,247587,30160,4977,FC101,35137,BMW_Kochi_99,Kochi,South,985,3.8
D0152,SVC0000377,VEH460120,2024-06-18,Battery Check,288458,21871,4151,FC107,26022,BMW_Gurugram_152,Gurugram,North,867,3.3
D0161,SVC0000380,VEH629057,2024-08-08,Software Update,76587,13174,4154,FC101,17328,BMW_Surat_161,Surat,West,327,3.4
D0408,SVC0000381,VEH777513,2024-05-31,Brake Service,76379,43116,14420,NONE,57536,BMW_Chandigarh_408,Chandigarh,North,192,3.9
D0340,SVC0000389,VEH648141,2025-01-18,AC Repair,263553,33278,2230,NONE,35508,BMW_Chandigarh_340,Chandigarh,North,411,4.4
D0473,SVC0000393,VEH490963,2025-12-05,Brake Service,142263,34026,9753,FC101,43779,BMW_Bhubaneswar_473,Bhubaneswar,East,601,4.2
D0277,SVC0000412,VEH397949,2024-04-04,Wheel Alignment,105315,2761,5491,FC108,8252,BMW_Gurugram_277,Gurugram,North,374,3.6
D0404,SVC0000414,VEH858889,2024-03-28,Engine Repair,294291,13484,5081,FC102,18565,BMW_Jaipur_404,Jaipur,North,835,4.8
D0238,SVC0000429,VEH510997,2026-05-29,Engine Repair,78190,40297,2253,FC103,42550,BMW_Kolkata_238,Kolkata,East,514,4.4
D0051,SVC0000434,VEH424620,2023-03-07,Wheel Alignment,227726,35138,6542,FC105,41680,BMW_Kolkata_51,Kolkata,East,756,3.7
D0286,SVC0000441,VEH234001,2024-04-01,AC Repair,291610,35950,9822,FC104,45772,BMW_Delhi_286,Delhi,North,295,3.2
D0097,SVC0000442,VEH802667,2025-12-19,Battery Check,38323,28944,5816,FC101,34760,BMW_Patna_97,Patna,East,871,4.7
D0481,SVC0000446,VEH818709,2025-08-11,Battery Check,176178,33130,7456,FC104,40586,BMW_Jaipur_481,Jaipur,North,317,4.3
D0147,SVC0000450,VEH803024,2023-11-06,Tire Replacement,98226,27687,5939,FC104,33626,BMW_Mumbai_147,Mumbai,West,473,4.8
D0035,SVC0000452,VEH633188,2025-09-19,AC Repair,37097,15520,10095,FC108,25615,BMW_Patna_35,Patna,East,680,4.8
D0220,SVC0000457,VEH289019,2026-01-18,Tire Replacement,163596,13024,696,FC104,13720,BMW_Kochi_220,Kochi,South,381,3.9
D0280,SVC0000467,VEH410160,2025-10-12,Oil Change,155188,17791,2167,FC102,19958,BMW_Surat_280,Surat,West,683,4.2
D0349,SVC0000468,VEH985447,2023-03-14,Tire Replacement,94492,35457,8222,FC106,43679,BMW_Hyderabad_349,Hyderabad,South,581,4.0
D0095,SVC0000472,VEH908320,2024-04-29,Brake Service,15750,41021,5324,FC108,46345,BMW_Bengaluru_95,Bengaluru,South,767,5.0
D0253,SVC0000478,VEH794083,2025-03-06,Brake Service,128513,15734,10875,FC103,26609,BMW_Bengaluru_253,Bengaluru,South,736,3.3
D0161,SVC0000482,VEH237414,2026-06-15,Tire Replacement,35847,13652,1727,FC107,15379,BMW_Surat_161,Surat,West,327,3.4
D0323,SVC0000492,VEH948343,2023-03-22,Wheel Alignment,40567,17963,11926,FC103,29889,BMW_Chandigarh_323,Chandigarh,North,201,4.9
D0360,SVC0000493,VEH273580,2025-06-17,AC Repair,68325,39789,10340,FC104,50129,BMW_Bhubaneswar_360,Bhubaneswar,East,101,4.3
D0474,SVC0000506,VEH884897,2023-09-06,Software Update,274260,35747,7733,FC105,43480,BMW_Mumbai_474,Mumbai,West,133,4.4
D0104,SVC0000508,VEH570735,2023-03-22,Software Update,258877,16494,12574,FC106,29068,BMW_Delhi_104,Delhi,North,777,4.4
D0299,SVC0000511,VEH350786,2023-07-26,Brake Service,183152,1108,6897,FC101,8005,BMW_Chandigarh_299,Chandigarh,North,289,3.4
D0477,SVC0000515,VEH591798,2024-10-12,Brake Service,90956,3401,13374,FC101,16775,BMW_Jaipur_477,Jaipur,North,476,4.1
D0408,SVC0000522,VEH584106,2025-04-14,Battery Check,131635,12050,11788,FC104,23838,BMW_Chandigarh_408,Chandigarh,North,192,3.9
D0342,SVC0000545,VEH640970,2024-05-16,Wheel Alignment,155516,25310,4121,FC108,29431,BMW_Surat_342,Surat,West,182,4.2
D0186,SVC0000548,VEH398910,2023-11-20,Tire Replacement,32024,15581,1304,FC106,16885,BMW_Ahmedabad_186,Ahmedabad,West,793,4.5
D0150,SVC0000552,VEH386042,2026-03-29,AC Repair,20965,46612,10354,FC108,56966,BMW_Jaipur_150,Jaipur,North,205,3.7
D0326,SVC0000559,VEH332823,2024-01-18,AC Repair,192323,7426,5327,NONE,12753,BMW_Hyderabad_326,Hyderabad,South,665,3.2
D0492,SVC0000569,VEH347231,2023-06-23,Tire Replacement,132797,17673,10142,FC107,27815,BMW_Hyderabad_492,Hyderabad,South,115,3.7
D0262,SVC0000574,VEH129556,2026-05-13,Engine Repair,81817,19041,9466,FC102,28507,BMW_Chandigarh_262,Chandigarh,North,303,3.2
D0365,SVC0000575,VEH434165,2026-04-04,Engine Repair,26547,43404,8657,FC101,52061,BMW_Delhi_365,Delhi,North,234,4.9
D0144,SVC0000584,VEH140163,2025-10-25,Software Update,188595,5782,9391,FC103,15173,BMW_Chandigarh_144,Chandigarh,North,252,4.1
D0370,SVC0000586,VEH970068,2024-01-02,Engine Repair,109733,35066,10661,FC104,45727,BMW_Chennai_370,Chennai,South,330,5.0
D0124,SVC0000587,VEH595404,2026-01-11,Software Update,223422,41694,10883,FC102,52577,BMW_Patna_124,Patna,East,457,4.8
D0120,SVC0000592,VEH839808,2023-09-04,AC Repair,164859,10884,14842,NONE,25726,BMW_Pune_120,Pune,West,869,4.9
D0346,SVC0000598,VEH119927,2025-08-17,Brake Service,248905,30590,7106,FC107,37696,BMW_Gurugram_346,Gurugram,North,701,4.9
D0127,SVC0000604,VEH862560,2024-05-09,AC Repair,127170,41900,8434,FC101,50334,BMW_Chandigarh_127,Chandigarh,North,409,4.2
D0122,SVC0000609,VEH913875,2023-08-10,Engine Repair,251315,9747,2757,FC105,12504,BMW_Gurugram_122,Gurugram,North,202,3.1
D0126,SVC0000614,VEH150068,2025-06-09,Battery Check,222408,32281,6452,FC108,38733,BMW_Hyderabad_126,Hyderabad,South,548,4.7
D0488,SVC0000618,VEH932463,2024-08-21,Software Update,196222,30181,3439,FC106,33620,BMW_Kolkata_488,Kolkata,East,710,3.0
D0237,SVC0000619,VEH753064,2023-08-13,Tire Replacement,260242,16302,8921,NONE,25223,BMW_Ahmedabad_237,Ahmedabad,West,444,4.3
D0189,SVC0000623,VEH977330,2025-12-04,Software Update,23009,13863,4896,FC107,18759,BMW_Mumbai_189,Mumbai,West,393,3.4
D0192,SVC0000625,VEH725726,2023-02-26,Tire Replacement,203929,9428,4149,FC102,13577,BMW_Jaipur_192,Jaipur,North,318,4.0
D0069,SVC0000627,VEH117233,2024-06-21,Oil Change,49445,9677,8452,FC104,18129,BMW_Gurugram_69,Gurugram,North,533,4.9
D0247,SVC0000630,VEH702980,2023-10-26,Tire Replacement,289503,36316,14318,FC101,50634,BMW_Kolkata_247,Kolkata,East,951,3.8
D0086,SVC0000637,VEH744674,2024-01-21,Oil Change,119602,22929,14109,FC108,37038,BMW_Surat_86,Surat,West,984,4.5
D0069,SVC0000642,VEH296412,2025-06-06,AC Repair,33026,8433,2562,FC101,10995,BMW_Gurugram_69,Gurugram,North,533,4.9
D0047,SVC0000643,VEH796643,2025-01-23,Engine Repair,288991,14436,8189,FC102,22625,BMW_Surat_47,Surat,West,641,3.5
D0010,SVC0000664,VEH117031,2025-08-08,Tire Replacement,33007,11577,5031,FC106,16608,BMW_Kolkata_10,Kolkata,East,990,3.0
D0257,SVC0000676,VEH870899,2024-10-19,Oil Change,290937,32909,7115,FC104,40024,BMW_Gurugram_257,Gurugram,North,721,4.9
D0016,SVC0000680,VEH146489,2024-09-25,Battery Check,15436,21341,12784,NONE,34125,BMW_Bengaluru_16,Bengaluru,South,847,3.9
D0336,SVC0000682,VEH672536,2026-04-09,AC Repair,58207,49381,8794,FC101,58175,BMW_Bhubaneswar_336,Bhubaneswar,East,245,3.1
D0258,SVC0000684,VEH953025,2023-03-31,Software Update,25796,22643,1263,FC108,23906,BMW_Chandigarh_258,Chandigarh,North,217,4.6
D0160,SVC0000688,VEH916990,2025-03-22,AC Repair,21465,17425,4904,FC108,22329,BMW_Ahmedabad_160,Ahmedabad,West,993,3.1
D0396,SVC0000692,VEH601776,2025-11-09,Wheel Alignment,71300,32396,4863,NONE,37259,BMW_Bhubaneswar_396,Bhubaneswar,East,550,3.2
D0178,SVC0000693,VEH762423,2025-08-25,AC Repair,191686,42101,4393,FC104,46494,BMW_Chandigarh_178,Chandigarh,North,859,4.5
D0417,SVC0000697,VEH166165,2026-03-22,Oil Change,268408,6331,12833,FC107,19164,BMW_Bhubaneswar_417,Bhubaneswar,East,491,4.2
D0179,SVC0000699,VEH913894,2023-05-05,Engine Repair,174550,20217,13149,FC107,33366,BMW_Kochi_179,Kochi,South,472,3.9
D0065,SVC0000704,VEH145934,2024-08-14,Software Update,258158,40681,13205,FC107,53886,BMW_Bhubaneswar_65,Bhubaneswar,East,170,5.0
D0044,SVC0000709,VEH425138,2025-04-06,Battery Check,36374,33400,9633,FC101,43033,BMW_Hyderabad_44,Hyderabad,South,742,3.3
D0499,SVC0000717,VEH889882,2023-07-25,AC Repair,107459,25594,8732,NONE,34326,BMW_Kochi_499,Kochi,South,729,3.1
D0090,SVC0000722,VEH918771,2024-12-02,Engine Repair,83807,9377,1062,FC103,10439,BMW_Kochi_90,Kochi,South,296,3.4
D0093,SVC0000724,VEH787584,2024-06-20,Engine Repair,194078,20480,7841,FC101,28321,BMW_Patna_93,Patna,East,177,3.9
D0196,SVC0000732,VEH879414,2024-11-11,Battery Check,113275,9070,1211,FC102,10281,BMW_Chennai_196,Chennai,South,938,4.9
D0314,SVC0000733,VEH561097,2026-06-02,Engine Repair,27413,23998,12633,FC103,36631,BMW_Jaipur_314,Jaipur,North,802,3.1
D0249,SVC0000742,VEH644500,2024-11-30,Oil Change,144539,22126,9816,FC104,31942,BMW_Chandigarh_249,Chandigarh,North,652,3.1
D0394,SVC0000744,VEH940064,2024-09-08,AC Repair,230509,5743,8474,NONE,14217,BMW_Hyderabad_394,Hyderabad,South,614,4.9
D0227,SVC0000749,VEH551524,2023-10-26,Engine Repair,60455,41617,3832,FC102,45449,BMW_Bengaluru_227,Bengaluru,South,311,4.7
D0036,SVC0000753,VEH671971,2025-03-30,AC Repair,298142,26470,1474,FC107,27944,BMW_Pune_36,Pune,West,317,4.3
D0190,SVC0000760,VEH410000,2024-07-08,Engine Repair,213551,21925,13519,FC104,35444,BMW_Kolkata_190,Kolkata,East,693,4.2
D0037,SVC0000762,VEH567576,2024-04-06,AC Repair,213059,22048,7331,FC107,29379,BMW_Ahmedabad_37,Ahmedabad,West,758,3.9
D0013,SVC0000766,VEH274739,2024-03-02,Software Update,159307,41238,9705,FC106,50943,BMW_Kolkata_13,Kolkata,East,444,3.2
D0273,SVC0000772,VEH862120,2025-07-18,Engine Repair,285514,38982,4538,FC105,43520,BMW_Hyderabad_273,Hyderabad,South,545,3.4
D0233,SVC0000786,VEH940010,2025-03-30,Wheel Alignment,104228,33034,13873,FC103,46907,BMW_Bhubaneswar_233,Bhubaneswar,East,529,4.1
D0403,SVC0000787,VEH886325,2024-06-13,Tire Replacement,140069,21658,10390,FC105,32048,BMW_Delhi_403,Delhi,North,489,4.9
D0265,SVC0000789,VEH267758,2026-06-12,Tire Replacement,4923,9971,12338,FC105,22309,BMW_Bhubaneswar_265,Bhubaneswar,East,800,4.2
D0384,SVC0000794,VEH811027,2024-06-07,Tire Replacement,22484,15153,2438,FC102,17591,BMW_Surat_384,Surat,West,986,3.3
D0025,SVC0000803,VEH484123,2023-06-11,Brake Service,191931,15448,4731,FC105,20179,BMW_Pune_25,Pune,West,463,3.4
D0436,SVC0000804,VEH479742,2026-04-10,Software Update,149056,42120,7833,FC105,49953,BMW_Kochi_436,Kochi,South,721,4.6
D0057,SVC0000811,VEH571778,2024-05-29,Brake Service,134504,34345,11707,FC103,46052,BMW_Gurugram_57,Gurugram,North,303,3.3
D0109,SVC0000813,VEH490084,2024-09-08,Engine Repair,145826,34738,6381,FC107,41119,BMW_Patna_109,Patna,East,973,4.1
D0163,SVC0000822,VEH429657,2024-07-07,Wheel Alignment,251356,25874,10470,FC106,36344,BMW_Bhubaneswar_163,Bhubaneswar,East,914,4.7
D0235,SVC0000825,VEH361736,2024-01-09,Battery Check,276336,34386,9718,NONE,44104,BMW_Patna_235,Patna,East,325,4.0
D0239,SVC0000828,VEH871411,2023-05-29,Oil Change,42899,7042,9428,FC106,16470,BMW_Bhubaneswar_239,Bhubaneswar,East,578,4.8
D0009,SVC0000830,VEH623285,2025-07-16,Oil Change,176653,23161,2364,NONE,25525,BMW_Kochi_9,Kochi,South,559,4.2
D0492,SVC0000833,VEH688956,2026-04-10,Tire Replacement,268462,48794,4499,FC103,53293,BMW_Hyderabad_492,Hyderabad,South,115,3.7
D0007,SVC0000837,VEH372933,2024-01-12,Tire Replacement,232510,4559,2369,FC104,6928,BMW_Bengaluru_7,Bengaluru,South,674,3.4
D0122,SVC0000845,VEH309902,2025-07-29,Wheel Alignment,208236,10163,1809,FC105,11972,BMW_Gurugram_122,Gurugram,North,202,3.1
D0339,SVC0000851,VEH281043,2024-03-25,Battery Check,157435,12140,8772,NONE,20912,BMW_Mumbai_339,Mumbai,West,549,3.2
D0321,SVC0000855,VEH949884,2024-10-18,Engine Repair,251471,47025,1282,FC106,48307,BMW_Gurugram_321,Gurugram,North,539,3.6
D0500,SVC0000857,VEH986593,2023-02-17,Engine Repair,199341,42224,12891,FC107,55115,BMW_Kolkata_500,Kolkata,East,987,4.3
D0327,SVC0000859,VEH800280,2024-09-14,Wheel Alignment,35597,38477,8810,FC102,47287,BMW_Bengaluru_327,Bengaluru,South,518,3.9
D0217,SVC0000860,VEH464301,2025-06-23,Battery Check,5318,42672,7917,FC106,50589,BMW_Surat_217,Surat,West,365,4.5
D0301,SVC0000861,VEH844007,2025-12-24,Battery Check,207227,5598,14532,FC103,20130,BMW_Gurugram_301,Gurugram,North,878,4.0
D0275,SVC0000867,VEH992717,2026-01-23,Brake Service,157604,39016,14610,FC107,53626,BMW_Kolkata_275,Kolkata,East,651,4.5
D0364,SVC0000869,VEH846385,2023-12-12,Oil Change,60495,37569,7496,FC104,45065,BMW_Kolkata_364,Kolkata,East,152,3.4
D0346,SVC0000874,VEH932250,2026-02-28,Engine Repair,39264,35448,13015,FC105,48463,BMW_Gurugram_346,Gurugram,North,701,4.9
D0141,SVC0000880,VEH930541,2023-09-04,Tire Replacement,216444,43554,1639,FC106,45193,BMW_Hyderabad_141,Hyderabad,South,859,3.9
D0383,SVC0000889,VEH486831,2025-06-07,Battery Check,278839,1618,11538,NONE,13156,BMW_Gurugram_383,Gurugram,North,693,5.0
D0312,SVC0000900,VEH853789,2024-08-27,Engine Repair,226035,43200,11113,NONE,54313,BMW_Surat_312,Surat,West,216,4.6
D0173,SVC0000909,VEH231414,2024-08-27,Brake Service,256194,5558,11438,FC102,16996,BMW_Pune_173,Pune,West,546,4.2
D0317,SVC0000910,VEH432427,2023-01-27,Oil Change,153609,27522,14390,FC103,41912,BMW_Chennai_317,Chennai,South,671,4.5
D0227,SVC0000920,VEH918164,2025-03-09,Battery Check,50957,43347,13432,FC108,56779,BMW_Bengaluru_227,Bengaluru,South,311,4.7
D0305,SVC0000927,VEH553633,2024-02-04,Brake Service,218703,49238,10123,FC104,59361,BMW_Hyderabad_305,Hyderabad,South,380,3.1
D0054,SVC0000933,VEH260448,2025-07-25,Tire Replacement,58483,45784,1159,FC107,46943,BMW_Mumbai_54,Mumbai,West,612,4.5
D0144,SVC0000936,VEH269834,2025-03-15,Wheel Alignment,238528,12956,5185,FC107,18141,BMW_Chandigarh_144,Chandigarh,North,252,4.1
D0441,SVC0000938,VEH843788,2025-05-17,Tire Replacement,258357,28431,12148,FC104,40579,BMW_Jaipur_441,Jaipur,North,761,3.1
D0358,SVC0000945,VEH362778,2024-09-26,Wheel Alignment,110730,10057,9448,FC103,19505,BMW_Pune_358,Pune,West,358,3.6
D0460,SVC0000946,VEH305837,2023-01-28,Software Update,145618,2703,5892,FC103,8595,BMW_Pune_460,Pune,West,210,4.3
D0408,SVC0000947,VEH765905,2025-03-24,Software Update,179096,1102,4837,FC103,5939,BMW_Chandigarh_408,Chandigarh,North,192,3.9
D0041,SVC0000962,VEH279516,2025-04-17,Brake Service,197197,27272,11594,FC101,38866,BMW_Ahmedabad_41,Ahmedabad,West,470,3.4
D0145,SVC0000967,VEH454019,2024-04-06,Brake Service,2606,2044,5619,FC104,7663,BMW_Bhubaneswar_145,Bhubaneswar,East,478,4.2
D0240,SVC0000973,VEH185168,2023-11-13,Battery Check,9680,14571,2504,FC107,17075,BMW_Gurugram_240,Gurugram,North,646,3.1
D0397,SVC0000975,VEH772612,2024-09-29,Software Update,299991,22950,5148,FC105,28098,BMW_Patna_397,Patna,East,567,3.0
D0253,SVC0000978,VEH377511,2025-05-16,AC Repair,255148,21645,2740,FC101,24385,BMW_Bengaluru_253,Bengaluru,South,736,3.3
D0239,SVC0001000,VEH575575,2024-05-21,Software Update,227265,40579,8753,FC105,49332,BMW_Bhubaneswar_239,Bhubaneswar,East,578,4.8
D0063,SVC0001005,VEH560959,2025-08-20,Tire Replacement,7004,4996,3326,FC102,8322,BMW_Bengaluru_63,Bengaluru,South,346,4.8
D0315,SVC0001008,VEH587002,2025-09-05,Software Update,176879,41721,4491,FC104,46212,BMW_Hyderabad_315,Hyderabad,South,930,4.1
D0283,SVC0001009,VEH313933,2025-02-23,Tire Replacement,121680,15035,2630,FC108,17665,BMW_Kochi_283,Kochi,South,463,4.6
D0177,SVC0001010,VEH456717,2023-04-03,Tire Replacement,76414,43387,3158,FC106,46545,BMW_Patna_177,Patna,East,925,4.1
D0099,SVC0001015,VEH434827,2023-03-16,Wheel Alignment,224801,8367,14008,FC108,22375,BMW_Kochi_99,Kochi,South,985,3.8
D0496,SVC0001018,VEH518084,2026-01-26,Wheel Alignment,8309,42790,3964,FC101,46754,BMW_Chennai_496,Chennai,South,863,3.1
D0465,SVC0001022,VEH639995,2024-09-25,Wheel Alignment,248568,28035,10600,FC102,38635,BMW_Mumbai_465,Mumbai,West,764,3.8
D0197,SVC0001023,VEH688933,2026-06-05,Oil Change,48573,38411,3639,FC105,42050,BMW_Kochi_197,Kochi,South,788,3.6
D0358,SVC0001026,VEH353480,2023-04-24,AC Repair,66118,48714,6097,FC102,54811,BMW_Pune_358,Pune,West,358,3.6
