service_id,vehicle_id,dealer_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code,repair_cost
SVC0000325,VEH431495,D0443,2025-07-29,Engine Repair,150786,26251,5767,FC101,32018
SVC0000328,VEH171603,D0346,2023-05-22,Wheel Alignment,250570,17687,11963,FC104,29650
SVC0000333,VEH935012,D0199,2025-06-24,Tire Replacement,112629,29372,3318,FC104,32690
SVC0000339,VEH177794,D0039,2025-10-07,Brake Service,265848,25444,2902,FC101,28346
SVC0000351,VEH194682,D0298,2025-12-28,Tire Replacement,112249,45379,8246,NONE,53625
SVC0000359,VEH930281,D0060,2024-04-25,Oil Change,36405,21910,2898,FC101,24808
SVC0000364,VEH699425,D0254,2023-08-10,Software Update,7636,46498,1120,FC103,47618
SVC0000371,VEH258189,D0099,2024-01-27,AC Repair,247587,30160,4977,FC101,35137
SVC0000377,VEH460120,D0152,2024-06-18,Battery Check,288458,21871,4151,FC107,26022
SVC0000380,VEH629057,D0161,2024-08-08,Software Update,76587,13174,4154,FC101,17328
SVC0000381,VEH777513,D0408,2024-05-31,Brake Service,76379,43116,14420,NONE,57536
SVC0000389,VEH648141,D0340,2025-01-18,AC Repair,263553,33278,2230,NONE,35508
SVC0000393,VEH490963,D0473,2025-12-05,Brake Service,142263,34026,9753,FC101,43779
SVC0000412,VEH397949,D0277,2024-04-04,Wheel Alignment,105315,2761,5491,FC108,8252
SVC0000414,VEH858889,D0404,2024-03-28,Engine Repair,294291,13484,5081,FC102,18565
SVC0000429,VEH510997,D0238,2026-05-29,Engine Repair,78190,40297,2253,FC103,42550
SVC0000434,VEH424620,D0051,2023-03-07,Wheel Alignment,227726,35138,6542,FC105,41680
SVC0000441,VEH234001,D0286,2024-04-01,AC Repair,291610,35950,9822,FC104,45772
SVC0000442,VEH802667,D0097,2025-12-19,Battery Check,38323,28944,5816,FC101,34760
SVC0000446,VEH818709,D0481,2025-08-11,Battery Check,176178,33130,7456,FC104,40586
SVC0000450,VEH803024,D0147,2023-11-06,Tire Replacement,98226,27687,5939,FC104,33626
SVC0000452,VEH633188,D0035,2025-09-19,AC Repair,37097,15520,10095,FC108,25615
SVC0000457,VEH289019,D0220,2026-01-18,Tire Replacement,163596,13024,696,FC104,13720
SVC0000467,VEH410160,D0280,2025-10-12,Oil Change,155188,17791,2167,FC102,19958
SVC0000468,VEH985447,D0349,2023-03-14,Tire Replacement,94492,35457,8222,FC106,43679
SVC0000472,VEH908320,D0095,2024-04-29,Brake Service,15750,41021,5324,FC108,46345
SVC0000478,VEH794083,D0253,2025-03-06,Brake Service,128513,15734,10875,FC103,26609
SVC0000482,VEH237414,D0161,2026-06-15,Tire Replacement,35847,13652,1727,FC107,15379
SVC0000492,VEH948343,D0323,2023-03-22,Wheel Alignment,40567,17963,11926,FC103,29889
SVC0000493,VEH273580,D0360,2025-06-17,AC Repair,68325,39789,10340,FC104,50129
SVC0000506,VEH884897,D0474,2023-09-06,Software Update,274260,35747,7733,FC105,43480
SVC0000508,VEH570735,D0104,2023-03-22,Software Update,258877,16494,12574,FC106,29068
SVC0000511,VEH350786,D0299,2023-07-26,Brake Service,183152,1108,6897,FC101,8005
SVC0000515,VEH591798,D0477,2024-10-12,Brake Service,90956,3401,13374,FC101,16775
SVC0000522,VEH584106,D0408,2025-04-14,Battery Check,131635,12050,11788,FC104,23838
SVC0000545,VEH640970,D0342,2024-05-16,Wheel Alignment,155516,25310,4121,FC108,29431
SVC0000548,VEH398910,D0186,2023-11-20,Tire Replacement,32024,15581,1304,FC106,16885
SVC0000552,VEH386042,D0150,2026-03-29,AC Repair,20965,46612,10354,FC108,56966
SVC0000559,VEH332823,D0326,2024-01-18,AC Repair,192323,7426,5327,NONE,12753
SVC0000569,VEH347231,D0492,2023-06-23,Tire Replacement,132797,17673,10142,FC107,27815
SVC0000574,VEH129556,D0262,2026-05-13,Engine Repair,81817,19041,9466,FC102,28507
SVC0000575,VEH434165,D0365,2026-04-04,Engine Repair,26547,43404,8657,FC101,52061
SVC0000584,VEH140163,D0144,2025-10-25,Software Update,188595,5782,9391,FC103,15173
SVC0000586,VEH970068,D0370,2024-01-02,Engine Repair,109733,35066,10661,FC104,45727
SVC0000587,VEH595404,D0124,2026-01-11,Software Update,223422,41694,10883,FC102,52577
SVC0000592,VEH839808,D0120,2023-09-04,AC Repair,164859,10884,14842,NONE,25726
SVC0000598,VEH119927,D0346,2025-08-17,Brake Service,248905,30590,7106,FC107,37696
SVC0000604,VEH862560,D0127,2024-05-09,AC Repair,127170,41900,8434,FC101,50334
SVC0000609,VEH913875,D0122,2023-08-10,Engine Repair,251315,9747,2757,FC105,12504
SVC0000614,VEH150068,D0126,2025-06-09,Battery Check,222408,32281,6452,FC108,38733
SVC0000618,VEH932463,D0488,2024-08-21,Software Update,196222,30181,3439,FC106,33620
SVC0000619,VEH753064,D0237,2023-08-13,Tire Replacement,260242,16302,8921,NONE,25223
SVC0000623,VEH977330,D0189,2025-12-04,Software Update,23009,13863,4896,FC107,18759
SVC0000625,VEH725726,D0192,2023-02-26,Tire Replacement,203929,9428,4149,FC102,13577
SVC0000627,VEH117233,D0069,2024-06-21,Oil Change,49445,9677,8452,FC104,18129
SVC0000630,VEH702980,D0247,2023-10-26,Tire Replacement,289503,36316,14318,FC101,50634
SVC0000637,VEH744674,D0086,2024-01-21,Oil Change,119602,22929,14109,FC108,37038
SVC0000642,VEH296412,D0069,2025-06-06,AC Repair,33026,8433,2562,FC101,10995
SVC0000643,VEH796643,D0047,2025-01-23,Engine Repair,288991,14436,8189,FC102,22625
SVC0000664,VEH117031,D0010,2025-08-08,Tire Replacement,33007,11577,5031,FC106,16608
SVC0000676,VEH870899,D0257,2024-10-19,Oil Change,290937,32909,7115,FC104,40024
SVC0000680,VEH146489,D0016,2024-09-25,Battery Check,15436,21341,12784,NONE,34125
SVC0000682,VEH672536,D0336,2026-04-09,AC Repair,58207,49381,8794,FC101,58175
SVC0000684,VEH953025,D0258,2023-03-31,Software Update,25796,22643,1263,FC108,23906
SVC0000688,VEH916990,D0160,2025-03-22,AC Repair,21465,17425,4904,FC108,22329
SVC0000692,VEH601776,D0396,2025-11-09,Wheel Alignment,71300,32396,4863,NONE,37259
SVC0000693,VEH762423,D0178,2025-08-25,AC Repair,191686,42101,4393,FC104,46494
SVC0000697,VEH166165,D0417,2026-03-22,Oil Change,268408,6331,12833,FC107,19164
SVC0000699,VEH913894,D0179,2023-05-05,Engine Repair,174550,20217,13149,FC107,33366
SVC0000704,VEH145934,D0065,2024-08-14,Software Update,258158,40681,13205,FC107,53886
SVC0000709,VEH425138,D0044,2025-04-06,Battery Check,36374,33400,9633,FC101,43033
SVC0000717,VEH889882,D0499,2023-07-25,AC Repair,107459,25594,8732,NONE,34326
SVC0000722,VEH918771,D0090,2024-12-02,Engine Repair,83807,9377,1062,FC103,10439
SVC0000724,VEH787584,D0093,2024-06-20,Engine Repair,194078,20480,7841,FC101,28321
SVC0000732,VEH879414,D0196,2024-11-11,Battery Check,113275,9070,1211,FC102,10281
SVC0000733,VEH561097,D0314,2026-06-02,Engine Repair,27413,23998,12633,FC103,36631
SVC0000742,VEH644500,D0249,2024-11-30,Oil Change,144539,22126,9816,FC104,31942
SVC0000744,VEH940064,D0394,2024-09-08,AC Repair,230509,5743,8474,NONE,14217
SVC0000749,VEH551524,D0227,2023-10-26,Engine Repair,60455,41617,3832,FC102,45449
SVC0000753,VEH671971,D0036,2025-03-30,AC Repair,298142,26470,1474,FC107,27944
SVC0000760,VEH410000,D0190,2024-07-08,Engine Repair,213551,21925,13519,FC104,35444
SVC0000762,VEH567576,D0037,2024-04-06,AC Repair,213059,22048,7331,FC107,29379
SVC0000766,VEH274739,D0013,2024-03-02,Software Update,159307,41238,9705,FC106,50943
SVC0000772,VEH862120,D0273,2025-07-18,Engine Repair,285514,38982,4538,FC105,43520
SVC0000786,VEH940010,D0233,2025-03-30,Wheel Alignment,104228,33034,13873,FC103,46907
SVC0000787,VEH886325,D0403,2024-06-13,Tire Replacement,140069,21658,10390,FC105,32048
SVC0000789,VEH267758,D0265,2026-06-12,Tire Replacement,4923,9971,12338,FC105,22309
SVC0000794,VEH811027,D0384,2024-06-07,Tire Replacement,22484,15153,2438,FC102,17591
SVC0000803,VEH484123,D0025,2023-06-11,Brake Service,191931,15448,4731,FC105,20179
SVC0000804,VEH479742,D0436,2026-04-10,Software Update,149056,42120,7833,FC105,49953
SVC0000811,VEH571778,D0057,2024-05-29,Brake Service,134504,34345,11707,FC103,46052
SVC0000813,VEH490084,D0109,2024-09-08,Engine Repair,145826,34738,6381,FC107,41119
SVC0000822,VEH429657,D0163,2024-07-07,Wheel Alignment,251356,25874,10470,FC106,36344
SVC0000825,VEH361736,D0235,2024-01-09,Battery Check,276336,34386,9718,NONE,44104
SVC0000828,VEH871411,D0239,2023-05-29,Oil Change,42899,7042,9428,FC106,16470
SVC0000830,VEH623285,D0009,2025-07-16,Oil Change,176653,23161,2364,NONE,25525
SVC0000833,VEH688956,D0492,2026-04-10,Tire Replacement,268462,48794,4499,FC103,53293
SVC0000837,VEH372933,D0007,2024-01-12,Tire Replacement,232510,4559,2369,FC104,6928
SVC0000845,VEH309902,D0122,2025-07-29,Wheel Alignment,208236,10163,1809,FC105,11972
SVC0000851,VEH281043,D0339,2024-03-25,Battery Check,157435,12140,8772,NONE,20912
SVC0000855,VEH949884,D0321,2024-10-18,Engine Repair,251471,47025,1282,FC106,48307
SVC0000857,VEH986593,D0500,2023-02-17,Engine Repair,199341,42224,12891,FC107,55115
SVC0000859,VEH800280,D0327,2024-09-14,Wheel Alignment,35597,38477,8810,FC102,47287
SVC0000860,VEH464301,D0217,2025-06-23,Battery Check,5318,42672,7917,FC106,50589
SVC0000861,VEH844007,D0301,2025-12-24,Battery Check,207227,5598,14532,FC103,20130
SVC0000867,VEH992717,D0275,2026-01-23,Brake Service,157604,39016,14610,FC107,53626
SVC0000869,VEH846385,D0364,2023-12-12,Oil Change,60495,37569,7496,FC104,45065
SVC0000874,VEH932250,D0346,2026-02-28,Engine Repair,39264,35448,13015,FC105,48463
SVC0000880,VEH930541,D0141,2023-09-04,Tire Replacement,216444,43554,1639,FC106,45193
SVC0000889,VEH486831,D0383,2025-06-07,Battery Check,278839,1618,11538,NONE,13156
SVC0000900,VEH853789,D0312,2024-08-27,Engine Repair,226035,43200,11113,NONE,54313
SVC0000909,VEH231414,D0173,2024-08-27,Brake Service,256194,5558,11438,FC102,16996
SVC0000910,VEH432427,D0317,2023-01-27,Oil Change,153609,27522,14390,FC103,41912
SVC0000920,VEH918164,D0227,2025-03-09,Battery Check,50957,43347,13432,FC108,56779
SVC0000927,VEH553633,D0305,2024-02-04,Brake Service,218703,49238,10123,FC104,59361
SVC0000933,VEH260448,D0054,2025-07-25,Tire Replacement,58483,45784,1159,FC107,46943
SVC0000936,VEH269834,D0144,2025-03-15,Wheel Alignment,238528,12956,5185,FC107,18141
SVC0000938,VEH843788,D0441,2025-05-17,Tire Replacement,258357,28431,12148,FC104,40579
SVC0000945,VEH362778,D0358,2024-09-26,Wheel Alignment,110730,10057,9448,FC103,19505
SVC0000946,VEH305837,D0460,2023-01-28,Software Update,145618,2703,5892,FC103,8595
SVC0000947,VEH765905,D0408,2025-03-24,Software Update,179096,1102,4837,FC103,5939
SVC0000962,VEH279516,D0041,2025-04-17,Brake Service,197197,27272,11594,FC101,38866
SVC0000967,VEH454019,D0145,2024-04-06,Brake Service,2606,2044,5619,FC104,7663
SVC0000973,VEH185168,D0240,2023-11-13,Battery Check,9680,14571,2504,FC107,17075
SVC0000975,VEH772612,D0397,2024-09-29,Software Update,299991,22950,5148,FC105,28098
SVC0000978,VEH377511,D0253,2025-05-16,AC Repair,255148,21645,2740,FC101,24385
SVC0001000,VEH575575,D0239,2024-05-21,Software Update,227265,40579,8753,FC105,49332
SVC0001005,VEH560959,D0063,2025-08-20,Tire Replacement,7004,4996,3326,FC102,8322
SVC0001008,VEH587002,D0315,2025-09-05,Software Update,176879,41721,4491,FC104,46212
SVC0001009,VEH313933,D0283,2025-02-23,Tire Replacement,121680,15035,2630,FC108,17665
SVC0001010,VEH456717,D0177,2023-04-03,Tire Replacement,76414,43387,3158,FC106,46545
SVC0001015,VEH434827,D0099,2023-03-16,Wheel Alignment,224801,8367,14008,FC108,22375
SVC0001018,VEH518084,D0496,2026-01-26,Wheel Alignment,8309,42790,3964,FC101,46754
SVC0001022,VEH639995,D0465,2024-09-25,Wheel Alignment,248568,28035,10600,FC102,38635
SVC0001023,VEH688933,D0197,2026-06-05,Oil Change,48573,38411,3639,FC105,42050
SVC0001026,VEH353480,D0358,2023-04-24,AC Repair,66118,48714,6097,FC102,54811
SVC0001027,VEH589131,D0259,2026-07-09,Software Update,244402,46885,8910,FC104,55795
SVC0001029,VEH380464,D0023,2023-08-12,AC Repair,277351,10234,12026,FC108,22260
SVC0001030,VEH571435,D0485,2025-11-13,Tire Replacement,178426,5358,1740,FC107,7098
SVC0001039,VEH360330,D0457,2025-01-29,Oil Change,38417,1483,5957,FC106,7440
SVC0001041,VEH952993,D0001,2025-03-12,AC Repair,96648,14562,10543,NONE,25105
SVC0001049,VEH622469,D0488,2024-08-02,Tire Replacement,285247,48329,13429,FC107,61758
SVC0001050,VEH639728,D0288,2023-09-24,Engine Repair,142467,2688,1952,FC106,4640
SVC0001054,VEH621530,D0072,2024-01-01,Brake Service,162416,9747,9013,FC102,18760
SVC0001056,VEH194423,D0154,2025-10-19,Battery Check,286448,2908,10049,FC102,12957
SVC0001059,VEH579441,D0438,2026-07-08,Battery Check,264420,26220,5711,FC107,31931
SVC0001060,VEH352422,D0118,2023-10-18,Oil Change,73435,16512,2601,FC108,19113
SVC0001063,VEH470037,D0306,2024-04-03,AC Repair,152797,7800,8882,FC103,16682
SVC0001069,VEH983791,D0478,2025-07-25,Oil Change,25294,27196,12679,NONE,39875
SVC0001073,VEH399628,D0401,2025-02-12,Engine Repair,242783,16711,14264,FC105,30975
SVC0001087,VEH520040,D0192,2025-07-30,Software Update,249721,27656,6434,NONE,34090
SVC0001095,VEH177103,D0335,2024-06-06,AC Repair,294562,23559,2404,FC108,25963
SVC0001096,VEH505116,D0347,2023-02-27,Tire Replacement,97713,20017,5677,FC105,25694
SVC0001097,VEH628750,D0435,2023-11-17,AC Repair,138827,23428,9930,NONE,33358
SVC0001102,VEH965401,D0166,2024-02-05,Battery Check,203583,16867,5307,FC101,22174
SVC0001109,VEH513037,D0051,2024-06-30,Brake Service,279666,35964,10472,FC103,46436
SVC0001111,VEH933510,D0133,2026-05-02,Engine Repair,35371,30615,7780,FC108,38395
SVC0001114,VEH483366,D0138,2025-05-31,Software Update,3799,34736,12974,FC108,47710
SVC0001118,VEH731728,D0273,2025-05-15,Oil Change,27931,45102,4762,FC101,49864
SVC0001125,VEH243693,D0450,2026-05-04,Software Update,92190,25108,12690,FC102,37798
SVC0001138,VEH434002,D0095,2026-07-18,Battery Check,84695,30642,12626,FC103,43268
SVC0001155,VEH597960,D0061,2024-02-13,Wheel Alignment,45029,2168,7469,FC108,9637
SVC0001156,VEH955374,D0122,2026-01-17,Wheel Alignment,74166,9395,11526,NONE,20921
SVC0001159,VEH447329,D0277,2025-03-24,Wheel Alignment,121725,7200,1160,FC106,8360
SVC0001164,VEH422623,D0317,2026-06-19,Software Update,157524,3956,1807,FC101,5763
SVC0001165,VEH935457,D0022,2026-01-26,Brake Service,122779,22778,14675,FC108,37453
SVC0001172,VEH378428,D0346,2023-03-29,Software Update,243392,19680,8446,FC106,28126
SVC0001180,VEH153849,D0073,2025-02-27,Software Update,226116,33599,12476,FC106,46075
SVC0001185,VEH759580,D0214,2023-04-23,Engine Repair,225748,48188,7533,FC107,55721
SVC0001204,VEH258787,D0127,2025-05-08,Battery Check,46263,5579,5135,FC105,10714
SVC0001205,VEH533020,D0056,2023-06-30,Engine Repair,254279,49721,5043,NONE,54764
SVC0001213,VEH989587,D0386,2023-01-13,Oil Change,256833,46993,2035,FC108,49028
SVC0001224,VEH601608,D0238,2023-12-13,Battery Check,194203,12594,7717,FC105,20311
SVC0001226,VEH495129,D0239,2026-04-23,Oil Change,296932,6540,486,FC102,7026
SVC0001228,VEH281594,D0274,2025-10-24,Oil Change,53784,11937,6604,FC106,18541
SVC0001231,VEH458955,D0371,2024-03-17,Oil Change,56849,39328,959,FC107,40287
SVC0001245,VEH358494,D0126,2026-06-18,Engine Repair,227804,24707,5337,FC103,30044
SVC0001248,VEH412999,D0145,2025-06-15,Brake Service,39817,26898,13868,FC107,40766
SVC0001255,VEH823769,D0233,2023-09-28,Engine Repair,30748,15345,330,FC101,15675
SVC0001261,VEH687713,D0470,2025-11-26,AC Repair,34411,31354,5872,FC102,37226
SVC0001267,VEH701334,D0236,2024-04-12,Wheel Alignment,253084,27471,5286,FC107,32757
SVC0001285,VEH368900,D0437,2024-05-11,Battery Check,65080,26829,14766,FC103,41595
SVC0001288,VEH324381,D0198,2026-02-20,AC Repair,272895,31878,14289,FC103,46167
SVC0001294,VEH829988,D0446,2025-03-18,Tire Replacement,60153,16970,7689,FC107,24659
SVC0001298,VEH745584,D0152,2025-07-05,Brake Service,139344,3238,12355,FC108,15593
SVC0001302,VEH354235,D0387,2023-08-23,Engine Repair,155294,49595,2699,FC107,52294
SVC0001307,VEH768933,D0036,2024-02-23,Engine Repair,81717,32904,610,FC102,33514
SVC0001310,VEH205065,D0006,2023-11-11,Oil Change,110887,10649,13788,FC108,24437
SVC0001312,VEH446337,D0468,2023-12-29,AC Repair,66917,39422,11388,FC105,50810
SVC0001313,VEH852204,D0220,2024-02-16,Wheel Alignment,265921,44369,14983,FC104,59352
SVC0001317,VEH908206,D0134,2023-09-11,Brake Service,191250,20537,12906,FC104,33443
SVC0001322,VEH526673,D0435,2025-01-27,Wheel Alignment,104104,22957,10341,FC107,33298
SVC0001326,VEH782139,D0335,2023-02-03,Engine Repair,1833,25008,6460,FC107,31468
SVC0001333,VEH162036,D0133,2024-03-24,Battery Check,178475,33737,13025,FC102,46762
SVC0001334,VEH906066,D0326,2025-12-31,Tire Replacement,23331,37019,11390,FC103,48409
SVC0001335,VEH193806,D0410,2025-05-20,Oil Change,182801,9934,10391,FC106,20325
SVC0001339,VEH661147,D0212,2024-01-18,Engine Repair,149342,8572,2043,FC104,10615
SVC0001353,VEH295361,D0356,2024-04-22,Wheel Alignment,147067,32048,12278,FC101,44326
SVC0001356,VEH139286,D0259,2025-08-21,Tire Replacement,266729,28433,14822,FC104,43255
SVC0001361,VEH212512,D0261,2023-03-02,Oil Change,111274,46578,9041,FC106,55619
SVC0001369,VEH240718,D0084,2025-08-10,Wheel Alignment,226214,38045,4817,FC102,42862
SVC0001377,VEH446747,D0399,2025-01-15,Brake Service,259607,6684,3819,FC106,10503
SVC0001378,VEH270387,D0408,2025-10-06,Battery Check,116465,9790,1394,NONE,11184
SVC0001382,VEH369761,D0095,2025-01-12,Engine Repair,33777,34975,14592,FC107,49567
SVC0001386,VEH872399,D0444,2025-03-08,Battery Check,113570,31912,1543,FC101,33455
SVC0001388,VEH929179,D0434,2025-04-15,Wheel Alignment,126101,43825,12904,NONE,56729
SVC0001400,VEH548479,D0320,2025-03-28,AC Repair,32514,35943,11244,FC105,47187
SVC0001404,VEH520304,D0349,2025-10-28,Oil Change,292237,19815,12276,FC102,32091
SVC0001419,VEH445637,D0410,2023-09-20,Oil Change,194946,15905,8903,FC102,24808
SVC0001420,VEH416613,D0062,2023-03-31,AC Repair,257666,8691,2026,FC103,10717
SVC0001425,VEH374258,D0089,2024-12-04,Tire Replacement,42519,39903,547,FC105,40450
SVC0001427,VEH477017,D0296,2023-01-19,Battery Check,111717,41356,3716,NONE,45072
SVC0001432,VEH223967,D0288,2024-11-07,Tire Replacement,252217,49267,1812,FC103,51079
SVC0001438,VEH626930,D0063,2026-02-17,Software Update,292846,11484,5537,FC108,17021
SVC0001443,VEH223119,D0225,2023-05-14,Engine Repair,82661,14853,1003,FC104,15856
SVC0001446,VEH485397,D0462,2026-07-20,Tire Replacement,215491,42740,2296,FC102,45036
SVC0001456,VEH491774,D0391,2025-03-02,Battery Check,155504,13134,10514,FC106,23648
SVC0001461,VEH894139,D0500,2025-12-23,Software Update,272556,18068,6901,FC105,24969
SVC0001475,VEH568449,D0485,2024-08-18,Software Update,158580,40184,4371,FC106,44555
SVC0001478,VEH479358,D0289,2024-04-20,Wheel Alignment,254216,23839,3972,FC103,27811
SVC0001481,VEH217659,D0086,2023-02-04,Battery Check,75902,33674,13679,FC106,47353
SVC0001483,VEH969032,D0010,2025-11-27,Tire Replacement,211189,30122,1814,FC105,31936
SVC0001484,VEH674251,D0005,2023-12-09,Wheel Alignment,204114,23838,12966,FC103,36804
SVC0001485,VEH630041,D0123,2025-01-31,Brake Service,97346,19426,8339,NONE,27765
SVC0001492,VEH995993,D0303,2024-06-03,Brake Service,9926,18068,9825,FC103,27893
SVC0001494,VEH563303,D0365,2026-02-16,Tire Replacement,152764,41548,8960,FC108,50508
SVC0001496,VEH813341,D0436,2025-01-22,Software Update,3053,14322,3814,FC101,18136
SVC0001509,VEH535604,D0095,2026-01-18,Wheel Alignment,106325,28083,6292,FC104,34375
SVC0001516,VEH946112,D0283,2025-11-12,Engine Repair,68135,24022,5921,FC102,29943
SVC0001526,VEH706403,D0023,2023-02-28,Oil Change,132291,13463,8943,FC107,22406
SVC0001533,VEH667451,D0141,2026-02-05,Engine Repair,77477,48366,3300,FC104,51666
SVC0001536,VEH595002,D0210,2025-07-13,Battery Check,189143,49340,14985,FC104,64325
SVC0001540,VEH288724,D0104,2024-05-31,Battery Check,98638,20578,11544,FC101,32122
SVC0001542,VEH242007,D0171,2025-09-08,Software Update,219078,27093,11797,FC101,38890
SVC0001543,VEH903028,D0460,2023-03-23,AC Repair,51389,34478,3176,FC101,37654
SVC0001555,VEH793939,D0092,2026-07-18,Battery Check,100590,14212,1993,FC108,16205
SVC0001561,VEH287143,D0462,2024-03-20,Oil Change,180271,14685,1006,FC106,15691
SVC0001562,VEH663356,D0296,2025-04-21,Engine Repair,86718,12475,7116,FC103,19591
SVC0001565,VEH233533,D0267,2025-06-27,Wheel Alignment,17859,11545,8501,FC102,20046
SVC0001571,VEH123839,D0346,2023-03-25,Brake Service,115443,45014,11807,FC104,56821
SVC0001583,VEH583000,D0399,2023-12-18,Tire Replacement,79607,36253,13458,FC103,49711
SVC0001589,VEH902674,D0202,2023-08-09,Oil Change,281253,23273,9355,NONE,32628
SVC0001594,VEH539605,D0425,2025-07-06,Engine Repair,54113,49214,5743,NONE,54957
SVC0001596,VEH903265,D0063,2024-10-30,Battery Check,238597,38981,8008,FC102,46989
