dealer_id,model,region,month,sales,current_inventory,previous_month_sales,inventory_30_days_ago
202,iX,South,1,30,57,12,67
190,X1,North,1,42,83,25,21
228,iX1,East,1,29,39,37,20
14,iX,East,1,25,29,8,24
95,iX,South,1,3,48,23,36
48,7 Series,West,1,25,98,13,23
15,iX3,North,1,36,73,18,48
200,5 Series,East,1,39,77,6,92
206,2 Series,South,1,29,24,24,22
215,iX,Central,1,31,31,18,77
249,X3,East,1,39,22,40,51
190,i4,East,1,9,69,24,6
40,7 Series,Central,1,22,70,15,31
213,iX,Central,1,18,95,18,66
208,3 Series,Central,1,49,19,18,65
237,X5,North,1,47,78,46,26
82,X5,Central,1,19,8,14,50
111,X1,Central,1,2,4,15,52
53,X5,South,1,19,72,9,90
24,7 Series,Central,1,43,12,17,14
154,3 Series,West,1,10,11,29,80
217,X5,North,1,21,65,37,32
188,iX1,North,1,39,52,12,27
124,X1,East,1,28,28,37,51
237,X1,South,1,11,26,21,8
41,3 Series,Central,1,14,12,15,85
157,iX1,South,1,5,26,37,41
15,i7,West,1,26,18,21,74
45,iX3,North,1,2,10,18,86
65,i5,West,1,7,55,35,25
89,i4,East,1,12,74,3,95
71,5 Series,West,1,21,17,38,33
9,i7,West,1,46,22,36,51
88,i4,South,1,17,35,3,17
129,3 Series,South,1,36,38,3,29
236,X1,South,1,42,59,27,59
136,X3,North,1,11,75,42,74
216,X3,South,1,11,32,28,65
63,4 Series,East,1,21,31,28,90
139,i7,South,1,47,57,30,57
243,i5,West,1,29,17,26,13
81,i5,West,1,17,22,34,94
136,3 Series,East,1,45,86,19,92
163,X7,North,1,15,10,36,31
163,X3,West,1,39,90,19,71
33,i4,East,1,12,42,25,63
123,X3,Central,1,18,67,3,35
5,X3,North,1,28,11,23,14
234,3 Series,Central,1,3,81,1,66
231,3 Series,South,1,12,80,18,30
250,4 Series,North,1,44,4,6,45
41,X3,North,1,12,6,3,60
28,i5,East,1,7,46,6,95
135,7 Series,West,1,35,70,30,40
201,X5,East,1,24,48,15,31
72,i5,Central,1,47,37,32,99
12,i5,East,1,49,57,29,69
162,7 Series,Central,1,29,87,8,69
33,i5,North,1,17,45,2,66
48,3 Series,North,1,18,94,42,26
247,4 Series,West,1,5,99,45,9
151,7 Series,South,1,41,93,37,99
62,X3,East,1,22,16,8,31
216,i4,Central,1,14,98,34,72
37,5 Series,East,1,7,86,42,67
99,X5,East,1,6,63,13,95
172,X3,South,1,26,41,23,40
104,i7,Central,1,42,12,28,33
214,iX1,North,1,23,12,28,16
219,5 Series,South,1,22,15,4,92
35,i5,East,1,47,38,45,34
193,X1,South,1,27,59,37,27
227,i7,North,1,18,68,7,27
101,X3,South,1,31,8,22,43
175,X7,West,1,30,99,10,30
206,5 Series,Central,1,31,2,30,52
131,2 Series,South,1,26,35,2,99
1,X1,West,1,4,23,34,62
5,i7,South,1,16,71,11,17
218,i4,East,1,28,82,7,65
247,i7,South,1,13,24,9,42
142,7 Series,West,1,44,12,25,65
103,3 Series,West,1,3,85,4,94
27,iX3,East,1,42,15,29,15
137,iX1,South,1,34,64,39,50
207,X3,East,1,33,62,47,86
15,4 Series,Central,1,12,1,11,74
90,X1,North,1,19,38,11,22
42,iX1,South,1,4,79,41,34
124,X1,North,1,2,84,5,6
205,7 Series,West,1,40,10,21,32
179,X5,Central,1,6,55,29,72
63,5 Series,West,1,2,76,49,73
96,2 Series,East,1,38,87,4,54
231,X3,Central,1,31,66,4,16
241,X3,West,1,22,17,4,16
52,2 Series,Central,1,30,96,21,41
96,i7,East,1,17,1,12,89
132,X3,West,1,36,75,32,36
222,X5,West,1,27,45,10,13
229,i4,North,1,17,38,26,55
151,7 Series,Central,1,33,49,2,69
231,3 Series,West,1,24,61,9,56
237,iX1,Central,1,36,35,47,68
143,iX3,West,1,28,77,46,43
171,i7,South,1,14,22,47,55
29,7 Series,South,1,10,6,26,80
36,4 Series,North,1,29,51,14,64
13,iX,West,1,17,37,29,79
160,X1,East,1,12,77,32,91
71,i7,Central,1,36,70,31,9
187,X3,West,1,49,37,10,87
243,7 Series,North,1,14,17,6,38
86,iX,Central,1,1,30,41,71
28,iX3,South,1,7,40,8,86
66,i7,East,1,40,32,10,47
170,iX1,West,1,9,96,12,68
45,X5,Central,1,29,5,9,18
62,iX1,South,1,21,82,28,28
185,5 Series,West,1,18,10,7,42
245,4 Series,North,1,21,82,43,24
134,i5,North,1,27,36,17,51
28,3 Series,Central,1,23,71,31,19
28,i4,Central,1,31,92,31,14
108,5 Series,North,1,45,76,15,61
44,5 Series,South,1,11,48,17,33
84,i4,East,1,28,85,34,62
30,5 Series,West,1,30,23,27,56
190,iX3,North,1,25,48,22,20
75,X1,North,1,12,90,43,63
128,iX,North,1,40,34,36,57
250,4 Series,Central,1,10,32,20,99
247,i5,West,1,5,82,15,44
92,5 Series,West,1,34,65,16,43
217,iX1,South,1,39,88,9,14
231,X3,East,1,40,52,20,29
190,X7,South,1,29,8,46,44
225,i7,South,1,29,44,3,14
129,i7,North,1,9,68,8,4
121,3 Series,West,1,14,48,9,71
27,X7,West,1,27,21,12,39
190,i5,West,1,8,91,6,33
121,X3,Central,1,41,85,13,67
116,iX,West,1,33,62,31,24
205,X3,North,1,26,79,18,83
233,X3,West,1,33,44,21,2
3,X3,Central,1,20,77,20,85
103,4 Series,North,1,41,86,48,54
198,7 Series,Central,1,32,1,22,60
200,iX1,South,1,11,91,21,43
155,i4,Central,1,5,53,29,6
137,i7,West,1,26,7,21,64
62,7 Series,West,1,5,77,26,5
165,3 Series,East,1,34,27,5,12
225,i4,West,1,45,45,41,53
51,X5,North,1,3,95,27,74
234,i5,South,1,29,53,18,7
172,i5,West,1,3,53,26,3
152,i7,North,1,35,96,42,38
207,4 Series,West,1,39,28,21,72
59,iX3,Central,1,5,5,39,42
118,i5,East,1,9,38,28,34
160,5 Series,West,1,28,99,33,31
96,i7,South,1,28,99,25,39
216,7 Series,East,1,40,41,8,34
233,iX1,South,1,46,34,43,95
180,X7,South,1,35,75,21,42
113,iX,South,1,13,78,47,55
62,2 Series,Central,1,39,25,19,40
241,X1,West,1,30,65,19,10
186,2 Series,West,1,12,30,38,46
52,iX3,West,1,4,26,25,18
12,i4,Central,1,9,5,14,58
39,4 Series,North,1,22,52,5,35
130,i5,North,1,16,97,17,88
131,i7,Central,1,11,49,39,59
113,X3,West,1,36,19,37,85
101,i5,East,1,31,88,29,78
113,2 Series,East,1,19,12,36,37
184,7 Series,Central,1,45,5,25,20
81,i7,East,1,47,8,16,81
187,X5,North,1,39,66,3,84
113,X3,North,1,12,70,5,75
2,2 Series,West,1,27,91,3,93
130,i5,South,1,40,10,9,98
220,7 Series,Central,1,49,36,26,74
54,i4,North,1,38,33,38,64
87,X7,West,1,39,54,23,55
229,X1,South,1,23,9,28,36
224,3 Series,South,1,37,63,3,72
225,7 Series,South,1,14,1,16,84
129,X7,South,1,47,57,10,85
147,iX,North,1,12,56,24,81
126,7 Series,Central,1,7,99,41,30
130,iX3,North,1,10,68,32,52
53,i5,North,1,46,89,43,21
172,4 Series,Central,1,10,12,13,52
218,X1,Central,1,14,41,6,30
160,3 Series,North,1,41,8,13,4
198,X3,Central,1,40,88,26,84
160,5 Series,South,1,10,88,27,36
247,4 Series,East,1,15,30,37,79
68,4 Series,East,1,25,90,32,85
183,iX,Central,1,11,30,22,60
203,X7,West,1,30,79,45,53
184,X1,Central,1,24,59,4,36
123,iX1,Central,1,32,32,27,83
145,4 Series,East,1,26,76,28,53
38,2 Series,West,1,1,14,9,94
24,2 Series,North,1,6,27,28,54
69,7 Series,West,1,34,1,47,59
116,X5,South,1,31,9,30,20
98,2 Series,East,1,28,29,37,46
198,i4,North,1,27,5,28,2
214,i5,Central,1,49,7,32,72
139,X3,North,1,15,60,31,89
240,i5,East,1,10,13,40,12
144,2 Series,South,1,16,66,34,64
97,2 Series,South,1,41,39,23,87
201,X3,South,1,8,85,44,28
124,7 Series,Central,1,47,42,32,81
187,X5,West,1,32,44,39,8
70,i7,East,1,40,23,15,55
208,iX,East,1,36,87,12,19
93,X1,East,1,36,71,33,39
3,i5,North,1,46,23,22,22
148,X7,East,1,49,83,17,49
187,X7,East,1,48,74,5,72
164,2 Series,East,1,8,48,37,16
147,X5,West,1,30,85,31,75
90,5 Series,West,1,48,79,19,28
195,4 Series,Central,1,14,37,33,95
147,X1,Central,1,24,41,26,6
148,X1,West,1,29,91,32,15
96,5 Series,East,1,7,36,37,32
199,2 Series,North,1,2,98,17,5
52,X3,South,1,39,65,24,42
233,i7,West,1,1,25,48,99
161,5 Series,Central,1,49,90,18,42
168,5 Series,South,1,48,12,15,7
128,4 Series,North,1,11,70,11,88
39,4 Series,Central,1,22,76,34,40
82,i4,East,1,38,9,43,50
104,X3,South,1,19,70,21,59
129,i4,Central,1,47,36,21,92
11,X7,Central,1,30,89,15,86
220,7 Series,West,1,23,12,42,75
185,i5,North,1,33,23,1,81
217,i5,West,1,38,98,44,39
178,7 Series,South,1,22,2,31,66
151,X3,West,1,7,54,47,61
159,i4,Central,1,21,43,49,69
222,X3,Central,1,9,1,40,56
42,iX1,South,1,38,83,4,29
99,X3,West,1,13,59,12,14
7,2 Series,Central,1,39,77,46,61
144,iX1,South,1,4,85,34,66
90,iX,East,1,48,50,46,47
112,5 Series,Central,1,8,56,21,28
249,X5,South,1,44,39,43,15
244,7 Series,East,1,21,21,1,99
60,X1,East,1,47,15,12,89
113,2 Series,South,1,37,60,40,5
2,5 Series,South,1,10,83,28,40
129,iX1,West,1,13,36,34,29
48,X3,West,1,17,74,18,71
140,3 Series,Central,1,1,87,22,93
197,X5,West,1,29,96,20,93
37,7 Series,Central,1,9,64,12,11
160,4 Series,West,1,44,82,43,77
247,i5,North,1,37,63,18,54
9,7 Series,Central,1,33,33,9,19
233,3 Series,West,1,35,26,5,19
99,iX,East,1,32,29,36,26
147,7 Series,North,1,17,60,21,51
48,X3,Central,1,15,32,49,61
208,iX3,West,1,37,45,16,37
131,iX1,North,1,22,36,24,14
148,i4,West,1,9,33,6,19
152,X3,South,1,17,92,26,83
54,X7,South,1,11,6,23,92
120,2 Series,South,1,47,75,30,32
161,i4,North,1,37,20,14,15
152,iX3,East,1,34,73,41,30
116,7 Series,East,1,2,59,44,46
75,X3,Central,1,44,48,19,32
113,5 Series,South,1,24,46,37,34
200,2 Series,Central,1,43,84,9,10
164,7 Series,Central,1,6,68,25,99
166,2 Series,North,1,10,55,12,24
104,iX,West,1,24,18,39,83
84,i7,South,1,45,16,34,43
227,X3,South,1,10,78,30,54
112,5 Series,East,1,46,4,25,67
217,X1,South,1,11,29,33,40
99,X5,Central,1,4,82,16,11
153,X7,Central,1,21,49,24,35
93,iX1,East,1,9,4,39,87
146,i4,North,1,41,12,11,59
128,4 Series,Central,1,41,42,27,73
110,i7,North,1,24,37,44,60
82,X5,West,1,25,85,31,60
194,iX1,Central,1,42,37,29,41
54,X1,North,1,9,53,20,34
163,X7,North,1,10,32,24,64
208,5 Series,Central,1,49,22,26,8
189,iX,South,1,33,24,28,61
169,iX3,South,1,17,11,30,53
228,X3,West,1,25,94,49,80
161,iX3,North,1,30,79,34,52
68,4 Series,Central,1,42,98,6,61
33,X3,West,1,29,20,19,97
142,X1,West,1,11,24,28,96
21,iX3,North,1,9,51,3,66
48,iX1,East,1,35,75,36,35
148,7 Series,South,1,41,88,23,88
248,i4,West,1,7,45,37,62
128,X5,South,1,3,58,3,62
136,i7,Central,1,43,25,6,37
135,3 Series,West,1,14,19,35,7
195,X3,North,1,38,83,25,30
145,7 Series,Central,1,40,82,35,61
128,X3,Central,1,48,51,31,27
33,2 Series,Central,1,5,93,22,84
176,2 Series,East,1,48,80,1,84
204,i4,Central,1,15,2,15,3
187,3 Series,North,1,37,99,34,40
115,iX1,North,1,36,2,42,87
214,i7,Central,1,46,6,37,1
119,2 Series,East,1,49,8,38,47
22,5 Series,South,1,48,40,15,31
238,iX3,East,1,18,32,29,3
158,i5,East,1,4,79,14,9
38,i5,East,1,9,59,30,66
230,7 Series,North,1,42,65,35,90
109,7 Series,South,1,5,8,49,79
51,4 Series,North,1,10,2,27,13
182,X3,North,1,11,50,38,55
8,iX,South,1,8,70,48,78
27,X5,West,1,39,89,32,33
27,2 Series,South,1,23,80,41,19
226,X3,North,1,23,30,35,2
21,iX1,West,1,3,74,20,74
30,iX,Central,1,9,75,1,43
97,5 Series,East,1,19,86,12,65
28,X7,North,1,49,21,36,39
111,4 Series,West,1,34,90,11,65
192,2 Series,East,1,49,5,11,84
225,7 Series,North,1,35,95,37,67
197,iX1,North,1,41,74,37,66
61,i4,East,1,17,37,27,49
48,X5,East,1,32,87,18,41
147,X7,North,1,25,20,30,96
4,3 Series,South,1,47,3,34,26
35,i5,East,1,31,89,26,9
192,4 Series,North,1,24,41,43,80
49,5 Series,West,1,49,32,15,87
17,5 Series,North,1,42,23,49,23
172,X1,West,1,36,96,48,77
220,3 Series,Central,1,11,49,26,57
158,i7,Central,1,21,58,6,47
221,X1,North,1,37,67,42,12
46,X1,Central,1,36,1,38,65
117,iX,North,1,38,79,31,6
6,i7,South,1,14,48,7,85
99,iX1,South,1,33,58,15,28
124,X7,East,1,22,77,38,61
233,i5,North,1,22,71,41,64
37,iX3,South,1,11,73,48,73
24,7 Series,North,1,15,28,3,14
93,i4,North,1,1,68,41,14
241,i7,North,1,18,15,44,73
46,X3,Central,1,13,36,32,24
181,X7,South,1,15,28,19,29
95,3 Series,Central,1,12,54,47,9
99,i5,West,1,8,89,29,34
188,5 Series,East,1,3,56,36,25
225,X3,South,1,18,59,17,32
116,i7,Central,1,3,83,26,77
191,X1,North,1,47,85,14,85
213,X5,North,1,2,67,36,35
160,iX3,West,1,2,1,46,19
215,X1,North,1,48,54,28,2
161,i4,North,1,20,62,24,19
67,i5,Central,1,8,68,44,69
128,X1,North,1,42,37,49,64
18,2 Series,East,1,11,98,23,43
25,i4,North,1,7,86,32,88
234,iX3,West,1,43,77,29,21
223,7 Series,East,1,41,48,49,58
54,4 Series,North,1,23,65,12,94
58,2 Series,South,1,5,17,13,22
67,X7,West,1,2,9,49,16
104,iX3,Central,1,29,97,1,73
174,2 Series,Central,1,46,41,34,61
24,2 Series,East,1,16,69,2,92
114,2 Series,South,1,2,81,12,24
32,X3,Central,1,22,60,7,47
175,4 Series,North,1,9,55,39,60
86,5 Series,East,1,31,50,11,48
151,i5,Central,1,36,93,20,69
194,iX3,West,1,8,56,32,99
127,2 Series,North,1,13,6,30,79
155,X3,North,1,27,95,26,78
234,5 Series,South,1,34,64,12,30
130,4 Series,Central,1,6,1,42,91
218,X7,South,1,43,33,18,29
17,5 Series,South,1,8,65,27,23
104,iX3,West,1,42,94,45,21
161,4 Series,South,1,10,67,30,45
137,i4,Central,1,39,39,19,46
43,4 Series,East,1,44,50,14,43
246,i5,Central,1,5,90,8,4
176,2 Series,North,1,12,17,19,15
39,iX,Central,1,34,35,31,88
221,iX1,South,1,18,87,16,66
170,4 Series,Central,1,29,8,41,22
247,3 Series,North,1,4,70,5,12
26,5 Series,North,1,15,43,41,15
99,X1,West,1,10,84,25,28
50,7 Series,West,1,3,92,49,55
153,i4,West,1,2,85,31,64
152,iX,South,1,45,27,20,90
13,4 Series,Central,1,19,31,7,56
60,i7,South,1,18,89,5,53
250,X7,East,1,46,20,6,40
135,X3,West,1,38,13,24,5
57,iX3,Central,1,37,72,30,65
36,4 Series,North,1,12,17,45,78
173,5 Series,Central,1,19,33,44,41
20,3 Series,East,1,1,17,43,42
65,2 Series,South,1,4,84,33,12
8,X5,West,1,48,44,26,6
238,X1,East,1,13,85,8,45
144,X5,West,1,20,45,42,31
142,iX1,West,1,46,20,1,2
204,X7,South,1,4,27,49,32
115,5 Series,South,1,31,92,16,85
215,i5,North,1,32,56,39,41
143,5 Series,South,1,25,99,1,95
92,7 Series,South,1,37,4,1,6
98,X3,East,1,39,54,32,44
66,X1,Central,1,38,35,20,74
32,iX3,North,1,19,10,8,78
215,i5,Central,1,48,59,39,73
191,iX,East,1,24,22,43,50
86,X7,East,1,8,22,41,40
51,4 Series,North,1,38,34,15,55
153,iX,North,1,13,66,16,22
186,X5,Central,1,33,63,26,62
63,7 Series,East,1,20,73,27,10
190,2 Series,West,1,12,33,10,62
125,X3,East,1,41,63,44,77
150,X5,East,1,38,77,47,72
58,i7,North,1,47,98,29,59
58,3 Series,West,1,31,22,30,52
86,iX3,Central,1,14,32,18,42
49,i5,Central,1,30,77,30,96
180,i5,South,1,34,17,25,92
170,4 Series,North,1,26,65,36,28
70,iX1,Central,1,23,25,25,9
15,i4,North,1,41,88,11,38
54,7 Series,North,1,36,83,13,11
235,i5,West,1,34,55,5,5
188,2 Series,North,1,15,82,17,95
101,2 Series,West,1,10,44,13,66
225,3 Series,South,1,3,82,36,26
8,2 Series,Central,1,47,43,20,5
53,iX,North,1,26,55,33,2
60,7 Series,South,1,28,4,6,72
236,7 Series,East,1,44,52,26,37
108,2 Series,West,1,43,84,42,45
5,i7,Central,1,2,80,3,28
103,X1,West,1,6,9,34,91
196,4 Series,West,1,33,45,13,13
6,iX3,West,1,27,81,48,47
109,i5,West,1,12,64,38,27
224,7 Series,North,1,21,69,26,72
116,iX1,North,1,49,85,47,81
94,X7,Central,1,31,50,34,97
47,X1,West,1,16,34,14,94
99,X1,South,1,5,54,4,33
55,5 Series,Central,1,2,50,36,8
168,X5,East,1,31,38,3,35
52,X3,Central,1,42,54,17,24
144,3 Series,North,1,34,97,9,87
13,X3,South,1,16,8,32,23
114,X7,Central,1,43,91,7,91
124,i4,South,1,45,79,21,67
106,i7,East,1,49,52,10,31
158,X1,South,1,6,8,44,75
147,5 Series,North,1,17,10,22,35
145,5 Series,South,1,29,19,43,32
120,7 Series,East,1,24,34,25,36
63,i5,South,1,13,59,36,62
19,X7,South,1,37,22,35,77
92,X1,Central,1,36,91,31,53
58,3 Series,East,1,8,93,17,75
183,i4,West,1,35,59,48,47
90,X7,South,1,26,28,9,61
229,X1,North,1,37,66,29,22
218,2 Series,East,1,12,43,40,50
117,i4,West,1,31,81,17,3
62,X7,East,1,10,43,1,37
23,X1,North,1,2,78,26,89
127,4 Series,West,1,12,60,22,54
137,i4,West,1,17,74,27,68
140,X3,East,1,31,60,16,48
245,3 Series,Central,1,37,65,40,76
129,X3,North,1,4,76,26,89
58,2 Series,North,1,9,85,21,99
122,X3,South,1,23,46,6,44
1,7 Series,South,1,30,55,2,65
239,X1,East,1,38,39,18,27
34,X3,Central,1,5,67,46,91
96,5 Series,South,1,12,80,42,12
126,iX3,South,1,8,3,45,49
118,iX,South,1,35,1,12,25
48,7 Series,East,1,33,93,1,8
89,X1,South,1,35,66,31,80
232,i4,South,1,39,52,26,6
237,i7,East,1,25,94,24,75
117,i7,South,1,30,32,12,12
129,X5,South,1,20,43,13,14
16,X7,West,1,48,25,39,22
189,2 Series,West,1,9,57,42,31
231,X1,East,1,24,46,24,23
192,iX,Central,1,24,85,41,35
191,i5,East,1,37,30,13,17
69,iX,Central,1,18,45,18,70
22,i5,Central,1,32,41,29,95
93,2 Series,East,1,23,13,35,68
247,i5,East,1,42,33,27,8
195,4 Series,East,1,29,17,43,25
76,X1,Central,1,21,26,48,46
154,X5,North,1,39,76,37,65
144,5 Series,West,1,31,81,44,72
179,X7,West,1,7,92,33,82
229,X3,North,1,20,69,6,31
86,X5,North,1,29,32,38,7
185,i5,Central,1,43,9,16,87
29,4 Series,East,1,2,8,9,27
206,iX3,North,1,42,21,34,55
220,4 Series,Central,1,24,8,15,89
69,5 Series,East,1,45,59,34,26
47,4 Series,South,1,11,81,9,80
241,X5,North,1,49,41,21,47
94,X3,Central,1,11,8,2,4
238,i7,Central,1,40,12,27,1
190,5 Series,East,1,19,60,11,2
244,X7,South,1,22,50,24,15
197,5 Series,West,1,16,36,37,12
204,X3,West,1,38,87,3,48
144,i7,Central,1,47,57,43,14
218,5 Series,Central,1,13,57,13,35
218,5 Series,North,1,30,52,9,47
176,iX3,Central,1,4,85,23,1
85,i4,West,1,27,82,41,90
39,3 Series,North,1,27,6,29,63
100,iX3,Central,1,30,86,48,30
33,4 Series,South,1,43,76,44,18
222,4 Series,Central,1,46,23,42,61
101,X5,North,1,44,90,37,74
23,X1,North,1,32,37,29,28
250,5 Series,South,1,1,84,1,50
10,iX,North,1,27,74,4,33
246,3 Series,Central,1,47,26,28,64
69,iX,West,1,8,36,14,82
100,3 Series,South,1,43,10,3,70
34,4 Series,South,1,5,21,8,2
180,i5,East,1,24,95,48,31
223,i4,Central,1,45,20,18,37
138,7 Series,East,1,9,80,47,36
250,i5,Central,1,17,49,41,60
147,4 Series,East,1,11,82,9,36
186,i5,West,1,20,39,3,3
96,i5,Central,1,15,96,36,42
1,iX,North,1,20,31,26,92
248,X5,Central,1,48,32,35,19
69,iX1,South,1,45,82,28,93
237,iX3,South,1,34,66,16,81
4,5 Series,West,1,2,78,22,45
16,iX3,Central,1,46,30,7,93
24,4 Series,North,1,6,46,38,61
80,2 Series,North,1,29,29,11,31
247,iX3,North,1,28,96,42,96
2,i7,North,1,19,5,24,6
241,i5,Central,1,7,91,43,64
220,iX3,West,1,34,50,45,42
128,iX1,South,1,31,55,48,3
160,4 Series,South,1,29,33,33,48
219,iX3,Central,1,44,6,11,65
84,7 Series,East,1,10,96,32,6
152,4 Series,West,1,36,35,1,15
140,iX,West,1,45,29,3,90
178,i4,South,1,37,51,5,55
163,i7,West,1,1,53,1,72
124,i5,West,1,11,74,18,1
33,2 Series,Central,1,5,63,11,55
161,i4,West,1,23,30,44,27
189,3 Series,North,1,20,11,16,28
179,iX3,North,1,45,29,10,75
171,i5,South,1,21,93,1,43
101,iX1,Central,1,15,37,21,98
12,4 Series,North,1,37,61,12,18
67,iX,West,1,6,24,42,82
65,X5,Central,1,49,71,13,87
161,2 Series,Central,1,37,99,48,82
168,7 Series,East,1,30,40,21,31
74,X1,West,1,24,11,39,71
43,3 Series,Central,1,37,29,46,79
44,5 Series,East,1,31,47,36,79
29,X7,South,1,45,51,5,13
141,X1,Central,1,9,2,19,80
12,iX3,West,1,35,16,40,17
95,X1,East,1,32,61,22,19
46,X5,South,1,39,80,36,59
130,i4,Central,1,16,47,28,28
243,iX1,East,1,40,63,3,59
242,2 Series,South,1,49,31,40,27
35,iX3,North,1,17,85,49,39
215,iX,West,1,40,41,21,64
81,X7,West,1,5,4,14,40
90,7 Series,West,1,21,29,4,40
8,X7,North,1,14,89,13,93
93,X5,East,1,47,90,10,52
154,i7,North,1,16,22,29,57
202,i4,Central,1,40,30,33,75
90,5 Series,West,1,15,64,15,22
162,7 Series,East,1,4,73,15,23
115,iX,East,1,47,61,13,57
105,iX,Central,1,34,12,7,48
135,iX,South,1,5,82,23,22
196,i7,Central,1,34,46,9,44
58,iX,West,1,27,54,1,60
245,iX1,Central,1,38,42,15,33
114,7 Series,West,1,29,71,2,73
237,i5,West,1,12,86,34,77
75,4 Series,South,1,25,17,45,1
157,X7,East,1,46,72,33,32
120,iX3,North,1,16,25,18,71
164,i7,East,1,32,65,39,67
217,7 Series,North,1,32,74,26,89
21,X3,South,1,35,16,10,51
249,3 Series,South,2,31,64,9,42
164,i4,North,2,8,77,27,25
138,i5,South,2,22,54,6,1
101,iX3,South,2,22,22,30,81
201,X1,North,2,37,1,12,66
152,X5,North,2,11,23,3,73
192,4 Series,North,2,27,74,6,19
227,5 Series,West,2,26,1,31,16
177,4 Series,East,2,29,25,46,91
99,i4,North,2,44,23,33,96
240,iX,East,2,34,50,46,16
36,i7,East,2,48,56,25,52
210,2 Series,Central,2,38,17,46,94
241,i4,West,2,29,2,43,56
231,i5,Central,2,26,27,34,26
96,X3,North,2,5,21,36,3
152,2 Series,North,2,20,51,45,46
151,4 Series,East,2,43,99,32,64
190,3 Series,East,2,22,28,37,25
224,X1,Central,2,14,78,16,22
37,7 Series,Central,2,42,51,30,98
12,3 Series,Central,2,38,81,42,47
113,X5,West,2,48,62,36,1
183,X5,Central,2,29,26,14,66
13,3 Series,North,2,3,68,46,21
23,4 Series,East,2,17,82,38,18
217,X7,Central,2,33,80,23,64
