dealer_id,model,region,month,sales,current_inventory,previous_month_sales,inventory_30_days_ago,next_month_sales
D001,2 Series,North,2024-07,23,27,19,32,19
D001,2 Series,North,2024-08,19,27,23,28,21
D001,2 Series,North,2024-09,21,24,19,27,20
D001,2 Series,North,2024-10,20,28,21,28,22
D001,2 Series,North,2024-11,22,30,20,27,20
D001,2 Series,North,2024-12,20,29,22,34,17
D001,2 Series,North,2025-01,17,33,20,32,14
D001,2 Series,North,2025-02,14,31,17,28,17
D001,2 Series,North,2025-03,17,33,14,30,27
D001,2 Series,North,2025-04,27,30,17,30,22
D001,2 Series,North,2025-05,22,35,27,36,17
D001,2 Series,North,2025-06,17,32,22,37,20
D001,2 Series,North,2025-07,20,31,17,36,20
D001,2 Series,North,2025-08,20,28,20,28,20
D001,2 Series,North,2025-09,20,25,20,20,21
D001,2 Series,North,2025-10,21,26,20,26,24
D001,2 Series,North,2025-11,24,25,21,27,22
D001,3 Series,North,2021-01,18,24,18,24,22
D001,3 Series,North,2021-02,22,24,18,28,19
D001,3 Series,North,2021-03,19,23,22,28,19
D001,3 Series,North,2021-04,19,27,19,27,23
D001,3 Series,North,2021-05,23,31,19,33,23
D001,3 Series,North,2021-06,23,36,23,32,18
D001,3 Series,North,2021-07,18,40,23,41,21
D001,3 Series,North,2021-08,21,43,18,46,22
D001,3 Series,North,2021-09,22,44,21,42,29
D001,3 Series,North,2021-10,29,44,22,44,25
D001,3 Series,North,2021-11,25,47,29,44,22
D001,3 Series,North,2021-12,22,47,25,44,20
D001,3 Series,North,2022-01,20,45,22,43,22
D001,3 Series,North,2022-02,22,44,20,43,21
D001,3 Series,North,2022-03,21,47,22,44,26
D001,3 Series,North,2022-04,26,52,21,50,28
D001,3 Series,North,2022-05,28,51,26,51,26
D001,3 Series,North,2022-06,26,54,28,54,23
D001,3 Series,North,2022-07,23,55,26,58,20
D001,3 Series,North,2022-08,20,58,23,59,20
D001,3 Series,North,2022-09,20,60,20,60,25
D001,3 Series,North,2022-10,25,62,20,66,29
D001,3 Series,North,2022-11,29,66,25,67,19
D001,3 Series,North,2022-12,19,62,29,57,17
D001,3 Series,North,2023-01,17,65,19,64,22
D001,3 Series,North,2023-02,22,68,17,69,19
D001,3 Series,North,2023-03,19,66,22,68,21
D001,3 Series,North,2023-04,21,68,19,69,22
D001,3 Series,North,2023-05,22,69,21,64,16
D001,3 Series,North,2023-06,16,70,22,71,22
D001,3 Series,North,2023-07,22,73,16,73,17
D001,3 Series,North,2023-08,17,78,22,78,26
D001,3 Series,North,2023-09,26,75,17,77,27
D001,3 Series,North,2023-10,27,75,26,70,25
D001,3 Series,North,2023-11,25,78,27,81,26
D001,3 Series,North,2023-12,26,82,25,80,21
D001,3 Series,North,2024-01,21,81,26,81,20
D001,3 Series,North,2024-02,20,78,21,76,26
D001,3 Series,North,2024-03,26,78,20,81,28
D001,3 Series,North,2024-04,28,79,26,78,22
D001,3 Series,North,2024-05,22,84,28,85,23
D001,3 Series,North,2024-06,23,90,22,90,25
D001,3 Series,North,2024-07,25,96,23,95,30
D001,3 Series,North,2024-08,30,98,25,94,19
D001,3 Series,North,2024-09,19,100,30,95,27
D001,3 Series,North,2024-10,27,100,19,102,23
D001,3 Series,North,2024-11,23,98,27,103,23
D001,3 Series,North,2024-12,23,96,23,96,22
D001,3 Series,North,2025-01,22,100,23,100,15
D001,3 Series,North,2025-02,15,105,22,101,22
D001,3 Series,North,2025-03,22,108,15,103,25
D001,3 Series,North,2025-04,25,104,22,100,26
D001,3 Series,North,2025-05,26,99,25,96,23
D001,3 Series,North,2025-06,23,103,26,100,26
D001,3 Series,North,2025-07,26,108,23,106,24
D001,3 Series,North,2025-08,24,102,26,104,28
D001,3 Series,North,2025-09,28,104,24,109,23
D001,3 Series,North,2025-10,23,110,28,113,27
D001,3 Series,North,2025-11,27,114,23,119,27
D001,4 Series,North,2021-01,20,25,20,25,21
D001,4 Series,North,2021-02,21,28,20,29,20
D001,4 Series,North,2021-03,20,25,21,26,20
D001,4 Series,North,2021-04,20,22,20,17,27
D001,4 Series,North,2021-05,27,27,20,24,19
D001,4 Series,North,2021-06,19,22,27,17,24
D001,4 Series,North,2021-07,24,26,19,27,18
D001,4 Series,North,2021-08,18,23,24,22,24
D001,4 Series,North,2021-09,24,28,18,24,25
D001,4 Series,North,2021-10,25,32,24,29,29
D001,4 Series,North,2021-11,29,28,25,30,30
D001,4 Series,North,2021-12,30,27,29,26,24
D001,4 Series,North,2022-01,24,33,30,34,25
D001,4 Series,North,2022-02,25,29,24,29,25
D001,4 Series,North,2022-03,25,29,25,29,31
D001,4 Series,North,2022-04,31,25,25,30,29
D001,4 Series,North,2022-05,29,31,31,29,25
D001,4 Series,North,2022-06,25,34,29,39,21
D001,4 Series,North,2022-07,21,31,25,30,18
D001,4 Series,North,2022-08,18,30,21,35,25
D001,4 Series,North,2022-09,25,30,18,25,32
D001,4 Series,North,2022-10,32,32,25,30,28
D001,4 Series,North,2022-11,28,35,32,36,27
D001,4 Series,North,2022-12,27,33,28,30,25
D001,4 Series,North,2023-01,25,33,27,36,22
D001,4 Series,North,2023-02,22,32,25,37,29
D001,4 Series,North,2023-03,29,37,22,37,28
D001,4 Series,North,2023-04,28,38,29,41,24
D001,4 Series,North,2023-05,24,36,28,36,22
D001,4 Series,North,2023-06,22,37,24,32,26
D001,4 Series,North,2023-07,26,41,22,37,26
D001,4 Series,North,2023-08,26,39,26,40,26
D001,4 Series,North,2023-09,26,37,26,35,22
D001,4 Series,North,2023-10,22,31,26,30,25
D001,4 Series,North,2023-11,25,30,22,34,31
D001,4 Series,North,2023-12,31,32,25,34,14
D001,4 Series,North,2024-01,14,40,31,36,30
D001,4 Series,North,2024-02,30,42,14,41,27
D001,4 Series,North,2024-03,27,46,30,44,26
D001,4 Series,North,2024-04,26,49,27,47,30
D001,4 Series,North,2024-05,30,50,26,45,28
D001,4 Series,North,2024-06,28,46,30,45,30
D001,4 Series,North,2024-07,30,48,28,52,23
D001,4 Series,North,2024-08,23,56,30,58,33
D001,4 Series,North,2024-09,33,55,23,51,35
D001,4 Series,North,2024-10,35,60,33,55,37
D001,4 Series,North,2024-11,37,55,35,54,25
D001,4 Series,North,2024-12,25,64,37,69,19
D001,4 Series,North,2025-01,19,62,25,57,22
D001,4 Series,North,2025-02,22,63,19,65,24
D001,4 Series,North,2025-03,24,61,22,61,25
D001,4 Series,North,2025-04,25,63,24,64,28
D001,4 Series,North,2025-05,28,67,25,69,27
D001,4 Series,North,2025-06,27,66,28,69,28
D001,4 Series,North,2025-07,28,72,27,72,29
D001,4 Series,North,2025-08,29,77,28,79,28
D001,4 Series,North,2025-09,28,84,29,88,28
D001,4 Series,North,2025-10,28,90,28,89,29
D001,4 Series,North,2025-11,29,89,28,87,31
D001,5 Series,North,2021-01,26,31,26,31,22
D001,5 Series,North,2021-02,22,31,26,27,27
D001,5 Series,North,2021-03,27,33,22,34,29
D001,5 Series,North,2021-04,29,37,27,32,29
D001,5 Series,North,2021-05,29,45,29,48,31
D001,5 Series,North,2021-06,31,50,29,51,27
D001,5 Series,North,2021-07,27,54,31,52,26
D001,5 Series,North,2021-08,26,60,27,65,32
D001,5 Series,North,2021-09,32,64,26,67,28
D001,5 Series,North,2021-10,28,68,32,67,39
D001,5 Series,North,2021-11,39,76,28,72,37
D001,5 Series,North,2021-12,37,82,39,80,23
D001,5 Series,North,2022-01,23,76,37,74,24
D001,5 Series,North,2022-02,24,77,23,72,30
D001,5 Series,North,2022-03,30,77,24,75,31
D001,5 Series,North,2022-04,31,82,30,87,34
D001,5 Series,North,2022-05,34,84,31,84,29
D001,5 Series,North,2022-06,29,91,34,94,29
D001,5 Series,North,2022-07,29,90,29,95,25
D001,5 Series,North,2022-08,25,93,29,88,25
D001,5 Series,North,2022-09,25,97,25,92,27
D001,5 Series,North,2022-10,27,102,25,106,35
D001,5 Series,North,2022-11,35,99,27,95,29
D001,5 Series,North,2022-12,29,92,35,93,26
D001,5 Series,North,2023-01,26,96,29,96,24
D001,5 Series,North,2023-02,24,102,26,97,33
D001,5 Series,North,2023-03,33,100,24,99,36
D001,5 Series,North,2023-04,36,107,33,111,29
D001,5 Series,North,2023-05,29,110,36,109,28
D001,5 Series,North,2023-06,28,117,29,116,24
D001,5 Series,North,2023-07,24,112,28,114,24
D001,5 Series,North,2023-08,24,116,24,114,39
D001,5 Series,North,2023-09,39,114,24,117,33
D001,5 Series,North,2023-10,33,117,39,116,28
D001,5 Series,North,2023-11,28,116,33,116,39
D001,5 Series,North,2023-12,39,112,28,117,32
D001,5 Series,North,2024-01,32,105,39,103,28
D001,5 Series,North,2024-02,28,105,32,102,30
D001,5 Series,North,2024-03,30,104,28,103,25
D001,5 Series,North,2024-04,25,109,30,108,28
D001,5 Series,North,2024-05,28,107,25,105,23
D001,5 Series,North,2024-06,23,105,28,109,31
D001,5 Series,North,2024-07,31,106,23,111,33
D001,5 Series,North,2024-08,33,109,31,112,29
D001,5 Series,North,2024-09,29,106,33,104,36
D001,5 Series,North,2024-10,36,112,29,110,38
D001,5 Series,North,2024-11,38,114,36,111,32
D001,5 Series,North,2024-12,32,114,38,117,29
D001,5 Series,North,2025-01,29,123,32,124,26
D001,5 Series,North,2025-02,26,119,29,121,33
D001,5 Series,North,2025-03,33,115,26,114,30
D001,5 Series,North,2025-04,30,116,33,118,32
D001,5 Series,North,2025-05,32,110,30,115,27
D001,5 Series,North,2025-06,27,104,32,109,21
D001,5 Series,North,2025-07,21,99,27,104,31
D001,5 Series,North,2025-08,31,98,21,98,32
D001,5 Series,North,2025-09,32,93,31,94,40
D001,5 Series,North,2025-10,40,97,32,96,33
D001,5 Series,North,2025-11,33,95,40,95,37
D001,7 Series,North,2021-01,8,9,8,9,9
D001,7 Series,North,2021-02,9,9,8,4,11
D001,7 Series,North,2021-03,11,10,9,8,9
D001,7 Series,North,2021-04,9,10,11,7,8
D001,7 Series,North,2021-05,8,10,9,8,9
D001,7 Series,North,2021-06,9,9,8,12,11
D001,7 Series,North,2021-07,11,7,9,5,9
D001,7 Series,North,2021-08,9,12,11,9,12
D001,7 Series,North,2021-09,12,10,9,6,12
D001,7 Series,North,2021-10,12,9,12,14,14
D001,7 Series,North,2021-11,14,10,12,7,8
D001,7 Series,North,2021-12,8,12,14,7,8
D001,7 Series,North,2022-01,8,13,8,14,10
D001,7 Series,North,2022-02,10,14,8,14,11
D001,7 Series,North,2022-03,11,15,10,16,10
D001,7 Series,North,2022-04,10,14,11,11,10
D001,7 Series,North,2022-05,10,15,10,20,13
D001,7 Series,North,2022-06,13,14,10,17,11
D001,7 Series,North,2022-07,11,16,13,19,11
D001,7 Series,North,2022-08,11,14,11,14,12
D001,7 Series,North,2022-09,12,12,11,11,13
D001,7 Series,North,2022-10,13,11,12,10,12
D001,7 Series,North,2022-11,12,15,13,10,14
D001,7 Series,North,2022-12,14,17,12,21,10
D001,7 Series,North,2023-01,10,18,14,16,10
D001,7 Series,North,2023-02,10,16,10,18,11
D001,7 Series,North,2023-03,11,16,10,18,9
D001,7 Series,North,2023-04,9,13,11,18,14
D001,7 Series,North,2023-05,14,13,9,8,11
D001,7 Series,North,2023-06,11,17,14,13,10
D001,7 Series,North,2023-07,10,18,11,22,11
D001,7 Series,North,2023-08,11,16,10,15,13
D001,7 Series,North,2023-09,13,17,11,18,10
D001,7 Series,North,2023-10,10,14,13,9,15
D001,7 Series,North,2023-11,15,16,10,17,12
D001,7 Series,North,2023-12,12,17,15,14,10
D001,7 Series,North,2024-01,10,18,12,19,12
D001,7 Series,North,2024-02,12,18,10,15,9
D001,7 Series,North,2024-03,9,18,12,21,12
D001,7 Series,North,2024-04,12,16,9,11,12
D001,7 Series,North,2024-05,12,16,12,19,10
D001,7 Series,North,2024-06,10,18,12,20,11
D001,7 Series,North,2024-07,11,16,10,15,10
D001,7 Series,North,2024-08,10,14,11,16,10
D001,7 Series,North,2024-09,10,14,10,11,10
D001,7 Series,North,2024-10,10,16,10,18,13
D001,7 Series,North,2024-11,13,17,10,16,8
D001,7 Series,North,2024-12,8,19,13,24,9
D001,7 Series,North,2025-01,9,21,8,22,9
D001,7 Series,North,2025-02,9,22,9,22,13
D001,7 Series,North,2025-03,13,23,9,19,12
D001,7 Series,North,2025-04,12,26,13,31,15
D001,7 Series,North,2025-05,15,28,12,27,12
D001,7 Series,North,2025-06,12,27,15,25,13
D001,7 Series,North,2025-07,13,27,12,28,13
D001,7 Series,North,2025-08,13,30,13,30,14
D001,7 Series,North,2025-09,14,29,13,29,14
D001,7 Series,North,2025-10,14,27,14,25,15
D001,7 Series,North,2025-11,15,26,14,22,14
D001,X1,North,2021-01,32,43,32,43,36
D001,X1,North,2021-02,36,39,32,35,34
D001,X1,North,2021-03,34,40,36,40,39
D001,X1,North,2021-04,39,41,34,38,42
D001,X1,North,2021-05,42,45,39,47,27
D001,X1,North,2021-06,27,41,42,41,34
D001,X1,North,2021-07,34,45,27,43,38
D001,X1,North,2021-08,38,54,34,58,34
D001,X1,North,2021-09,34,64,38,65,44
D001,X1,North,2021-10,44,62,34,57,42
D001,X1,North,2021-11,42,55,44,58,36
D001,X1,North,2021-12,36,57,42,61,31
D001,X1,North,2022-01,31,54,36,53,38
D001,X1,North,2022-02,38,56,31,52,33
D001,X1,North,2022-03,33,54,38,58,41
D001,X1,North,2022-04,41,59,33,58,40
D001,X1,North,2022-05,40,55,41,56,47
D001,X1,North,2022-06,47,64,40,69,31
D001,X1,North,2022-07,31,60,47,56,35
D001,X1,North,2022-08,35,60,31,64,43
D001,X1,North,2022-09,43,57,35,61,50
D001,X1,North,2022-10,50,67,43,69,40
D001,X1,North,2022-11,40,70,50,72,32
D001,X1,North,2022-12,32,65,40,62,31
D001,X1,North,2023-01,31,72,32,67,34
D001,X1,North,2023-02,34,73,31,76,38
D001,X1,North,2023-03,38,75,34,79,41
D001,X1,North,2023-04,41,69,38,68,44
D001,X1,North,2023-05,44,70,41,74,40
D001,X1,North,2023-06,40,73,44,78,33
D001,X1,North,2023-07,33,70,40,74,44
D001,X1,North,2023-08,44,78,33,73,47
D001,X1,North,2023-09,47,82,44,77,47
D001,X1,North,2023-10,47,85,47,85,49
D001,X1,North,2023-11,49,98,47,94,24
D001,X1,North,2023-12,24,99,49,103,37
D001,X1,North,2024-01,37,105,24,107,33
D001,X1,North,2024-02,33,103,37,101,37
D001,X1,North,2024-03,37,106,33,101,44
D001,X1,North,2024-04,44,102,37,105,44
D001,X1,North,2024-05,44,102,44,100,40
D001,X1,North,2024-06,40,115,44,117,38
D001,X1,North,2024-07,38,108,40,107,41
D001,X1,North,2024-08,41,103,38,103,43
D001,X1,North,2024-09,43,102,41,98,41
D001,X1,North,2024-10,41,109,43,114,55
D001,X1,North,2024-11,55,114,41,116,47
D001,X1,North,2024-12,47,129,55,130,30
D001,X1,North,2025-01,30,123,47,118,39
D001,X1,North,2025-02,39,117,30,119,34
D001,X1,North,2025-03,34,126,39,129,46
D001,X1,North,2025-04,46,128,34,131,42
D001,X1,North,2025-05,42,125,46,123,50
D001,X1,North,2025-06,50,132,42,137,40
D001,X1,North,2025-07,40,136,50,132,43
D001,X1,North,2025-08,43,146,40,148,49
D001,X1,North,2025-09,49,151,43,150,46
D001,X1,North,2025-10,46,151,49,149,50
D001,X1,North,2025-11,50,143,46,141,44
D001,X3,North,2021-01,24,31,24,31,27
D001,X3,North,2021-02,27,36,24,39,27
D001,X3,North,2021-03,27,32,27,29,32
D001,X3,North,2021-04,32,28,27,26,35
D001,X3,North,2021-05,35,40,32,38,33
D001,X3,North,2021-06,33,42,35,43,29
D001,X3,North,2021-07,29,45,33,47,32
D001,X3,North,2021-08,32,48,29,43,39
D001,X3,North,2021-09,39,47,32,45,34
D001,X3,North,2021-10,34,39,39,39,38
D001,X3,North,2021-11,38,42,34,41,33
D001,X3,North,2021-12,33,52,38,56,25
D001,X3,North,2022-01,25,54,33,58,32
D001,X3,North,2022-02,32,56,25,59,29
D001,X3,North,2022-03,29,64,32,62,36
D001,X3,North,2022-04,36,70,29,75,30
D001,X3,North,2022-05,30,76,36,81,33
D001,X3,North,2022-06,33,77,30,78,38
D001,X3,North,2022-07,38,81,33,81,35
D001,X3,North,2022-08,35,78,38,78,35
D001,X3,North,2022-09,35,74,35,75,36
D001,X3,North,2022-10,36,82,35,83,39
D001,X3,North,2022-11,39,80,36,76,38
D001,X3,North,2022-12,38,88,39,85,29
D001,X3,North,2023-01,29,82,38,78,30
D001,X3,North,2023-02,30,90,29,88,34
D001,X3,North,2023-03,34,90,30,87,47
D001,X3,North,2023-04,47,99,34,97,37
D001,X3,North,2023-05,37,92,47,97,35
D001,X3,North,2023-06,35,89,37,89,31
D001,X3,North,2023-07,31,83,35,87,28
D001,X3,North,2023-08,28,79,31,75,34
D001,X3,North,2023-09,34,80,28,79,43
D001,X3,North,2023-10,43,84,34,79,47
D001,X3,North,2023-11,47,77,43,82,40
D001,X3,North,2023-12,40,90,47,88,35
D001,X3,North,2024-01,35,90,40,88,34
D001,X3,North,2024-02,34,94,35,97,37
D001,X3,North,2024-03,37,101,34,99,33
D001,X3,North,2024-04,33,101,37,100,44
D001,X3,North,2024-05,44,107,33,105,30
D001,X3,North,2024-06,30,117,44,114,34
D001,X3,North,2024-07,34,112,30,108,34
D001,X3,North,2024-08,34,114,34,112,40
D001,X3,North,2024-09,40,107,34,102,37
D001,X3,North,2024-10,37,114,40,110,41
D001,X3,North,2024-11,41,121,37,116,38
D001,X3,North,2024-12,38,115,41,110,28
D001,X3,North,2025-01,28,117,38,121,30
D001,X3,North,2025-02,30,112,28,111,41
D001,X3,North,2025-03,41,109,30,108,38
D001,X3,North,2025-04,38,111,41,111,47
D001,X3,North,2025-05,47,110,38,113,27
D001,X3,North,2025-06,27,105,47,107,38
D001,X3,North,2025-07,38,100,27,103,35
D001,X3,North,2025-08,35,95,38,90,40
D001,X3,North,2025-09,40,105,35,109,43
D001,X3,North,2025-10,43,110,40,106,44
D001,X3,North,2025-11,44,120,43,119,47
D001,X5,North,2021-01,23,31,23,31,20
D001,X5,North,2021-02,20,32,23,29,24
D001,X5,North,2021-03,24,36,20,35,27
D001,X5,North,2021-04,27,31,24,33,25
D001,X5,North,2021-05,25,32,27,33,24
D001,X5,North,2021-06,24,36,25,33,21
D001,X5,North,2021-07,21,37,24,33,29
D001,X5,North,2021-08,29,38,21,37,25
D001,X5,North,2021-09,25,40,29,42,34
D001,X5,North,2021-10,34,35,25,37,28
D001,X5,North,2021-11,28,43,34,46,33
D001,X5,North,2021-12,33,49,28,51,30
D001,X5,North,2022-01,30,50,33,54,28
D001,X5,North,2022-02,28,47,30,52,35
D001,X5,North,2022-03,35,44,28,42,35
D001,X5,North,2022-04,35,38,35,40,25
D001,X5,North,2022-05,25,38,35,38,28
D001,X5,North,2022-06,28,43,25,39,25
D001,X5,North,2022-07,25,42,28,39,37
D001,X5,North,2022-08,37,40,25,35,34
D001,X5,North,2022-09,34,36,37,39,30
D001,X5,North,2022-10,30,30,34,34,29
D001,X5,North,2022-11,29,25,30,25,27
D001,X5,North,2022-12,27,35,29,36,26
D001,X5,North,2023-01,26,40,27,42,29
D001,X5,North,2023-02,29,35,26,35,31
D001,X5,North,2023-03,31,33,29,33,32
D001,X5,North,2023-04,32,39,31,44,29
D001,X5,North,2023-05,29,48,32,46,29
D001,X5,North,2023-06,29,47,29,47,26
D001,X5,North,2023-07,26,43,29,45,32
D001,X5,North,2023-08,32,39,26,37,37
D001,X5,North,2023-09,37,42,32,43,32
D001,X5,North,2023-10,32,42,37,40,36
D001,X5,North,2023-11,36,50,32,53,32
D001,X5,North,2023-12,32,48,36,53,30
D001,X5,North,2024-01,30,50,32,49,28
D001,X5,North,2024-02,28,52,30,52,28
D001,X5,North,2024-03,28,51,28,46,38
D001,X5,North,2024-04,38,47,28,46,36
D001,X5,North,2024-05,36,46,38,50,28
D001,X5,North,2024-06,28,52,36,49,29
D001,X5,North,2024-07,29,57,28,62,33
D001,X5,North,2024-08,33,60,29,65,39
D001,X5,North,2024-09,39,69,33,73,37
D001,X5,North,2024-10,37,72,39,71,37
D001,X5,North,2024-11,37,65,37,70,35
D001,X5,North,2024-12,35,58,37,60,32
D001,X5,North,2025-01,32,65,35,62,31
D001,X5,North,2025-02,31,58,32,58,32
D001,X5,North,2025-03,32,56,31,60,40
D001,X5,North,2025-04,40,58,32,62,34
D001,X5,North,2025-05,34,53,40,52,23
D001,X5,North,2025-06,23,55,34,58,34
D001,X5,North,2025-07,34,61,23,64,27
D001,X5,North,2025-08,27,64,34,68,34
D001,X5,North,2025-09,34,63,27,59,39
D001,X5,North,2025-10,39,64,34,60,37
D001,X5,North,2025-11,37,75,39,78,40
D001,X7,North,2021-01,13,21,13,21,15
D001,X7,North,2021-02,15,20,13,22,21
D001,X7,North,2021-03,21,17,15,15,19
D001,X7,North,2021-04,19,21,21,20,17
D001,X7,North,2021-05,17,23,19,25,18
D001,X7,North,2021-06,18,24,17,20,19
D001,X7,North,2021-07,19,25,18,20,14
D001,X7,North,2021-08,14,22,19,23,15
D001,X7,North,2021-09,15,19,14,16,23
D001,X7,North,2021-10,23,19,15,16,26
D001,X7,North,2021-11,26,19,23,22,21
D001,X7,North,2021-12,21,32,26,36,14
D001,X7,North,2022-01,14,32,21,33,17
D001,X7,North,2022-02,17,32,14,31,23
D001,X7,North,2022-03,23,28,17,33,17
D001,X7,North,2022-04,17,26,23,26,19
D001,X7,North,2022-05,19,30,17,34,15
D001,X7,North,2022-06,15,27,19,25,22
D001,X7,North,2022-07,22,25,15,20,18
D001,X7,North,2022-08,18,30,22,34,19
D001,X7,North,2022-09,19,30,18,31,24
D001,X7,North,2022-10,24,35,19,33,21
D001,X7,North,2022-11,21,33,24,31,18
D001,X7,North,2022-12,18,29,21,31,19
D001,X7,North,2023-01,19,32,18,36,19
D001,X7,North,2023-02,19,36,19,34,19
D001,X7,North,2023-03,19,39,19,44,21
D001,X7,North,2023-04,21,40,19,45,24
D001,X7,North,2023-05,24,43,21,47,12
D001,X7,North,2023-06,12,43,24,47,15
D001,X7,North,2023-07,15,42,12,41,22
D001,X7,North,2023-08,22,39,15,40,18
D001,X7,North,2023-09,18,44,22,47,26
D001,X7,North,2023-10,26,40,18,38,18
D001,X7,North,2023-11,18,47,26,43,23
D001,X7,North,2023-12,23,48,18,50,14
D001,X7,North,2024-01,14,46,23,51,17
D001,X7,North,2024-02,17,44,14,49,18
D001,X7,North,2024-03,18,45,17,40,21
D001,X7,North,2024-04,21,46,18,48,22
D001,X7,North,2024-05,22,50,21,51,25
D001,X7,North,2024-06,25,55,22,56,22
D001,X7,North,2024-07,22,51,25,56,25
D001,X7,North,2024-08,25,51,22,52,21
D001,X7,North,2024-09,21,55,25,60,22
D001,X7,North,2024-10,22,52,21,53,24
D001,X7,North,2024-11,24,55,22,53,24
D001,X7,North,2024-12,24,52,24,55,19
D001,X7,North,2025-01,19,58,24,60,16
D001,X7,North,2025-02,16,55,19,56,21
D001,X7,North,2025-03,21,55,16,55,20
D001,X7,North,2025-04,20,61,21,57,25
D001,X7,North,2025-05,25,61,20,61,21
D001,X7,North,2025-06,21,63,25,60,19
D001,X7,North,2025-07,19,59,21,56,27
D001,X7,North,2025-08,27,59,19,59,20
D001,X7,North,2025-09,20,54,27,58,25
D001,X7,North,2025-10,25,56,20,59,29
D001,X7,North,2025-11,29,58,25,61,29
D001,i4,North,2021-01,24,42,24,42,19
D001,i4,North,2021-02,19,42,24,40,26
D001,i4,North,2021-03,26,43,19,38,21
D001,i4,North,2021-04,21,40,26,43,20
D001,i4,North,2021-05,20,37,21,36,24
D001,i4,North,2021-06,24,40,20,37,23
D001,i4,North,2021-07,23,38,24,39,20
D001,i4,North,2021-08,20,35,23,31,31
D001,i4,North,2021-09,31,33,20,31,28
D001,i4,North,2021-10,28,38,31,38,32
D001,i4,North,2021-11,32,34,28,37,22
D001,i4,North,2021-12,22,29,32,27,22
D001,i4,North,2022-01,22,27,22,26,21
D001,i4,North,2022-02,21,30,22,26,23
D001,i4,North,2022-03,23,30,21,27,22
D001,i4,North,2022-04,22,34,23,37,23
D001,i4,North,2022-05,23,38,22,36,29
D001,i4,North,2022-06,29,35,23,32,24
D001,i4,North,2022-07,24,34,29,36,25
D001,i4,North,2022-08,25,32,24,29,27
D001,i4,North,2022-09,27,28,25,23,32
D001,i4,North,2022-10,32,27,27,26,24
D001,i4,North,2022-11,24,37,32,32,32
D001,i4,North,2022-12,32,39,24,44,17
D001,i4,North,2023-01,17,48,32,48,23
D001,i4,North,2023-02,23,52,17,53,24
D001,i4,North,2023-03,24,52,23,55,26
D001,i4,North,2023-04,26,52,24,47,30
D001,i4,North,2023-05,30,52,26,51,29
D001,i4,North,2023-06,29,58,30,59,31
D001,i4,North,2023-07,31,55,29,52,21
D001,i4,North,2023-08,21,64,31,67,33
D001,i4,North,2023-09,33,69,21,65,31
D001,i4,North,2023-10,31,66,33,64,36
D001,i4,North,2023-11,36,74,31,73,26
D001,i4,North,2023-12,26,72,36,70,25
D001,i4,North,2024-01,25,69,26,72,22
D001,i4,North,2024-02,22,69,25,64,22
D001,i4,North,2024-03,22,72,22,74,30
D001,i4,North,2024-04,30,76,22,73,28
D001,i4,North,2024-05,28,83,30,86,24
D001,i4,North,2024-06,24,88,28,84,23
D001,i4,North,2024-07,23,86,24,84,28
D001,i4,North,2024-08,28,86,23,91,23
D001,i4,North,2024-09,23,83,28,86,32
D001,i4,North,2024-10,32,82,23,85,26
D001,i4,North,2024-11,26,79,32,81,33
