Vehicle_ID,Session_Start,Session_End,Energy_Delivered_kWh,Initial_SoC_Percent,Final_SoC_Percent,Charging_Duration_Min,Charging_Power_kW,Charging_Type,Charging_Interruptions,Charger_Temperature_C,Environment_Temperature_C,Health_Category
BMW0027,2026-01-10 20:30:00,2026-01-10 21:57:00,48,37,87,87,33.2,DC_Fast,0,32.0,24.6,Healthy
BMW0028,2026-01-10 22:00:00,2026-01-10 23:28:00,49,38,88,88,34.2,AC,0,33.7,25.8,Healthy
BMW0029,2026-01-11 00:10:00,2026-01-11 01:39:00,50,39,89,89,35.3,AC,0,35.4,27.0,Healthy
BMW0030,2026-01-11 02:20:00,2026-01-11 03:50:00,51,40,90,90,36.1,DC_Fast,1,35.0,21.0,Healthy
BMW0031,2026-01-11 18:30:00,2026-01-11 20:01:00,52,41,91,91,37.1,AC,0,36.7,22.2,Healthy
BMW0032,2026-01-11 20:00:00,2026-01-11 21:32:00,53,42,92,92,38.2,AC,0,30.4,23.4,Healthy
BMW0033,2026-01-11 22:10:00,2026-01-11 23:43:00,54,43,93,93,39.2,DC_Fast,0,30.0,24.6,Healthy
BMW0034,2026-01-12 00:20:00,2026-01-12 01:54:00,38,44,94,94,40.2,AC,0,31.7,25.8,Healthy
BMW0035,2026-01-12 02:30:00,2026-01-12 03:30:00,39,45,95,60,41.3,AC,1,33.4,27.0,Healthy
BMW0036,2026-01-12 18:00:00,2026-01-12 19:01:00,40,46,84,61,30.1,DC_Fast,0,33.0,21.0,Healthy
BMW0037,2026-01-12 20:10:00,2026-01-12 21:12:00,41,47,85,62,31.1,AC,0,34.7,22.2,Healthy
BMW0038,2026-01-12 22:20:00,2026-01-12 23:23:00,42,48,86,63,32.2,AC,0,36.4,23.4,Healthy
BMW0039,2026-01-13 00:30:00,2026-01-13 01:34:00,43,49,87,64,33.2,DC_Fast,0,36.0,24.6,Healthy
BMW0040,2026-01-13 02:00:00,2026-01-13 03:05:00,44,30,88,65,34.2,AC,1,29.7,25.8,Healthy
BMW0041,2026-01-13 18:10:00,2026-01-13 19:16:00,45,31,89,66,35.3,AC,0,31.4,27.0,Healthy
BMW0042,2026-01-13 20:20:00,2026-01-13 21:27:00,46,32,90,67,36.1,DC_Fast,0,31.0,21.0,Healthy
BMW0043,2026-01-13 22:30:00,2026-01-13 23:38:00,47,33,91,68,37.1,AC,0,32.7,22.2,Healthy
BMW0044,2026-01-14 00:00:00,2026-01-14 01:09:00,48,34,92,69,38.2,AC,0,34.4,23.4,Healthy
BMW0045,2026-01-14 02:10:00,2026-01-14 03:20:00,49,35,93,70,39.2,DC_Fast,1,34.0,24.6,Healthy
BMW0046,2026-01-14 18:20:00,2026-01-14 19:31:00,50,36,94,71,40.2,AC,0,35.7,25.8,Healthy
BMW0047,2026-01-14 20:30:00,2026-01-14 21:42:00,51,37,95,72,41.3,AC,0,37.4,27.0,Healthy
BMW0048,2026-01-14 22:00:00,2026-01-14 23:13:00,52,38,84,73,30.1,DC_Fast,0,29.0,21.0,Healthy
BMW0049,2026-01-15 00:10:00,2026-01-15 01:24:00,53,39,85,74,31.1,AC,0,30.7,22.2,Healthy
BMW0050,2026-01-15 02:20:00,2026-01-15 03:35:00,54,40,86,75,32.2,AC,1,32.4,23.4,Healthy
BMW0051,2026-01-15 18:30:00,2026-01-15 19:46:00,38,41,87,76,33.2,DC_Fast,0,32.0,24.6,Healthy
BMW0052,2026-01-15 20:00:00,2026-01-15 21:17:00,39,42,88,77,34.2,AC,0,33.7,25.8,Healthy
BMW0053,2026-01-15 22:10:00,2026-01-15 23:28:00,40,43,89,78,35.3,AC,0,35.4,27.0,Healthy
BMW0054,2026-01-16 00:20:00,2026-01-16 01:39:00,41,44,90,79,36.1,DC_Fast,0,35.0,21.0,Healthy
BMW0055,2026-01-16 02:30:00,2026-01-16 03:50:00,42,45,91,80,37.1,AC,1,36.7,22.2,Healthy
BMW0056,2026-01-16 18:00:00,2026-01-16 19:21:00,43,46,92,81,38.2,AC,0,30.4,23.4,Healthy
BMW0057,2026-01-16 20:10:00,2026-01-16 21:32:00,44,47,93,82,39.2,DC_Fast,0,30.0,24.6,Healthy
BMW0058,2026-01-16 22:20:00,2026-01-16 23:43:00,45,48,94,83,40.2,AC,0,31.7,25.8,Healthy
BMW0059,2026-01-17 00:30:00,2026-01-17 01:54:00,46,49,95,84,41.3,AC,0,33.4,27.0,Healthy
BMW0060,2026-01-17 02:00:00,2026-01-17 03:25:00,47,30,84,85,30.1,DC_Fast,1,33.0,21.0,Healthy
BMW0061,2026-01-17 18:10:00,2026-01-17 19:36:00,48,31,85,86,31.1,AC,0,34.7,22.2,Healthy
BMW0062,2026-01-17 20:20:00,2026-01-17 21:47:00,49,32,86,87,32.2,AC,0,36.4,23.4,Healthy
BMW0063,2026-01-17 22:30:00,2026-01-17 23:58:00,50,33,87,88,33.2,DC_Fast,0,36.0,24.6,Healthy
BMW0064,2026-01-18 00:00:00,2026-01-18 01:29:00,51,34,88,89,34.2,AC,0,29.7,25.8,Healthy
BMW0065,2026-01-18 02:10:00,2026-01-18 03:40:00,52,35,89,90,35.3,AC,1,31.4,27.0,Healthy
BMW0066,2026-01-18 18:20:00,2026-01-18 19:51:00,53,36,90,91,36.1,DC_Fast,0,31.0,21.0,Healthy
BMW0067,2026-01-18 20:30:00,2026-01-18 22:02:00,54,37,91,92,37.1,AC,0,32.7,22.2,Healthy
BMW0068,2026-01-18 22:00:00,2026-01-18 23:33:00,38,38,92,93,38.2,AC,0,34.4,23.4,Healthy
BMW0069,2026-01-19 00:10:00,2026-01-19 01:44:00,39,39,93,94,39.2,DC_Fast,0,34.0,24.6,Healthy
BMW0070,2026-01-19 02:20:00,2026-01-19 03:20:00,40,40,94,60,40.2,AC,1,35.7,25.8,Healthy
BMW0071,2026-01-19 18:30:00,2026-01-19 19:31:00,41,41,95,61,41.3,AC,0,37.4,27.0,Healthy
BMW0072,2026-01-19 20:00:00,2026-01-19 21:02:00,42,42,84,62,30.1,DC_Fast,0,29.0,21.0,Healthy
BMW0073,2026-01-19 22:10:00,2026-01-19 23:13:00,43,43,85,63,31.1,AC,0,30.7,22.2,Healthy
BMW0074,2026-01-20 00:20:00,2026-01-20 01:24:00,44,44,86,64,32.2,AC,0,32.4,23.4,Healthy
BMW0075,2026-01-20 02:30:00,2026-01-20 03:35:00,45,45,87,65,33.2,DC_Fast,1,32.0,24.6,Healthy
BMW0076,2026-01-20 18:00:00,2026-01-20 19:06:00,46,46,88,66,34.2,AC,0,33.7,25.8,Healthy
BMW0077,2026-01-20 20:10:00,2026-01-20 21:17:00,47,47,89,67,35.3,AC,0,35.4,27.0,Healthy
BMW0078,2026-01-20 22:20:00,2026-01-20 23:28:00,48,48,90,68,36.1,DC_Fast,0,35.0,21.0,Healthy
BMW0079,2026-01-21 00:30:00,2026-01-21 01:39:00,49,49,91,69,37.1,AC,0,36.7,22.2,Healthy
BMW0080,2026-01-21 02:00:00,2026-01-21 03:10:00,50,30,92,70,38.2,AC,1,30.4,23.4,Healthy
BMW0081,2026-01-21 18:10:00,2026-01-21 19:21:00,51,31,93,71,39.2,DC_Fast,0,30.0,24.6,Healthy
BMW0082,2026-01-21 20:20:00,2026-01-21 21:32:00,52,32,94,72,40.2,AC,0,31.7,25.8,Healthy
BMW0083,2026-01-21 22:30:00,2026-01-21 23:43:00,53,33,95,73,41.3,AC,0,33.4,27.0,Healthy
BMW0084,2026-01-22 00:00:00,2026-01-22 01:14:00,54,34,84,74,30.1,DC_Fast,0,33.0,21.0,Healthy
BMW0085,2026-01-22 02:10:00,2026-01-22 03:25:00,38,35,85,75,31.1,AC,1,34.7,22.2,Healthy
BMW0086,2026-01-22 18:20:00,2026-01-22 19:36:00,39,36,86,76,32.2,AC,0,36.4,23.4,Healthy
BMW0087,2026-01-22 20:30:00,2026-01-22 21:47:00,40,37,87,77,33.2,DC_Fast,0,36.0,24.6,Healthy
BMW0088,2026-01-22 22:00:00,2026-01-22 23:18:00,41,38,88,78,34.2,AC,0,29.7,25.8,Healthy
BMW0089,2026-01-23 00:10:00,2026-01-23 01:29:00,42,39,89,79,35.3,AC,0,31.4,27.0,Healthy
BMW0090,2026-01-23 02:20:00,2026-01-23 03:40:00,43,40,90,80,36.1,DC_Fast,1,31.0,21.0,Healthy
BMW0091,2026-01-23 18:30:00,2026-01-23 19:51:00,44,41,91,81,37.1,AC,0,32.7,22.2,Healthy
BMW0092,2026-01-23 20:00:00,2026-01-23 21:22:00,45,42,92,82,38.2,AC,0,34.4,23.4,Healthy
BMW0093,2026-01-23 22:10:00,2026-01-23 23:33:00,46,43,93,83,39.2,DC_Fast,0,34.0,24.6,Healthy
BMW0094,2026-01-24 00:20:00,2026-01-24 01:44:00,47,44,94,84,40.2,AC,0,35.7,25.8,Healthy
BMW0095,2026-01-24 02:30:00,2026-01-24 03:55:00,48,45,95,85,41.3,AC,1,37.4,27.0,Healthy
BMW0096,2026-01-24 18:00:00,2026-01-24 19:26:00,49,46,84,86,30.1,DC_Fast,0,29.0,21.0,Healthy
BMW0097,2026-01-24 20:10:00,2026-01-24 21:37:00,50,47,85,87,31.1,AC,0,30.7,22.2,Healthy
BMW0098,2026-01-24 22:20:00,2026-01-24 23:48:00,51,48,86,88,32.2,AC,0,32.4,23.4,Healthy
BMW0099,2026-01-25 00:30:00,2026-01-25 01:59:00,52,49,87,89,33.2,DC_Fast,0,32.0,24.6,Healthy
BMW0100,2026-01-25 02:00:00,2026-01-25 03:30:00,53,30,88,90,34.2,AC,1,33.7,25.8,Healthy
BMW0101,2026-01-25 18:10:00,2026-01-25 19:41:00,54,31,89,91,35.3,AC,0,35.4,27.0,Healthy
BMW0102,2026-01-25 20:20:00,2026-01-25 21:52:00,38,32,90,92,36.1,DC_Fast,0,35.0,21.0,Healthy
BMW0103,2026-01-25 22:30:00,2026-01-26 00:03:00,39,33,91,93,37.1,AC,0,36.7,22.2,Healthy
BMW0104,2026-01-26 00:00:00,2026-01-26 01:34:00,40,34,92,94,38.2,AC,0,30.4,23.4,Healthy
BMW0105,2026-01-26 02:10:00,2026-01-26 03:10:00,41,35,93,60,39.2,DC_Fast,1,30.0,24.6,Healthy
BMW0106,2026-01-26 18:20:00,2026-01-26 19:21:00,42,36,94,61,40.2,AC,0,31.7,25.8,Healthy
BMW0107,2026-01-26 20:30:00,2026-01-26 21:32:00,43,37,95,62,41.3,AC,0,33.4,27.0,Healthy
BMW0108,2026-01-26 22:00:00,2026-01-26 23:03:00,44,38,84,63,30.1,DC_Fast,0,33.0,21.0,Healthy
BMW0109,2026-01-27 00:10:00,2026-01-27 01:14:00,45,39,85,64,31.1,AC,0,34.7,22.2,Healthy
BMW0110,2026-01-27 02:20:00,2026-01-27 03:25:00,46,40,86,65,32.2,AC,1,36.4,23.4,Healthy
BMW0111,2026-01-27 18:30:00,2026-01-27 19:36:00,47,41,87,66,33.2,DC_Fast,0,36.0,24.6,Healthy
BMW0112,2026-01-27 20:00:00,2026-01-27 21:07:00,48,42,88,67,34.2,AC,0,29.7,25.8,Healthy
BMW0113,2026-01-27 22:10:00,2026-01-27 23:18:00,49,43,89,68,35.3,AC,0,31.4,27.0,Healthy
BMW0114,2026-01-28 00:20:00,2026-01-28 01:29:00,50,44,90,69,36.1,DC_Fast,0,31.0,21.0,Healthy
BMW0115,2026-01-28 02:30:00,2026-01-28 03:40:00,51,45,91,70,37.1,AC,1,32.7,22.2,Healthy
BMW0116,2026-01-28 18:00:00,2026-01-28 19:11:00,52,46,92,71,38.2,AC,0,34.4,23.4,Healthy
BMW0117,2026-01-28 20:10:00,2026-01-28 21:22:00,53,47,93,72,39.2,DC_Fast,0,34.0,24.6,Healthy
BMW0118,2026-01-28 22:20:00,2026-01-28 23:33:00,54,48,94,73,40.2,AC,0,35.7,25.8,Healthy
BMW0119,2026-01-29 00:30:00,2026-01-29 01:44:00,38,49,95,74,41.3,AC,0,37.4,27.0,Healthy
BMW0120,2026-01-29 02:00:00,2026-01-29 03:15:00,39,30,84,75,30.1,DC_Fast,1,29.0,21.0,Healthy
BMW0121,2026-01-29 18:10:00,2026-01-29 19:26:00,32,56,78,76,27.9,AC,1,30.7,22.2,Watch
BMW0122,2026-01-29 20:20:00,2026-01-29 21:37:00,33,57,79,77,28.9,AC,1,32.4,23.4,Watch
BMW0123,2026-01-29 22:30:00,2026-01-29 23:48:00,34,58,80,78,30.0,DC_Fast,2,32.0,24.6,Watch
BMW0124,2026-01-30 00:00:00,2026-01-30 01:19:00,35,59,81,79,30.9,AC,1,33.7,25.8,Watch
BMW0125,2026-01-30 02:10:00,2026-01-30 03:30:00,36,35,82,80,32.0,AC,1,35.4,27.0,Watch
BMW0126,2026-01-30 18:20:00,2026-01-30 19:41:00,37,36,83,81,33.1,DC_Fast,2,35.0,21.0,Watch
BMW0127,2026-01-30 20:30:00,2026-01-30 21:52:00,38,37,84,82,34.1,AC,1,36.7,22.2,Watch
BMW0128,2026-01-30 22:00:00,2026-01-30 23:23:00,39,38,85,83,34.8,AC,1,30.4,23.4,Watch
BMW0129,2026-01-31 00:10:00,2026-01-31 01:34:00,40,39,86,84,35.9,DC_Fast,2,30.0,24.6,Watch
BMW0130,2026-01-31 02:20:00,2026-01-31 03:45:00,41,40,77,85,26.9,AC,1,31.7,25.8,Watch
BMW0131,2026-01-31 18:30:00,2026-01-31 19:56:00,42,41,78,86,28.0,AC,1,33.4,27.0,Watch
BMW0132,2026-01-31 20:00:00,2026-01-31 21:27:00,43,42,79,87,28.9,DC_Fast,2,33.0,21.0,Watch
BMW0133,2026-01-31 22:10:00,2026-01-31 23:38:00,44,43,80,88,30.0,AC,1,34.7,22.2,Watch
BMW0134,2026-02-01 00:20:00,2026-02-01 01:49:00,45,44,81,89,31.1,AC,1,36.4,23.4,Watch
BMW0135,2026-02-01 02:30:00,2026-02-01 04:00:00,31,45,82,90,32.1,DC_Fast,2,36.0,24.6,Watch
BMW0136,2026-02-01 18:00:00,2026-02-01 19:31:00,32,46,83,91,32.8,AC,1,29.7,25.8,Watch
BMW0137,2026-02-01 20:10:00,2026-02-01 21:42:00,33,47,84,92,33.9,AC,1,31.4,27.0,Watch
BMW0138,2026-02-01 22:20:00,2026-02-01 23:53:00,34,48,85,93,34.9,DC_Fast,2,31.0,21.0,Watch
BMW0139,2026-02-02 00:30:00,2026-02-02 02:04:00,35,49,86,94,36.0,AC,1,32.7,22.2,Watch
BMW0140,2026-02-02 02:00:00,2026-02-02 03:00:00,36,50,77,60,26.9,AC,1,34.4,23.4,Watch
BMW0141,2026-02-02 18:10:00,2026-02-02 19:11:00,37,51,78,61,28.0,DC_Fast,2,34.0,24.6,Watch
BMW0142,2026-02-02 20:20:00,2026-02-02 21:22:00,38,52,79,62,29.1,AC,1,35.7,25.8,Watch
BMW0143,2026-02-02 22:30:00,2026-02-02 23:33:00,39,53,80,63,30.1,AC,1,37.4,27.0,Watch
BMW0144,2026-02-03 00:00:00,2026-02-03 01:04:00,40,54,81,64,30.8,DC_Fast,2,29.0,21.0,Watch
BMW0145,2026-02-03 02:10:00,2026-02-03 03:15:00,41,55,82,65,31.9,AC,1,30.7,22.2,Watch
BMW0146,2026-02-03 18:20:00,2026-02-03 19:26:00,42,56,83,66,32.9,AC,1,32.4,23.4,Watch
BMW0147,2026-02-03 20:30:00,2026-02-03 21:37:00,43,57,84,67,34.0,DC_Fast,2,32.0,24.6,Watch
BMW0148,2026-02-03 22:00:00,2026-02-03 23:08:00,44,58,85,68,34.9,AC,1,33.7,25.8,Watch
BMW0149,2026-02-04 00:10:00,2026-02-04 01:19:00,45,59,86,69,36.0,AC,1,35.4,27.0,Watch
BMW0150,2026-02-04 02:20:00,2026-02-04 03:30:00,31,35,77,70,27.1,DC_Fast,2,35.0,21.0,Watch
BMW0151,2026-02-04 18:30:00,2026-02-04 19:41:00,32,36,78,71,28.1,AC,1,36.7,22.2,Watch
BMW0152,2026-02-04 20:00:00,2026-02-04 21:12:00,33,37,79,72,28.8,AC,1,30.4,23.4,Watch
BMW0153,2026-02-04 22:10:00,2026-02-04 23:23:00,34,38,80,73,29.9,DC_Fast,2,30.0,24.6,Watch
BMW0154,2026-02-05 00:20:00,2026-02-05 01:34:00,35,39,81,74,30.9,AC,1,31.7,25.8,Watch
BMW0155,2026-02-05 02:30:00,2026-02-05 03:45:00,36,40,82,75,32.0,AC,1,33.4,27.0,Watch
BMW0156,2026-02-05 18:00:00,2026-02-05 19:16:00,37,41,83,76,32.9,DC_Fast,2,33.0,21.0,Watch
BMW0157,2026-02-05 20:10:00,2026-02-05 21:27:00,38,42,84,77,34.0,AC,1,34.7,22.2,Watch
BMW0158,2026-02-05 22:20:00,2026-02-05 23:38:00,39,43,85,78,35.1,AC,1,36.4,23.4,Watch
BMW0159,2026-02-06 00:30:00,2026-02-06 01:49:00,40,44,86,79,36.1,DC_Fast,2,36.0,24.6,Watch
BMW0160,2026-02-06 02:00:00,2026-02-06 03:20:00,41,45,77,80,26.8,AC,1,29.7,25.8,Watch
BMW0161,2026-02-06 18:10:00,2026-02-06 19:31:00,42,46,78,81,27.9,AC,1,31.4,27.0,Watch
BMW0162,2026-02-06 20:20:00,2026-02-06 21:42:00,43,47,79,82,28.9,DC_Fast,2,31.0,21.0,Watch
BMW0163,2026-02-06 22:30:00,2026-02-06 23:53:00,44,48,80,83,30.0,AC,1,32.7,22.2,Watch
BMW0164,2026-02-07 00:00:00,2026-02-07 01:24:00,45,49,81,84,30.9,AC,1,34.4,23.4,Watch
BMW0165,2026-02-07 02:10:00,2026-02-07 03:35:00,31,50,82,85,32.0,DC_Fast,2,34.0,24.6,Watch
BMW0166,2026-02-07 18:20:00,2026-02-07 19:46:00,32,51,83,86,33.1,AC,1,35.7,25.8,Watch
BMW0167,2026-02-07 20:30:00,2026-02-07 21:57:00,33,52,84,87,34.1,AC,1,37.4,27.0,Watch
BMW0168,2026-02-07 22:00:00,2026-02-07 23:28:00,34,53,85,88,34.8,DC_Fast,2,29.0,21.0,Watch
BMW0169,2026-02-08 00:10:00,2026-02-08 01:39:00,35,54,86,89,35.9,AC,1,30.7,22.2,Watch
BMW0170,2026-02-08 02:20:00,2026-02-08 03:50:00,36,55,77,90,26.9,AC,1,32.4,23.4,Watch
BMW0171,2026-02-08 18:30:00,2026-02-08 20:01:00,28,51,75,91,25.4,DC_Fast,2,32.0,24.6,Critical
BMW0172,2026-02-08 20:00:00,2026-02-08 21:32:00,29,52,76,92,26.5,AC,3,33.7,25.8,Critical
BMW0173,2026-02-08 22:10:00,2026-02-08 23:43:00,30,53,77,93,27.5,AC,4,35.4,27.0,Critical
BMW0174,2026-02-09 00:20:00,2026-02-09 01:54:00,31,54,78,94,28.5,DC_Fast,2,35.0,21.0,Critical
BMW0175,2026-02-09 02:30:00,2026-02-09 03:30:00,32,55,79,60,29.4,AC,3,36.7,22.2,Critical
BMW0176,2026-02-09 18:00:00,2026-02-09 19:01:00,33,56,72,61,22.4,AC,4,30.4,23.4,Critical
BMW0177,2026-02-09 20:10:00,2026-02-09 21:12:00,34,57,73,62,23.4,DC_Fast,2,30.0,24.6,Critical
BMW0178,2026-02-09 22:20:00,2026-02-09 23:23:00,35,58,74,63,24.5,AC,3,31.7,25.8,Critical
BMW0179,2026-02-10 00:30:00,2026-02-10 01:34:00,36,59,75,64,25.6,AC,4,33.4,27.0,Critical
BMW0180,2026-02-10 02:00:00,2026-02-10 03:05:00,25,42,76,65,26.3,DC_Fast,2,33.0,21.0,Critical
BMW0181,2026-02-10 18:10:00,2026-02-10 19:16:00,26,43,77,66,27.4,AC,3,34.7,22.2,Critical
BMW0182,2026-02-10 20:20:00,2026-02-10 21:27:00,27,44,78,67,28.5,AC,4,36.4,23.4,Critical
BMW0183,2026-02-10 22:30:00,2026-02-10 23:38:00,28,45,79,68,29.5,DC_Fast,2,36.0,24.6,Critical
BMW0184,2026-02-11 00:00:00,2026-02-11 01:09:00,29,46,72,69,22.5,AC,3,29.7,25.8,Critical
BMW0185,2026-02-11 02:10:00,2026-02-11 03:20:00,30,47,73,70,23.4,AC,4,31.4,27.0,Critical
BMW0186,2026-02-11 18:20:00,2026-02-11 19:31:00,31,48,74,71,24.4,DC_Fast,2,31.0,21.0,Critical
BMW0187,2026-02-11 20:30:00,2026-02-11 21:42:00,32,49,75,72,25.5,AC,3,32.7,22.2,Critical
BMW0188,2026-02-11 22:00:00,2026-02-11 23:13:00,33,50,76,73,26.5,AC,4,34.4,23.4,Critical
BMW0189,2026-02-12 00:10:00,2026-02-12 01:24:00,34,51,77,74,27.5,DC_Fast,2,34.0,24.6,Critical
BMW0190,2026-02-12 02:20:00,2026-02-12 03:35:00,35,52,78,75,28.4,AC,3,35.7,25.8,Critical
BMW0191,2026-02-12 18:30:00,2026-02-12 19:46:00,36,53,79,76,29.4,AC,4,37.4,27.0,Critical
BMW0192,2026-02-12 20:00:00,2026-02-12 21:17:00,25,54,72,77,22.4,DC_Fast,2,29.0,21.0,Critical
BMW0193,2026-02-12 22:10:00,2026-02-12 23:28:00,26,55,73,78,23.5,AC,3,30.7,22.2,Critical
BMW0194,2026-02-13 00:20:00,2026-02-13 01:39:00,27,56,74,79,24.6,AC,4,32.4,23.4,Critical
BMW0195,2026-02-13 02:30:00,2026-02-13 03:50:00,28,57,75,80,25.3,DC_Fast,2,32.0,24.6,Critical
BMW0196,2026-02-13 18:00:00,2026-02-13 19:21:00,29,58,76,81,26.4,AC,3,33.7,25.8,Critical
BMW0197,2026-02-13 20:10:00,2026-02-13 21:32:00,30,59,77,82,27.5,AC,4,35.4,27.0,Critical
BMW0198,2026-02-13 22:20:00,2026-02-13 23:43:00,31,42,78,83,28.5,DC_Fast,2,35.0,21.0,Critical
BMW0199,2026-02-14 00:30:00,2026-02-14 01:54:00,32,43,79,84,29.5,AC,3,36.7,22.2,Critical
BMW0200,2026-02-14 02:00:00,2026-02-14 03:25:00,33,44,72,85,22.4,AC,4,30.4,23.4,Critical
