Vehicle_ID,Timestamp,SoC_Percent,SoH_Percent,Battery_Voltage_V,Battery_Current_A,Battery_Temperature_C,Charging_Power_kW,Vehicle_Speed_kmh,Odometer_km,Health_Category
BMW0032,2026-01-11 10:30:00,84,95.4,387.8,32.0,21.0,0,72,17280,Healthy
BMW0033,2026-01-11 12:00:00,46,95.6,388.6,39.8,24.7,0,23,9670,Healthy
BMW0034,2026-01-11 14:15:00,63,97.3,391.5,13.6,28.4,0,34,24760,Healthy
BMW0035,2026-01-11 16:30:00,80,98.0,388.4,21.4,32.1,0,45,15630,Healthy
BMW0036,2026-01-12 08:00:00,42,92.0,371.2,26.0,21.0,0,56,22940,Healthy
BMW0037,2026-01-12 10:15:00,59,93.7,374.1,33.8,24.7,0,67,7340,Healthy
BMW0038,2026-01-12 12:30:00,76,95.4,377.0,41.6,28.4,0,78,30210,Healthy
BMW0039,2026-01-12 14:00:00,38,95.6,377.8,15.4,32.1,0,29,12890,Healthy
BMW0040,2026-01-12 16:15:00,55,97.3,374.7,20.0,21.0,0,40,21120,Healthy
BMW0041,2026-01-13 08:30:00,72,98.0,377.6,27.8,24.7,0,51,11560,Healthy
BMW0042,2026-01-13 10:00:00,89,92.0,378.4,35.6,28.4,0,62,18920,Healthy
BMW0043,2026-01-13 12:15:00,51,93.7,381.3,43.4,32.1,0,73,8860,Healthy
BMW0044,2026-01-13 14:30:00,68,95.4,384.2,14.0,21.0,0,24,26270,Healthy
BMW0045,2026-01-13 16:00:00,85,95.6,379.0,21.8,24.7,0,35,15140,Healthy
BMW0046,2026-01-14 08:15:00,47,97.3,381.9,29.6,28.4,0,46,22490,Healthy
BMW0047,2026-01-14 10:30:00,64,98.0,384.8,37.4,32.1,0,57,8210,Healthy
BMW0048,2026-01-14 12:00:00,81,92.0,385.6,42.0,21.0,0,68,28930,Healthy
BMW0049,2026-01-14 14:15:00,43,93.7,388.5,15.8,24.7,0,79,14280,Healthy
BMW0050,2026-01-14 16:30:00,60,95.4,385.4,23.6,28.4,0,30,20170,Healthy
BMW0051,2026-01-15 08:00:00,77,95.6,386.2,31.4,32.1,0,41,13240,Healthy
BMW0052,2026-01-15 10:15:00,39,97.3,389.1,36.0,21.0,0,52,19780,Healthy
BMW0053,2026-01-15 12:30:00,56,98.0,392.0,43.8,24.7,0,63,8790,Healthy
BMW0054,2026-01-15 14:00:00,73,92.0,374.8,17.6,28.4,0,74,27430,Healthy
BMW0055,2026-01-15 16:15:00,35,93.7,371.7,25.4,32.1,0,25,16720,Healthy
BMW0056,2026-01-16 08:30:00,52,95.4,374.6,30.0,21.0,0,36,23650,Healthy
BMW0057,2026-01-16 10:00:00,69,95.6,375.4,37.8,24.7,0,47,9120,Healthy
BMW0058,2026-01-16 12:15:00,86,97.3,378.3,45.6,28.4,0,58,29480,Healthy
BMW0059,2026-01-16 14:30:00,48,98.0,381.2,19.4,32.1,0,69,11930,Healthy
BMW0060,2026-01-16 16:00:00,65,92.0,376.0,24.0,21.0,0,20,20340,Healthy
BMW0061,2026-01-17 08:15:00,82,93.7,378.9,31.8,24.7,0,31,14120,Healthy
BMW0062,2026-01-17 10:30:00,44,95.4,381.8,39.6,28.4,0,42,18190,Healthy
BMW0063,2026-01-17 12:00:00,61,95.6,382.6,47.4,32.1,0,53,7580,Healthy
BMW0064,2026-01-17 14:15:00,78,97.3,385.5,18.0,21.0,0,64,26920,Healthy
BMW0065,2026-01-17 16:30:00,40,98.0,382.4,25.8,24.7,0,75,15380,Healthy
BMW0066,2026-01-18 08:00:00,57,92.0,383.2,33.6,28.4,0,26,21870,Healthy
BMW0067,2026-01-18 10:15:00,74,93.7,386.1,41.4,32.1,0,37,6840,Healthy
BMW0068,2026-01-18 12:30:00,36,95.4,389.0,12.0,21.0,0,48,31020,Healthy
BMW0069,2026-01-18 14:00:00,53,95.6,389.8,19.8,24.7,0,59,13690,Healthy
BMW0070,2026-01-18 16:15:00,70,97.3,386.7,27.6,28.4,0,70,20980,Healthy
BMW0071,2026-01-19 08:30:00,87,98.0,389.6,35.4,32.1,0,21,12780,Healthy
BMW0072,2026-01-19 10:00:00,49,92.0,372.4,40.0,21.0,0,32,19340,Healthy
BMW0073,2026-01-19 12:15:00,66,93.7,375.3,13.8,24.7,0,43,10420,Healthy
BMW0074,2026-01-19 14:30:00,83,95.4,378.2,21.6,28.4,0,54,25860,Healthy
BMW0075,2026-01-19 16:00:00,45,95.6,373.0,29.4,32.1,0,65,16040,Healthy
BMW0076,2026-01-20 08:15:00,62,97.3,375.9,34.0,21.0,0,76,22760,Healthy
BMW0077,2026-01-20 10:30:00,79,98.0,378.8,41.8,24.7,0,27,8430,Healthy
BMW0078,2026-01-20 12:00:00,41,92.0,379.6,15.6,28.4,0,38,27650,Healthy
BMW0079,2026-01-20 14:15:00,58,93.7,382.5,23.4,32.1,0,49,14580,Healthy
BMW0080,2026-01-20 16:30:00,75,95.4,379.4,28.0,21.0,0,60,21640,Healthy
BMW0081,2026-01-21 08:00:00,37,95.6,380.2,35.8,24.7,0,71,11760,Healthy
BMW0082,2026-01-21 10:15:00,54,97.3,383.1,43.6,28.4,0,22,20540,Healthy
BMW0083,2026-01-21 12:30:00,71,98.0,386.0,17.4,32.1,0,33,9360,Healthy
BMW0084,2026-01-21 14:00:00,88,92.0,386.8,22.0,21.0,0,44,28370,Healthy
BMW0085,2026-01-21 16:15:00,50,93.7,383.7,29.8,24.7,0,55,17290,Healthy
BMW0086,2026-01-22 08:30:00,67,95.4,386.6,37.6,28.4,0,66,23980,Healthy
BMW0087,2026-01-22 10:00:00,84,95.6,387.4,45.4,32.1,0,77,7910,Healthy
BMW0088,2026-01-22 12:15:00,46,97.3,390.3,16.0,21.0,0,28,29840,Healthy
BMW0089,2026-01-22 14:30:00,63,98.0,393.2,23.8,24.7,0,39,13020,Healthy
BMW0090,2026-01-22 16:00:00,80,92.0,370.0,31.6,28.4,0,50,20890,Healthy
BMW0091,2026-01-23 08:15:00,42,93.7,372.9,39.4,32.1,0,61,12360,Healthy
BMW0092,2026-01-23 10:30:00,59,95.4,375.8,44.0,21.0,0,72,18760,Healthy
BMW0093,2026-01-23 12:00:00,76,95.6,376.6,17.8,24.7,0,23,10140,Healthy
BMW0094,2026-01-23 14:15:00,38,97.3,379.5,25.6,28.4,0,34,27120,Healthy
BMW0095,2026-01-23 16:30:00,55,98.0,376.4,33.4,32.1,0,45,15570,Healthy
BMW0096,2026-01-24 08:00:00,72,92.0,377.2,38.0,21.0,0,56,23210,Healthy
BMW0097,2026-01-24 10:15:00,89,93.7,380.1,45.8,24.7,0,67,7280,Healthy
BMW0098,2026-01-24 12:30:00,51,95.4,383.0,19.6,28.4,0,78,29170,Healthy
BMW0099,2026-01-24 14:00:00,68,95.6,383.8,27.4,32.1,0,29,13980,Healthy
BMW0100,2026-01-24 16:15:00,85,97.3,380.7,32.0,21.0,0,40,21430,Healthy
BMW0101,2026-01-25 08:30:00,47,98.0,383.6,39.8,24.7,0,51,13120,Healthy
BMW0102,2026-01-25 10:00:00,64,92.0,384.4,13.6,28.4,0,62,19680,Healthy
BMW0103,2026-01-25 12:15:00,81,93.7,387.3,21.4,32.1,0,73,8240,Healthy
BMW0104,2026-01-25 14:30:00,43,95.4,390.2,26.0,21.0,0,24,27940,Healthy
BMW0105,2026-01-25 16:00:00,60,95.6,385.0,33.8,24.7,0,35,16120,Healthy
BMW0106,2026-01-26 08:15:00,77,97.3,387.9,41.6,28.4,0,46,22580,Healthy
BMW0107,2026-01-26 10:30:00,39,98.0,390.8,15.4,32.1,0,57,8760,Healthy
BMW0108,2026-01-26 12:00:00,56,92.0,373.6,20.0,21.0,0,68,30450,Healthy
BMW0109,2026-01-26 14:15:00,73,93.7,376.5,27.8,24.7,0,79,14730,Healthy
BMW0110,2026-01-26 16:30:00,35,95.4,373.4,35.6,28.4,0,30,20210,Healthy
BMW0111,2026-01-27 08:00:00,52,95.6,374.2,43.4,32.1,0,41,12640,Healthy
BMW0112,2026-01-27 10:15:00,69,97.3,377.1,14.0,21.0,0,52,19120,Healthy
BMW0113,2026-01-27 12:30:00,86,98.0,380.0,21.8,24.7,0,63,11080,Healthy
BMW0114,2026-01-27 14:00:00,48,92.0,380.8,29.6,28.4,0,74,26490,Healthy
BMW0115,2026-01-27 16:15:00,65,93.7,377.7,37.4,32.1,0,25,15420,Healthy
BMW0116,2026-01-28 08:30:00,82,95.4,380.6,42.0,21.0,0,36,23780,Healthy
BMW0117,2026-01-28 10:00:00,44,95.6,381.4,15.8,24.7,0,47,8120,Healthy
BMW0118,2026-01-28 12:15:00,61,97.3,384.3,23.6,28.4,0,58,28630,Healthy
BMW0119,2026-01-28 14:30:00,78,98.0,387.2,31.4,32.1,0,69,11870,Healthy
BMW0120,2026-01-28 16:00:00,40,92.0,382.0,36.0,21.0,0,20,21960,Healthy
BMW0121,2026-01-29 08:15:00,57,85.8,384.9,43.8,24.7,0,31,13680,Watch
BMW0122,2026-01-29 10:30:00,74,87.6,387.8,17.6,28.4,0,42,18270,Watch
BMW0123,2026-01-29 12:00:00,36,89.4,388.6,25.4,32.1,0,53,9050,Watch
BMW0124,2026-01-29 14:15:00,53,88.4,391.5,30.0,21.0,0,64,27580,Watch
BMW0125,2026-01-29 16:30:00,70,90.2,388.4,37.8,24.7,0,75,16930,Watch
BMW0126,2026-01-30 08:00:00,87,92.0,371.2,45.6,28.4,0,26,24120,Watch
BMW0127,2026-01-30 10:15:00,49,93.8,374.1,19.4,32.1,0,37,7650,Watch
BMW0128,2026-01-30 12:30:00,66,84.0,377.0,24.0,21.0,0,48,31240,Watch
BMW0129,2026-01-30 14:00:00,83,85.8,377.8,31.8,24.7,0,59,14320,Watch
BMW0130,2026-01-30 16:15:00,45,87.6,374.7,39.6,28.4,0,70,20760,Watch
BMW0131,2026-01-31 08:30:00,62,89.4,377.6,47.4,32.1,0,21,12940,Watch
BMW0132,2026-01-31 10:00:00,79,88.4,378.4,18.0,21.0,0,32,19850,Watch
BMW0133,2026-01-31 12:15:00,41,90.2,381.3,25.8,24.7,0,43,9780,Watch
BMW0134,2026-01-31 14:30:00,58,92.0,384.2,33.6,28.4,0,54,26740,Watch
BMW0135,2026-01-31 16:00:00,75,93.8,379.0,41.4,32.1,0,65,15790,Watch
BMW0136,2026-02-01 08:15:00,37,84.0,381.9,12.0,21.0,0,76,22840,Watch
BMW0137,2026-02-01 10:30:00,54,85.8,384.8,19.8,24.7,0,27,8530,Watch
BMW0138,2026-02-01 12:00:00,71,87.6,385.6,27.6,28.4,0,38,29760,Watch
BMW0139,2026-02-01 14:15:00,88,89.4,388.5,35.4,32.1,0,49,13460,Watch
BMW0140,2026-02-01 16:30:00,50,88.4,385.4,40.0,21.0,0,60,21370,Watch
BMW0141,2026-02-02 08:00:00,67,90.2,386.2,13.8,24.7,0,71,12180,Watch
BMW0142,2026-02-02 10:15:00,84,92.0,389.1,21.6,28.4,0,22,20430,Watch
BMW0143,2026-02-02 12:30:00,46,93.8,392.0,29.4,32.1,0,33,8900,Watch
BMW0144,2026-02-02 14:00:00,63,84.0,374.8,34.0,21.0,0,44,28190,Watch
BMW0145,2026-02-02 16:15:00,80,85.8,371.7,41.8,24.7,0,55,16340,Watch
BMW0146,2026-02-03 08:30:00,42,87.6,374.6,15.6,28.4,0,66,23560,Watch
BMW0147,2026-02-03 10:00:00,59,89.4,375.4,23.4,32.1,0,77,7020,Watch
BMW0148,2026-02-03 12:15:00,76,88.4,378.3,28.0,21.0,0,28,30680,Watch
BMW0149,2026-02-03 14:30:00,38,90.2,381.2,35.8,24.7,0,39,12980,Watch
BMW0150,2026-02-03 16:00:00,55,92.0,376.0,43.6,28.4,0,50,22140,Watch
BMW0151,2026-02-04 08:15:00,72,93.8,378.9,17.4,32.1,0,61,13490,Watch
BMW0152,2026-02-04 10:30:00,89,84.0,381.8,22.0,21.0,0,72,18730,Watch
BMW0153,2026-02-04 12:00:00,51,85.8,382.6,29.8,24.7,0,23,8610,Watch
BMW0154,2026-02-04 14:15:00,68,87.6,385.5,37.6,28.4,0,34,27620,Watch
BMW0155,2026-02-04 16:30:00,85,89.4,382.4,45.4,32.1,0,45,14860,Watch
BMW0156,2026-02-05 08:00:00,47,88.4,383.2,16.0,21.0,0,56,24280,Watch
BMW0157,2026-02-05 10:15:00,64,90.2,386.1,23.8,24.7,0,67,7380,Watch
BMW0158,2026-02-05 12:30:00,81,92.0,389.0,31.6,28.4,0,78,28960,Watch
BMW0159,2026-02-05 14:00:00,43,93.8,389.8,39.4,32.1,0,29,13720,Watch
BMW0160,2026-02-05 16:15:00,60,84.0,386.7,44.0,21.0,0,40,21050,Watch
BMW0161,2026-02-06 08:30:00,77,85.8,389.6,17.8,24.7,0,51,12590,Watch
BMW0162,2026-02-06 10:00:00,39,87.6,372.4,25.6,28.4,0,62,19470,Watch
BMW0163,2026-02-06 12:15:00,56,89.4,375.3,33.4,32.1,0,73,9320,Watch
BMW0164,2026-02-06 14:30:00,73,88.4,378.2,38.0,21.0,0,24,26870,Watch
BMW0165,2026-02-06 16:00:00,35,90.2,373.0,45.8,24.7,0,35,15680,Watch
BMW0166,2026-02-07 08:15:00,52,92.0,375.9,19.6,28.4,0,46,23140,Watch
BMW0167,2026-02-07 10:30:00,69,93.8,378.8,27.4,32.1,0,57,8190,Watch
BMW0168,2026-02-07 12:00:00,86,84.0,379.6,32.0,21.0,0,68,30160,Watch
BMW0169,2026-02-07 14:15:00,48,85.8,382.5,39.8,24.7,0,79,14620,Watch
BMW0170,2026-02-07 16:30:00,65,87.6,379.4,13.6,28.4,0,30,20590,Watch
BMW0171,2026-02-08 08:00:00,82,71.4,380.2,21.4,32.1,0,41,13980,Critical
BMW0172,2026-02-08 10:15:00,44,73.6,383.1,26.0,21.0,0,52,20180,Critical
BMW0173,2026-02-08 12:30:00,61,75.8,386.0,33.8,24.7,0,63,9730,Critical
BMW0174,2026-02-08 14:00:00,78,75.6,386.8,41.6,28.4,0,74,28320,Critical
BMW0175,2026-02-08 16:15:00,40,70.8,383.7,15.4,32.1,0,25,15970,Critical
BMW0176,2026-02-09 08:30:00,57,73.0,386.6,20.0,21.0,0,36,22690,Critical
BMW0177,2026-02-09 10:00:00,74,72.8,387.4,27.8,24.7,0,47,7840,Critical
BMW0178,2026-02-09 12:15:00,36,75.0,390.3,35.6,28.4,0,58,29380,Critical
BMW0179,2026-02-09 14:30:00,53,77.2,393.2,43.4,32.1,0,69,13270,Critical
BMW0180,2026-02-09 16:00:00,70,70.0,370.0,14.0,21.0,0,20,21780,Critical
BMW0181,2026-02-10 08:15:00,87,72.2,372.9,21.8,24.7,0,31,12820,Critical
BMW0182,2026-02-10 10:30:00,49,74.4,375.8,29.6,28.4,0,42,19040,Critical
BMW0183,2026-02-10 12:00:00,66,74.2,376.6,37.4,32.1,0,53,9150,Critical
BMW0184,2026-02-10 14:15:00,83,76.4,379.5,42.0,21.0,0,64,27280,Critical
BMW0185,2026-02-10 16:30:00,45,71.6,376.4,15.8,24.7,0,75,16640,Critical
BMW0186,2026-02-11 08:00:00,62,71.4,377.2,23.6,28.4,0,26,23820,Critical
BMW0187,2026-02-11 10:15:00,79,73.6,380.1,31.4,32.1,0,37,8060,Critical
BMW0188,2026-02-11 12:30:00,41,75.8,383.0,36.0,21.0,0,48,30820,Critical
BMW0189,2026-02-11 14:00:00,58,75.6,383.8,43.8,24.7,0,59,14190,Critical
BMW0190,2026-02-11 16:15:00,75,70.8,380.7,17.6,28.4,0,70,21260,Critical
BMW0191,2026-02-12 08:30:00,37,73.0,383.6,25.4,32.1,0,21,13380,Critical
BMW0192,2026-02-12 10:00:00,54,72.8,384.4,30.0,21.0,0,32,19720,Critical
BMW0193,2026-02-12 12:15:00,71,75.0,387.3,37.8,24.7,0,43,10260,Critical
BMW0194,2026-02-12 14:30:00,88,77.2,390.2,45.6,28.4,0,54,27890,Critical
BMW0195,2026-02-12 16:00:00,50,70.0,385.0,19.4,32.1,0,65,15280,Critical
BMW0196,2026-02-13 08:15:00,67,72.2,387.9,24.0,21.0,0,76,23490,Critical
BMW0197,2026-02-13 10:30:00,84,74.4,390.8,31.8,24.7,0,27,7540,Critical
BMW0198,2026-02-13 12:00:00,46,74.2,373.6,39.6,28.4,0,38,29640,Critical
BMW0199,2026-02-13 14:15:00,63,76.4,376.5,47.4,32.1,0,49,13860,Critical
BMW0200,2026-02-13 16:30:00,80,71.6,373.4,18.0,21.0,0,60,21930,Critical
