claim_id,vehicle_id,claim_date,component,claim_amount,claim_status
CLM000038,BMWV0044,2024-10-18,Air Conditioning,779.52,Rejected
CLM000039,BMWV0047,2025-07-17,Fuel System,1029.86,Approved
CLM000040,BMWV0053,2026-03-09,Battery,4333.37,Rejected
CLM000041,BMWV0074,2026-03-11,Air Conditioning,1178.83,Approved
CLM000042,BMWV0046,2024-05-20,Brake System,1288.12,Approved
CLM000043,BMWV0013,2024-05-25,Air Conditioning,1034.63,Pending
CLM000044,BMWV0165,2025-02-28,Suspension,1115.22,Approved
CLM000045,BMWV0102,2024-11-09,Engine,5990.7,Approved
CLM000046,BMWV0024,2024-07-02,Electrical System,795.54,Approved
CLM000047,BMWV0002,2025-10-25,Transmission,3365.0,Pending
CLM000048,BMWV0081,2025-12-13,Air Conditioning,657.62,Approved
CLM000049,BMWV0100,2024-05-07,Brake System,1328.48,Rejected
CLM000050,BMWV0142,2024-10-13,Suspension,2666.1,Approved
CLM000051,BMWV0138,2026-04-02,Engine,8469.92,Approved
CLM000052,BMWV0163,2024-09-09,Electrical System,1740.89,Rejected
CLM000053,BMWV0153,2026-02-16,Transmission,2762.65,Approved
CLM000054,BMWV0131,2025-11-30,Steering,1579.21,Rejected
CLM000055,BMWV0111,2025-01-20,Fuel System,2171.63,Approved
CLM000056,BMWV0102,2024-08-17,Cooling System,732.61,Approved
CLM000057,BMWV0017,2024-09-27,Suspension,2685.03,Approved
CLM000058,BMWV0012,2026-02-09,Suspension,1220.48,Approved
CLM000059,BMWV0182,2026-03-21,Transmission,6429.02,Approved
CLM000060,BMWV0116,2025-02-18,Battery,4306.02,Pending
CLM000061,BMWV0024,2024-07-16,Brake System,1503.28,Pending
CLM000062,BMWV0029,2024-11-18,Suspension,1162.97,Approved
CLM000063,BMWV0171,2024-02-25,Fuel System,368.87,Pending
CLM000064,BMWV0153,2026-04-10,Transmission,3410.66,Rejected
CLM000065,BMWV0122,2024-07-21,Fuel System,998.89,Approved
CLM000066,BMWV0188,2026-02-21,Air Conditioning,322.92,Approved
CLM000067,BMWV0090,2025-09-12,Electrical System,1917.17,Pending
CLM000068,BMWV0065,2025-09-19,Transmission,3515.16,Approved
CLM000069,BMWV0084,2025-08-26,Engine,6051.53,Rejected
CLM000070,BMWV0119,2024-05-17,Electrical System,2287.8,Rejected
CLM000071,BMWV0156,2025-02-25,Air Conditioning,485.46,Rejected
CLM000072,BMWV0016,2026-03-25,Transmission,6384.83,Approved
CLM000073,BMWV0175,2024-02-26,Electrical System,898.18,Approved
CLM000074,BMWV0104,2025-07-15,Steering,1585.45,Approved
CLM000075,BMWV0092,2024-03-11,Steering,1694.7,Approved
CLM000076,BMWV0186,2026-06-29,Fuel System,2098.09,Approved
CLM000077,BMWV0027,2026-07-02,Battery,1126.69,Approved
CLM000078,BMWV0181,2025-08-16,Battery,2543.17,Approved
CLM000079,BMWV0170,2025-01-06,Suspension,1908.41,Rejected
CLM000080,BMWV0187,2025-09-08,Brake System,583.49,Approved
CLM000081,BMWV0175,2025-08-22,Engine,6004.03,Approved
CLM000082,BMWV0162,2025-05-28,Transmission,6118.32,Approved
CLM000083,BMWV0165,2026-05-21,Battery,4989.33,Approved
CLM000084,BMWV0134,2024-03-24,Transmission,1662.26,Approved
CLM000085,BMWV0135,2024-02-12,Battery,1713.03,Approved
CLM000086,BMWV0153,2025-10-27,Transmission,3051.54,Approved
CLM000087,BMWV0033,2026-04-18,Engine,4474.14,Approved
CLM000088,BMWV0055,2026-07-22,Electrical System,1075.22,Approved
CLM000089,BMWV0186,2025-08-28,Electrical System,951.16,Rejected
CLM000090,BMWV0007,2026-03-20,Air Conditioning,2111.38,Rejected
CLM000091,BMWV0057,2024-05-12,Transmission,6092.61,Pending
CLM000092,BMWV0126,2025-01-29,Transmission,1734.96,Rejected
CLM000093,BMWV0012,2024-03-05,Electrical System,1384.2,Pending
CLM000094,BMWV0016,2024-10-16,Electrical System,1596.48,Rejected
CLM000095,BMWV0043,2025-01-10,Brake System,620.47,Approved
CLM000096,BMWV0117,2026-02-07,Battery,3404.15,Approved
CLM000097,BMWV0135,2025-04-11,Fuel System,1726.82,Approved
CLM000098,BMWV0111,2026-06-16,Battery,4357.17,Approved
CLM000099,BMWV0051,2024-07-31,Brake System,1398.35,Approved
CLM000100,BMWV0160,2024-05-27,Air Conditioning,1308.02,Approved
CLM000101,BMWV0075,2025-07-26,Electrical System,2391.48,Rejected
CLM000102,BMWV0008,2025-04-15,Battery,1878.15,Pending
CLM000103,BMWV0200,2024-05-28,Brake System,1169.24,Approved
CLM000104,BMWV0045,2024-03-28,Suspension,1574.15,Approved
CLM000105,BMWV0059,2024-11-19,Transmission,2166.72,Pending
CLM000106,BMWV0132,2026-06-13,Engine,3425.05,Approved
CLM000107,BMWV0104,2025-01-30,Battery,1954.28,Rejected
CLM000108,BMWV0195,2026-02-28,Steering,2806.99,Approved
CLM000109,BMWV0157,2025-02-07,Engine,3343.59,Approved
CLM000110,BMWV0157,2024-03-22,Cooling System,907.41,Approved
CLM000111,BMWV0098,2025-10-02,Electrical System,1481.93,Rejected
CLM000112,BMWV0156,2024-10-12,Cooling System,1693.86,Approved
CLM000113,BMWV0079,2025-01-16,Fuel System,604.21,Approved
CLM000114,BMWV0124,2026-05-14,Brake System,1728.62,Approved
CLM000115,BMWV0172,2026-03-02,Transmission,5827.86,Approved
CLM000116,BMWV0004,2024-09-26,Transmission,4386.08,Pending
CLM000117,BMWV0090,2024-10-18,Transmission,4870.19,Approved
CLM000118,BMWV0104,2025-03-28,Air Conditioning,282.49,Approved
CLM000119,BMWV0137,2025-12-15,Transmission,3194.72,Approved
CLM000120,BMWV0119,2024-01-24,Battery,4121.34,Approved
CLM000121,BMWV0133,2026-08-13,Brake System,370.1,Approved
CLM000122,BMWV0056,2026-05-12,Fuel System,956.97,Rejected
CLM000123,BMWV0096,2024-11-06,Transmission,4426.48,Approved
CLM000124,BMWV0178,2025-04-05,Engine,3517.97,Approved
CLM000125,BMWV0075,2024-07-26,Engine,8057.65,Approved
CLM000126,BMWV0143,2026-03-02,Fuel System,631.78,Pending
CLM000127,BMWV0032,2025-12-17,Electrical System,2851.66,Pending
CLM000128,BMWV0028,2025-10-25,Transmission,4039.74,Rejected
CLM000129,BMWV0022,2025-03-13,Transmission,5251.65,Approved
CLM000130,BMWV0017,2025-06-21,Transmission,3053.58,Approved
CLM000131,BMWV0059,2025-12-06,Engine,5247.08,Rejected
CLM000132,BMWV0090,2024-12-01,Cooling System,2099.35,Approved
CLM000133,BMWV0199,2025-02-25,Suspension,1520.51,Approved
CLM000134,BMWV0106,2026-01-19,Brake System,807.57,Approved
CLM000135,BMWV0185,2024-11-16,Steering,1817.2,Rejected
CLM000136,BMWV0026,2025-05-11,Transmission,5086.81,Approved
CLM000137,BMWV0025,2025-08-09,Air Conditioning,1114.95,Approved
CLM000138,BMWV0138,2026-08-04,Steering,2844.14,Approved
CLM000139,BMWV0045,2024-06-11,Battery,1968.27,Approved
CLM000140,BMWV0083,2026-03-21,Suspension,1541.11,Approved
CLM000141,BMWV0011,2025-06-24,Transmission,5284.64,Rejected
CLM000142,BMWV0181,2024-06-13,Transmission,4945.61,Rejected
CLM000143,BMWV0200,2026-04-28,Engine,7586.4,Approved
CLM000144,BMWV0104,2025-11-28,Brake System,1795.05,Rejected
CLM000145,BMWV0068,2025-07-19,Air Conditioning,1082.37,Approved
CLM000146,BMWV0095,2024-10-21,Cooling System,533.42,Approved
CLM000147,BMWV0156,2024-02-11,Electrical System,397.33,Approved
CLM000148,BMWV0065,2026-07-12,Steering,2303.54,Pending
CLM000149,BMWV0049,2024-10-11,Steering,2678.73,Approved
CLM000150,BMWV0175,2026-07-27,Transmission,2603.56,Approved
CLM000151,BMWV0052,2025-01-21,Brake System,495.59,Pending
CLM000152,BMWV0102,2024-05-17,Engine,2216.77,Approved
CLM000153,BMWV0182,2024-07-05,Air Conditioning,1854.27,Approved
CLM000154,BMWV0188,2026-06-28,Cooling System,953.9,Approved
CLM000155,BMWV0057,2025-12-16,Engine,4491.37,Approved
CLM000156,BMWV0047,2025-03-06,Suspension,1606.6,Rejected
CLM000157,BMWV0159,2025-07-07,Electrical System,2986.25,Approved
CLM000158,BMWV0174,2026-05-11,Electrical System,2382.67,Approved
CLM000159,BMWV0026,2025-02-19,Battery,3344.78,Approved
CLM000160,BMWV0114,2026-03-10,Battery,1455.39,Approved
CLM000161,BMWV0005,2025-03-01,Engine,5238.37,Approved
CLM000162,BMWV0084,2025-02-19,Transmission,5076.91,Approved
CLM000163,BMWV0052,2024-01-26,Engine,8320.85,Rejected
CLM000164,BMWV0105,2025-01-05,Electrical System,944.5,Approved
CLM000165,BMWV0054,2025-01-19,Engine,1863.94,Approved
CLM000166,BMWV0161,2024-02-25,Steering,642.02,Approved
CLM000167,BMWV0178,2024-09-09,Brake System,832.57,Approved
CLM000168,BMWV0166,2025-09-25,Air Conditioning,1850.06,Approved
CLM000169,BMWV0155,2024-04-15,Battery,730.71,Approved
CLM000170,BMWV0015,2024-05-09,Electrical System,1761.54,Rejected
CLM000171,BMWV0061,2026-04-28,Cooling System,991.38,Approved
CLM000172,BMWV0122,2025-10-31,Engine,2151.63,Approved
CLM000173,BMWV0021,2025-01-10,Transmission,3751.18,Approved
CLM000174,BMWV0046,2026-01-12,Suspension,1011.4,Pending
CLM000175,BMWV0197,2026-08-24,Engine,4157.63,Approved
CLM000176,BMWV0134,2024-11-03,Engine,6527.62,Approved
CLM000177,BMWV0038,2024-03-31,Battery,2942.67,Approved
CLM000178,BMWV0062,2025-01-27,Engine,2635.14,Approved
CLM000179,BMWV0086,2025-06-17,Electrical System,3376.53,Approved
CLM000180,BMWV0190,2026-03-12,Transmission,4679.55,Pending
CLM000181,BMWV0078,2024-04-19,Fuel System,1996.62,Approved
CLM000182,BMWV0046,2025-07-14,Suspension,590.11,Approved
CLM000183,BMWV0141,2025-10-02,Air Conditioning,341.76,Approved
CLM000184,BMWV0003,2025-08-07,Electrical System,362.23,Approved
CLM000185,BMWV0006,2024-12-05,Steering,931.42,Approved
CLM000186,BMWV0093,2025-07-18,Transmission,3572.04,Approved
CLM000187,BMWV0008,2024-12-21,Steering,2836.36,Approved
CLM000188,BMWV0172,2026-06-10,Suspension,1496.94,Approved
CLM000189,BMWV0108,2024-06-16,Suspension,1096.61,Approved
CLM000190,BMWV0161,2025-07-10,Electrical System,2098.19,Approved
CLM000191,BMWV0075,2025-03-27,Transmission,2059.67,Rejected
CLM000192,BMWV0077,2026-06-23,Battery,3320.88,Approved
CLM000193,BMWV0050,2024-04-14,Suspension,1764.24,Approved
CLM000194,BMWV0011,2024-05-29,Engine,7106.35,Pending
CLM000195,BMWV0095,2024-05-25,Suspension,2768.05,Approved
CLM000196,BMWV0156,2025-12-16,Transmission,2754.37,Rejected
CLM000197,BMWV0070,2026-05-23,Engine,5214.7,Pending
CLM000198,BMWV0169,2024-10-25,Engine,7889.4,Rejected
CLM000199,BMWV0016,2024-06-15,Engine,7060.77,Rejected
CLM000200,BMWV0068,2025-12-13,Brake System,1005.48,Approved
CLM000201,BMWV0099,2025-10-07,Transmission,6226.86,Approved
CLM000202,BMWV0048,2025-12-23,Cooling System,420.2,Approved
CLM000203,BMWV0184,2024-02-17,Electrical System,3279.2,Approved
CLM000204,BMWV0064,2025-09-29,Engine,2138.4,Approved
CLM000205,BMWV0187,2024-08-26,Air Conditioning,1317.24,Rejected
CLM000206,BMWV0090,2024-01-07,Fuel System,2264.45,Approved
CLM000207,BMWV0190,2025-04-08,Suspension,1030.53,Pending
CLM000208,BMWV0076,2025-03-28,Engine,4964.06,Rejected
CLM000209,BMWV0139,2026-02-22,Fuel System,1047.31,Rejected
CLM000210,BMWV0101,2026-06-15,Suspension,2685.15,Approved
CLM000211,BMWV0089,2025-01-05,Engine,7318.43,Rejected
CLM000212,BMWV0018,2025-07-02,Engine,6550.31,Rejected
CLM000213,BMWV0019,2025-05-01,Electrical System,2180.41,Approved
CLM000214,BMWV0055,2024-07-29,Engine,7297.96,Approved
CLM000215,BMWV0102,2024-06-13,Steering,1450.28,Rejected
CLM000216,BMWV0118,2024-05-04,Battery,2624.47,Rejected
CLM000217,BMWV0154,2024-12-02,Fuel System,1919.5,Approved
CLM000218,BMWV0134,2024-07-10,Electrical System,1444.82,Approved
CLM000219,BMWV0004,2025-12-30,Transmission,1819.5,Approved
CLM000220,BMWV0108,2024-08-01,Engine,2298.04,Approved
CLM000221,BMWV0115,2025-07-27,Electrical System,669.16,Pending
CLM000222,BMWV0029,2024-11-23,Suspension,2487.24,Pending
CLM000223,BMWV0059,2026-08-14,Suspension,1533.34,Approved
CLM000224,BMWV0125,2025-01-15,Transmission,5064.41,Approved
CLM000225,BMWV0098,2025-11-03,Transmission,3464.55,Approved
CLM000226,BMWV0017,2025-07-31,Engine,3533.36,Approved
CLM000227,BMWV0107,2026-03-08,Air Conditioning,927.02,Approved
CLM000228,BMWV0043,2024-08-26,Engine,7121.02,Approved
CLM000229,BMWV0080,2025-06-15,Battery,3388.43,Approved
CLM000230,BMWV0194,2025-11-30,Electrical System,3300.45,Approved
CLM000231,BMWV0162,2024-03-22,Fuel System,1811.37,Approved
CLM000232,BMWV0008,2024-12-28,Battery,3151.78,Approved
CLM000233,BMWV0141,2025-05-19,Transmission,4550.98,Approved
CLM000234,BMWV0106,2024-07-20,Air Conditioning,2087.62,Approved
CLM000235,BMWV0008,2026-07-08,Electrical System,2822.24,Approved
CLM000236,BMWV0096,2025-05-18,Battery,803.38,Rejected
CLM000237,BMWV0094,2025-10-05,Fuel System,1498.4,Rejected
CLM000238,BMWV0065,2024-02-06,Steering,2205.26,Rejected
CLM000239,BMWV0171,2025-10-05,Transmission,5243.49,Pending
CLM000240,BMWV0039,2025-08-11,Transmission,2565.71,Approved
CLM000241,BMWV0081,2025-08-23,Brake System,1594.12,Approved
CLM000242,BMWV0187,2026-08-30,Suspension,2694.02,Approved
CLM000243,BMWV0084,2025-02-05,Engine,3385.99,Rejected
CLM000244,BMWV0088,2026-02-03,Air Conditioning,1971.1,Pending
CLM000245,BMWV0086,2026-05-05,Electrical System,610.33,Approved
CLM000246,BMWV0093,2025-12-06,Transmission,1778.53,Approved
CLM000247,BMWV0086,2024-06-24,Air Conditioning,501.99,Approved
CLM000248,BMWV0044,2025-06-28,Cooling System,421.26,Approved
CLM000249,BMWV0137,2025-07-23,Engine,7461.58,Approved
CLM000250,BMWV0165,2025-04-11,Battery,953.92,Approved
CLM000251,BMWV0074,2024-07-19,Brake System,671.08,Approved
CLM000252,BMWV0036,2025-06-23,Fuel System,573.08,Approved
CLM000253,BMWV0101,2025-06-30,Cooling System,920.39,Approved
CLM000254,BMWV0156,2025-09-28,Brake System,390.37,Approved
CLM000255,BMWV0170,2025-01-28,Suspension,2003.21,Rejected
CLM000256,BMWV0171,2026-04-12,Brake System,456.66,Approved
CLM000257,BMWV0170,2024-02-11,Brake System,1570.36,Rejected
CLM000258,BMWV0104,2025-08-19,Transmission,5585.96,Rejected
CLM000259,BMWV0066,2025-01-27,Transmission,1568.31,Approved
CLM000260,BMWV0055,2025-11-30,Transmission,5978.63,Approved
CLM000261,BMWV0200,2025-09-14,Electrical System,392.62,Approved
CLM000262,BMWV0176,2026-02-21,Engine,3405.63,Approved
CLM000263,BMWV0091,2025-03-16,Fuel System,419.64,Rejected
CLM000264,BMWV0022,2026-04-16,Engine,4050.15,Approved
CLM000265,BMWV0101,2025-09-08,Transmission,4069.33,Rejected
CLM000266,BMWV0155,2025-05-20,Brake System,1484.8,Approved
CLM000267,BMWV0121,2026-07-06,Air Conditioning,909.06,Approved
CLM000268,BMWV0093,2024-11-15,Engine,6526.78,Approved
CLM000269,BMWV0195,2025-07-06,Battery,1506.27,Approved
CLM000270,BMWV0108,2024-08-02,Cooling System,1876.26,Approved
CLM000271,BMWV0141,2024-03-11,Transmission,2679.98,Rejected
CLM000272,BMWV0173,2025-07-21,Battery,1317.24,Approved
CLM000273,BMWV0010,2026-07-07,Steering,922.79,Approved
CLM000274,BMWV0009,2024-08-23,Engine,3019.82,Approved
CLM000275,BMWV0182,2024-10-07,Brake System,1044.94,Approved
CLM000276,BMWV0155,2025-09-08,Battery,4332.63,Pending
CLM000277,BMWV0034,2026-06-20,Battery,1042.3,Pending
CLM000278,BMWV0129,2026-06-05,Transmission,5034.78,Approved
CLM000279,BMWV0160,2024-06-10,Engine,6184.12,Pending
CLM000280,BMWV0089,2024-07-09,Battery,4451.84,Approved
CLM000281,BMWV0093,2024-01-09,Engine,3435.79,Approved
CLM000282,BMWV0071,2024-02-29,Suspension,1480.26,Approved
CLM000283,BMWV0067,2026-06-11,Battery,4681.06,Pending
CLM000284,BMWV0148,2026-03-27,Brake System,1272.99,Approved
CLM000285,BMWV0117,2024-08-12,Fuel System,1185.85,Approved
CLM000286,BMWV0094,2026-03-29,Air Conditioning,506.25,Approved
CLM000287,BMWV0163,2025-11-30,Engine,3558.65,Approved
CLM000288,BMWV0099,2025-08-04,Cooling System,1520.55,Approved
CLM000289,BMWV0113,2026-03-15,Transmission,5090.84,Approved
CLM000290,BMWV0103,2024-10-13,Engine,2633.63,Approved
CLM000291,BMWV0091,2024-06-17,Suspension,1839.03,Approved
CLM000292,BMWV0090,2024-03-02,Brake System,1103.04,Approved
CLM000293,BMWV0017,2024-12-14,Brake System,1046.63,Approved
CLM000294,BMWV0018,2025-03-17,Transmission,4950.62,Approved
CLM000295,BMWV0173,2024-01-14,Electrical System,2979.84,Approved
CLM000296,BMWV0116,2024-06-12,Transmission,3114.95,Rejected
CLM000297,BMWV0093,2025-02-23,Fuel System,2261.38,Approved
CLM000298,BMWV0181,2026-01-26,Transmission,2303.17,Approved
CLM000299,BMWV0091,2026-04-26,Fuel System,722.0,Approved
CLM000300,BMWV0082,2025-06-03,Electrical System,1153.67,Rejected
CLM000301,BMWV0068,2025-10-27,Steering,754.8,Rejected
CLM000302,BMWV0193,2025-07-01,Air Conditioning,699.12,Approved
CLM000303,BMWV0114,2025-07-13,Air Conditioning,457.5,Approved
CLM000304,BMWV0001,2025-08-19,Battery,4233.54,Approved
CLM000305,BMWV0058,2024-01-28,Transmission,2194.84,Approved
CLM000306,BMWV0154,2025-12-08,Transmission,5236.49,Approved
CLM000307,BMWV0109,2025-03-21,Steering,572.18,Approved
CLM000308,BMWV0148,2024-07-26,Steering,2868.73,Rejected
CLM000309,BMWV0116,2025-04-14,Brake System,1352.3,Approved
CLM000310,BMWV0087,2025-12-16,Engine,1845.54,Approved
CLM000311,BMWV0010,2026-03-29,Battery,3984.58,Approved
CLM000312,BMWV0059,2024-04-13,Electrical System,1945.06,Approved
CLM000313,BMWV0041,2026-01-11,Brake System,1458.02,Approved
CLM000314,BMWV0105,2025-03-01,Suspension,1653.99,Approved
CLM000315,BMWV0133,2024-04-10,Cooling System,1646.15,Approved
CLM000316,BMWV0122,2025-06-24,Transmission,5431.66,Approved
CLM000317,BMWV0193,2025-09-30,Brake System,877.92,Approved
CLM000318,BMWV0145,2026-04-29,Brake System,254.2,Approved
CLM000319,BMWV0022,2025-06-05,Battery,4354.77,Approved
CLM000320,BMWV0098,2024-04-15,Transmission,3404.45,Approved
CLM000321,BMWV0169,2025-11-09,Engine,5123.49,Approved
CLM000322,BMWV0068,2026-02-07,Fuel System,366.7,Approved
CLM000323,BMWV0197,2026-03-17,Battery,2816.0,Approved
CLM000324,BMWV0139,2024-10-03,Brake System,1779.06,Approved
CLM000325,BMWV0056,2024-03-05,Fuel System,948.28,Approved
CLM000326,BMWV0179,2026-02-21,Suspension,1349.0,Approved
CLM000327,BMWV0149,2026-06-18,Engine,6404.17,Approved
CLM000328,BMWV0099,2024-07-06,Electrical System,2907.34,Pending
CLM000329,BMWV0076,2024-11-12,Brake System,896.96,Approved
CLM000330,BMWV0026,2026-07-04,Suspension,1143.21,Approved
CLM000331,BMWV0115,2024-05-17,Air Conditioning,2078.76,Approved
CLM000332,BMWV0147,2024-12-08,Air Conditioning,1570.43,Approved
CLM000333,BMWV0109,2024-04-14,Battery,1211.79,Rejected
CLM000334,BMWV0188,2025-06-29,Suspension,565.43,Approved
CLM000335,BMWV0199,2025-01-14,Engine,5039.78,Pending
CLM000336,BMWV0047,2024-04-19,Engine,3274.6,Approved
CLM000337,BMWV0071,2026-08-01,Battery,1792.13,Approved
CLM000338,BMWV0154,2025-06-28,Engine,7680.54,Rejected
CLM000339,BMWV0040,2024-12-19,Transmission,1947.83,Approved
CLM000340,BMWV0133,2026-01-12,Steering,2274.18,Approved
CLM000341,BMWV0149,2024-11-12,Cooling System,869.4,Approved
CLM000342,BMWV0132,2024-09-22,Battery,3969.41,Approved
CLM000343,BMWV0023,2025-11-24,Transmission,5112.06,Approved
CLM000344,BMWV0106,2026-05-01,Transmission,1536.96,Approved
CLM000345,BMWV0084,2024-03-05,Transmission,4045.68,Approved
CLM000346,BMWV0143,2024-11-28,Engine,2733.44,Rejected
CLM000347,BMWV0116,2025-05-27,Fuel System,2212.39,Pending
CLM000348,BMWV0109,2024-05-12,Transmission,5857.93,Approved
CLM000349,BMWV0136,2025-08-14,Battery,2498.89,Approved
CLM000350,BMWV0041,2026-02-21,Engine,4777.45,Approved
CLM000351,BMWV0112,2026-01-22,Steering,1223.37,Approved
CLM000352,BMWV0147,2025-06-23,Suspension,2119.86,Pending
CLM000353,BMWV0112,2026-01-04,Cooling System,1053.19,Approved
CLM000354,BMWV0103,2025-06-18,Suspension,1042.7,Approved
CLM000355,BMWV0046,2025-05-10,Battery,2558.59,Rejected
CLM000356,BMWV0156,2025-09-12,Transmission,1957.44,Rejected
CLM000357,BMWV0068,2025-09-10,Air Conditioning,1705.88,Approved
CLM000358,BMWV0122,2025-10-18,Battery,754.16,Approved
CLM000359,BMWV0015,2025-01-03,Electrical System,2362.35,Approved
CLM000360,BMWV0165,2026-05-15,Engine,3025.19,Pending
CLM000361,BMWV0129,2026-06-27,Engine,3357.11,Approved
CLM000362,BMWV0195,2026-06-28,Brake System,1235.23,Approved
CLM000363,BMWV0111,2025-10-12,Electrical System,3477.42,Approved
CLM000364,BMWV0024,2026-03-06,Suspension,2266.52,Approved
CLM000365,BMWV0027,2026-03-20,Engine,3313.13,Approved
CLM000366,BMWV0040,2024-04-08,Brake System,522.84,Pending
CLM000367,BMWV0191,2024-11-12,Transmission,5831.16,Rejected
CLM000368,BMWV0189,2024-05-02,Engine,4776.03,Pending
CLM000369,BMWV0164,2024-11-15,Battery,1289.33,Approved
CLM000370,BMWV0024,2026-03-09,Transmission,5811.06,Rejected
CLM000371,BMWV0024,2025-08-15,Transmission,5580.46,Rejected
CLM000372,BMWV0004,2025-05-09,Battery,4930.8,Approved
CLM000373,BMWV0067,2025-04-01,Transmission,6048.72,Approved
CLM000374,BMWV0034,2025-06-05,Engine,7507.0,Approved
CLM000375,BMWV0185,2025-06-03,Engine,2152.25,Rejected
CLM000376,BMWV0177,2026-07-05,Transmission,2022.08,Approved
CLM000377,BMWV0181,2025-12-17,Engine,5612.19,Pending
CLM000378,BMWV0116,2024-11-10,Electrical System,2000.73,Approved
CLM000379,BMWV0023,2026-08-03,Transmission,3789.82,Approved
CLM000380,BMWV0109,2025-12-09,Transmission,3483.95,Approved
CLM000381,BMWV0069,2025-12-10,Battery,2554.21,Approved
CLM000382,BMWV0095,2025-06-25,Air Conditioning,1360.13,Approved
CLM000383,BMWV0181,2025-04-23,Steering,455.3,Pending
CLM000384,BMWV0062,2026-07-01,Suspension,1025.7,Approved
CLM000385,BMWV0169,2026-08-28,Air Conditioning,1260.65,Approved
CLM000386,BMWV0057,2024-01-20,Brake System,1369.43,Approved
CLM000387,BMWV0188,2025-07-13,Air Conditioning,589.61,Approved
CLM000388,BMWV0054,2026-08-26,Electrical System,2050.02,Approved
CLM000389,BMWV0070,2024-05-09,Transmission,5072.3,Approved
CLM000390,BMWV0101,2024-10-19,Transmission,3723.14,Rejected
CLM000391,BMWV0057,2026-06-15,Transmission,1635.41,Approved
CLM000392,BMWV0138,2024-05-11,Fuel System,1315.93,Approved
CLM000393,BMWV0168,2024-12-21,Electrical System,1248.62,Approved
CLM000394,BMWV0135,2024-02-23,Suspension,2631.16,Approved
CLM000395,BMWV0103,2026-06-08,Battery,1235.84,Pending
CLM000396,BMWV0166,2026-03-03,Battery,3505.65,Approved
CLM000397,BMWV0085,2025-01-21,Engine,2153.22,Pending
CLM000398,BMWV0061,2024-09-21,Transmission,3730.85,Approved
CLM000399,BMWV0003,2024-08-02,Steering,1862.65,Approved
CLM000400,BMWV0128,2025-04-04,Electrical System,1253.46,Rejected
CLM000401,BMWV0179,2025-04-02,Battery,2656.83,Approved
CLM000402,BMWV0086,2026-03-12,Suspension,792.53,Approved
CLM000403,BMWV0047,2024-02-12,Transmission,3020.62,Approved
CLM000404,BMWV0196,2025-08-08,Cooling System,1604.32,Rejected
CLM000405,BMWV0076,2026-05-11,Battery,1997.74,Approved
CLM000406,BMWV0038,2024-10-04,Battery,4568.9,Approved
CLM000407,BMWV0164,2026-04-17,Battery,3402.15,Approved
CLM000408,BMWV0169,2026-01-23,Engine,4738.95,Approved
CLM000409,BMWV0197,2024-05-09,Engine,2059.67,Pending
