vehicle_id,vin,model,model_year,fuel_type,region,manufacturing_date
BMWV0054,WBA13350989591,i4,2021,Diesel,Oceania,2021-12-04
BMWV0055,WBA31720853288,X7,2023,Hybrid,Middle East,2023-01-01
BMWV0056,WBA22942465748,X5,2019,Diesel,Europe,2019-03-12
BMWV0057,WBA57436173929,X5,2021,Diesel,Europe,2021-04-19
BMWV0058,WBA19773680566,X5,2019,Hybrid,Middle East,2019-08-28
BMWV0059,WBA76018831759,i5,2020,Petrol,North America,2020-03-08
BMWV0060,WBA52283048664,5 Series,2021,Hybrid,Asia,2021-05-12
BMWV0061,WBA62691255877,3 Series,2024,Petrol,Europe,2024-04-02
BMWV0062,WBA57916294984,X5,2020,Diesel,Asia,2020-10-16
BMWV0063,WBA65203599587,iX,2023,Diesel,Middle East,2023-06-12
BMWV0064,WBA94265967441,i4,2022,Petrol,North America,2022-01-18
BMWV0065,WBA24238630577,7 Series,2023,Diesel,North America,2023-07-17
BMWV0066,WBA13315103706,iX,2024,Petrol,North America,2024-09-27
BMWV0067,WBA36140994629,3 Series,2023,Petrol,Middle East,2023-03-11
BMWV0068,WBA86160287391,i5,2019,Diesel,Oceania,2019-06-25
BMWV0069,WBA92154083799,3 Series,2021,Electric,Oceania,2021-10-11
BMWV0070,WBA73918285743,7 Series,2023,Petrol,Asia,2023-08-17
BMWV0071,WBA37459649428,i4,2023,Hybrid,Oceania,2023-02-03
BMWV0072,WBA52210373273,7 Series,2019,Hybrid,Oceania,2019-08-22
BMWV0073,WBA60627841911,X1,2020,Diesel,North America,2020-02-25
BMWV0074,WBA83637064260,i4,2023,Electric,North America,2023-05-27
BMWV0075,WBA21704454742,3 Series,2020,Diesel,Asia,2020-06-05
BMWV0076,WBA88635262322,X5,2020,Electric,Europe,2020-11-09
BMWV0077,WBA44454378656,3 Series,2023,Petrol,Asia,2023-04-17
BMWV0078,WBA86106855028,3 Series,2025,Petrol,Asia,2025-09-23
BMWV0079,WBA24680155006,i4,2020,Petrol,Middle East,2020-05-23
BMWV0080,WBA49036271608,X1,2022,Petrol,Middle East,2022-08-18
BMWV0081,WBA38706505301,3 Series,2020,Hybrid,Asia,2020-06-06
BMWV0082,WBA82930764439,iX,2024,Hybrid,Asia,2024-09-06
BMWV0083,WBA16030039067,X7,2025,Diesel,Asia,2025-02-14
BMWV0084,WBA47760063910,X3,2023,Electric,Oceania,2023-12-13
BMWV0085,WBA81351862881,X3,2023,Petrol,Middle East,2023-03-27
BMWV0086,WBA32446130669,3 Series,2024,Petrol,Asia,2024-01-11
BMWV0087,WBA35112324705,iX,2019,Electric,North America,2019-02-13
BMWV0088,WBA11840954185,X5,2022,Electric,North America,2022-07-12
BMWV0089,WBA96504762884,i5,2020,Diesel,Oceania,2020-06-11
BMWV0090,WBA17147632661,i5,2021,Electric,Oceania,2021-11-03
BMWV0091,WBA75352610872,i4,2024,Petrol,Europe,2024-04-10
BMWV0092,WBA14713995081,X3,2021,Petrol,Europe,2021-02-21
BMWV0093,WBA17997172879,3 Series,2020,Petrol,Europe,2020-03-12
BMWV0094,WBA76400891314,i5,2024,Petrol,Oceania,2024-08-19
BMWV0095,WBA40545532197,3 Series,2024,Petrol,Oceania,2024-03-31
BMWV0096,WBA52855449186,i4,2019,Diesel,Oceania,2019-06-28
BMWV0097,WBA39515598100,X3,2020,Petrol,North America,2020-01-04
BMWV0098,WBA93944481945,7 Series,2022,Diesel,Oceania,2022-10-19
BMWV0099,WBA69073442675,X7,2023,Petrol,North America,2023-04-06
BMWV0100,WBA98732432462,X7,2024,Hybrid,Europe,2024-04-22
BMWV0101,WBA46765702823,i5,2024,Hybrid,Europe,2024-10-30
BMWV0102,WBA41277802539,X7,2024,Hybrid,Europe,2024-12-04
BMWV0103,WBA11678165545,7 Series,2021,Hybrid,Asia,2021-07-19
BMWV0104,WBA95033240802,3 Series,2022,Diesel,Asia,2022-05-29
BMWV0105,WBA33072275110,i4,2023,Diesel,Middle East,2023-02-22
BMWV0106,WBA93544401686,7 Series,2021,Electric,Middle East,2021-10-15
BMWV0107,WBA83415628202,i4,2025,Petrol,Middle East,2025-12-08
BMWV0108,WBA89203801796,i4,2022,Hybrid,Asia,2022-05-13
BMWV0109,WBA88149546762,X3,2022,Diesel,Asia,2022-10-27
BMWV0110,WBA49058587655,3 Series,2020,Petrol,Middle East,2020-08-25
BMWV0111,WBA24072209892,iX,2019,Petrol,Middle East,2019-07-31
BMWV0112,WBA97240875079,X7,2020,Diesel,Oceania,2020-06-14
BMWV0113,WBA70970672014,iX,2022,Hybrid,Middle East,2022-03-16
BMWV0114,WBA78276914413,X3,2025,Electric,Oceania,2025-10-12
BMWV0115,WBA42298972369,i4,2021,Petrol,North America,2021-08-19
BMWV0116,WBA50577145659,i5,2024,Electric,Asia,2024-03-20
BMWV0117,WBA94000198085,X7,2024,Hybrid,Middle East,2024-07-14
BMWV0118,WBA57957752193,X7,2019,Hybrid,Asia,2019-06-23
BMWV0119,WBA38404650831,3 Series,2022,Electric,Asia,2022-02-08
BMWV0120,WBA20149440364,X1,2021,Hybrid,Asia,2021-10-14
BMWV0121,WBA22443320602,5 Series,2020,Petrol,North America,2020-04-06
BMWV0122,WBA83739667306,5 Series,2023,Electric,Europe,2023-08-20
BMWV0123,WBA42242538981,5 Series,2022,Hybrid,Middle East,2022-07-02
BMWV0124,WBA12568874203,X1,2025,Electric,Europe,2025-06-07
BMWV0125,WBA10143381494,3 Series,2020,Petrol,Europe,2020-03-26
BMWV0126,WBA30326513567,X1,2021,Hybrid,Europe,2021-08-20
BMWV0127,WBA54294693476,5 Series,2020,Petrol,Asia,2020-10-05
BMWV0128,WBA26314833885,X3,2022,Hybrid,Oceania,2022-06-27
BMWV0129,WBA35631316333,7 Series,2024,Diesel,Asia,2024-11-06
BMWV0130,WBA60421757834,i4,2022,Hybrid,Asia,2022-08-27
BMWV0131,WBA67207533430,X1,2024,Electric,Europe,2024-08-29
BMWV0132,WBA78669723776,3 Series,2024,Hybrid,Asia,2024-01-07
BMWV0133,WBA99013994141,3 Series,2019,Petrol,Europe,2019-07-14
BMWV0134,WBA62926930081,iX,2025,Petrol,Oceania,2025-03-07
BMWV0135,WBA27167319963,7 Series,2022,Hybrid,Middle East,2022-12-08
BMWV0136,WBA35682970105,i5,2021,Electric,Europe,2021-05-24
BMWV0137,WBA10126118083,X7,2022,Diesel,Oceania,2022-03-31
BMWV0138,WBA15195849369,5 Series,2019,Electric,Middle East,2019-10-10
BMWV0139,WBA31360836834,i5,2019,Diesel,North America,2019-04-04
BMWV0140,WBA95548051941,iX,2024,Petrol,Europe,2024-12-28
BMWV0141,WBA83490104965,5 Series,2021,Electric,Europe,2021-11-20
BMWV0142,WBA90571792955,7 Series,2023,Diesel,North America,2023-07-21
BMWV0143,WBA61488349560,iX,2019,Hybrid,North America,2019-06-20
BMWV0144,WBA56820709825,5 Series,2019,Petrol,Europe,2019-05-15
BMWV0145,WBA72928434539,7 Series,2022,Hybrid,North America,2022-11-04
BMWV0146,WBA58593521096,X5,2025,Petrol,Asia,2025-03-08
BMWV0147,WBA96991650519,i5,2020,Electric,Middle East,2020-09-24
BMWV0148,WBA17813641173,i5,2024,Electric,Middle East,2024-06-14
BMWV0149,WBA22368740939,X7,2022,Petrol,Middle East,2022-02-07
BMWV0150,WBA96384433307,7 Series,2023,Petrol,Asia,2023-10-09
BMWV0151,WBA97703742114,X1,2024,Petrol,North America,2024-06-28
BMWV0152,WBA95492869665,X5,2020,Electric,Oceania,2020-09-29
BMWV0153,WBA47536602418,X3,2022,Diesel,North America,2022-07-25
BMWV0154,WBA70950999377,5 Series,2020,Hybrid,Europe,2020-04-25
BMWV0155,WBA76903778175,X5,2020,Hybrid,Middle East,2020-02-27
BMWV0156,WBA30642454123,7 Series,2020,Electric,North America,2020-09-09
BMWV0157,WBA56573497181,i4,2024,Hybrid,Oceania,2024-08-12
BMWV0158,WBA71220355930,5 Series,2021,Petrol,Europe,2021-07-12
BMWV0159,WBA18723575072,3 Series,2022,Diesel,Asia,2022-09-12
BMWV0160,WBA94779625340,i5,2019,Hybrid,Asia,2019-07-30
BMWV0161,WBA74881252257,7 Series,2024,Diesel,Oceania,2024-12-01
BMWV0162,WBA15647536610,3 Series,2024,Petrol,Europe,2024-02-24
BMWV0163,WBA40081165559,X7,2022,Hybrid,Middle East,2022-06-20
BMWV0164,WBA36487630277,iX,2025,Electric,North America,2025-08-24
BMWV0165,WBA47174154899,X3,2022,Diesel,Europe,2022-09-21
BMWV0166,WBA40376890102,X3,2021,Petrol,Asia,2021-02-26
BMWV0167,WBA26606003641,3 Series,2025,Diesel,Oceania,2025-09-29
BMWV0168,WBA33022647438,i5,2019,Hybrid,Oceania,2019-09-04
BMWV0169,WBA21867661624,X7,2023,Hybrid,North America,2023-02-15
BMWV0170,WBA97653008308,i4,2019,Electric,Oceania,2019-07-16
BMWV0171,WBA69095523315,i5,2022,Petrol,Oceania,2022-06-13
BMWV0172,WBA69715540963,X5,2019,Petrol,Europe,2019-07-08
BMWV0173,WBA58244350352,X3,2020,Electric,Middle East,2020-12-28
BMWV0174,WBA39237543304,X5,2020,Electric,North America,2020-05-10
BMWV0175,WBA18843740923,5 Series,2024,Petrol,Europe,2024-10-13
BMWV0176,WBA65400127694,X1,2024,Diesel,Middle East,2024-07-06
BMWV0177,WBA85809473650,7 Series,2023,Diesel,Europe,2023-10-29
BMWV0178,WBA13754775173,X7,2021,Electric,Europe,2021-06-07
BMWV0179,WBA32448636045,i5,2023,Diesel,Oceania,2023-06-21
BMWV0180,WBA24523912692,X3,2023,Petrol,Middle East,2023-10-22
BMWV0181,WBA40618172093,X5,2019,Hybrid,North America,2019-06-18
BMWV0182,WBA20362730130,iX,2022,Hybrid,North America,2022-04-02
BMWV0183,WBA67892165114,5 Series,2024,Diesel,Middle East,2024-08-15
BMWV0184,WBA91681688432,7 Series,2023,Electric,Oceania,2023-10-27
BMWV0185,WBA77464007672,7 Series,2024,Electric,Asia,2024-04-06
BMWV0186,WBA91487453805,i5,2023,Electric,Europe,2023-06-17
BMWV0187,WBA90857222018,X7,2024,Electric,Oceania,2024-10-29
BMWV0188,WBA51658242322,i4,2019,Electric,Middle East,2019-09-17
BMWV0189,WBA47965195547,iX,2021,Diesel,Europe,2021-02-06
BMWV0190,WBA95821171884,i5,2020,Hybrid,North America,2020-06-02
BMWV0191,WBA38438458061,X5,2024,Hybrid,Asia,2024-06-17
BMWV0192,WBA72061599731,X1,2021,Diesel,North America,2021-08-10
BMWV0193,WBA66772781175,3 Series,2022,Electric,Middle East,2022-07-23
BMWV0194,WBA31991294388,i4,2023,Diesel,Europe,2023-12-15
BMWV0195,WBA41195703760,X7,2019,Hybrid,Middle East,2019-04-22
BMWV0196,WBA53268535092,5 Series,2022,Petrol,Europe,2022-11-08
BMWV0197,WBA19562106856,i4,2023,Diesel,Oceania,2023-10-21
BMWV0198,WBA23161889786,X3,2022,Electric,Asia,2022-04-25
BMWV0199,WBA26652616667,X7,2020,Hybrid,Oceania,2020-05-13
BMWV0200,WBA43832581633,X1,2019,Hybrid,Oceania,2019-10-17
