event_id,vehicle_id,timestamp,speed,battery_level,temperature,odometer,latitude,longitude,fault_code
EVT-000036,BMW-00094,2025-12-02 05:15:00,130.2,37.3,27.7,11423.0,22.228318,73.163728,
EVT-000037,BMW-00041,2026-01-23 06:15:00,,69.6,29.9,46877.3,25.493937,74.194795,
EVT-000038,BMW-00244,2026-05-21 22:53:00,44.6,56.8,16.1,81933.0,15.686138,73.267249,P0420
EVT-000039,BMW-00248,2025-11-07 09:37:00,58.0,65.0,34.5,20258.2,14.172365,78.635729,
EVT-000040,BMW-00213,2026-07-08 06:27:00,10.1,94.4,23.3,22588.5,27.372226,78.476771,
EVT-000041,BMW-00093,2025-10-31 11:34:00,27.4,64.7,21.9,34020.8,24.329177,72.820435,
EVT-000042,BMW-00203,2026-05-30 14:05:00,61.2,73.1,37.3,64682.4,23.02117,74.111265,
EVT-000043,BMW-00012,2026-06-25 16:13:00,23.2,51.3,34.0,63878.6,17.960729,78.739955,
EVT-000044,BMW-00097,2025-02-24 10:07:00,45.5,100.0,29.0,79818.5,17.181557,76.304088,
EVT-000045,BMW-00006,2025-05-27 04:33:00,68.1,53.5,29.4,56874.6,16.493666,77.801404,
EVT-000046,BMW-00007,2025-09-28 03:04:00,48.6,39.0,22.0,21529.0,27.854798,74.716576,
EVT-000047,BMW-00124,2026-08-25 12:18:00,70.7,81.0,33.9,3578.5,20.699376,76.542596,
EVT-000048,BMW-00010,2026-07-17 15:41:00,15.7,84.6,28.4,84942.0,25.662935,78.000419,
EVT-000049,BMW-00205,2026-08-13 01:49:00,12.1,67.5,20.7,40644.1,26.665805,77.684916,
EVT-000050,BMW-00223,2025-06-24 01:15:00,79.7,64.0,24.2,54169.1,13.120249,73.430661,
EVT-000051,BMW-00017,2026-08-14 20:42:00,30.9,75.9,34.6,58676.3,15.52296,74.81738,
EVT-000052,BMW-00012,2025-08-20 07:55:00,18.5,64.2,20.9,51676.2,19.838558,77.041598,
EVT-000053,BMW-00062,2026-05-03 22:24:00,70.7,71.7,13.2,42326.0,15.065169,74.561537,
EVT-000054,BMW-00206,2025-08-28 17:57:00,80.3,63.1,26.3,79033.7,14.467247,77.404017,
EVT-000055,BMW-00112,2025-11-17 19:45:00,21.7,66.8,23.5,65230.6,12.888497,74.505981,
EVT-000056,BMW-00085,2025-12-02 16:05:00,21.2,77.6,28.9,67208.5,16.348204,75.257655,
EVT-000057,BMW-00250,2025-03-05 15:34:00,65.9,51.4,30.0,25847.1,19.609718,74.252275,
EVT-000058,BMW-00140,2026-08-01 19:58:00,49.3,56.4,29.1,52993.4,16.505022,79.964067,
EVT-000059,BMW-00100,2025-06-28 05:50:00,77.0,89.1,24.5,57044.6,14.13146,78.475187,
EVT-000060,BMW-00241,2025-09-13 06:21:00,67.5,67.1,21.0,58274.8,27.330437,74.991583,
EVT-000061,BMW-00077,2025-10-22 03:17:00,79.0,63.0,29.6,17625.4,15.677381,75.580621,
EVT-000062,BMW-00101,2025-05-17 15:14:00,54.0,39.1,20.4,56054.6,20.089023,74.723584,U0100
EVT-000063,BMW-00016,2025-11-05 03:23:00,37.6,65.8,44.0,71201.6,9.338092,73.50731,
EVT-000064,BMW-00103,2026-01-26 22:01:00,19.9,68.1,8.1,48748.5,10.092162,77.240515,
EVT-000065,BMW-00179,2025-03-10 20:47:00,22.8,77.7,27.4,36338.2,25.775611,79.365875,
EVT-000066,BMW-00055,2026-06-12 02:45:00,80.8,96.1,18.3,53970.3,11.570586,74.927555,
EVT-000067,BMW-00097,2025-11-24 04:27:00,70.5,39.0,33.1,78783.1,9.314205,77.212188,
EVT-000068,BMW-00083,2026-01-27 17:54:00,64.6,60.8,26.5,2645.2,23.721784,77.351796,P0420
EVT-000069,BMW-00215,2025-03-16 18:04:00,52.1,84.3,34.3,72571.4,9.724888,78.557029,
EVT-000070,BMW-00052,2025-11-30 14:07:00,40.0,63.1,17.4,54249.9,10.762085,76.338213,U0100
EVT-000071,BMW-00115,2025-11-05 12:57:00,57.9,81.9,34.3,53766.3,15.478246,76.25515,
EVT-000072,BMW-00144,2025-08-16 06:50:00,42.3,85.8,37.1,12460.4,23.71315,76.617519,
EVT-000073,BMW-00231,2025-07-18 17:08:00,30.0,88.7,30.3,23911.4,18.588879,77.39256,
EVT-000074,BMW-00243,2026-07-11 02:52:00,49.9,51.4,41.0,9819.9,21.693695,75.257831,
EVT-000075,BMW-00125,2026-03-20 19:11:00,12.5,83.4,30.0,53477.0,27.366366,76.759377,
EVT-000076,BMW-00118,2026-07-20 17:57:00,33.8,87.2,35.2,43672.6,10.539559,79.57044,
EVT-000077,BMW-00032,2025-03-01 17:46:00,63.3,78.8,39.3,29783.6,11.803376,80.007669,
EVT-000078,BMW-00083,2026-03-14 21:10:00,60.4,29.5,20.9,8999.5,17.392422,78.631279,
EVT-000079,BMW-00108,2026-02-13 01:40:00,41.1,80.1,26.6,67514.1,19.415913,76.43609,
EVT-000080,BMW-00092,2025-09-24 23:01:00,87.7,82.7,10.0,4605.9,21.524997,76.379566,
EVT-000081,BMW-00100,2026-06-28 15:53:00,49.9,60.1,33.6,62522.6,21.180453,75.404325,
EVT-000082,BMW-00071,2025-02-13 14:43:00,95.4,70.2,28.0,9699.5,12.073562,73.407154,
EVT-000083,BMW-00020,2025-03-11 01:27:00,79.7,58.1,20.7,35864.0,8.808386,78.276244,
EVT-000084,BMW-00241,2025-03-20 00:15:00,4.0,87.6,14.8,72237.8,22.586679,79.521961,
EVT-000085,BMW-00038,2026-02-10 20:23:00,53.1,63.2,42.6,51325.2,26.765061,72.962049,
EVT-000086,BMW-00071,2025-02-04 16:49:00,54.7,28.1,30.1,45069.0,9.657571,74.236789,
EVT-000087,BMW-00227,2025-07-31 21:18:00,53.4,54.3,31.4,21636.1,8.772544,75.574777,
EVT-000088,BMW-00035,2026-04-08 13:09:00,75.5,60.9,44.2,34094.8,21.823603,77.871039,
EVT-000089,BMW-00037,2025-08-22 05:05:00,61.3,64.2,28.5,6364.9,20.94385,74.720325,
EVT-000090,BMW-00118,2025-04-14 09:21:00,62.1,58.4,37.7,3436.0,21.482934,75.142583,
EVT-000091,BMW-00194,2025-11-03 08:19:00,51.6,46.3,27.8,82148.7,10.167308,76.459511,
EVT-000092,BMW-00021,2026-05-03 20:01:00,79.1,51.3,35.6,44051.5,13.801837,73.970036,
EVT-000093,BMW-00034,2025-04-29 19:38:00,90.1,36.5,15.8,48773.5,15.521416,77.562857,
EVT-000094,BMW-00211,2026-06-26 13:07:00,47.3,72.8,34.3,82606.6,22.417353,74.271507,
EVT-000095,BMW-00127,2026-03-12 04:16:00,33.3,63.3,39.4,7900.2,17.550934,75.734972,
EVT-000096,BMW-00198,2026-08-29 08:21:00,,52.6,37.9,83688.0,12.732964,72.853433,
EVT-000097,BMW-00159,2025-03-09 05:34:00,47.9,47.8,39.6,56017.0,12.313227,76.304425,
EVT-000098,BMW-00134,2025-10-10 02:15:00,67.7,76.6,36.1,28584.4,24.112624,73.820206,
EVT-000099,BMW-00055,2025-04-11 14:33:00,40.6,36.6,37.3,76166.7,24.02188,77.140211,
EVT-000100,BMW-00135,2025-12-19 15:34:00,61.3,64.8,26.8,48325.5,17.064908,78.185385,
EVT-000101,BMW-00011,2025-06-03 23:47:00,48.7,86.1,13.9,36128.6,24.689204,78.846436,
EVT-000102,BMW-00122,2026-03-10 18:26:00,57.7,52.6,28.3,9736.4,14.114038,79.959286,
EVT-000103,BMW-00176,2025-10-21 02:51:00,12.0,59.5,17.1,59237.9,11.304292,79.458631,
EVT-000104,BMW-00139,2025-07-19 14:55:00,51.3,68.6,28.2,36608.9,9.017672,78.05734,
EVT-000105,BMW-00198,2025-02-08 11:36:00,44.4,86.0,18.3,24718.1,9.907774,78.601103,
EVT-000106,BMW-00245,2025-01-28 20:06:00,66.5,53.1,24.0,57475.7,24.828838,76.152817,
EVT-000107,BMW-00137,2025-05-24 13:39:00,73.2,88.7,31.1,26133.8,8.789426,73.22209,
EVT-000108,BMW-00245,2025-07-07 15:44:00,80.7,74.0,46.4,18581.4,17.799236,73.284023,
EVT-000109,BMW-00167,2025-08-29 05:14:00,24.5,48.5,36.3,84038.0,18.223255,75.70609,P0300
EVT-000110,BMW-00238,2025-07-30 06:48:00,61.5,51.4,33.8,711.3,22.204543,74.328556,
EVT-000111,BMW-00163,2025-01-11 00:36:00,25.9,64.3,19.0,19724.2,18.23761,73.398516,
EVT-000112,BMW-00179,2025-01-23 06:21:00,14.8,80.3,34.4,24058.6,25.916109,74.48571,
EVT-000113,BMW-00075,2025-02-26 16:54:00,67.8,84.9,32.7,13823.0,9.638576,78.406951,
EVT-000114,BMW-00102,2025-09-15 07:04:00,96.9,68.9,25.3,43444.6,28.673184,78.138672,
EVT-000115,BMW-00175,2025-07-14 08:46:00,25.7,36.4,28.2,66738.4,21.233165,77.992064,
EVT-000116,BMW-00147,2026-04-06 09:12:00,9.5,72.4,24.4,34650.3,18.687167,76.662238,
EVT-000117,BMW-00126,2025-04-20 02:44:00,69.1,67.6,29.4,14183.3,14.569618,78.498508,
EVT-000118,BMW-00072,2025-04-10 06:42:00,9.8,63.4,30.7,49907.1,24.782276,74.924595,
EVT-000119,BMW-00138,2026-04-03 13:44:00,71.4,67.3,17.8,67495.1,11.873553,78.391146,
EVT-000120,BMW-00089,2025-04-12 10:10:00,0.0,67.8,26.9,79100.8,9.380684,76.022485,
EVT-000121,BMW-00155,2025-02-02 11:48:00,11.5,65.4,24.6,20455.1,20.392663,75.439106,
EVT-000122,BMW-00029,2025-11-25 19:26:00,70.5,83.2,25.2,49215.4,14.868699,73.585391,
EVT-000123,BMW-00079,2025-12-17 03:40:00,15.1,76.4,22.6,78724.7,25.774813,74.051031,
EVT-000124,BMW-00191,2026-08-17 12:01:00,50.7,59.9,8.0,25607.5,28.682702,80.179875,
EVT-000125,BMW-00163,2026-06-25 09:52:00,46.0,97.6,33.1,30214.6,25.874291,76.870328,
EVT-000126,BMW-00171,2026-06-26 01:42:00,48.8,79.3,21.4,74566.0,26.568983,79.239547,C1234
EVT-000127,BMW-00002,2026-03-18 14:10:00,44.2,44.3,32.5,81866.9,12.588269,76.056377,
EVT-000128,BMW-00086,2025-12-30 10:00:00,98.9,51.7,30.6,11413.2,12.495387,77.262838,
EVT-000129,BMW-00250,2026-04-01 14:49:00,26.0,47.1,21.7,9529.0,28.16694,80.15266,
EVT-000130,BMW-00067,2025-01-06 00:39:00,29.9,77.7,18.2,33024.7,24.747122,78.832902,
EVT-000131,BMW-00208,2025-01-31 23:00:00,17.8,73.4,34.8,8433.8,17.904352,74.268719,
EVT-000132,BMW-00072,2026-05-20 10:03:00,55.3,66.7,29.0,44842.7,24.245265,78.749041,
EVT-000133,BMW-00211,2025-04-10 12:22:00,35.3,75.9,26.7,24167.5,18.639855,76.087092,
EVT-000134,BMW-00067,2026-02-09 11:39:00,40.5,68.3,32.1,27554.0,16.710866,76.80888,
EVT-000135,BMW-00143,2026-08-02 23:26:00,98.1,62.5,30.0,7534.8,27.561441,77.679364,
EVT-000136,BMW-00029,2025-03-21 01:12:00,23.7,89.2,30.4,82851.5,15.32417,74.527735,
EVT-000137,BMW-00153,2026-04-07 19:53:00,53.9,42.8,22.3,30574.1,21.791015,77.694298,
EVT-000138,BMW-00128,2026-06-06 20:10:00,7.0,71.3,35.2,81385.0,26.302526,75.659585,
EVT-000139,BMW-00195,2025-11-13 06:04:00,64.7,90.3,22.9,79394.9,14.618082,75.016806,
EVT-000140,BMW-00170,2025-04-24 02:13:00,5.3,83.6,17.4,68588.0,10.373533,74.810613,
EVT-000141,BMW-00192,2026-08-20 08:08:00,59.2,50.8,18.8,59915.5,14.69215,75.157344,E1101
EVT-000142,BMW-00033,2025-06-22 07:03:00,46.8,75.1,30.3,74398.9,17.794526,79.261512,
EVT-000143,BMW-00083,2025-03-05 21:11:00,58.5,70.2,24.6,70927.3,16.396481,77.167186,
EVT-000144,BMW-00249,2026-02-13 00:41:00,65.5,73.4,24.0,8343.9,26.283687,80.091618,
EVT-000145,BMW-00243,2026-07-21 10:55:00,83.5,69.6,37.8,79259.3,18.997832,75.934795,
EVT-000146,BMW-00047,2026-01-27 09:56:00,63.2,75.2,32.9,30835.9,27.419811,77.224729,
EVT-000147,BMW-00232,2025-03-09 19:17:00,78.0,79.6,34.8,10841.3,25.949162,73.605891,
EVT-000148,BMW-00016,2025-10-21 09:56:00,49.3,63.9,29.0,22140.7,21.13851,73.338216,
EVT-000149,BMW-00007,2026-07-01 12:01:00,17.2,66.4,41.9,16380.2,14.797678,77.04897,E1101
EVT-000150,BMW-00236,2025-12-01 07:50:00,32.5,72.6,28.7,33360.9,24.513762,74.634837,
EVT-000151,BMW-00020,2025-01-20 12:48:00,19.9,100.0,33.1,14502.7,22.988947,78.829624,
EVT-000152,BMW-00005,2026-07-17 17:27:00,47.7,46.7,27.5,49427.5,15.693968,73.908641,
EVT-000153,BMW-00101,2025-08-03 10:17:00,59.1,37.1,26.8,67788.4,11.366256,75.419233,
EVT-000154,BMW-00232,2026-05-08 14:35:00,69.1,35.2,23.5,65993.3,28.697711,75.730908,
EVT-000155,BMW-00045,2025-12-26 19:51:00,44.2,28.5,35.6,56173.6,17.014851,77.564045,
EVT-000156,BMW-00041,2025-10-23 02:00:00,70.4,61.9,25.4,52189.5,12.584492,78.037266,
EVT-000157,BMW-00184,2026-05-17 18:32:00,22.9,32.4,45.6,15109.0,19.346524,74.266899,
EVT-000158,BMW-00197,2026-01-28 23:18:00,51.9,56.2,22.7,73226.0,20.600029,76.526595,
EVT-000159,BMW-00110,2026-02-06 02:13:00,33.7,100.0,40.0,41192.1,9.161866,75.020852,
EVT-000160,BMW-00178,2026-06-19 02:28:00,31.2,33.3,16.0,73600.7,26.518851,78.343477,
EVT-000161,BMW-00191,2026-05-30 07:45:00,70.4,67.2,19.1,11588.6,21.551117,75.2454,C1234
EVT-000162,BMW-00203,2025-11-18 06:01:00,46.4,62.8,36.6,7376.4,21.034951,73.930161,
EVT-000163,BMW-00188,2025-08-28 20:51:00,25.1,58.2,27.6,40766.7,20.979511,74.791244,
EVT-000164,BMW-00118,2026-05-13 05:45:00,25.2,63.1,29.0,62007.6,9.346906,73.473939,
EVT-000165,BMW-00165,2026-04-21 06:51:00,63.9,82.3,30.2,72176.5,25.412465,79.640797,
EVT-000166,BMW-00244,2026-07-08 14:11:00,60.3,90.0,21.8,54985.0,18.1747,78.479117,
EVT-000167,BMW-00177,2026-07-22 03:32:00,67.9,90.5,32.9,55548.0,27.649097,74.126293,
EVT-000168,BMW-00120,2025-08-16 12:34:00,59.8,66.1,30.6,68303.0,24.018064,75.916798,
EVT-000169,BMW-00219,2025-03-18 20:37:00,78.7,66.3,21.4,62245.3,14.659106,78.770943,
EVT-000170,BMW-00013,2025-06-02 03:27:00,57.2,84.7,24.8,69692.4,26.821729,74.003172,
EVT-000171,BMW-00101,2025-12-19 14:28:00,50.3,44.7,25.9,27086.2,27.617962,77.583544,
EVT-000172,BMW-00179,2025-08-01 19:44:00,73.8,50.1,23.7,13121.8,25.020796,77.788109,
EVT-000173,BMW-00053,2025-11-19 05:51:00,43.1,38.9,33.8,16800.2,26.128476,75.245174,
EVT-000174,BMW-00058,2025-12-17 02:01:00,78.9,81.6,23.4,5976.4,12.45813,79.055268,
EVT-000175,BMW-00183,2026-02-10 13:09:00,27.4,76.9,29.2,7853.9,17.703872,74.794445,
EVT-000176,BMW-00080,2025-10-01 20:59:00,46.9,42.9,26.5,74353.8,19.75199,80.279481,
EVT-000177,BMW-00213,2025-11-12 19:45:00,8.0,67.2,25.0,34259.2,18.875178,73.025918,
EVT-000178,BMW-00051,2026-06-07 17:04:00,24.9,69.9,27.5,66093.1,15.076291,74.101214,
EVT-000179,BMW-00015,2026-02-10 05:02:00,22.7,91.2,18.0,65367.0,11.276211,74.439192,
EVT-000180,BMW-00019,2025-03-23 01:23:00,21.4,44.8,38.7,41325.6,15.689625,76.795301,
EVT-000181,BMW-00189,2026-04-18 18:01:00,51.0,90.3,25.5,52373.7,16.56766,75.230936,
EVT-000182,BMW-00095,2025-06-05 02:10:00,64.4,90.9,29.1,1625.3,18.123366,80.076675,
EVT-000183,BMW-00142,2025-06-05 09:01:00,47.9,76.5,30.4,81427.2,15.883061,76.137513,
EVT-000184,BMW-00116,2025-11-16 10:27:00,30.2,65.9,23.0,23631.2,15.226395,72.96098,
EVT-000185,BMW-00068,2026-05-10 02:03:00,13.3,87.2,29.5,51959.0,19.566789,80.244702,
EVT-000186,BMW-00160,2025-05-04 08:25:00,68.6,73.2,15.5,55504.7,28.337769,78.956996,
EVT-000187,BMW-00085,2025-04-08 00:44:00,49.9,36.0,38.8,82158.2,17.105779,76.409018,
EVT-000188,BMW-00214,2026-02-12 11:59:00,75.9,51.9,29.6,16487.8,9.957671,76.450538,
EVT-000189,BMW-00221,2026-04-22 18:40:00,48.2,25.3,40.1,52684.0,27.36326,76.418887,
EVT-000190,BMW-00046,2025-01-04 20:03:00,52.6,88.2,23.2,72747.0,10.864134,78.112533,
EVT-000191,BMW-00024,2025-05-19 03:55:00,85.3,69.9,35.4,65101.9,13.816258,78.082701,
EVT-000192,BMW-00192,2026-08-05 21:59:00,33.4,82.5,24.1,70480.8,21.359485,76.11101,
EVT-000193,BMW-00219,2026-07-14 11:36:00,24.9,61.5,26.2,79348.6,9.067478,80.169288,
EVT-000194,BMW-00073,2025-11-10 00:22:00,59.7,48.6,31.1,32467.4,27.696619,77.442208,
EVT-000195,BMW-00173,2026-02-17 13:56:00,39.5,76.0,23.4,19364.1,24.817367,75.472249,
EVT-000196,BMW-00242,2025-07-16 06:35:00,20.6,66.9,27.7,10386.9,8.170955,74.41432,
EVT-000197,BMW-00218,2026-03-10 23:09:00,24.1,32.7,22.1,35054.9,8.994088,75.554685,
EVT-000198,BMW-00249,2025-04-22 11:16:00,40.8,69.7,,18768.4,13.65146,75.811794,
EVT-000199,BMW-00016,2025-03-05 16:54:00,38.4,45.7,10.6,6495.9,8.793998,75.68642,
EVT-000200,BMW-00113,2025-08-04 03:08:00,77.4,96.8,32.0,81284.7,19.971365,73.213402,
EVT-000201,BMW-00017,2026-07-31 13:57:00,34.2,59.7,46.3,34960.2,14.387216,76.771546,
EVT-000202,BMW-00119,2026-08-28 14:13:00,0.0,79.5,23.4,64910.0,19.860998,75.283742,
EVT-000203,BMW-00039,2025-10-31 07:29:00,0.0,100.0,18.2,66116.4,23.667774,78.97161,
EVT-000204,BMW-00192,2026-07-09 17:32:00,43.9,80.4,38.5,49054.1,23.017129,77.776036,
EVT-000205,BMW-00093,2025-05-23 19:19:00,97.1,89.4,21.4,18576.0,25.497071,72.826792,
EVT-000206,BMW-00130,2025-01-12 14:52:00,50.4,61.1,29.1,53732.7,9.967183,75.950028,
EVT-000207,BMW-00188,2026-05-23 02:49:00,84.9,63.4,15.1,81356.3,25.426124,79.363954,
EVT-000208,BMW-00152,2025-05-15 02:33:00,37.8,66.2,42.0,44156.1,10.574537,75.973451,
EVT-000209,BMW-00036,2025-01-25 01:23:00,41.8,38.8,34.0,57689.5,24.451383,78.032177,
EVT-000210,BMW-00215,2025-04-06 07:36:00,36.6,77.8,36.9,47658.2,18.696843,77.904472,
EVT-000211,BMW-00227,2026-07-09 00:53:00,72.8,35.6,17.1,4403.9,23.422526,76.857198,
EVT-000212,BMW-00168,2025-10-13 23:06:00,51.8,64.6,27.1,57371.7,24.394662,79.084181,
EVT-000213,BMW-00192,2026-03-30 02:54:00,39.5,94.6,35.8,44836.8,19.88902,78.802188,
EVT-000214,BMW-00095,2026-01-07 13:20:00,31.2,73.8,43.2,76304.7,28.518485,76.225598,
EVT-000215,BMW-00116,2025-05-07 12:47:00,0.0,59.7,30.7,62516.0,16.979452,76.23442,
EVT-000216,BMW-00184,2025-05-10 00:15:00,25.2,51.0,30.0,62965.0,27.796597,76.471467,
EVT-000217,BMW-00101,2026-06-30 06:30:00,76.4,67.5,29.4,10165.4,15.901525,73.713295,
EVT-000218,BMW-00173,2025-09-23 21:04:00,51.9,38.8,10.8,52647.8,11.370784,73.303638,
EVT-000219,BMW-00047,2025-08-11 05:36:00,58.6,68.3,29.5,20487.3,14.265565,77.113675,
EVT-000220,BMW-00177,2025-03-10 02:57:00,41.7,77.4,24.2,66766.1,10.432474,75.200917,
EVT-000221,BMW-00140,2025-04-16 02:05:00,37.5,79.3,27.7,7753.0,9.861267,77.145483,
EVT-000222,BMW-00103,2025-07-24 13:51:00,0.0,75.0,29.0,66843.9,25.929412,75.857891,
EVT-000223,BMW-00116,2025-10-25 23:47:00,40.3,69.8,12.2,36870.9,20.10571,75.84162,
EVT-000224,BMW-00002,2025-09-19 01:25:00,19.7,88.2,30.7,27596.2,8.007733,80.12864,
EVT-000225,BMW-00022,2025-12-27 08:53:00,58.4,74.6,22.5,66723.9,18.459276,79.86651,
EVT-000226,BMW-00217,2025-11-16 07:25:00,22.3,60.4,29.0,50207.0,16.646728,77.495708,
EVT-000227,BMW-00178,2025-12-03 23:19:00,30.3,58.5,31.0,52477.8,23.087418,74.096533,
EVT-000228,BMW-00090,2025-11-05 20:49:00,2.4,32.5,25.6,5709.1,21.246001,78.618003,
EVT-000229,BMW-00156,2025-09-09 08:27:00,72.7,67.6,22.4,53036.3,10.771791,75.518166,
EVT-000230,BMW-00221,2026-06-06 00:02:00,50.5,99.4,30.1,5976.7,19.593103,76.730495,
EVT-000231,BMW-00236,2025-03-12 11:34:00,65.1,78.3,22.9,33046.3,14.437719,79.126976,
EVT-000232,BMW-00056,2026-02-25 12:30:00,53.7,74.7,32.6,11916.2,11.13247,77.623114,
EVT-000233,BMW-00243,2025-04-05 14:06:00,29.8,76.5,26.9,53219.6,19.30187,76.38444,
EVT-000234,BMW-00213,2025-08-06 12:52:00,37.7,30.5,28.1,81011.1,24.033151,75.771674,
EVT-000235,BMW-00110,2025-02-02 17:47:00,18.3,56.4,28.3,80297.8,27.765349,76.451341,
EVT-000236,BMW-00166,2025-11-22 15:50:00,75.6,68.3,30.2,78576.9,8.615305,78.588853,
EVT-000237,BMW-00159,2025-11-29 11:25:00,57.1,55.1,29.9,67743.6,10.119,75.223785,
EVT-000238,BMW-00123,2025-12-27 03:25:00,51.6,76.6,34.9,34710.7,8.247073,73.381284,
EVT-000239,BMW-00058,2025-06-03 22:37:00,71.6,52.7,43.0,53191.0,28.192714,77.834508,
EVT-000240,BMW-00210,2026-07-06 12:42:00,72.3,78.2,25.0,60945.9,10.635581,76.198284,
EVT-000241,BMW-00249,2026-05-08 04:34:00,17.0,70.2,,70406.6,11.583205,73.183048,
EVT-000242,BMW-00207,2025-04-07 19:55:00,42.7,79.3,23.8,69239.5,25.115508,78.946479,E1101
EVT-000243,BMW-00156,2026-06-03 01:11:00,64.1,76.3,34.6,71915.5,21.997117,72.931307,
EVT-000244,BMW-00175,2026-01-24 16:39:00,46.2,100.0,33.0,29997.0,8.634635,78.927915,
EVT-000245,BMW-00016,2025-08-24 12:49:00,0.0,49.3,27.3,20222.7,10.332932,78.593591,
EVT-000246,BMW-00143,2025-01-16 04:34:00,51.2,36.6,30.7,2628.4,14.108542,78.099344,
EVT-000247,BMW-00104,2025-01-20 12:12:00,26.2,77.5,41.7,47678.2,21.866315,75.465323,
EVT-000248,BMW-00086,2025-10-04 11:50:00,59.2,55.3,39.0,30102.6,16.430457,76.769999,
EVT-000249,BMW-00250,2026-06-15 19:51:00,38.0,94.7,25.0,22459.2,22.286834,75.13183,
EVT-000250,BMW-00122,2026-03-15 09:28:00,10.4,69.8,39.5,24753.0,24.869997,77.85127,
EVT-000251,BMW-00084,2026-05-24 16:42:00,21.7,100.0,29.0,61050.2,10.880724,77.535655,U0100
EVT-000252,BMW-00067,2025-05-10 13:29:00,23.3,76.2,20.1,32153.6,18.517736,80.212414,
