vehicle_id,model,city,fault_date,fault_type,severity
1041,BMW X1,Delhi,2026-02-02,Steering,Low
1042,BMW 7 Series,Bengaluru,2026-02-13,Transmission,High
1043,BMW X1,Bengaluru,2026-05-05,Infotainment,High
1044,BMW 3 Series,Delhi,2026-02-28,Charging,High
1045,BMW i4,Mumbai,2026-06-08,Engine,High
1046,BMW X5,Hyderabad,2026-01-13,AC,Low
1047,BMW 7 Series,Chennai,2026-01-09,Transmission,Medium
1048,BMW i7,Hyderabad,2026-08-02,Brake,Low
1049,BMW X3,Mumbai,2026-02-05,Steering,Low
1050,BMW iX,Delhi,2026-07-27,Battery,Low
1051,BMW X5,Kolkata,2026-06-05,Charging,Low
1052,BMW i4,Bengaluru,2026-04-09,Battery,Medium
1053,BMW X3,Kolkata,2026-06-13,Battery,Low
1054,BMW X5,Kolkata,2026-08-09,Brake,Low
1055,BMW X7,Delhi,2026-08-18,Infotainment,High
1056,BMW 5 Series,Mumbai,2026-06-04,Charging,High
1057,BMW i5,Hyderabad,2026-08-01,Brake,Low
1058,BMW 7 Series,Pune,2026-02-27,Charging,Medium
1059,BMW X5,Pune,2026-06-07,Infotainment,High
1060,BMW i7,Kolkata,2026-04-01,Infotainment,Medium
1061,BMW X1,Bengaluru,2026-01-07,Transmission,High
1062,BMW i5,Delhi,2026-01-24,Transmission,Low
1063,BMW 3 Series,Delhi,2026-04-01,Charging,High
1064,BMW i7,Chennai,2026-06-21,Steering,High
1065,BMW X5,Bengaluru,2026-08-04,Battery,Low
1066,BMW 3 Series,Kolkata,2026-05-25,Engine,Low
1067,BMW 7 Series,Kolkata,2026-07-25,Cooling,Medium
1068,BMW X1,Kolkata,2026-08-07,Cooling,High
1069,BMW X7,Pune,2026-01-01,AC,Medium
1070,BMW 7 Series,Kolkata,2026-05-09,Suspension,Medium
1071,BMW X1,Mumbai,2026-05-12,Infotainment,Low
1072,BMW X1,Hyderabad,2026-01-28,Infotainment,Medium
1073,BMW X1,Delhi,2026-04-28,Engine,Low
1074,BMW 7 Series,Delhi,2026-06-09,Transmission,High
1075,BMW X5,Delhi,2026-08-12,AC,Medium
1076,BMW iX,Hyderabad,2026-07-05,Brake,High
1077,BMW i7,Pune,2026-04-24,Brake,Medium
1078,BMW X5,Ahmedabad,2026-02-26,Infotainment,Low
1079,BMW i4,Kolkata,2026-07-15,Charging,Medium
1080,BMW X3,Ahmedabad,2026-02-27,Engine,Medium
1081,BMW i7,Kolkata,2026-07-01,Battery,Low
1082,BMW 3 Series,Mumbai,2026-02-19,Transmission,Low
1083,BMW X3,Delhi,2026-02-07,Electrical,Low
1084,BMW 7 Series,Pune,2026-01-10,Electrical,Medium
1085,BMW i7,Ahmedabad,2026-07-03,Steering,Low
1086,BMW X3,Ahmedabad,2026-01-16,Steering,Low
1087,BMW i5,Ahmedabad,2026-02-16,Infotainment,Medium
1088,BMW X5,Chennai,2026-06-11,Brake,High
1089,BMW i4,Mumbai,2026-04-14,Charging,Low
1090,BMW 7 Series,Bengaluru,2026-07-14,Charging,Medium
1091,BMW X5,Kolkata,2026-04-05,Charging,Low
1092,BMW 7 Series,Bengaluru,2026-08-25,Electrical,Low
1093,BMW 7 Series,Ahmedabad,2026-04-12,Electrical,High
1094,BMW i5,Kolkata,2026-02-07,Engine,Medium
1095,BMW iX,Kolkata,2026-01-20,Charging,Medium
1096,BMW X5,Mumbai,2026-04-21,Steering,High
1097,BMW iX,Bengaluru,2026-04-08,Transmission,Medium
1098,BMW i5,Hyderabad,2026-01-15,AC,High
1099,BMW i7,Kolkata,2026-05-27,Steering,Medium
1100,BMW 3 Series,Hyderabad,2026-03-08,Charging,Low
1101,BMW X7,Mumbai,2026-03-26,Suspension,High
1102,BMW i5,Pune,2026-01-19,Engine,High
1103,BMW i4,Ahmedabad,2026-08-25,Suspension,High
1104,BMW X5,Chennai,2026-07-18,Charging,Low
1105,BMW X7,Bengaluru,2026-04-13,Battery,Low
1106,BMW i7,Kolkata,2026-06-12,Brake,High
1107,BMW X5,Delhi,2026-02-23,AC,Medium
1108,BMW X1,Delhi,2026-01-03,Brake,Medium
1109,BMW X7,Delhi,2026-08-26,Brake,High
1110,BMW i7,Hyderabad,2026-08-28,Infotainment,Medium
1111,BMW i7,Bengaluru,2026-03-20,Suspension,Low
1112,BMW i7,Ahmedabad,2026-05-06,Engine,Medium
1113,BMW i5,Pune,2026-08-20,Steering,Low
1114,BMW i7,Bengaluru,2026-07-20,AC,Low
1115,BMW i5,Pune,2026-06-28,Engine,High
1116,BMW 5 Series,Pune,2026-01-25,AC,Low
1117,BMW i7,Hyderabad,2026-05-04,Charging,Medium
1118,BMW 5 Series,Delhi,2026-04-24,Cooling,Medium
1119,BMW 3 Series,Delhi,2026-01-14,Steering,Medium
1120,BMW 7 Series,Ahmedabad,2026-07-05,Engine,Low
1121,BMW X5,Hyderabad,2026-08-02,Suspension,Medium
1122,BMW i7,Delhi,2026-04-26,AC,High
1123,BMW iX,Delhi,2026-08-26,Suspension,Medium
1124,BMW 3 Series,Hyderabad,2026-02-04,Transmission,Low
1125,BMW X1,Chennai,2026-01-25,Battery,Medium
1126,BMW i7,Delhi,2026-05-07,Electrical,Low
1127,BMW X1,Delhi,2026-01-10,Electrical,Medium
1128,BMW i4,Kolkata,2026-05-26,AC,Low
1129,BMW 3 Series,Ahmedabad,2026-06-23,Battery,High
1130,BMW i4,Ahmedabad,2026-07-10,Infotainment,High
1131,BMW iX,Bengaluru,2026-06-24,Suspension,Low
1132,BMW i4,Hyderabad,2026-01-23,Electrical,High
1133,BMW 7 Series,Chennai,2026-03-20,Infotainment,Medium
1134,BMW X7,Ahmedabad,2026-05-17,Charging,Low
1135,BMW X1,Hyderabad,2026-04-14,Cooling,Medium
1136,BMW 3 Series,Chennai,2026-05-13,Suspension,Low
1137,BMW iX,Kolkata,2026-02-01,Battery,High
1138,BMW X3,Chennai,2026-06-11,AC,Low
1139,BMW i5,Hyderabad,2026-02-06,Brake,Low
1140,BMW 5 Series,Hyderabad,2026-04-13,Battery,Medium
1141,BMW 3 Series,Kolkata,2026-06-06,Transmission,Medium
1142,BMW i4,Delhi,2026-02-02,Brake,Medium
1143,BMW i5,Hyderabad,2026-02-16,Infotainment,Low
1144,BMW i5,Hyderabad,2026-01-21,AC,Medium
1145,BMW X3,Chennai,2026-08-02,Steering,Low
1146,BMW X7,Chennai,2026-02-18,Charging,Low
1147,BMW X1,Chennai,2026-03-14,Suspension,Medium
1148,BMW i7,Delhi,2026-07-02,Infotainment,Medium
1149,BMW X3,Hyderabad,2026-05-18,Cooling,Low
1150,BMW i7,Pune,2026-02-28,Electrical,Low
1151,BMW i7,Delhi,2026-08-04,Suspension,Low
1152,BMW X5,Chennai,2026-08-13,Infotainment,Low
1153,BMW 7 Series,Hyderabad,2026-04-05,Steering,High
1154,BMW 3 Series,Pune,2026-07-10,Battery,Low
1155,BMW iX,Kolkata,2026-03-04,Suspension,Low
1156,BMW X3,Chennai,2026-06-06,Infotainment,High
1157,BMW i7,Delhi,2026-02-11,Transmission,Medium
1158,BMW i7,Kolkata,2026-06-03,Cooling,Low
1159,BMW X7,Delhi,2026-08-06,Cooling,Low
1160,BMW i5,Pune,2026-02-18,Infotainment,High
1161,BMW X5,Kolkata,2026-07-09,Brake,High
1162,BMW iX,Bengaluru,2026-07-23,Brake,Medium
1163,BMW X7,Chennai,2026-05-22,Steering,Medium
1164,BMW X7,Chennai,2026-04-20,Infotainment,Low
1165,BMW i7,Pune,2026-05-19,Suspension,Medium
1166,BMW X1,Mumbai,2026-05-10,Suspension,High
1167,BMW iX,Mumbai,2026-01-18,Suspension,Low
1168,BMW 7 Series,Hyderabad,2026-01-25,Battery,Low
1169,BMW X5,Pune,2026-07-05,Engine,Low
1170,BMW i5,Kolkata,2026-06-23,Steering,Low
1171,BMW X7,Ahmedabad,2026-06-19,Transmission,Low
1172,BMW X1,Pune,2026-04-16,Charging,Low
1173,BMW X3,Hyderabad,2026-04-14,Charging,Medium
1174,BMW X5,Mumbai,2026-02-13,Brake,High
1175,BMW iX,Delhi,2026-02-13,Cooling,High
1176,BMW 5 Series,Bengaluru,2026-07-21,Transmission,Medium
1177,BMW i4,Chennai,2026-05-02,Steering,Medium
1178,BMW X5,Ahmedabad,2026-05-24,Battery,High
1179,BMW 7 Series,Ahmedabad,2026-01-11,Transmission,Medium
1180,BMW X7,Ahmedabad,2026-06-28,Transmission,High
1181,BMW 5 Series,Bengaluru,2026-06-24,Transmission,Medium
1182,BMW X5,Chennai,2026-05-01,Electrical,Low
1183,BMW i5,Mumbai,2026-03-05,Suspension,High
1184,BMW X5,Pune,2026-06-20,Suspension,Medium
1185,BMW X7,Hyderabad,2026-06-26,Charging,High
1186,BMW 5 Series,Kolkata,2026-04-08,Steering,Medium
1187,BMW i5,Chennai,2026-06-07,AC,Low
1188,BMW 3 Series,Hyderabad,2026-07-14,Electrical,High
1189,BMW i4,Mumbai,2026-04-19,AC,High
1190,BMW X1,Ahmedabad,2026-05-23,Infotainment,High
1191,BMW X7,Bengaluru,2026-07-02,Brake,High
1192,BMW 5 Series,Pune,2026-05-17,Infotainment,High
1193,BMW 3 Series,Hyderabad,2026-07-10,Suspension,Low
1194,BMW iX,Bengaluru,2026-04-15,AC,High
1195,BMW X1,Bengaluru,2026-03-01,Steering,Low
1196,BMW i7,Hyderabad,2026-08-06,Cooling,High
1197,BMW i5,Delhi,2026-01-23,Steering,High
1198,BMW i4,Delhi,2026-03-13,Charging,High
1199,BMW 5 Series,Mumbai,2026-08-15,Infotainment,Medium
1200,BMW i5,Chennai,2026-01-07,Charging,High
1201,BMW iX,Hyderabad,2026-04-18,Brake,Low
1202,BMW X7,Hyderabad,2026-08-04,Transmission,Medium
1203,BMW X1,Delhi,2026-04-10,Suspension,High
1204,BMW i7,Hyderabad,2026-03-19,Steering,Medium
1205,BMW iX,Kolkata,2026-06-18,Brake,High
1206,BMW i7,Ahmedabad,2026-08-19,Transmission,High
1207,BMW 7 Series,Mumbai,2026-06-18,Engine,High
1208,BMW 3 Series,Ahmedabad,2026-06-03,Suspension,High
1209,BMW i7,Kolkata,2026-07-05,Brake,High
1210,BMW 7 Series,Kolkata,2026-06-18,Infotainment,Medium
1211,BMW X5,Chennai,2026-08-16,Engine,Low
1212,BMW 3 Series,Pune,2026-03-15,Infotainment,Low
1213,BMW i7,Hyderabad,2026-02-12,Battery,Medium
1214,BMW i5,Mumbai,2026-04-27,Battery,Low
1215,BMW 7 Series,Pune,2026-07-08,Suspension,High
1216,BMW i7,Mumbai,2026-01-02,Suspension,Low
1217,BMW 3 Series,Ahmedabad,2026-03-07,Infotainment,Medium
1218,BMW X3,Pune,2026-06-07,Battery,Medium
1219,BMW X7,Chennai,2026-08-24,Charging,Medium
1220,BMW X7,Mumbai,2026-08-18,Infotainment,High
1221,BMW 5 Series,Kolkata,2026-03-12,Electrical,Medium
1222,BMW i4,Bengaluru,2026-01-23,Infotainment,High
1223,BMW 7 Series,Pune,2026-05-11,Transmission,Low
1224,BMW X3,Chennai,2026-07-20,Transmission,Low
1225,BMW X7,Ahmedabad,2026-04-02,Charging,Medium
1226,BMW X3,Mumbai,2026-04-03,Electrical,Medium
1227,BMW i7,Delhi,2026-03-07,Brake,Medium
1228,BMW X7,Chennai,2026-01-06,Suspension,High
1229,BMW i4,Chennai,2026-06-23,Engine,Low
1230,BMW 7 Series,Delhi,2026-02-26,Electrical,Low
1231,BMW iX,Hyderabad,2026-02-05,Electrical,High
1232,BMW i7,Pune,2026-02-24,Infotainment,Medium
1233,BMW 3 Series,Hyderabad,2026-03-08,Battery,Medium
1234,BMW X5,Ahmedabad,2026-07-25,Electrical,Medium
1235,BMW 7 Series,Delhi,2026-02-16,AC,High
1236,BMW X7,Mumbai,2026-05-18,Charging,Low
1237,BMW 5 Series,Delhi,2026-07-18,Steering,High
1238,BMW i5,Delhi,2026-08-07,Cooling,High
1239,BMW 3 Series,Pune,2026-05-18,Electrical,High
1240,BMW X7,Pune,2026-05-04,Electrical,Medium
1241,BMW 7 Series,Chennai,2026-01-09,Brake,High
1242,BMW i7,Delhi,2026-03-04,Electrical,Low
1243,BMW X1,Ahmedabad,2026-06-26,Steering,Low
1244,BMW i4,Ahmedabad,2026-06-10,Transmission,High
1245,BMW 3 Series,Chennai,2026-04-25,Electrical,Medium
1246,BMW 7 Series,Pune,2026-08-07,Brake,Low
1247,BMW X5,Mumbai,2026-02-05,Electrical,Medium
1248,BMW 3 Series,Mumbai,2026-04-14,Electrical,Low
1249,BMW i5,Mumbai,2026-03-15,Charging,Low
1250,BMW i7,Chennai,2026-05-16,Infotainment,Medium
1251,BMW iX,Mumbai,2026-05-23,Steering,Medium
1252,BMW 3 Series,Chennai,2026-02-06,Brake,High
1253,BMW i4,Hyderabad,2026-03-22,Transmission,Medium
1254,BMW X7,Chennai,2026-02-07,Transmission,Low
1255,BMW 5 Series,Mumbai,2026-05-10,Engine,High
1256,BMW X3,Mumbai,2026-05-17,Cooling,High
1257,BMW X5,Chennai,2026-07-06,Suspension,Medium
1258,BMW i7,Ahmedabad,2026-07-17,Battery,Medium
1259,BMW 7 Series,Mumbai,2026-02-08,Cooling,High
1260,BMW 7 Series,Mumbai,2026-05-01,Brake,High
1261,BMW X3,Chennai,2026-03-20,Infotainment,High
1262,BMW iX,Ahmedabad,2026-06-04,Battery,Low
1263,BMW X7,Mumbai,2026-01-19,Cooling,High
1264,BMW 3 Series,Pune,2026-03-11,Charging,Low
1265,BMW 7 Series,Chennai,2026-03-06,Brake,Medium
1266,BMW X5,Pune,2026-05-24,Transmission,Medium
1267,BMW 5 Series,Delhi,2026-04-14,Infotainment,Low
1268,BMW i4,Chennai,2026-08-09,Transmission,High
1269,BMW i4,Kolkata,2026-08-05,Cooling,Medium
1270,BMW 7 Series,Bengaluru,2026-04-26,AC,Low
1271,BMW 5 Series,Bengaluru,2026-01-16,Engine,High
1272,BMW X7,Pune,2026-03-19,Brake,Low
1273,BMW iX,Hyderabad,2026-08-09,AC,High
1274,BMW i7,Ahmedabad,2026-08-21,Infotainment,Low
1275,BMW iX,Delhi,2026-03-09,Infotainment,High
1276,BMW X3,Pune,2026-03-21,Electrical,Medium
1277,BMW iX,Kolkata,2026-07-13,Steering,High
1278,BMW X5,Delhi,2026-04-07,Charging,Medium
1279,BMW X3,Chennai,2026-04-02,Electrical,Medium
1280,BMW 5 Series,Pune,2026-03-28,Steering,Low
1281,BMW X7,Bengaluru,2026-02-03,Battery,High
1282,BMW X3,Pune,2026-06-07,Electrical,Low
1283,BMW 3 Series,Mumbai,2026-03-03,Electrical,Low
1284,BMW i4,Mumbai,2026-06-20,Steering,Medium
1285,BMW X3,Ahmedabad,2026-01-20,Brake,Low
1286,BMW 5 Series,Hyderabad,2026-01-11,Steering,Medium
1287,BMW 7 Series,Delhi,2026-01-28,Brake,Medium
1288,BMW X5,Mumbai,2026-02-28,Electrical,High
1289,BMW i4,Mumbai,2026-07-20,Steering,Medium
1290,BMW X3,Chennai,2026-04-25,Charging,High
1291,BMW i5,Bengaluru,2026-07-19,Steering,High
1292,BMW X5,Bengaluru,2026-03-10,Infotainment,Medium
1293,BMW X5,Chennai,2026-05-04,Electrical,Medium
1294,BMW 7 Series,Kolkata,2026-05-17,Battery,Medium
1295,BMW X1,Mumbai,2026-08-22,Battery,Medium
1296,BMW X7,Delhi,2026-08-19,AC,Low
1297,BMW iX,Chennai,2026-03-27,Charging,Medium
1298,BMW i5,Kolkata,2026-08-11,Brake,Medium
1299,BMW X7,Bengaluru,2026-01-08,Engine,Low
1300,BMW i4,Mumbai,2026-01-05,Suspension,Low
1301,BMW 3 Series,Delhi,2026-07-17,Engine,Medium
1302,BMW X7,Chennai,2026-05-16,Charging,Low
1303,BMW i7,Ahmedabad,2026-01-23,Transmission,High
1304,BMW i5,Chennai,2026-07-24,Brake,Medium
1305,BMW i4,Hyderabad,2026-03-02,Engine,Low
1306,BMW X5,Hyderabad,2026-01-17,Transmission,Low
1307,BMW X1,Ahmedabad,2026-07-03,Transmission,Low
1308,BMW 3 Series,Ahmedabad,2026-01-17,Steering,Medium
1309,BMW i7,Pune,2026-02-17,Steering,Low
1310,BMW 7 Series,Kolkata,2026-02-19,Charging,Low
1311,BMW X7,Delhi,2026-05-24,Infotainment,Medium
1312,BMW X3,Ahmedabad,2026-03-18,Electrical,Medium
1313,BMW X7,Hyderabad,2026-04-22,Battery,High
1314,BMW i5,Bengaluru,2026-04-02,Steering,Low
1315,BMW X7,Bengaluru,2026-04-14,Charging,High
1316,BMW i7,Ahmedabad,2026-06-11,Charging,Medium
1317,BMW X7,Hyderabad,2026-05-02,Steering,Medium
1318,BMW iX,Pune,2026-02-27,Transmission,Low
1319,BMW X1,Mumbai,2026-06-19,Infotainment,Medium
1320,BMW i5,Mumbai,2026-08-08,Steering,Low
1321,BMW i4,Kolkata,2026-01-06,Steering,High
1322,BMW X5,Mumbai,2026-04-20,Suspension,Medium
1323,BMW iX,Mumbai,2026-07-12,Brake,High
1324,BMW X7,Chennai,2026-07-23,Electrical,High
1325,BMW iX,Chennai,2026-02-24,Battery,Medium
1326,BMW 3 Series,Delhi,2026-05-17,AC,Medium
1327,BMW X7,Delhi,2026-07-06,Electrical,High
1328,BMW X3,Kolkata,2026-07-12,Brake,High
1329,BMW X1,Delhi,2026-07-15,AC,High
1330,BMW X1,Mumbai,2026-05-20,AC,Medium
1331,BMW X1,Pune,2026-01-16,Transmission,Low
1332,BMW i7,Pune,2026-01-10,Transmission,Medium
1333,BMW i7,Kolkata,2026-04-09,Suspension,High
1334,BMW X3,Bengaluru,2026-01-02,Battery,Medium
1335,BMW i7,Pune,2026-01-27,Steering,Medium
1336,BMW i7,Pune,2026-01-06,Infotainment,Low
1337,BMW i5,Bengaluru,2026-01-16,Transmission,Low
1338,BMW iX,Mumbai,2026-06-23,Suspension,Medium
1339,BMW X3,Ahmedabad,2026-01-20,Brake,Low
1340,BMW 5 Series,Pune,2026-06-14,Engine,Low
1341,BMW 3 Series,Mumbai,2026-02-08,Infotainment,Low
1342,BMW 3 Series,Hyderabad,2026-04-28,Infotainment,Medium
1343,BMW X5,Ahmedabad,2026-01-28,Infotainment,Low
1344,BMW iX,Bengaluru,2026-03-01,Suspension,High
1345,BMW X1,Delhi,2026-08-03,Transmission,Low
1346,BMW X1,Ahmedabad,2026-03-05,Infotainment,Medium
1347,BMW 5 Series,Bengaluru,2026-05-19,Infotainment,High
1348,BMW X1,Kolkata,2026-03-09,Infotainment,Medium
1349,BMW iX,Delhi,2026-05-22,AC,Medium
1350,BMW 5 Series,Bengaluru,2026-01-21,Brake,Low
1351,BMW i4,Bengaluru,2026-04-15,Steering,Low
1352,BMW 5 Series,Pune,2026-06-16,Transmission,Low
1353,BMW 3 Series,Bengaluru,2026-02-14,Suspension,Medium
1354,BMW i7,Chennai,2026-04-03,Steering,High
1355,BMW i5,Pune,2026-01-11,Battery,High
1356,BMW X5,Bengaluru,2026-01-16,AC,Low
1357,BMW X3,Mumbai,2026-06-25,Charging,Medium
1358,BMW iX,Pune,2026-03-27,Cooling,Low
1359,BMW i4,Chennai,2026-06-22,Steering,Low
1360,BMW X1,Mumbai,2026-08-26,Engine,Low
1361,BMW X5,Pune,2026-01-26,Engine,Low
1362,BMW i4,Hyderabad,2026-03-20,Engine,Medium
1363,BMW i7,Mumbai,2026-08-12,Infotainment,High
1364,BMW 7 Series,Kolkata,2026-04-04,Cooling,High
1365,BMW 7 Series,Hyderabad,2026-04-08,Battery,Low
1366,BMW X3,Chennai,2026-01-24,Cooling,Medium
1367,BMW X1,Chennai,2026-06-07,Transmission,Low
1368,BMW X1,Delhi,2026-03-06,Cooling,Medium
1369,BMW X1,Mumbai,2026-06-06,Engine,Low
1370,BMW i7,Pune,2026-01-11,Cooling,Low
1371,BMW X3,Kolkata,2026-04-04,AC,Medium
1372,BMW i7,Kolkata,2026-01-24,Brake,Medium
1373,BMW i4,Mumbai,2026-07-11,Cooling,Low
1374,BMW i5,Hyderabad,2026-05-24,Suspension,Low
1375,BMW i4,Mumbai,2026-03-12,Charging,Medium
1376,BMW X1,Kolkata,2026-04-01,Engine,High
1377,BMW X1,Hyderabad,2026-07-08,Cooling,Medium
1378,BMW iX,Bengaluru,2026-06-05,Cooling,Medium
1379,BMW X5,Bengaluru,2026-03-16,Engine,Low
1380,BMW X1,Ahmedabad,2026-02-19,Brake,Medium
1381,BMW i5,Hyderabad,2026-07-14,Engine,Low
1382,BMW X1,Kolkata,2026-01-18,Engine,Medium
1383,BMW X7,Pune,2026-08-23,Battery,Medium
1384,BMW 5 Series,Ahmedabad,2026-01-12,Suspension,Low
1385,BMW iX,Kolkata,2026-03-07,Transmission,High
1386,BMW iX,Ahmedabad,2026-08-13,Steering,Medium
1387,BMW 7 Series,Delhi,2026-04-24,Brake,High
1388,BMW i5,Pune,2026-01-18,Cooling,Medium
1389,BMW X7,Mumbai,2026-03-04,Cooling,Medium
1390,BMW i5,Bengaluru,2026-06-21,Brake,Low
1391,BMW 7 Series,Hyderabad,2026-04-05,Charging,High
1392,BMW i5,Bengaluru,2026-07-09,Cooling,High
1393,BMW i5,Pune,2026-08-06,Engine,High
1394,BMW 3 Series,Bengaluru,2026-07-06,Infotainment,Medium
1395,BMW 5 Series,Delhi,2026-04-03,Engine,Medium
1396,BMW i7,Ahmedabad,2026-08-14,Battery,Low
1397,BMW 5 Series,Chennai,2026-02-01,Suspension,Medium
1398,BMW X3,Hyderabad,2026-07-16,Transmission,Low
1399,BMW 7 Series,Pune,2026-03-19,AC,Medium
1400,BMW 5 Series,Ahmedabad,2026-03-05,Cooling,Medium
1401,BMW iX,Hyderabad,2026-02-17,Cooling,High
1402,BMW X5,Ahmedabad,2026-06-10,Steering,Medium
1403,BMW i7,Pune,2026-03-18,Cooling,Low
1404,BMW i4,Chennai,2026-07-14,Electrical,Medium
1405,BMW i7,Hyderabad,2026-03-18,Transmission,Low
1406,BMW i5,Chennai,2026-07-27,Suspension,High
1407,BMW 7 Series,Mumbai,2026-01-18,Charging,High
1408,BMW i4,Chennai,2026-07-02,Charging,High
1409,BMW i4,Mumbai,2026-03-07,Electrical,High
1410,BMW i7,Delhi,2026-08-06,Engine,High
1411,BMW X3,Kolkata,2026-03-19,Cooling,Low
1412,BMW i7,Ahmedabad,2026-01-10,Brake,Medium
1413,BMW 7 Series,Ahmedabad,2026-08-03,Steering,Low
1414,BMW i7,Bengaluru,2026-07-21,Engine,Low
1415,BMW X7,Hyderabad,2026-06-22,Infotainment,Medium
1416,BMW 7 Series,Chennai,2026-06-09,Transmission,Medium
1417,BMW X7,Mumbai,2026-04-10,Brake,High
1418,BMW X1,Delhi,2026-04-22,Suspension,High
1419,BMW iX,Hyderabad,2026-03-20,Cooling,High
1420,BMW i7,Hyderabad,2026-03-01,Suspension,Medium
1421,BMW iX,Mumbai,2026-04-04,Steering,High
1422,BMW i7,Delhi,2026-02-03,Charging,High
1423,BMW i5,Hyderabad,2026-06-02,Steering,High
1424,BMW X5,Chennai,2026-02-23,Electrical,High
1425,BMW iX,Bengaluru,2026-03-12,Infotainment,High
1426,BMW X5,Delhi,2026-04-18,Transmission,Low
1427,BMW X1,Hyderabad,2026-01-18,Infotainment,High
1428,BMW 5 Series,Pune,2026-01-25,Cooling,Low
1429,BMW iX,Kolkata,2026-04-24,Infotainment,Medium
1430,BMW X7,Chennai,2026-04-26,Engine,Low
1431,BMW 7 Series,Kolkata,2026-01-27,Cooling,High
1432,BMW 7 Series,Delhi,2026-02-12,Suspension,Medium
1433,BMW 7 Series,Mumbai,2026-08-14,Infotainment,Low
1434,BMW 5 Series,Chennai,2026-04-13,Engine,Low
1435,BMW X3,Mumbai,2026-05-23,Engine,Medium
1436,BMW X3,Mumbai,2026-02-06,Cooling,Low
1437,BMW X5,Hyderabad,2026-06-17,Steering,Low
1438,BMW i7,Ahmedabad,2026-06-14,Battery,High
1439,BMW X1,Chennai,2026-08-25,Steering,Medium
1440,BMW 5 Series,Delhi,2026-08-10,Steering,High
1441,BMW X5,Pune,2026-02-08,AC,Low
1442,BMW 7 Series,Bengaluru,2026-01-27,Transmission,High
1443,BMW 3 Series,Ahmedabad,2026-01-24,Cooling,High
1444,BMW 3 Series,Chennai,2026-04-13,Infotainment,Medium
1445,BMW 3 Series,Delhi,2026-03-02,Cooling,High
1446,BMW iX,Chennai,2026-06-06,Electrical,Low
1447,BMW 7 Series,Delhi,2026-08-07,Battery,Medium
1448,BMW i7,Bengaluru,2026-07-23,Charging,Low
1449,BMW X5,Hyderabad,2026-07-17,Steering,Low
1450,BMW 5 Series,Kolkata,2026-05-13,Cooling,High
1451,BMW 3 Series,Bengaluru,2026-07-14,Transmission,High
1452,BMW iX,Kolkata,2026-08-26,Steering,Low
1453,BMW X1,Delhi,2026-01-26,Cooling,Low
1454,BMW X1,Ahmedabad,2026-05-09,Electrical,Low
1455,BMW X1,Mumbai,2026-07-04,Steering,High
1456,BMW 5 Series,Ahmedabad,2026-07-28,Steering,High
1457,BMW iX,Kolkata,2026-02-17,Engine,Low
1458,BMW 3 Series,Mumbai,2026-07-28,Electrical,Low
1459,BMW X1,Kolkata,2026-08-14,Engine,Low
1460,BMW i5,Hyderabad,2026-06-05,Cooling,Low
1461,BMW iX,Chennai,2026-02-03,Transmission,High
