vehicle_id,model,city,sale_date,sales_amount,quantity
1085,BMW X3,Pune,2026-02-03,13960000,2
1086,BMW iX,Mumbai,2026-03-06,12120000,1
1087,BMW X3,Hyderabad,2026-08-07,7060000,1
1088,BMW 7 Series,Chennai,2026-02-13,18180000,1
1089,BMW X3,Bengaluru,2026-04-12,7340000,1
1090,BMW X5,Bengaluru,2026-02-20,9800000,1
1091,BMW 7 Series,Hyderabad,2026-01-10,17100000,1
1092,BMW 3 Series,Kolkata,2026-08-07,6340000,1
1093,BMW i5,Ahmedabad,2026-03-19,9980000,1
1094,BMW i5,Ahmedabad,2026-03-27,10600000,1
1095,BMW 7 Series,Pune,2026-08-17,18900000,1
1096,BMW 7 Series,Chennai,2026-06-14,18540000,1
1097,BMW X3,Delhi,2026-01-18,6840000,1
1098,BMW X5,Mumbai,2026-01-24,10000000,1
1099,BMW 5 Series,Mumbai,2026-01-21,8530000,1
1100,BMW 3 Series,Bengaluru,2026-01-27,6220000,1
1101,BMW X3,Bengaluru,2026-06-17,7560000,1
1102,BMW i4,Delhi,2026-01-25,23040000,3
1103,BMW 3 Series,Pune,2026-03-14,6280000,1
1104,BMW 3 Series,Pune,2026-06-20,6100000,1
1105,BMW 7 Series,Ahmedabad,2026-04-12,17820000,1
1106,BMW 3 Series,Delhi,2026-05-04,17580000,3
1107,BMW X3,Pune,2026-08-17,7200000,1
1108,BMW X7,Ahmedabad,2026-03-16,14180000,1
1109,BMW 3 Series,Hyderabad,2026-07-26,6040000,1
1110,BMW 3 Series,Chennai,2026-08-28,6160000,1
1111,BMW i4,Mumbai,2026-08-19,7300000,1
1112,BMW X1,Kolkata,2026-06-09,5150000,1
1113,BMW X5,Bengaluru,2026-02-25,9510000,1
1114,BMW i7,Delhi,2026-01-28,21000000,1
1115,BMW X3,Chennai,2026-01-02,7270000,1
1116,BMW i7,Bengaluru,2026-01-22,20160000,1
1117,BMW X5,Pune,2026-01-18,9310000,1
1118,BMW 7 Series,Hyderabad,2026-01-22,17100000,1
1119,BMW iX,Pune,2026-04-07,12880000,1
1120,BMW i5,Kolkata,2026-05-11,10820000,1
1121,BMW i7,Bengaluru,2026-01-15,21420000,1
1122,BMW 7 Series,Pune,2026-05-28,36360000,2
1123,BMW i4,Kolkata,2026-06-16,7980000,1
1124,BMW X3,Hyderabad,2026-03-10,7340000,1
1125,BMW X7,Hyderabad,2026-06-15,27540000,2
1126,BMW X1,Kolkata,2026-03-17,5250000,1
1127,BMW i5,Kolkata,2026-01-24,10180000,1
1128,BMW 7 Series,Pune,2026-06-22,18180000,1
1129,BMW i5,Delhi,2026-03-13,10080000,1
1130,BMW i7,Bengaluru,2026-04-08,61740000,3
1131,BMW X5,Mumbai,2026-05-25,9310000,1
1132,BMW i5,Ahmedabad,2026-03-08,10600000,1
1133,BMW i5,Mumbai,2026-07-04,30870000,3
1134,BMW 3 Series,Pune,2026-04-11,6040000,1
1135,BMW 7 Series,Kolkata,2026-05-21,18360000,1
1136,BMW i4,Ahmedabad,2026-02-21,7830000,1
1137,BMW 7 Series,Ahmedabad,2026-02-10,17460000,1
1138,BMW 7 Series,Ahmedabad,2026-03-18,18000000,1
1139,BMW X3,Bengaluru,2026-02-03,6910000,1
1140,BMW X5,Delhi,2026-04-03,9510000,1
1141,BMW X7,Bengaluru,2026-02-25,13900000,1
1142,BMW X5,Pune,2026-07-02,9900000,1
1143,BMW 3 Series,Kolkata,2026-08-22,17760000,3
1144,BMW 7 Series,Pune,2026-01-16,17460000,1
1145,BMW 5 Series,Hyderabad,2026-06-08,8120000,1
1146,BMW X5,Hyderabad,2026-02-12,9410000,1
1147,BMW X1,Kolkata,2026-07-05,5200000,1
1148,BMW 3 Series,Ahmedabad,2026-02-24,5800000,1
1149,BMW X7,Chennai,2026-03-19,13360000,1
1150,BMW i7,Ahmedabad,2026-05-25,19950000,1
1151,BMW X7,Hyderabad,2026-05-15,12960000,1
1152,BMW X5,Pune,2026-05-14,9510000,1
1153,BMW X3,Chennai,2026-01-06,22260000,3
1154,BMW i5,Chennai,2026-08-02,10400000,1
1155,BMW 5 Series,Kolkata,2026-08-15,8040000,1
1156,BMW X7,Ahmedabad,2026-04-26,12820000,1
1157,BMW X3,Bengaluru,2026-04-05,7490000,1
1158,BMW iX,Hyderabad,2026-05-14,13120000,1
1159,BMW i7,Bengaluru,2026-08-09,43260000,2
1160,BMW 7 Series,Kolkata,2026-07-12,18360000,1
1161,BMW X3,Kolkata,2026-03-10,6840000,1
1162,BMW X7,Pune,2026-07-16,14040000,1
1163,BMW 3 Series,Delhi,2026-03-11,6100000,1
1164,BMW X1,Ahmedabad,2026-04-15,5460000,1
1165,BMW i7,Kolkata,2026-04-06,20370000,1
1166,BMW X7,Ahmedabad,2026-07-21,40920000,3
1167,BMW 7 Series,Bengaluru,2026-04-02,17280000,1
1168,BMW i5,Chennai,2026-08-06,10400000,1
1169,BMW i4,Delhi,2026-03-14,7900000,1
1170,BMW X7,Delhi,2026-04-17,13500000,1
1171,BMW 3 Series,Bengaluru,2026-08-10,5860000,1
1172,BMW iX,Pune,2026-07-21,13120000,1
1173,BMW 3 Series,Bengaluru,2026-03-04,6100000,1
1174,BMW 3 Series,Delhi,2026-08-06,6280000,1
1175,BMW 3 Series,Kolkata,2026-07-11,6100000,1
1176,BMW X1,Chennai,2026-08-16,4940000,1
1177,BMW 5 Series,Bengaluru,2026-05-20,7790000,1
1178,BMW X1,Delhi,2026-02-28,14820000,3
1179,BMW i7,Hyderabad,2026-05-25,61740000,3
1180,BMW X7,Chennai,2026-08-08,12820000,1
1181,BMW iX,Pune,2026-01-02,12750000,1
1182,BMW 3 Series,Mumbai,2026-07-04,5920000,1
1183,BMW X7,Delhi,2026-02-09,12960000,1
1184,BMW i7,Chennai,2026-02-21,20370000,1
1185,BMW i5,Kolkata,2026-03-22,10080000,1
1186,BMW i5,Delhi,2026-06-03,11020000,1
1187,BMW X1,Pune,2026-02-17,5250000,1
1188,BMW iX,Delhi,2026-04-19,11880000,1
1189,BMW iX,Bengaluru,2026-01-19,12000000,1
1190,BMW 3 Series,Hyderabad,2026-03-09,11840000,2
1191,BMW 5 Series,Mumbai,2026-07-23,8360000,1
1192,BMW i7,Delhi,2026-08-27,42420000,2
1193,BMW X3,Kolkata,2026-06-05,14680000,2
1194,BMW X1,Delhi,2026-03-28,5100000,1
1195,BMW i4,Hyderabad,2026-03-07,7600000,1
1196,BMW 3 Series,Hyderabad,2026-05-13,5800000,1
1197,BMW X7,Bengaluru,2026-02-04,13100000,1
1198,BMW i5,Delhi,2026-04-07,10180000,1
1199,BMW i5,Ahmedabad,2026-05-16,20580000,2
1200,BMW 5 Series,Chennai,2026-05-18,7950000,1
1201,BMW iX,Mumbai,2026-08-05,12120000,1
1202,BMW X1,Hyderabad,2026-08-26,5200000,1
1203,BMW X7,Bengaluru,2026-04-24,26460000,2
1204,BMW i5,Bengaluru,2026-03-11,10290000,1
1205,BMW 5 Series,Kolkata,2026-07-12,8450000,1
1206,BMW 7 Series,Delhi,2026-03-17,18540000,1
1207,BMW 3 Series,Hyderabad,2026-06-21,5980000,1
1208,BMW i7,Ahmedabad,2026-08-20,19950000,1
1209,BMW 7 Series,Ahmedabad,2026-02-22,17820000,1
1210,BMW X3,Bengaluru,2026-03-18,22260000,3
1211,BMW 5 Series,Bengaluru,2026-03-24,15580000,2
1212,BMW X1,Delhi,2026-01-03,5300000,1
1213,BMW 5 Series,Mumbai,2026-07-02,24600000,3
1214,BMW X3,Pune,2026-01-02,7130000,1
1215,BMW iX,Kolkata,2026-08-18,12120000,1
1216,BMW i4,Kolkata,2026-05-03,7680000,1
1217,BMW i5,Ahmedabad,2026-04-25,10400000,1
1218,BMW X3,Hyderabad,2026-08-15,7200000,1
1219,BMW 3 Series,Pune,2026-04-24,5860000,1
1220,BMW X7,Pune,2026-08-28,14180000,1
1221,BMW iX,Bengaluru,2026-01-06,12120000,1
1222,BMW i4,Hyderabad,2026-03-12,7980000,1
1223,BMW 3 Series,Pune,2026-08-20,6220000,1
1224,BMW i7,Mumbai,2026-05-28,20370000,1
1225,BMW 7 Series,Hyderabad,2026-07-14,18000000,1
1226,BMW 5 Series,Mumbai,2026-06-19,8450000,1
1227,BMW 5 Series,Mumbai,2026-03-15,8200000,1
1228,BMW iX,Kolkata,2026-03-02,12500000,1
1229,BMW 5 Series,Chennai,2026-01-24,7790000,1
1230,BMW 5 Series,Chennai,2026-05-05,7870000,1
1231,BMW i4,Kolkata,2026-08-26,7980000,1
1232,BMW X3,Bengaluru,2026-01-07,7340000,1
1233,BMW i5,Kolkata,2026-07-12,10180000,1
1234,BMW 5 Series,Ahmedabad,2026-01-04,8360000,1
1235,BMW X7,Mumbai,2026-02-26,13100000,1
1236,BMW 7 Series,Kolkata,2026-08-26,17640000,1
1237,BMW X1,Hyderabad,2026-04-09,5460000,1
1238,BMW 7 Series,Bengaluru,2026-08-23,18000000,1
1239,BMW 7 Series,Ahmedabad,2026-04-25,18900000,1
1240,BMW i7,Hyderabad,2026-04-07,22050000,1
1241,BMW X7,Pune,2026-08-12,13770000,1
1242,BMW X1,Pune,2026-05-18,4940000,1
1243,BMW X1,Kolkata,2026-06-25,5250000,1
1244,BMW 7 Series,Mumbai,2026-05-02,17460000,1
1245,BMW 3 Series,Ahmedabad,2026-02-16,5980000,1
1246,BMW iX,Mumbai,2026-02-25,36360000,3
1247,BMW X1,Mumbai,2026-04-24,5250000,1
1248,BMW i7,Delhi,2026-04-14,20160000,1
1249,BMW 3 Series,Pune,2026-07-02,17400000,3
1250,BMW 3 Series,Hyderabad,2026-06-04,5980000,1
1251,BMW i7,Ahmedabad,2026-01-09,42000000,2
1252,BMW X3,Bengaluru,2026-03-27,7130000,1
1253,BMW X7,Ahmedabad,2026-03-11,13770000,1
1254,BMW 7 Series,Delhi,2026-01-07,51840000,3
1255,BMW X1,Pune,2026-05-28,15450000,3
1256,BMW iX,Kolkata,2026-03-22,11880000,1
1257,BMW 7 Series,Chennai,2026-05-13,18540000,1
1258,BMW i4,Kolkata,2026-03-03,7980000,1
1259,BMW X3,Hyderabad,2026-01-03,7060000,1
1260,BMW X5,Delhi,2026-03-16,9700000,1
1261,BMW 3 Series,Bengaluru,2026-01-23,5920000,1
1262,BMW i4,Ahmedabad,2026-07-04,7300000,1
1263,BMW i7,Bengaluru,2026-03-26,22050000,1
1264,BMW X3,Ahmedabad,2026-02-24,7270000,1
1265,BMW i7,Delhi,2026-08-17,20580000,1
1266,BMW 7 Series,Delhi,2026-02-03,17640000,1
1267,BMW iX,Mumbai,2026-01-13,12380000,1
1268,BMW i4,Hyderabad,2026-06-19,21660000,3
1269,BMW X7,Kolkata,2026-03-17,13100000,1
1270,BMW 5 Series,Ahmedabad,2026-08-14,7870000,1
1271,BMW X5,Pune,2026-01-08,9900000,1
1272,BMW i7,Chennai,2026-06-22,21630000,1
1273,BMW i7,Hyderabad,2026-04-03,21420000,1
1274,BMW X5,Bengaluru,2026-01-11,9310000,1
1275,BMW X7,Bengaluru,2026-01-18,13640000,1
1276,BMW X5,Ahmedabad,2026-07-14,27930000,3
1277,BMW 7 Series,Pune,2026-03-15,17460000,1
1278,BMW iX,Mumbai,2026-03-15,12000000,1
1279,BMW X5,Mumbai,2026-06-22,10000000,1
1280,BMW 5 Series,Hyderabad,2026-02-04,8450000,1
1281,BMW X3,Delhi,2026-07-01,7130000,1
1282,BMW X1,Mumbai,2026-06-08,15600000,3
1283,BMW i4,Mumbai,2026-02-15,7980000,1
1284,BMW X5,Hyderabad,2026-01-01,30570000,3
1285,BMW X1,Hyderabad,2026-06-17,9980000,2
1286,BMW iX,Pune,2026-04-25,38250000,3
1287,BMW i4,Kolkata,2026-07-20,7830000,1
1288,BMW i7,Delhi,2026-04-04,19950000,1
1289,BMW X1,Ahmedabad,2026-08-20,5360000,1
1290,BMW i4,Kolkata,2026-05-16,7370000,1
1291,BMW i4,Kolkata,2026-08-11,7600000,1
1292,BMW X1,Delhi,2026-04-23,5300000,1
1293,BMW 7 Series,Pune,2026-02-12,18360000,1
1294,BMW X3,Ahmedabad,2026-07-05,7200000,1
1295,BMW i5,Mumbai,2026-06-04,10400000,1
1296,BMW X7,Chennai,2026-06-08,13770000,1
1297,BMW X3,Kolkata,2026-04-28,7060000,1
1298,BMW i5,Delhi,2026-01-13,21640000,2
1299,BMW 5 Series,Hyderabad,2026-06-14,7950000,1
1300,BMW i7,Mumbai,2026-04-28,21840000,1
1301,BMW X5,Bengaluru,2026-03-25,10000000,1
1302,BMW X1,Kolkata,2026-03-28,5100000,1
1303,BMW i5,Ahmedabad,2026-04-17,10820000,1
1304,BMW X3,Kolkata,2026-01-04,7200000,1
1305,BMW i7,Kolkata,2026-01-14,40740000,2
1306,BMW 7 Series,Bengaluru,2026-04-23,35280000,2
1307,BMW X7,Bengaluru,2026-04-13,13900000,1
1308,BMW 5 Series,Chennai,2026-07-26,23370000,3
1309,BMW 7 Series,Kolkata,2026-01-09,17820000,1
1310,BMW 7 Series,Delhi,2026-04-21,18900000,1
1311,BMW 3 Series,Kolkata,2026-04-05,6160000,1
1312,BMW i7,Chennai,2026-03-05,20790000,1
1313,BMW X3,Ahmedabad,2026-01-21,7200000,1
1314,BMW 7 Series,Ahmedabad,2026-04-08,17280000,1
1315,BMW X5,Bengaluru,2026-03-15,10190000,1
1316,BMW 3 Series,Kolkata,2026-05-01,5860000,1
1317,BMW 7 Series,Kolkata,2026-08-26,18720000,1
1318,BMW i7,Mumbai,2026-05-26,21420000,1
1319,BMW 3 Series,Ahmedabad,2026-04-17,5980000,1
1320,BMW X7,Mumbai,2026-03-08,26460000,2
1321,BMW X1,Delhi,2026-07-07,4990000,1
1322,BMW X1,Delhi,2026-03-08,5100000,1
1323,BMW X1,Mumbai,2026-07-12,5150000,1
1324,BMW X1,Bengaluru,2026-02-23,15450000,3
1325,BMW 5 Series,Kolkata,2026-03-21,7950000,1
1326,BMW i5,Mumbai,2026-01-09,10080000,1
1327,BMW i7,Kolkata,2026-01-23,20370000,1
1328,BMW 3 Series,Chennai,2026-04-10,5920000,1
1329,BMW X1,Pune,2026-02-04,10080000,2
1330,BMW X7,Delhi,2026-03-26,13230000,1
1331,BMW 5 Series,Mumbai,2026-05-03,8610000,1
1332,BMW 5 Series,Mumbai,2026-04-18,8450000,1
1333,BMW 3 Series,Kolkata,2026-04-18,5860000,1
1334,BMW iX,Delhi,2026-06-05,39000000,3
1335,BMW i5,Mumbai,2026-04-21,11020000,1
1336,BMW i7,Mumbai,2026-07-14,21420000,1
1337,BMW X7,Mumbai,2026-04-09,40920000,3
1338,BMW X7,Mumbai,2026-03-05,14040000,1
1339,BMW i7,Pune,2026-07-09,41160000,2
1340,BMW 3 Series,Kolkata,2026-05-02,6160000,1
1341,BMW X3,Bengaluru,2026-01-10,7060000,1
1342,BMW i5,Hyderabad,2026-08-25,10500000,1
1343,BMW X7,Pune,2026-04-01,40500000,3
1344,BMW 3 Series,Pune,2026-01-10,6220000,1
1345,BMW X3,Pune,2026-08-27,7270000,1
1346,BMW i4,Chennai,2026-01-05,7300000,1
1347,BMW i7,Bengaluru,2026-07-11,21210000,1
1348,BMW iX,Chennai,2026-05-07,37140000,3
1349,BMW i5,Hyderabad,2026-03-27,10500000,1
1350,BMW 7 Series,Ahmedabad,2026-08-09,17640000,1
1351,BMW iX,Bengaluru,2026-08-26,12750000,1
1352,BMW 5 Series,Chennai,2026-01-01,7870000,1
1353,BMW i4,Delhi,2026-05-09,7680000,1
1354,BMW X7,Delhi,2026-01-25,13360000,1
1355,BMW 7 Series,Chennai,2026-06-18,56700000,3
1356,BMW iX,Pune,2026-08-01,23760000,2
1357,BMW X7,Kolkata,2026-07-13,13770000,1
1358,BMW 3 Series,Delhi,2026-04-01,6340000,1
1359,BMW X5,Pune,2026-06-16,9600000,1
1360,BMW 3 Series,Ahmedabad,2026-03-03,6400000,1
1361,BMW X5,Bengaluru,2026-08-24,9800000,1
1362,BMW X7,Pune,2026-05-04,13100000,1
1363,BMW X5,Pune,2026-02-23,10090000,1
1364,BMW X3,Pune,2026-04-13,7560000,1
1365,BMW i7,Mumbai,2026-06-27,20160000,1
1366,BMW 5 Series,Chennai,2026-03-27,24840000,3
1367,BMW 5 Series,Mumbai,2026-04-10,7870000,1
1368,BMW X7,Pune,2026-01-03,13900000,1
1369,BMW i5,Ahmedabad,2026-02-03,11020000,1
1370,BMW i4,Ahmedabad,2026-07-22,7450000,1
1371,BMW 7 Series,Pune,2026-06-09,18900000,1
1372,BMW X1,Ahmedabad,2026-05-03,10720000,2
1373,BMW X5,Ahmedabad,2026-02-27,9700000,1
1374,BMW X3,Ahmedabad,2026-02-20,6980000,1
1375,BMW 5 Series,Bengaluru,2026-05-12,7870000,1
1376,BMW i7,Hyderabad,2026-06-15,22050000,1
1377,BMW i7,Mumbai,2026-03-23,66150000,3
1378,BMW i5,Ahmedabad,2026-08-20,10500000,1
1379,BMW X1,Ahmedabad,2026-01-14,10720000,2
1380,BMW X1,Hyderabad,2026-02-19,5200000,1
1381,BMW i7,Hyderabad,2026-06-04,21000000,1
1382,BMW 5 Series,Kolkata,2026-01-01,8040000,1
1383,BMW X5,Chennai,2026-06-21,9900000,1
1384,BMW i4,Delhi,2026-04-06,7830000,1
1385,BMW i7,Mumbai,2026-08-28,21210000,1
1386,BMW i5,Bengaluru,2026-06-09,10710000,1
1387,BMW i5,Pune,2026-01-08,10710000,1
1388,BMW i4,Bengaluru,2026-06-09,7750000,1
1389,BMW 7 Series,Ahmedabad,2026-01-15,17460000,1
1390,BMW X1,Ahmedabad,2026-03-06,5360000,1
1391,BMW 3 Series,Hyderabad,2026-02-23,5860000,1
1392,BMW X3,Ahmedabad,2026-04-18,21390000,3
1393,BMW 5 Series,Hyderabad,2026-03-08,8280000,1
1394,BMW iX,Mumbai,2026-07-06,12000000,1
1395,BMW 3 Series,Delhi,2026-07-03,11720000,2
1396,BMW i5,Mumbai,2026-03-20,10080000,1
1397,BMW X7,Bengaluru,2026-01-14,13360000,1
1398,BMW iX,Chennai,2026-01-16,12000000,1
1399,BMW i4,Kolkata,2026-05-09,7680000,1
1400,BMW X5,Pune,2026-03-27,10000000,1
1401,BMW iX,Delhi,2026-04-25,12250000,1
1402,BMW i4,Delhi,2026-02-13,7900000,1
1403,BMW i4,Mumbai,2026-02-26,7900000,1
1404,BMW X3,Mumbai,2026-08-16,7060000,1
1405,BMW i5,Mumbai,2026-01-07,10920000,1
1406,BMW X1,Ahmedabad,2026-02-21,10080000,2
1407,BMW iX,Ahmedabad,2026-04-07,12620000,1
1408,BMW i5,Bengaluru,2026-07-23,10710000,1
1409,BMW 5 Series,Bengaluru,2026-06-04,8200000,1
1410,BMW X1,Delhi,2026-03-04,5410000,1
1411,BMW 5 Series,Chennai,2026-05-05,8530000,1
1412,BMW 7 Series,Pune,2026-06-02,37800000,2
1413,BMW X7,Chennai,2026-08-17,13500000,1
1414,BMW iX,Ahmedabad,2026-02-27,13000000,1
1415,BMW iX,Bengaluru,2026-04-20,13000000,1
1416,BMW 3 Series,Pune,2026-05-16,6160000,1
1417,BMW X1,Mumbai,2026-02-05,4990000,1
1418,BMW i7,Ahmedabad,2026-02-05,20160000,1
1419,BMW i7,Hyderabad,2026-04-19,21420000,1
1420,BMW 3 Series,Ahmedabad,2026-01-23,6400000,1
1421,BMW 3 Series,Ahmedabad,2026-06-27,5860000,1
1422,BMW X5,Bengaluru,2026-06-12,9600000,1
1423,BMW X1,Kolkata,2026-01-14,5410000,1
1424,BMW iX,Hyderabad,2026-08-23,12620000,1
1425,BMW 3 Series,Ahmedabad,2026-04-21,5980000,1
1426,BMW 7 Series,Hyderabad,2026-01-06,17280000,1
1427,BMW X5,Mumbai,2026-08-06,9800000,1
1428,BMW 3 Series,Chennai,2026-08-18,5920000,1
1429,BMW 5 Series,Pune,2026-06-06,8280000,1
1430,BMW X5,Hyderabad,2026-06-15,9700000,1
1431,BMW X1,Ahmedabad,2026-07-11,5300000,1
1432,BMW i4,Hyderabad,2026-05-28,7680000,1
1433,BMW 7 Series,Hyderabad,2026-04-16,18900000,1
1434,BMW X5,Hyderabad,2026-04-22,9700000,1
1435,BMW 3 Series,Mumbai,2026-02-19,6220000,1
1436,BMW 5 Series,Ahmedabad,2026-06-01,8450000,1
1437,BMW 7 Series,Bengaluru,2026-02-28,18540000,1
1438,BMW 5 Series,Hyderabad,2026-07-23,7790000,1
1439,BMW 7 Series,Kolkata,2026-05-23,17460000,1
1440,BMW iX,Chennai,2026-01-03,12120000,1
1441,BMW i4,Kolkata,2026-07-15,7830000,1
1442,BMW i7,Bengaluru,2026-02-04,20160000,1
1443,BMW 5 Series,Bengaluru,2026-06-19,8200000,1
1444,BMW X1,Kolkata,2026-05-23,9980000,2
1445,BMW 5 Series,Chennai,2026-05-17,7790000,1
1446,BMW iX,Bengaluru,2026-05-19,12000000,1
1447,BMW X5,Mumbai,2026-04-28,9510000,1
1448,BMW i4,Pune,2026-02-20,7830000,1
1449,BMW 7 Series,Mumbai,2026-03-08,18360000,1
1450,BMW 3 Series,Kolkata,2026-06-18,6280000,1
1451,BMW iX,Delhi,2026-06-04,36750000,3
1452,BMW X7,Kolkata,2026-04-06,12960000,1
1453,BMW X1,Chennai,2026-07-05,5100000,1
1454,BMW 3 Series,Ahmedabad,2026-03-14,18660000,3
1455,BMW i4,Chennai,2026-02-11,7370000,1
1456,BMW i7,Bengaluru,2026-08-27,21840000,1
1457,BMW 5 Series,Mumbai,2026-02-18,8120000,1
1458,BMW i4,Chennai,2026-02-06,7600000,1
1459,BMW X3,Kolkata,2026-05-21,7420000,1
1460,BMW i5,Pune,2026-03-12,9980000,1
1461,BMW 7 Series,Bengaluru,2026-01-05,35640000,2
1462,BMW 7 Series,Delhi,2026-08-28,18360000,1
1463,BMW X3,Pune,2026-06-17,7340000,1
1464,BMW 3 Series,Bengaluru,2026-07-02,17580000,3
1465,BMW i7,Pune,2026-07-06,22050000,1
1466,BMW 7 Series,Pune,2026-07-07,18720000,1
1467,BMW iX,Delhi,2026-02-19,12000000,1
1468,BMW X1,Chennai,2026-04-03,5360000,1
1469,BMW 7 Series,Chennai,2026-05-20,18180000,1
1470,BMW i5,Chennai,2026-08-23,10820000,1
1471,BMW X1,Pune,2026-04-06,5040000,1
1472,BMW 5 Series,Delhi,2026-03-20,8530000,1
1473,BMW X5,Chennai,2026-08-01,9310000,1
1474,BMW X5,Bengaluru,2026-02-11,9900000,1
1475,BMW 5 Series,Kolkata,2026-08-13,7790000,1
1476,BMW 5 Series,Kolkata,2026-08-16,8450000,1
1477,BMW i5,Ahmedabad,2026-06-16,10180000,1
1478,BMW i4,Pune,2026-04-28,7450000,1
1479,BMW i5,Ahmedabad,2026-01-25,10820000,1
1480,BMW i5,Kolkata,2026-01-27,30870000,3
1481,BMW 7 Series,Bengaluru,2026-03-07,17280000,1
