vehicle_id,model,city,battery_date,battery_percentage,battery_status
1079,BMW 7 Series,Delhi,2026-07-15,85,Healthy
1080,BMW i4,Ahmedabad,2026-05-01,55,Warning
1081,BMW i7,Kolkata,2026-05-15,32,Critical
1082,BMW X7,Kolkata,2026-07-01,97,Healthy
1083,BMW 5 Series,Pune,2026-05-01,76,Healthy
1084,BMW X3,Ahmedabad,2026-06-15,58,Healthy
1085,BMW X7,Kolkata,2026-08-01,46,Warning
1086,BMW i7,Bengaluru,2026-08-01,52,Warning
1087,BMW X3,Ahmedabad,2026-06-15,90,Healthy
1088,BMW X7,Kolkata,2026-06-15,51,Warning
1089,BMW X7,Chennai,2026-08-01,95,Healthy
1090,BMW X3,Ahmedabad,2026-08-15,82,Healthy
1091,BMW iX,Mumbai,2026-07-15,56,Healthy
1092,BMW 7 Series,Ahmedabad,2026-05-01,67,Healthy
1093,BMW 5 Series,Chennai,2026-08-15,66,Healthy
1094,BMW X5,Chennai,2026-06-15,62,Healthy
1095,BMW i4,Ahmedabad,2026-07-01,58,Healthy
1096,BMW 7 Series,Mumbai,2026-07-15,50,Warning
1097,BMW X3,Bengaluru,2026-08-01,45,Warning
1098,BMW i7,Kolkata,2026-05-01,29,Critical
1099,BMW 7 Series,Ahmedabad,2026-05-01,56,Healthy
1100,BMW 7 Series,Delhi,2026-05-15,96,Healthy
1101,BMW X7,Mumbai,2026-05-01,80,Healthy
1102,BMW i4,Mumbai,2026-08-15,47,Warning
1103,BMW iX,Hyderabad,2026-05-01,50,Warning
1104,BMW 7 Series,Kolkata,2026-07-01,85,Healthy
1105,BMW X7,Delhi,2026-08-01,97,Healthy
1106,BMW X1,Hyderabad,2026-05-15,98,Healthy
1107,BMW 5 Series,Hyderabad,2026-05-01,72,Healthy
1108,BMW X1,Kolkata,2026-07-01,62,Healthy
1109,BMW i4,Kolkata,2026-06-15,62,Healthy
1110,BMW X3,Mumbai,2026-07-01,97,Healthy
1111,BMW i7,Chennai,2026-05-15,59,Healthy
1112,BMW X3,Hyderabad,2026-05-01,72,Healthy
1113,BMW X7,Kolkata,2026-08-01,69,Healthy
1114,BMW 3 Series,Ahmedabad,2026-07-01,73,Healthy
1115,BMW X3,Pune,2026-05-15,57,Healthy
1116,BMW 7 Series,Kolkata,2026-05-15,91,Healthy
1117,BMW i7,Delhi,2026-08-15,80,Healthy
1118,BMW i4,Hyderabad,2026-05-15,84,Healthy
1119,BMW 5 Series,Hyderabad,2026-06-01,63,Healthy
1120,BMW iX,Pune,2026-05-15,79,Healthy
1121,BMW iX,Delhi,2026-05-01,27,Critical
1122,BMW 5 Series,Bengaluru,2026-08-01,79,Healthy
1123,BMW i7,Delhi,2026-06-01,72,Healthy
1124,BMW X1,Hyderabad,2026-05-01,81,Healthy
1125,BMW i7,Hyderabad,2026-05-01,55,Warning
1126,BMW i5,Ahmedabad,2026-08-15,65,Healthy
1127,BMW 3 Series,Bengaluru,2026-07-15,94,Healthy
1128,BMW X5,Bengaluru,2026-08-15,69,Healthy
1129,BMW i5,Kolkata,2026-07-15,33,Critical
1130,BMW 3 Series,Ahmedabad,2026-05-15,90,Healthy
1131,BMW X7,Bengaluru,2026-07-15,53,Warning
1132,BMW X3,Pune,2026-05-01,46,Warning
1133,BMW X7,Hyderabad,2026-08-01,65,Healthy
1134,BMW i4,Ahmedabad,2026-08-15,65,Healthy
1135,BMW i7,Chennai,2026-05-01,48,Warning
1136,BMW i5,Delhi,2026-06-15,46,Warning
1137,BMW X1,Ahmedabad,2026-08-15,83,Healthy
1138,BMW i5,Ahmedabad,2026-07-01,81,Healthy
1139,BMW 3 Series,Bengaluru,2026-08-01,95,Healthy
1140,BMW X7,Delhi,2026-07-01,75,Healthy
1141,BMW i5,Bengaluru,2026-06-15,28,Critical
1142,BMW i4,Kolkata,2026-06-15,22,Critical
1143,BMW X3,Pune,2026-06-01,60,Healthy
1144,BMW X3,Bengaluru,2026-07-15,72,Healthy
1145,BMW i4,Ahmedabad,2026-08-01,60,Healthy
1146,BMW i5,Hyderabad,2026-07-01,86,Healthy
1147,BMW 3 Series,Kolkata,2026-07-15,91,Healthy
1148,BMW 3 Series,Ahmedabad,2026-08-01,53,Warning
1149,BMW i7,Pune,2026-08-01,84,Healthy
1150,BMW i4,Kolkata,2026-07-01,88,Healthy
1151,BMW X3,Delhi,2026-08-15,74,Healthy
1152,BMW 7 Series,Delhi,2026-05-15,65,Healthy
1153,BMW X3,Mumbai,2026-07-01,65,Healthy
1154,BMW 5 Series,Hyderabad,2026-05-01,84,Healthy
1155,BMW 5 Series,Mumbai,2026-07-01,89,Healthy
1156,BMW X7,Delhi,2026-06-01,63,Healthy
1157,BMW 7 Series,Hyderabad,2026-06-15,86,Healthy
1158,BMW iX,Delhi,2026-07-15,46,Warning
1159,BMW X3,Ahmedabad,2026-08-15,54,Warning
1160,BMW X7,Hyderabad,2026-08-01,68,Healthy
1161,BMW X5,Kolkata,2026-08-15,63,Healthy
1162,BMW iX,Hyderabad,2026-05-15,89,Healthy
1163,BMW X5,Chennai,2026-08-01,48,Warning
1164,BMW i7,Ahmedabad,2026-05-15,67,Healthy
1165,BMW i5,Hyderabad,2026-06-01,68,Healthy
1166,BMW i5,Mumbai,2026-05-15,44,Warning
1167,BMW iX,Delhi,2026-08-15,71,Healthy
1168,BMW 5 Series,Kolkata,2026-08-15,85,Healthy
1169,BMW X3,Ahmedabad,2026-08-01,66,Healthy
1170,BMW 3 Series,Pune,2026-05-01,84,Healthy
1171,BMW 3 Series,Mumbai,2026-07-15,68,Healthy
1172,BMW X5,Pune,2026-05-01,94,Healthy
1173,BMW i5,Chennai,2026-07-01,80,Healthy
1174,BMW 7 Series,Ahmedabad,2026-08-15,88,Healthy
1175,BMW i4,Pune,2026-05-01,49,Warning
1176,BMW 7 Series,Chennai,2026-06-15,67,Healthy
1177,BMW i7,Pune,2026-08-15,27,Critical
1178,BMW X7,Chennai,2026-05-15,75,Healthy
1179,BMW i7,Ahmedabad,2026-07-15,51,Warning
1180,BMW i4,Kolkata,2026-07-01,70,Healthy
1181,BMW 7 Series,Mumbai,2026-06-15,70,Healthy
1182,BMW iX,Chennai,2026-08-01,40,Warning
1183,BMW i5,Hyderabad,2026-08-01,53,Warning
1184,BMW i5,Mumbai,2026-08-01,85,Healthy
1185,BMW i4,Bengaluru,2026-07-01,54,Warning
1186,BMW iX,Delhi,2026-05-01,45,Warning
1187,BMW 3 Series,Hyderabad,2026-08-01,93,Healthy
1188,BMW X7,Delhi,2026-07-01,82,Healthy
1189,BMW 5 Series,Bengaluru,2026-08-15,93,Healthy
1190,BMW 7 Series,Hyderabad,2026-07-01,58,Healthy
1191,BMW iX,Delhi,2026-08-15,72,Healthy
1192,BMW 5 Series,Kolkata,2026-06-15,67,Healthy
1193,BMW i7,Hyderabad,2026-07-15,61,Healthy
1194,BMW X7,Hyderabad,2026-06-01,73,Healthy
1195,BMW 5 Series,Hyderabad,2026-08-01,78,Healthy
1196,BMW X5,Kolkata,2026-05-15,79,Healthy
1197,BMW 3 Series,Kolkata,2026-08-15,78,Healthy
1198,BMW 5 Series,Kolkata,2026-05-15,96,Healthy
1199,BMW i7,Hyderabad,2026-07-15,64,Healthy
1200,BMW X3,Kolkata,2026-06-01,89,Healthy
1201,BMW 7 Series,Kolkata,2026-07-15,98,Healthy
1202,BMW i7,Hyderabad,2026-05-15,68,Healthy
1203,BMW X1,Kolkata,2026-07-01,45,Warning
1204,BMW i4,Mumbai,2026-07-01,37,Warning
1205,BMW X5,Delhi,2026-07-15,72,Healthy
1206,BMW 7 Series,Bengaluru,2026-06-01,65,Healthy
1207,BMW i4,Hyderabad,2026-06-15,50,Warning
1208,BMW X5,Mumbai,2026-08-01,46,Warning
1209,BMW i5,Pune,2026-08-01,27,Critical
1210,BMW X1,Delhi,2026-05-15,56,Healthy
1211,BMW X3,Pune,2026-05-15,59,Healthy
1212,BMW i7,Pune,2026-05-01,57,Healthy
1213,BMW X3,Chennai,2026-05-01,71,Healthy
1214,BMW X5,Kolkata,2026-07-01,51,Warning
1215,BMW X1,Bengaluru,2026-05-01,49,Warning
1216,BMW X7,Kolkata,2026-08-01,70,Healthy
1217,BMW i5,Mumbai,2026-08-15,58,Healthy
1218,BMW 5 Series,Ahmedabad,2026-06-01,73,Healthy
1219,BMW 3 Series,Kolkata,2026-05-15,64,Healthy
1220,BMW iX,Pune,2026-06-01,93,Healthy
1221,BMW i7,Ahmedabad,2026-05-15,42,Warning
1222,BMW X7,Mumbai,2026-08-01,84,Healthy
1223,BMW X3,Chennai,2026-06-01,96,Healthy
1224,BMW X1,Pune,2026-07-01,94,Healthy
1225,BMW 5 Series,Chennai,2026-06-01,64,Healthy
1226,BMW 7 Series,Kolkata,2026-06-15,60,Healthy
1227,BMW 5 Series,Pune,2026-08-15,54,Warning
1228,BMW i7,Ahmedabad,2026-07-01,34,Critical
1229,BMW i5,Ahmedabad,2026-08-01,72,Healthy
1230,BMW i4,Chennai,2026-05-01,51,Warning
1231,BMW X1,Mumbai,2026-07-01,58,Healthy
1232,BMW 7 Series,Chennai,2026-08-01,46,Warning
1233,BMW X7,Delhi,2026-07-15,97,Healthy
1234,BMW i7,Bengaluru,2026-07-15,57,Healthy
1235,BMW X1,Ahmedabad,2026-06-01,93,Healthy
1236,BMW i4,Pune,2026-06-15,27,Critical
1237,BMW X1,Chennai,2026-06-15,79,Healthy
1238,BMW i4,Chennai,2026-06-15,32,Critical
1239,BMW 3 Series,Delhi,2026-08-01,56,Healthy
1240,BMW X1,Chennai,2026-08-15,46,Warning
1241,BMW X5,Delhi,2026-08-01,62,Healthy
1242,BMW i5,Ahmedabad,2026-07-01,79,Healthy
1243,BMW X7,Ahmedabad,2026-07-01,56,Healthy
1244,BMW X5,Kolkata,2026-08-01,47,Warning
1245,BMW 5 Series,Delhi,2026-08-01,87,Healthy
1246,BMW 7 Series,Delhi,2026-05-01,50,Warning
1247,BMW iX,Mumbai,2026-08-15,27,Critical
1248,BMW i7,Bengaluru,2026-07-01,21,Critical
1249,BMW X1,Pune,2026-07-01,92,Healthy
1250,BMW i4,Bengaluru,2026-07-01,23,Critical
1251,BMW X1,Mumbai,2026-06-01,59,Healthy
1252,BMW X1,Hyderabad,2026-06-01,86,Healthy
1253,BMW X3,Ahmedabad,2026-06-01,54,Warning
1254,BMW 5 Series,Bengaluru,2026-08-15,95,Healthy
1255,BMW i7,Pune,2026-06-01,73,Healthy
1256,BMW 3 Series,Mumbai,2026-05-15,58,Healthy
1257,BMW X1,Hyderabad,2026-06-01,78,Healthy
1258,BMW 3 Series,Delhi,2026-08-15,68,Healthy
1259,BMW iX,Kolkata,2026-05-15,38,Warning
1260,BMW i5,Bengaluru,2026-07-01,39,Warning
1261,BMW 3 Series,Kolkata,2026-05-15,60,Healthy
1262,BMW X1,Kolkata,2026-07-15,64,Healthy
1263,BMW i4,Hyderabad,2026-07-15,72,Healthy
1264,BMW X1,Ahmedabad,2026-05-01,59,Healthy
1265,BMW X5,Bengaluru,2026-05-15,66,Healthy
1266,BMW 7 Series,Chennai,2026-07-15,69,Healthy
1267,BMW 5 Series,Hyderabad,2026-07-15,49,Warning
1268,BMW 3 Series,Pune,2026-07-15,71,Healthy
1269,BMW X3,Chennai,2026-06-15,58,Healthy
1270,BMW iX,Bengaluru,2026-08-01,28,Critical
1271,BMW iX,Pune,2026-08-01,43,Warning
1272,BMW X5,Delhi,2026-05-15,49,Warning
1273,BMW X5,Mumbai,2026-08-15,69,Healthy
1274,BMW X7,Mumbai,2026-06-01,97,Healthy
1275,BMW i5,Bengaluru,2026-08-15,36,Warning
1276,BMW X5,Bengaluru,2026-06-01,54,Warning
1277,BMW 3 Series,Delhi,2026-08-01,82,Healthy
1278,BMW 5 Series,Kolkata,2026-07-01,78,Healthy
1279,BMW X3,Ahmedabad,2026-05-01,60,Healthy
1280,BMW i5,Bengaluru,2026-05-01,51,Warning
1281,BMW iX,Delhi,2026-05-01,40,Warning
1282,BMW 3 Series,Delhi,2026-08-01,54,Warning
1283,BMW 7 Series,Chennai,2026-07-01,62,Healthy
1284,BMW i5,Bengaluru,2026-05-15,60,Healthy
1285,BMW X1,Delhi,2026-06-01,70,Healthy
1286,BMW X7,Ahmedabad,2026-05-15,85,Healthy
1287,BMW 5 Series,Ahmedabad,2026-07-15,64,Healthy
1288,BMW X1,Kolkata,2026-05-15,81,Healthy
1289,BMW 3 Series,Kolkata,2026-05-15,88,Healthy
1290,BMW X5,Kolkata,2026-07-01,88,Healthy
1291,BMW X3,Delhi,2026-08-15,87,Healthy
1292,BMW i7,Mumbai,2026-08-01,31,Critical
1293,BMW X1,Chennai,2026-05-15,64,Healthy
1294,BMW X7,Bengaluru,2026-07-01,70,Healthy
1295,BMW i4,Hyderabad,2026-07-15,82,Healthy
1296,BMW X5,Mumbai,2026-08-01,92,Healthy
1297,BMW 7 Series,Delhi,2026-06-01,76,Healthy
1298,BMW i4,Kolkata,2026-06-01,82,Healthy
1299,BMW X1,Pune,2026-07-15,50,Warning
1300,BMW 5 Series,Pune,2026-05-15,72,Healthy
1301,BMW 3 Series,Chennai,2026-07-01,51,Warning
1302,BMW iX,Chennai,2026-07-15,78,Healthy
1303,BMW 7 Series,Hyderabad,2026-07-15,82,Healthy
1304,BMW X7,Pune,2026-06-01,82,Healthy
1305,BMW 5 Series,Hyderabad,2026-07-01,89,Healthy
1306,BMW X3,Ahmedabad,2026-06-15,66,Healthy
1307,BMW 7 Series,Pune,2026-05-15,58,Healthy
1308,BMW 5 Series,Mumbai,2026-06-15,66,Healthy
1309,BMW X3,Mumbai,2026-08-15,56,Healthy
1310,BMW 7 Series,Chennai,2026-05-01,50,Warning
1311,BMW 7 Series,Pune,2026-07-15,69,Healthy
1312,BMW X1,Mumbai,2026-07-01,94,Healthy
1313,BMW i7,Delhi,2026-06-15,79,Healthy
1314,BMW i7,Ahmedabad,2026-08-15,21,Critical
1315,BMW X1,Hyderabad,2026-08-01,74,Healthy
1316,BMW i4,Delhi,2026-07-15,80,Healthy
1317,BMW X7,Hyderabad,2026-07-15,85,Healthy
1318,BMW iX,Chennai,2026-08-15,80,Healthy
1319,BMW X5,Hyderabad,2026-05-15,62,Healthy
1320,BMW 7 Series,Bengaluru,2026-08-01,77,Healthy
1321,BMW 7 Series,Pune,2026-06-15,92,Healthy
1322,BMW 7 Series,Pune,2026-06-15,65,Healthy
1323,BMW i4,Hyderabad,2026-05-01,86,Healthy
1324,BMW X3,Bengaluru,2026-08-15,91,Healthy
1325,BMW 5 Series,Chennai,2026-08-01,93,Healthy
1326,BMW iX,Mumbai,2026-07-15,73,Healthy
1327,BMW i4,Mumbai,2026-05-15,69,Healthy
1328,BMW i5,Bengaluru,2026-05-01,90,Healthy
1329,BMW X5,Chennai,2026-08-01,66,Healthy
1330,BMW 3 Series,Delhi,2026-06-15,53,Warning
1331,BMW 3 Series,Delhi,2026-08-15,58,Healthy
1332,BMW 3 Series,Chennai,2026-06-15,92,Healthy
1333,BMW X3,Delhi,2026-05-15,84,Healthy
1334,BMW i7,Kolkata,2026-07-15,65,Healthy
1335,BMW iX,Hyderabad,2026-08-15,76,Healthy
1336,BMW X7,Ahmedabad,2026-05-15,71,Healthy
1337,BMW X3,Delhi,2026-07-15,59,Healthy
1338,BMW 5 Series,Mumbai,2026-07-01,50,Warning
1339,BMW 3 Series,Hyderabad,2026-06-15,87,Healthy
1340,BMW X7,Pune,2026-05-01,60,Healthy
1341,BMW X1,Delhi,2026-05-01,95,Healthy
1342,BMW 7 Series,Pune,2026-07-01,94,Healthy
1343,BMW 5 Series,Hyderabad,2026-06-01,49,Warning
1344,BMW 7 Series,Hyderabad,2026-05-15,92,Healthy
1345,BMW X7,Chennai,2026-07-15,84,Healthy
1346,BMW 7 Series,Delhi,2026-07-15,72,Healthy
1347,BMW X3,Kolkata,2026-07-01,62,Healthy
1348,BMW X7,Hyderabad,2026-05-15,51,Warning
1349,BMW X7,Chennai,2026-06-15,70,Healthy
1350,BMW iX,Kolkata,2026-05-15,76,Healthy
1351,BMW 3 Series,Pune,2026-07-15,51,Warning
1352,BMW 7 Series,Ahmedabad,2026-08-15,83,Healthy
1353,BMW 5 Series,Mumbai,2026-05-01,60,Healthy
1354,BMW 3 Series,Bengaluru,2026-05-01,46,Warning
1355,BMW X3,Pune,2026-08-01,91,Healthy
1356,BMW X7,Kolkata,2026-07-15,90,Healthy
1357,BMW 7 Series,Chennai,2026-06-15,64,Healthy
1358,BMW i4,Pune,2026-06-01,71,Healthy
1359,BMW i4,Hyderabad,2026-07-01,43,Warning
1360,BMW i4,Delhi,2026-05-01,77,Healthy
1361,BMW i4,Pune,2026-07-15,51,Warning
1362,BMW 7 Series,Chennai,2026-05-01,78,Healthy
1363,BMW 5 Series,Bengaluru,2026-05-15,94,Healthy
1364,BMW iX,Chennai,2026-06-15,34,Critical
1365,BMW X3,Kolkata,2026-07-01,98,Healthy
1366,BMW X1,Pune,2026-07-15,61,Healthy
1367,BMW 7 Series,Ahmedabad,2026-07-01,52,Warning
1368,BMW i4,Chennai,2026-05-01,31,Critical
1369,BMW 3 Series,Bengaluru,2026-05-15,73,Healthy
1370,BMW X1,Hyderabad,2026-08-01,62,Healthy
1371,BMW X5,Mumbai,2026-07-15,61,Healthy
1372,BMW i4,Kolkata,2026-05-01,64,Healthy
1373,BMW i4,Delhi,2026-05-01,30,Critical
1374,BMW X5,Pune,2026-08-01,62,Healthy
1375,BMW X7,Mumbai,2026-08-15,58,Healthy
1376,BMW 7 Series,Delhi,2026-07-15,82,Healthy
1377,BMW 5 Series,Kolkata,2026-06-01,68,Healthy
1378,BMW iX,Kolkata,2026-06-15,71,Healthy
1379,BMW X5,Hyderabad,2026-08-01,63,Healthy
1380,BMW iX,Delhi,2026-06-01,32,Critical
1381,BMW X7,Ahmedabad,2026-05-15,62,Healthy
1382,BMW 3 Series,Ahmedabad,2026-05-15,86,Healthy
1383,BMW X5,Hyderabad,2026-08-15,79,Healthy
1384,BMW i4,Bengaluru,2026-05-01,74,Healthy
1385,BMW X3,Bengaluru,2026-05-01,87,Healthy
1386,BMW i4,Delhi,2026-07-01,82,Healthy
1387,BMW 5 Series,Pune,2026-08-15,64,Healthy
1388,BMW X5,Kolkata,2026-07-01,77,Healthy
1389,BMW 7 Series,Hyderabad,2026-07-15,56,Healthy
1390,BMW i4,Mumbai,2026-06-01,30,Critical
1391,BMW X3,Delhi,2026-05-15,77,Healthy
1392,BMW X1,Ahmedabad,2026-06-15,86,Healthy
1393,BMW 3 Series,Ahmedabad,2026-08-01,87,Healthy
1394,BMW i5,Pune,2026-08-15,81,Healthy
1395,BMW i5,Hyderabad,2026-06-15,51,Warning
1396,BMW i7,Hyderabad,2026-05-01,31,Critical
1397,BMW 5 Series,Delhi,2026-08-15,97,Healthy
1398,BMW i4,Mumbai,2026-06-01,46,Warning
1399,BMW 7 Series,Chennai,2026-06-15,81,Healthy
1400,BMW X7,Bengaluru,2026-08-15,79,Healthy
1401,BMW 7 Series,Ahmedabad,2026-05-15,47,Warning
1402,BMW 5 Series,Ahmedabad,2026-05-01,95,Healthy
1403,BMW iX,Mumbai,2026-08-01,94,Healthy
1404,BMW i7,Delhi,2026-08-01,80,Healthy
1405,BMW X1,Chennai,2026-05-15,69,Healthy
1406,BMW 5 Series,Delhi,2026-05-01,79,Healthy
1407,BMW i4,Chennai,2026-07-01,27,Critical
1408,BMW 3 Series,Mumbai,2026-08-15,76,Healthy
1409,BMW X7,Bengaluru,2026-08-01,87,Healthy
1410,BMW i5,Mumbai,2026-06-15,51,Warning
1411,BMW i5,Kolkata,2026-08-01,60,Healthy
1412,BMW iX,Mumbai,2026-07-01,68,Healthy
1413,BMW 3 Series,Chennai,2026-08-01,63,Healthy
1414,BMW 3 Series,Mumbai,2026-06-01,71,Healthy
1415,BMW iX,Bengaluru,2026-05-15,31,Critical
1416,BMW i5,Ahmedabad,2026-05-01,48,Warning
1417,BMW iX,Hyderabad,2026-05-15,43,Warning
1418,BMW X1,Hyderabad,2026-08-01,73,Healthy
1419,BMW iX,Ahmedabad,2026-05-01,38,Warning
1420,BMW X7,Kolkata,2026-08-15,70,Healthy
1421,BMW X3,Delhi,2026-05-01,83,Healthy
1422,BMW X7,Chennai,2026-05-15,87,Healthy
1423,BMW X3,Kolkata,2026-05-15,83,Healthy
1424,BMW i7,Kolkata,2026-07-15,30,Critical
1425,BMW 5 Series,Pune,2026-05-15,48,Warning
1426,BMW i4,Ahmedabad,2026-06-01,23,Critical
1427,BMW i5,Pune,2026-07-15,90,Healthy
1428,BMW i7,Hyderabad,2026-05-15,82,Healthy
1429,BMW i5,Pune,2026-06-01,93,Healthy
1430,BMW iX,Pune,2026-06-15,57,Healthy
1431,BMW i7,Delhi,2026-07-01,88,Healthy
1432,BMW i7,Kolkata,2026-06-01,41,Warning
1433,BMW X7,Kolkata,2026-06-15,92,Healthy
1434,BMW 7 Series,Pune,2026-07-15,74,Healthy
1435,BMW 7 Series,Mumbai,2026-07-01,86,Healthy
1436,BMW 5 Series,Mumbai,2026-05-15,81,Healthy
1437,BMW X1,Hyderabad,2026-06-15,87,Healthy
1438,BMW X7,Pune,2026-06-01,75,Healthy
1439,BMW X1,Delhi,2026-07-01,58,Healthy
1440,BMW X5,Chennai,2026-05-01,71,Healthy
1441,BMW 7 Series,Bengaluru,2026-08-15,72,Healthy
1442,BMW 7 Series,Hyderabad,2026-05-01,47,Warning
1443,BMW X1,Delhi,2026-06-01,90,Healthy
1444,BMW 7 Series,Ahmedabad,2026-05-01,91,Healthy
1445,BMW 5 Series,Pune,2026-07-15,91,Healthy
1446,BMW iX,Bengaluru,2026-08-15,60,Healthy
1447,BMW 5 Series,Hyderabad,2026-06-15,89,Healthy
1448,BMW iX,Kolkata,2026-07-01,20,Critical
1449,BMW 7 Series,Delhi,2026-05-01,88,Healthy
1450,BMW 7 Series,Ahmedabad,2026-05-15,50,Warning
1451,BMW i4,Mumbai,2026-06-15,57,Healthy
1452,BMW 3 Series,Hyderabad,2026-08-01,88,Healthy
1453,BMW i4,Bengaluru,2026-08-01,92,Healthy
1454,BMW X3,Ahmedabad,2026-07-01,90,Healthy
1455,BMW 3 Series,Ahmedabad,2026-08-15,67,Healthy
1456,BMW 3 Series,Ahmedabad,2026-08-01,74,Healthy
1457,BMW i5,Hyderabad,2026-07-01,24,Critical
1458,BMW i7,Chennai,2026-08-15,38,Warning
1459,BMW X7,Kolkata,2026-05-15,82,Healthy
1460,BMW i7,Mumbai,2026-07-15,62,Healthy
1461,BMW i5,Mumbai,2026-08-01,53,Warning
1462,BMW iX,Kolkata,2026-07-01,80,Healthy
1463,BMW X5,Ahmedabad,2026-08-01,88,Healthy
1464,BMW 3 Series,Chennai,2026-06-15,78,Healthy
1465,BMW 3 Series,Mumbai,2026-07-01,57,Healthy
1466,BMW i7,Kolkata,2026-05-01,85,Healthy
1467,BMW i7,Chennai,2026-08-15,95,Healthy
1468,BMW 3 Series,Pune,2026-07-01,53,Warning
1469,BMW X7,Chennai,2026-05-15,87,Healthy
1470,BMW X1,Chennai,2026-05-01,73,Healthy
