service_id,vehicle_id,dealer_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code
SRV00065,BMWV00518,D099,2026-03-09,Brake Service,112504,2282.13,542.89,ELEC01
SRV00066,BMWV00046,D060,2024-01-28,Routine Service,126085,1936.72,1504.62,BRK01
SRV00067,BMWV00408,D005,2024-01-11,Brake Service,35063,3560.04,316.14,ENG01
SRV00068,BMWV00498,D060,2024-03-10,Routine Service,148767,3302.26,1441.48,ENG01
SRV00069,BMWV00145,D061,2026-04-20,Brake Service,47301,894.42,85.23,NONE
SRV00070,BMWV00183,D038,2024-05-07,Inspection,107458,883.84,1359.21,NONE
SRV00071,BMWV00695,D035,2024-06-06,Battery Check,98870,930.8,1443.1,ELEC01
SRV00072,BMWV00223,D057,2025-12-14,Routine Service,142068,3223.01,1447.0,NONE
SRV00073,BMWV00401,D089,2024-11-11,Battery Check,18740,3011.12,144.9,ENG01
SRV00074,BMWV00787,D026,2026-08-09,Oil Change,103210,4548.34,439.97,NONE
SRV00075,BMWV00433,D004,2024-01-15,Brake Service,55371,3415.8,173.18,NONE
SRV00076,BMWV00818,D086,2024-06-20,Repair,48790,267.86,1049.38,BAT01
SRV00077,BMWV00332,D072,2025-10-03,Oil Change,59295,4674.92,820.37,ENG01
SRV00078,BMWV00125,D030,2024-08-06,Routine Service,98474,1650.67,79.24,BAT01
SRV00079,BMWV00013,D050,2024-08-05,Battery Check,62696,376.78,1639.42,ELEC01
SRV00080,BMWV00379,D006,2024-03-09,Oil Change,112766,1542.59,1217.79,NONE
SRV00081,BMWV00731,D069,2026-03-21,Inspection,49946,1297.1,234.75,BAT01
SRV00082,BMWV00648,D090,2025-02-01,Repair,39847,1693.63,1288.94,BAT01
SRV00083,BMWV00873,D086,2025-05-08,Routine Service,92845,137.36,1828.6,ENG01
SRV00084,BMWV00393,D066,2025-10-17,Repair,65928,2541.93,1424.03,NONE
SRV00085,BMWV00240,D003,2025-09-23,Routine Service,85962,1220.16,885.57,BRK01
SRV00086,BMWV00636,D010,2024-03-02,Oil Change,103179,2518.7,443.92,ENG01
SRV00087,BMWV00211,D083,2024-02-08,Oil Change,121320,3709.32,690.95,BAT01
SRV00088,BMWV00327,D083,2026-03-16,Routine Service,141543,3969.31,859.04,BAT01
SRV00089,BMWV00770,D004,2024-08-22,Repair,91840,1746.51,451.34,NONE
SRV00090,BMWV00930,D086,2024-09-11,Repair,63312,3059.91,793.9,BAT01
SRV00091,BMWV00189,D057,2025-10-06,Routine Service,21938,4355.84,186.47,BRK01
SRV00092,BMWV00055,D082,2024-05-24,Oil Change,37915,504.21,1205.63,BRK01
SRV00093,BMWV00243,D065,2024-03-21,Battery Check,127440,1591.74,1457.26,BRK01
SRV00094,BMWV00436,D023,2025-09-12,Oil Change,84456,1462.5,924.13,BRK01
SRV00095,BMWV00280,D062,2024-03-22,Brake Service,109397,1919.7,967.89,ENG01
SRV00096,BMWV00519,D079,2026-01-22,Battery Check,45862,4107.04,1597.44,NONE
SRV00097,BMWV00782,D049,2025-03-13,Routine Service,83703,2996.16,347.96,BRK01
SRV00098,BMWV00265,D049,2025-04-19,Brake Service,123909,1451.97,1146.18,ENG01
SRV00099,BMWV00075,D043,2024-05-19,Repair,128013,1018.79,1836.46,NONE
SRV00100,BMWV00014,D065,2026-01-17,Repair,103109,2482.7,1855.1,ENG01
SRV00101,BMWV00995,D096,2025-01-17,Battery Check,133332,1573.66,1975.67,NONE
SRV00102,BMWV00420,D005,2026-08-01,Routine Service,105879,4664.04,366.61,ENG01
SRV00103,BMWV00982,D033,2026-02-28,Repair,96377,2572.56,1002.81,BAT01
SRV00104,BMWV00715,D008,2025-10-28,Battery Check,116159,3691.54,522.59,NONE
SRV00105,BMWV00945,D047,2025-10-08,Repair,12407,3502.48,1308.4,BAT01
SRV00106,BMWV00621,D059,2026-08-24,Repair,43631,1308.73,1224.19,BRK01
SRV00107,BMWV00013,D015,2026-02-28,Routine Service,105754,2018.45,1193.01,NONE
SRV00108,BMWV00532,D025,2026-06-16,Battery Check,48469,4157.26,543.1,BAT01
SRV00109,BMWV00514,D069,2025-11-05,Battery Check,85734,3682.97,1517.3,NONE
SRV00110,BMWV00113,D082,2025-08-09,Brake Service,42411,1381.66,458.57,ENG01
SRV00111,BMWV00717,D040,2024-01-07,Oil Change,133902,57.81,186.19,ENG01
SRV00112,BMWV00539,D054,2025-11-01,Brake Service,117970,894.64,780.57,BRK01
SRV00113,BMWV00204,D063,2024-07-05,Inspection,33898,2280.77,1638.02,BRK01
SRV00114,BMWV00207,D008,2026-02-06,Oil Change,55301,1333.79,1809.43,ENG01
SRV00115,BMWV00453,D081,2026-07-23,Inspection,33624,4348.39,373.95,BAT01
SRV00116,BMWV00089,D049,2024-05-07,Brake Service,21846,1743.65,1192.01,ENG01
SRV00117,BMWV00498,D087,2026-02-17,Routine Service,7492,352.23,1516.01,NONE
SRV00118,BMWV00683,D075,2026-03-19,Routine Service,30386,1094.79,1593.98,ENG01
SRV00119,BMWV00619,D067,2026-02-18,Brake Service,132382,2392.5,707.21,ENG01
SRV00120,BMWV00346,D048,2025-11-29,Brake Service,87634,4093.39,1884.93,ENG01
SRV00121,BMWV00389,D079,2024-02-28,Brake Service,91574,4041.04,56.02,ENG01
SRV00122,BMWV00744,D018,2024-01-27,Inspection,37216,4351.58,594.96,BRK01
SRV00123,BMWV00379,D058,2025-09-25,Repair,129570,2598.82,1337.45,NONE
SRV00124,BMWV00655,D042,2024-01-18,Repair,99425,4373.5,1940.72,BAT01
SRV00125,BMWV00696,D057,2024-08-27,Inspection,132018,2030.82,1244.56,NONE
SRV00126,BMWV00358,D055,2026-08-19,Battery Check,31333,3684.67,623.03,BRK01
SRV00127,BMWV00731,D019,2026-06-09,Inspection,137287,207.14,1020.95,NONE
SRV00128,BMWV00310,D087,2025-07-15,Battery Check,49054,4487.22,1912.35,ENG01
SRV00129,BMWV00680,D070,2024-09-03,Oil Change,60480,893.64,1891.21,NONE
SRV00130,BMWV00110,D056,2026-01-02,Routine Service,47004,4648.57,686.68,ENG01
SRV00131,BMWV00786,D036,2024-08-13,Repair,72535,3346.37,1905.43,NONE
SRV00132,BMWV00683,D018,2026-08-02,Inspection,133964,497.69,1398.98,BRK01
SRV00133,BMWV00956,D074,2026-02-23,Inspection,21952,3237.73,785.17,ENG01
SRV00134,BMWV00671,D083,2026-03-14,Inspection,119547,4051.82,485.92,NONE
SRV00135,BMWV00299,D012,2024-04-24,Routine Service,94191,3715.88,1877.56,NONE
SRV00136,BMWV00588,D048,2024-05-10,Brake Service,104665,2905.74,53.27,NONE
SRV00137,BMWV00606,D069,2024-07-13,Battery Check,116070,1632.23,761.8,BRK01
SRV00138,BMWV00534,D085,2025-09-08,Inspection,63233,577.6,67.92,ENG01
SRV00139,BMWV00325,D019,2026-04-15,Brake Service,62384,2524.17,938.78,ELEC01
SRV00140,BMWV00292,D019,2026-02-03,Repair,14003,3014.46,652.34,NONE
SRV00141,BMWV00282,D091,2025-08-10,Battery Check,61545,2500.38,1423.07,ENG01
SRV00142,BMWV00062,D043,2024-06-05,Repair,60210,4247.95,1872.14,BRK01
SRV00143,BMWV00719,D095,2024-02-23,Oil Change,132796,3650.61,633.25,BRK01
SRV00144,BMWV00023,D071,2025-02-05,Brake Service,115739,3405.6,1981.11,ENG01
SRV00145,BMWV00402,D010,2025-06-24,Repair,79197,1447.7,1849.97,ELEC01
SRV00146,BMWV00405,D013,2024-05-14,Brake Service,19188,4256.56,1433.7,ENG01
SRV00147,BMWV00672,D021,2025-08-14,Oil Change,120837,3494.98,617.61,BRK01
SRV00148,BMWV00216,D028,2026-04-03,Repair,56289,3689.83,67.81,ELEC01
SRV00149,BMWV00106,D087,2026-03-15,Oil Change,103711,4754.47,882.87,BRK01
SRV00150,BMWV00950,D008,2024-04-08,Brake Service,129223,939.18,152.32,ELEC01
SRV00151,BMWV00667,D044,2025-08-30,Battery Check,43946,3153.51,837.79,NONE
SRV00152,BMWV00123,D031,2025-02-10,Battery Check,84348,3455.52,1911.38,ENG01
SRV00153,BMWV00796,D089,2026-03-25,Repair,28491,3899.77,1736.55,ENG01
SRV00154,BMWV00283,D081,2025-10-30,Battery Check,101291,107.43,277.42,NONE
SRV00155,BMWV00502,D083,2025-11-15,Inspection,63965,163.98,1167.31,ELEC01
SRV00156,BMWV00493,D036,2025-12-11,Repair,29786,3982.0,403.14,ENG01
SRV00157,BMWV00662,D090,2025-03-20,Brake Service,37829,542.23,173.82,ELEC01
SRV00158,BMWV00191,D052,2026-04-12,Repair,10176,1999.29,1644.05,ELEC01
SRV00159,BMWV00502,D009,2025-06-15,Inspection,146290,3583.06,1590.63,NONE
SRV00160,BMWV00773,D097,2024-07-31,Repair,35756,944.29,1218.25,BRK01
SRV00161,BMWV00006,D072,2025-04-02,Brake Service,37255,243.76,1171.41,BRK01
SRV00162,BMWV00091,D072,2024-09-19,Routine Service,27180,4900.65,1036.99,BAT01
SRV00163,BMWV00991,D070,2024-06-24,Battery Check,5022,1279.27,140.02,ELEC01
SRV00164,BMWV00928,D038,2025-11-05,Inspection,121633,742.28,1006.36,BAT01
SRV00165,BMWV00537,D046,2025-09-12,Inspection,138848,1088.71,243.07,NONE
SRV00166,BMWV00244,D005,2024-07-11,Oil Change,83566,4287.62,469.67,BRK01
SRV00167,BMWV00618,D071,2024-08-09,Inspection,99126,1423.11,1471.75,ENG01
SRV00168,BMWV00078,D071,2024-09-18,Brake Service,105081,3266.36,368.47,ENG01
SRV00169,BMWV00087,D033,2025-11-23,Battery Check,42550,2702.73,187.59,BAT01
SRV00170,BMWV00650,D090,2025-10-23,Oil Change,102554,2840.03,1313.15,ELEC01
SRV00171,BMWV00621,D021,2025-03-05,Oil Change,87931,4962.62,895.57,NONE
SRV00172,BMWV00989,D078,2024-09-10,Routine Service,75811,666.88,264.48,ELEC01
SRV00173,BMWV00418,D009,2024-12-03,Repair,28324,1845.96,700.36,BAT01
SRV00174,BMWV00151,D029,2024-10-07,Routine Service,30676,1916.92,1939.11,ENG01
SRV00175,BMWV00976,D014,2026-03-12,Routine Service,51066,2656.05,1757.25,ELEC01
SRV00176,BMWV00843,D063,2024-04-07,Inspection,96462,3517.25,1737.53,ELEC01
SRV00177,BMWV00279,D078,2024-04-11,Routine Service,49760,1624.08,1516.15,BRK01
SRV00178,BMWV00355,D095,2025-11-25,Inspection,149617,2993.35,1706.78,ENG01
SRV00179,BMWV00608,D017,2024-09-22,Routine Service,139628,3580.45,1332.25,BRK01
SRV00180,BMWV00389,D073,2026-01-23,Brake Service,18858,4596.29,1296.43,BAT01
SRV00181,BMWV00726,D100,2024-09-12,Repair,114640,3548.59,407.05,BAT01
SRV00182,BMWV00819,D060,2025-05-29,Brake Service,77305,4765.45,1065.16,BRK01
SRV00183,BMWV00314,D082,2026-05-28,Routine Service,85127,2062.25,659.84,NONE
SRV00184,BMWV00651,D010,2024-03-19,Repair,67924,4727.09,371.97,NONE
SRV00185,BMWV00088,D096,2024-10-19,Inspection,134197,4051.32,70.85,ENG01
SRV00186,BMWV00695,D066,2026-08-12,Repair,40763,2424.3,1054.27,ELEC01
SRV00187,BMWV00716,D016,2025-02-19,Routine Service,54855,4558.89,1504.54,ENG01
SRV00188,BMWV00721,D069,2026-02-06,Brake Service,69022,4971.4,1339.29,ELEC01
SRV00189,BMWV00702,D078,2024-02-13,Inspection,122611,4825.0,1365.32,ELEC01
SRV00190,BMWV00927,D029,2024-06-28,Routine Service,101220,4205.07,1051.68,NONE
SRV00191,BMWV00434,D064,2025-01-23,Oil Change,102854,4850.16,709.02,BRK01
SRV00192,BMWV00853,D070,2026-05-21,Routine Service,81038,1530.93,622.41,BRK01
SRV00193,BMWV00003,D095,2025-10-08,Inspection,108185,1126.44,644.4,ELEC01
SRV00194,BMWV00847,D005,2026-08-15,Battery Check,132996,334.61,61.49,ENG01
SRV00195,BMWV00338,D039,2024-12-28,Routine Service,6351,1781.12,1458.75,ENG01
SRV00196,BMWV00365,D002,2024-04-13,Battery Check,133986,1027.84,1081.74,BRK01
SRV00197,BMWV00422,D016,2026-07-24,Battery Check,6811,820.37,1330.44,BRK01
SRV00198,BMWV00483,D051,2025-01-18,Brake Service,100550,2170.29,405.25,BAT01
SRV00199,BMWV00113,D057,2025-11-03,Battery Check,47423,742.38,1506.83,NONE
SRV00200,BMWV00369,D091,2024-07-22,Routine Service,54693,1460.25,310.68,ENG01
SRV00201,BMWV00763,D043,2026-07-11,Routine Service,47024,3347.71,1899.33,BAT01
SRV00202,BMWV00123,D054,2025-05-15,Inspection,134910,4009.11,1442.93,BAT01
SRV00203,BMWV00771,D098,2026-03-10,Battery Check,136559,3643.67,1496.69,ENG01
SRV00204,BMWV00136,D015,2024-04-20,Routine Service,38062,819.93,1025.0,BRK01
SRV00205,BMWV00055,D087,2026-04-29,Brake Service,117634,4883.37,1487.99,ENG01
SRV00206,BMWV00493,D038,2024-10-15,Battery Check,26656,3816.45,533.11,BRK01
SRV00207,BMWV00748,D066,2024-07-10,Oil Change,78698,3845.3,1735.13,BRK01
SRV00208,BMWV00684,D055,2024-07-22,Battery Check,32017,3520.67,1029.55,BRK01
SRV00209,BMWV00195,D076,2025-10-06,Repair,43987,1185.45,307.98,NONE
SRV00210,BMWV00282,D025,2026-08-09,Oil Change,116752,137.42,439.3,NONE
SRV00211,BMWV00391,D053,2025-06-21,Brake Service,65667,1147.79,880.85,NONE
SRV00212,BMWV00524,D055,2025-10-21,Routine Service,84767,594.77,758.97,BAT01
SRV00213,BMWV00730,D054,2024-09-09,Brake Service,17466,949.67,51.05,BAT01
SRV00214,BMWV00219,D037,2025-04-28,Brake Service,31414,2182.99,541.91,ENG01
SRV00215,BMWV00374,D043,2024-11-07,Routine Service,30398,3361.29,1381.77,BRK01
SRV00216,BMWV00341,D047,2026-01-29,Brake Service,143638,3043.33,514.59,BAT01
SRV00217,BMWV00217,D075,2025-01-28,Routine Service,32883,695.9,1498.05,NONE
SRV00218,BMWV00043,D076,2026-07-23,Repair,54921,1004.99,919.25,NONE
SRV00219,BMWV00078,D070,2025-09-25,Brake Service,84030,3640.49,1979.81,BRK01
SRV00220,BMWV00548,D093,2024-06-06,Routine Service,38510,998.95,1123.47,BAT01
SRV00221,BMWV00914,D098,2026-05-23,Inspection,96052,4479.82,924.54,NONE
SRV00222,BMWV00934,D056,2024-03-10,Battery Check,114839,2642.63,1907.27,NONE
SRV00223,BMWV00172,D077,2024-10-07,Repair,38799,1483.8,1913.82,NONE
SRV00224,BMWV00815,D089,2024-07-13,Repair,109200,2500.38,1088.32,ELEC01
SRV00225,BMWV00996,D010,2024-06-18,Battery Check,138504,1951.54,1569.78,ENG01
SRV00226,BMWV00623,D035,2024-07-30,Oil Change,5943,842.02,474.73,NONE
SRV00227,BMWV00902,D066,2025-04-11,Inspection,142644,1331.23,1712.33,BAT01
SRV00228,BMWV00727,D035,2025-07-19,Routine Service,49855,1158.45,1090.45,BAT01
SRV00229,BMWV00041,D082,2024-05-31,Brake Service,39857,1388.65,1591.71,BRK01
SRV00230,BMWV00845,D027,2025-07-01,Routine Service,5366,3260.8,1283.73,BAT01
SRV00231,BMWV00334,D010,2026-08-27,Repair,148989,1356.99,310.54,ELEC01
SRV00232,BMWV00303,D042,2024-02-28,Repair,7728,4128.46,477.6,BAT01
SRV00233,BMWV00182,D033,2024-01-17,Inspection,32903,3626.88,1391.83,BAT01
SRV00234,BMWV00892,D081,2025-10-11,Inspection,149409,1070.49,912.26,BAT01
SRV00235,BMWV00277,D027,2025-08-18,Repair,108668,820.43,501.86,ENG01
SRV00236,BMWV00379,D019,2026-07-12,Battery Check,29560,2505.01,945.81,BRK01
SRV00237,BMWV00195,D073,2025-05-17,Repair,52292,3255.44,91.04,BRK01
SRV00238,BMWV00908,D023,2026-04-17,Battery Check,54243,393.8,190.49,BRK01
SRV00239,BMWV00467,D083,2025-02-16,Routine Service,143091,729.59,1513.37,NONE
SRV00240,BMWV00619,D013,2025-01-21,Battery Check,10430,594.68,76.43,NONE
SRV00241,BMWV00137,D032,2026-02-27,Routine Service,75164,756.05,1273.4,NONE
SRV00242,BMWV00813,D002,2026-03-21,Routine Service,147179,3693.85,709.86,NONE
SRV00243,BMWV00209,D018,2025-05-06,Inspection,121477,4086.55,649.4,ENG01
SRV00244,BMWV00160,D032,2024-02-27,Inspection,75112,3156.05,290.0,NONE
SRV00245,BMWV00107,D070,2024-10-30,Routine Service,139097,4437.96,859.81,NONE
SRV00246,BMWV00936,D029,2024-01-25,Oil Change,116970,1957.65,738.95,BAT01
SRV00247,BMWV00233,D088,2025-01-28,Repair,34467,2484.51,1982.0,BRK01
SRV00248,BMWV00106,D037,2024-12-31,Routine Service,92483,635.84,1850.47,NONE
SRV00249,BMWV00919,D006,2025-09-11,Oil Change,51679,2171.71,702.95,BRK01
SRV00250,BMWV00697,D055,2024-06-02,Repair,84053,3142.55,609.66,NONE
SRV00251,BMWV00279,D064,2025-11-08,Brake Service,74573,4063.06,1437.05,NONE
SRV00252,BMWV00809,D001,2026-06-01,Oil Change,43427,1635.27,811.67,ENG01
SRV00253,BMWV00836,D009,2024-04-25,Inspection,117054,4799.95,593.03,NONE
SRV00254,BMWV00332,D017,2024-07-05,Battery Check,97434,1630.61,876.47,ENG01
SRV00255,BMWV00618,D082,2024-12-07,Oil Change,69463,1946.77,1121.21,ELEC01
SRV00256,BMWV00548,D064,2025-06-29,Inspection,65323,1953.9,1182.88,ENG01
SRV00257,BMWV00541,D074,2026-03-06,Repair,62497,3530.31,508.63,NONE
SRV00258,BMWV00210,D003,2025-01-06,Inspection,129236,4790.2,1845.76,NONE
SRV00259,BMWV00935,D045,2025-01-04,Oil Change,82253,2328.92,1678.74,ELEC01
SRV00260,BMWV00997,D054,2024-09-05,Oil Change,63874,326.54,318.71,BRK01
SRV00261,BMWV00388,D094,2024-01-27,Repair,116334,1889.84,1417.73,ELEC01
SRV00262,BMWV00077,D062,2026-05-07,Inspection,46464,199.42,762.23,NONE
SRV00263,BMWV00252,D010,2024-01-13,Inspection,114181,791.1,405.73,BRK01
SRV00264,BMWV00768,D068,2025-12-16,Brake Service,128256,2087.04,707.81,NONE
SRV00265,BMWV00295,D015,2024-06-08,Routine Service,13419,3040.66,388.48,BRK01
SRV00266,BMWV00012,D051,2026-05-02,Battery Check,124091,2793.07,1667.56,ELEC01
SRV00267,BMWV00515,D040,2025-12-27,Oil Change,116062,4660.68,580.06,NONE
SRV00268,BMWV00536,D049,2026-08-31,Oil Change,60538,2031.99,159.19,ENG01
SRV00269,BMWV00190,D096,2025-07-26,Inspection,25239,4091.97,963.45,BAT01
SRV00270,BMWV00670,D083,2025-02-18,Battery Check,48207,320.62,774.38,ENG01
SRV00271,BMWV00201,D035,2024-04-21,Routine Service,25397,1845.37,1568.65,BAT01
SRV00272,BMWV00029,D031,2024-10-15,Oil Change,146968,577.0,463.22,NONE
SRV00273,BMWV00776,D040,2024-07-11,Inspection,57881,3210.03,113.12,BAT01
SRV00274,BMWV00089,D073,2025-08-01,Routine Service,131827,276.12,663.43,BAT01
SRV00275,BMWV00009,D046,2026-02-08,Brake Service,109369,2526.07,663.22,ENG01
SRV00276,BMWV00745,D046,2024-05-12,Repair,30527,1690.03,1798.2,ELEC01
SRV00277,BMWV00105,D065,2026-04-06,Oil Change,11208,2956.52,795.12,ELEC01
SRV00278,BMWV00891,D005,2024-10-24,Oil Change,44724,3427.75,203.57,NONE
SRV00279,BMWV00977,D092,2024-08-25,Oil Change,41926,3855.69,364.04,ELEC01
SRV00280,BMWV00530,D094,2025-09-15,Repair,142176,4654.62,715.76,BRK01
SRV00281,BMWV00349,D038,2025-01-03,Inspection,117958,248.06,1439.89,ENG01
SRV00282,BMWV00246,D027,2025-09-17,Inspection,24660,4792.18,1155.46,ENG01
SRV00283,BMWV00100,D002,2024-05-26,Brake Service,148428,4344.29,1604.9,NONE
SRV00284,BMWV00512,D013,2025-04-10,Brake Service,49490,4673.58,364.87,BAT01
SRV00285,BMWV00592,D047,2024-12-27,Routine Service,23647,936.97,1555.28,BAT01
SRV00286,BMWV00486,D033,2026-02-20,Battery Check,41817,4702.16,1944.78,ENG01
SRV00287,BMWV00041,D047,2026-05-29,Brake Service,110103,2074.71,1258.38,BRK01
SRV00288,BMWV00453,D047,2025-06-08,Inspection,87220,1899.73,1380.29,ELEC01
SRV00289,BMWV00462,D034,2026-06-17,Repair,16187,3122.04,1305.54,BRK01
SRV00290,BMWV00718,D072,2024-01-09,Oil Change,32603,1488.77,358.5,ENG01
SRV00291,BMWV00876,D010,2024-08-16,Battery Check,126183,3362.3,730.43,ENG01
SRV00292,BMWV00659,D069,2026-07-10,Battery Check,33604,474.82,1476.97,ENG01
SRV00293,BMWV00788,D056,2024-07-23,Battery Check,91172,369.13,717.73,ELEC01
SRV00294,BMWV00499,D028,2025-12-20,Repair,129838,615.92,936.43,ELEC01
SRV00295,BMWV00161,D061,2024-05-29,Repair,60959,1634.92,111.08,ELEC01
SRV00296,BMWV00794,D049,2024-03-04,Brake Service,117750,4893.88,466.17,BRK01
SRV00297,BMWV00890,D003,2026-02-15,Repair,115866,1385.75,1289.59,NONE
SRV00298,BMWV00147,D009,2024-10-07,Battery Check,26419,1526.77,1438.8,ENG01
SRV00299,BMWV00539,D028,2025-11-16,Brake Service,53255,4161.22,230.26,ENG01
SRV00300,BMWV00352,D097,2024-10-31,Oil Change,57063,1778.92,867.25,ENG01
SRV00301,BMWV00550,D089,2026-03-13,Oil Change,119500,1805.73,1401.16,ENG01
SRV00302,BMWV00844,D002,2025-07-28,Inspection,57051,435.15,1352.53,ELEC01
SRV00303,BMWV00150,D042,2025-11-11,Repair,87972,120.22,1798.18,BRK01
SRV00304,BMWV00513,D041,2024-04-26,Repair,111531,1350.87,1458.46,ENG01
