vehicle_id,model,fuel_type,speed_kmph,rpm,engine_temp_c,coolant_temp_c,battery_soc_pct,battery_voltage_v,fuel_level_pct,tire_fl_psi,tire_fr_psi,tire_rl_psi,tire_rr_psi,outside_temp_c,odometer_km
BMW0046,BMW_320i,Petrol,21,4424,101,99,75,13.1,40,31.1,33.7,30.4,33.0,24,112858
BMW0047,BMW_X5,Diesel,20,1262,87,76,96,12.3,36,30.2,34.3,38.0,32.8,38,123788
BMW0048,BMW_320i,Petrol,159,6430,113,85,71,14.2,82,31.9,33.8,30.9,37.6,32,40446
BMW0049,BMW_330e,Hybrid,41,3949,90,97,45,306.8,90,30.9,30.2,32.5,35.4,30,82036
BMW0050,BMW_330e,Hybrid,178,3544,107,86,88,338.6,18,36.8,34.8,31.0,37.9,19,79558
BMW0051,BMW_i4,Electric,3,11588,0,48,34,380.5,0,36.6,30.8,37.7,35.1,32,110615
BMW0052,BMW_X5,Diesel,157,2711,104,103,60,12.9,36,36.2,33.7,36.6,34.7,28,141578
BMW0053,BMW_i5,Electric,86,5576,0,47,50,411.6,0,34.0,32.6,33.9,32.8,26,8023
BMW0054,BMW_X5,Diesel,142,2668,76,106,99,13.4,62,34.1,31.5,31.9,33.3,35,3161
BMW0055,BMW_330e,Hybrid,75,5049,96,98,64,338.3,80,33.2,31.9,35.3,33.0,35,58590
BMW0056,BMW_i4,Electric,179,8779,0,48,38,363.4,0,32.2,32.0,31.0,31.5,21,119446
BMW0057,BMW_iX,Electric,70,2939,0,42,53,351.0,0,34.8,37.8,36.7,32.4,29,138030
BMW0058,BMW_X1,Petrol,70,4721,105,93,61,14.5,65,37.8,34.4,35.6,31.0,42,12431
BMW0059,BMW_iX,Electric,87,6565,0,45,77,355.2,0,37.7,32.0,36.9,30.9,20,48829
BMW0060,BMW_320i,Petrol,38,4109,99,89,93,13.7,71,36.5,37.6,30.7,32.0,35,39611
BMW0061,BMW_iX,Electric,113,1625,0,33,41,393.8,0,36.9,37.9,32.4,35.0,37,78449
BMW0062,BMW_330e,Hybrid,40,4549,93,84,57,302.9,100,31.4,30.6,30.0,33.6,37,63379
BMW0063,BMW_iX,Electric,18,6965,0,45,29,388.1,0,37.4,36.3,35.0,35.3,24,61690
BMW0064,BMW_X1,Petrol,68,3064,100,94,83,12.5,94,30.6,31.3,32.5,36.0,36,37786
BMW0065,BMW_X5,Diesel,128,5645,111,89,71,12.3,91,34.0,30.6,30.3,33.5,28,142052
BMW0066,BMW_320i,Petrol,172,2978,106,102,66,14.8,86,34.6,36.1,31.4,34.2,32,71150
BMW0067,BMW_330e,Hybrid,120,6382,110,105,83,325.9,61,33.3,32.6,30.8,31.3,31,91715
BMW0068,BMW_320i,Petrol,116,709,78,104,97,14.5,57,32.5,32.6,37.8,33.2,34,23584
BMW0069,BMW_X3,Diesel,132,5199,106,103,63,14.6,94,35.0,34.0,33.5,30.4,26,95338
BMW0070,BMW_330e,Hybrid,7,1629,106,95,79,385.2,29,35.7,32.5,30.1,33.3,25,63230
BMW0071,BMW_X5,Diesel,130,3842,83,107,67,14.6,100,33.3,33.9,33.8,33.7,22,72176
BMW0072,BMW_330e,Hybrid,70,3145,84,96,95,352.2,72,32.7,36.3,32.1,30.0,41,109274
BMW0073,BMW_iX,Electric,137,3090,0,32,45,390.0,0,32.8,34.4,34.3,33.6,28,127467
BMW0074,BMW_i5,Electric,11,10682,0,26,34,384.7,0,36.0,35.6,36.5,33.1,39,83908
BMW0075,BMW_X1,Petrol,128,825,105,84,64,13.3,14,37.0,37.0,33.5,34.2,32,87530
BMW0076,BMW_X5,Diesel,86,3294,77,106,95,14.1,74,35.2,36.8,36.8,36.9,30,104697
BMW0077,BMW_330e,Hybrid,60,6466,76,97,32,339.9,48,38.0,36.0,33.5,30.8,38,75834
BMW0078,BMW_320i,Petrol,83,6285,99,80,66,12.6,83,32.3,33.0,31.2,34.2,36,15211
BMW0079,BMW_X3,Diesel,127,3056,97,79,98,13.6,61,31.9,35.1,33.7,35.3,32,38017
BMW0080,BMW_X5,Diesel,163,1573,93,97,70,13.2,78,35.5,33.7,32.4,38.0,33,111730
BMW0081,BMW_X5,Diesel,5,5667,113,93,86,14.4,34,32.2,34.5,35.5,36.0,19,104258
BMW0082,BMW_i4,Electric,56,10293,0,45,27,413.2,0,35.0,35.4,35.8,35.3,22,50341
BMW0083,BMW_320i,Petrol,79,4103,108,109,66,12.7,51,30.3,32.9,31.1,37.3,28,116059
BMW0084,BMW_X5,Diesel,42,1643,100,84,84,14.7,33,37.3,37.6,37.7,32.4,28,67863
BMW0085,BMW_i4,Electric,23,4295,0,45,89,376.7,0,30.1,34.3,33.6,35.4,39,103935
BMW0086,BMW_i4,Electric,27,3626,0,51,97,354.4,0,33.8,35.0,37.5,32.6,37,61795
BMW0087,BMW_iX,Electric,179,1902,0,42,27,366.4,0,35.2,30.9,30.4,30.3,33,79717
BMW0088,BMW_X1,Petrol,99,1965,101,106,81,13.9,83,33.0,37.6,35.6,34.3,36,119419
BMW0089,BMW_X5,Diesel,8,3709,100,97,89,14.5,12,31.7,33.6,31.9,32.9,39,97632
BMW0090,BMW_X5,Diesel,48,5591,83,96,56,12.3,36,37.6,36.6,30.7,31.7,38,32523
BMW0091,BMW_X3,Diesel,17,5582,109,84,55,12.9,21,31.7,31.7,37.0,32.6,22,145782
BMW0092,BMW_X5,Diesel,44,5523,83,91,75,12.2,11,35.3,30.2,30.1,36.3,25,29316
BMW0093,BMW_i5,Electric,134,7405,0,44,79,365.5,0,36.0,33.8,36.2,34.1,21,30292
BMW0094,BMW_320i,Petrol,168,4192,80,103,98,12.5,14,32.4,35.1,30.2,38.0,30,137195
BMW0095,BMW_i4,Electric,155,6240,0,39,91,387.1,0,30.5,32.2,35.1,34.4,28,39384
BMW0096,BMW_i5,Electric,25,7046,0,38,72,412.2,0,36.8,35.2,36.2,35.8,24,30492
BMW0097,BMW_i4,Electric,116,2500,0,51,75,354.7,0,33.3,30.8,33.4,35.3,29,105024
BMW0098,BMW_330e,Hybrid,23,5300,97,78,91,329.7,62,30.8,35.9,36.5,34.5,36,113713
BMW0099,BMW_i5,Electric,13,7900,0,36,43,409.3,0,34.8,32.8,34.6,31.7,39,75900
BMW0100,BMW_i4,Electric,29,10052,0,44,97,389.0,0,34.6,36.5,36.8,37.8,37,73524
